,prop,f-value,p-value
0,degree,302.01807293950145,1.3105144033359155e-130
1,eigenvectorCentrality,265.543915299963,4.423912376546543e-121
2,betweennessCentrality,264.16940307879185,1.052286280403479e-120
3,closenessCentrality,239.51146528506575,1.0231806637224042e-113
4,harmonicCentrality,226.968564134811,5.609504955223206e-110
5,pagerank,307.8677758776853,4.631921596701461e-132
6,coreNumber,66.58139258532614,5.926161015806214e-45
7,onionLayer,72.62100184806432,2.84110780534639e-48
8,effectiveSize,313.7187124350245,1.7113825998971178e-133
9,nodeCliqueNumber,94.89491590835097,1.0712053755616549e-59
10,numberOfCliques,312.35328307015385,3.68048787037801e-133
11,clustering,53.83264983429332,1.3615309562733668e-37
12,squareClustering,37.988476066203035,1.0900753948842134e-27
13,constraint,131.30115783633548,4.407657671696944e-76
14,degree_neighborMean,228.1472837574188,2.4654852775150582e-110
15,clustering_neighborMean,26.7261262169063,4.5415988584658064e-20
