,word,POS,count
1,ἡροδότου,PROPN,1
2,ἁλικαρνησσέος,NOUN,1
3,ἱστορίης,NOUN,1
4,ἀπόδεξις,NOUN,2
5,ἥδε,DET,1
6,ὡς,SCONJ,120
7,μήτε,CCONJ,8
8,τὰ,DET,252
9,γενόμενα,VERB,2
10,ἐξ,ADP,42
11,ἀνθρώπων,NOUN,23
12,τῷ,DET,178
13,χρόνῳ,NOUN,10
14,ἐξίτηλα,ADJ,1
15,γένηται,VERB,11
16,ἔργα,NOUN,6
17,μεγάλα,ADJ,15
18,τε,CCONJ,405
19,καὶ,CCONJ,1054
20,θωμαστά,ADJ,1
21,τὰ,PRON,47
22,μὲν,ADV,358
23,ἕλλησι,NOUN,5
24,δὲ,ADV,1276
25,βαρβάροισι,NOUN,1
26,ἀποδεχθέντα,VERB,1
27,ἀκλεᾶ,ADJ,1
28,τά,DET,9
29,ἄλλα,ADJ,26
30,δι’,ADP,15
31,ἣν,PRON,3
32,αἰτίην,NOUN,6
33,ἐπολέμησαν,VERB,1
34,ἀλλήλοισι,PRON,2
35,περσέων,NOUN,30
36,μέν,ADV,63
37,νυν,ADV,58
38,οἱ,DET,285
39,λόγιοι,NOUN,1
40,φοίνικας,NOUN,5
41,αἰτίους,ADJ,5
42,φασὶ,VERB,11
43,γενέσθαι,VERB,39
44,τῆς,DET,286
45,διαφορῆς,NOUN,1
46,τούτους,ADJ,24
47,γὰρ,ADV,239
48,ἀπὸ,ADP,72
49,ἐρυθρῆς,ADJ,1
50,καλεομένης,VERB,3
51,θαλάσσης,NOUN,12
52,ἀπικομένους,VERB,3
53,ἐπὶ,ADP,187
54,τήνδε,DET,1
55,τὴν,DET,409
56,θάλασσαν,NOUN,16
57,οἰκήσαντας,VERB,1
58,τοῦτον,DET,33
59,τὸν,DET,323
60,χῶρον,NOUN,15
61,τὸν,PRON,29
62,νῦν,ADV,54
63,οἰκέουσι,VERB,15
64,αὐτίκα,ADV,13
65,ναυτιλίῃσι,NOUN,2
66,μακρῇσι,ADJ,2
67,ἐπιθέσθαι,VERB,2
68,ἀπαγινέοντας,VERB,1
69,φορτία,NOUN,2
70,αἰγύπτιά,ADJ,1
71,ἀσσύρια,ADJ,1
72,τῇ,DET,129
73,ἄλλῃ,ADV,2
74,ἐσαπικνέεσθαι,VERB,1
75,δὴ,ADV,227
76,καὶ,ADV,202
77,ἐς,ADP,413
78,ἄργος,PROPN,5
79,τὸ,DET,356
80,χρόνον,NOUN,33
81,προεῖχε,VERB,1
82,ἅπασι,ADJ,4
83,τῶν,DET,351
84,ἐν,ADP,263
85,ἑλλάδι,PROPN,2
86,καλεομένῃ,VERB,1
87,χωρῇ,NOUN,5
88,τούς,DET,3
89,τοῦτο,DET,17
90,διατίθεσθαι,VERB,1
91,φόρτον,NOUN,2
92,πέμπτῃ,ADJ,1
93,ἢ,CCONJ,26
94,ἕκτῃ,ADJ,1
95,ἡμέρῃ,NOUN,7
96,ἀπ’,ADP,12
97,ἧς,PRON,2
98,ἀπίκοντο,VERB,13
99,ἐξεμπολημένων,VERB,1
100,σφι,PRON,109
101,σχεδόν,ADV,1
102,πάντων,ADJ,10
103,ἐλθεῖν,VERB,3
104,γυναῖκας,NOUN,21
105,ἄλλας,ADJ,5
106,πολλάς,ADJ,2
107,τοῦ,DET,319
108,βασιλέος,NOUN,14
109,θυγατέρα,NOUN,13
110,δέ,ADV,75
111,οἱ,PRON,122
