,word,POS,count
1,մտածում,VERB,7
2,եմ,AUX,168
3,՝,PUNCT,460
4,ադամի,PROPN,1
5,ու,CCONJ,448
6,եվայի,PROPN,1
7,վտարումը,NOUN,1
8,եդեմական,ADJ,1
9,այգուց,NOUN,1
10,(,PUNCT,80
11,դրախտից,NOUN,1
12,),PUNCT,84
13,",",PUNCT,3007
14,նրանց,DET,35
15,տեղափոխումն,NOUN,1
16,այլ,DET,23
17,վայր,NOUN,1
18,ուր,ADV,14
19,շրջակայքն,NOUN,1
20,այլևս,ADV,11
21,բարեկամական,ADJ,1
22,չէր,AUX,45
23,այլ,CCONJ,19
24,խիստ,ADJ,2
25,թշնամական,ADJ,1
26,իրենց,DET,50
27,հացը,NOUN,4
28,պիտի,AUX,21
29,տանջանքով,NOUN,1
30,վաստակեին,VERB,1
31,նույն,DET,16
32,մոլորակի,NOUN,1
33,սահմաններում,NOUN,1
34,որ,SCONJ,314
35,կատարվեց,VERB,3
36,:,PUNCT,708
37,եդեմն,NOUN,1
38,մոլորակ,NOUN,1
39,էր,AUX,393
40,աքսորավայրը,NOUN,1
41,այլ,PRON,1
42,այսինքն,CCONJ,8
43,այս,PRON,7
44,այժմ,ADV,11
45,էլ,ADV,124
46,բնակվում,VERB,1
47,ենք,AUX,56
48,բայց,CCONJ,131
49,միշտ,ADV,24
50,նայում,VERB,22
51,երկինք,NOUN,4
52,բնազդում,NOUN,1
53,դրոշմված,VERB,1
54,հիշողությամբ,NOUN,1
55,եդեմը,NOUN,1
56,որոնելով,VERB,2
57,։,PUNCT,735
58,իսկ,CCONJ,94
59,այն,PRON,44
60,չկա,VERB,25
61,տերը,PROPN,2
62,պայթեցրել,VERB,1
63,է,AUX,874
64,կամ,CCONJ,56
65,գուցե,PART,17
66,ամայացրել,VERB,1
67,բնակության,NOUN,1
68,համար,ADP,109
69,անպիտան,ADJ,3
70,դարձրել,VERB,3
71,էլ,PART,40
72,կա,VERB,24
73,ախտահանվում,VERB,1
74,նոր,ADJ,44
75,բնակիչներ,NOUN,1
76,ընդունելու,VERB,4
77,մի,NUM,40
78,խոսքով,NOUN,9
79,մենք,PRON,56
80,դրա,PRON,16
81,հետ,ADP,90
82,գործ,NOUN,8
83,չունենք,VERB,2
84,մերը,PRON,2
85,չէ,AUX,34
86,սա,PRON,23
87,դժոխքը,NOUN,1
88,որը,PRON,35
89,սակայն,CCONJ,19
90,հասցրել,VERB,5
91,սիրել,VERB,3
92,.,PUNCT,209
93,դեհ,INTJ,2
94,շանը,NOUN,1
95,որտեղ,ADV,20
96,կապես,VERB,1
97,կապվում,VERB,2
98,-,PUNCT,215
99,ընտելանում,VERB,1
100,սիրում,VERB,9
101,իրականում,ADV,6
102,հեչ,ADV,2
103,սիրելու,VERB,1
104,բան,NOUN,37
105,չի,AUX,85
106,հա,INTJ,8
107,էլի,PART,3
108,որ,PART,64
109,կապույտ,ADJ,5
110,ծովեր,NOUN,1
111,անտառներ,NOUN,1
112,դաշտեր,NOUN,2
113,դե,INTJ,14
114,ի,ADP,20
115,սկզբանե,NOUN,2
116,հո,INTJ,4
117,սիրելի,ADJ,1
118,՞,PUNCT,156
119,եղել,VERB,9
120,մեր,DET,122
121,ուշքումիտքն,NOUN,1
122,ինքնապահպանումն,NOUN,1
123,ստամոքսը,NOUN,2
124,լցնելը,VERB,1
125,էդ,PRON,1
126,հետո,ADV,35
127,երբ,ADV,45
128,անտառից,NOUN,2
129,փախանք,VERB,1
130,քաղաքակրթություն,NOUN,1
131,ստեղծեցինք,VERB,1
132,ազատ,ADJ,5
133,համեմատաբար,ADV,1
134,անվտանգ,ADJ,2
135,ժամանակ,NOUN,23
136,ունեցանք,VERB,1
137,ուրիշ,DET,15
138,անտագնապ,ADJ,1
139,աչքով,NOUN,1
140,շուրջը,NOUN,3
141,նայելու,VERB,2
142,սարսափ,NOUN,1
143,էս,DET,18
144,մոլորակը,NOUN,4
145,դժոխքն,NOUN,1
146,էստեղ,ADV,2
147,ապրելու,VERB,4
148,բանաձևը,NOUN,3
149,բոլորի,PRON,7
150,անփոփոխ,ADJ,2
151,միակն,NOUN,1
152,որսալ,VERB,3
153,խժռել,VERB,2
154,ուրիշին,PRON,3
155,արագ,ADV,5
156,քանի,SCONJ,23
157,քեզ,PRON,23
158,չեն,AUX,44
159,...,PUNCT,111
160,հիմա,ADV,46
161,այո,INTJ,6
162,հաջողացրինք,VERB,1
163,փախչել,VERB,3
164,անտառներից,NOUN,1
165,միմյանց,PRON,3
166,խժռելու,VERB,1
167,սարսափը,NOUN,2
168,կարծես,PART,10
169,թե,PART,19
170,թողեցինք,VERB,1
171,էնտեղ,ADV,2
172,մնացածներին,NOUN,1
173,խժռում,VERB,4
174,էնտեղից,PRON,1
175,հետներս,ADP,1
176,բերածներին,NOUN,1
177,աճեցնում,VERB,1
178,բազմացնում,VERB,1
179,բուծում,VERB,2
180,բա,INTJ,6
181,ինչ,PRON,60
182,անենք,VERB,1
183,սոված,ADJ,1
184,չենք,AUX,7
185,մնալու,VERB,3
186,կարգել,VERB,1
187,տերունական,ADJ,1
188,հակառակվելը,VERB,1
189,`,PUNCT,129
190,անկարելի,ADJ,1
191,չէ,INTJ,7
192,էնպես,ADV,3
193,դեպքից,NOUN,1
194,դեպք,NOUN,2
195,որպես,ADP,27
196,շեղում,NOUN,2
197,պաթոլոգիա,NOUN,1
198,որսի,NOUN,1
199,մասին,ADP,69
200,էի,AUX,22
201,ուզում,VERB,44
202,խոսել,VERB,4
203,նրա,DET,60
204,առավել,ADV,4
205,նուրբ,ADJ,1
206,զուտ,ADV,2
207,մարդկային,ADJ,7
208,տեսակի,NOUN,2
209,որին,PRON,6
210,առնչվում,VERB,2
211,ծնված,VERB,2
212,օրից,NOUN,4
213,մարդ,NOUN,18
214,ծնվեց,VERB,3
215,սսս,INTJ,1
216,՜,PUNCT,16
217,լարիր,VERB,1
218,՛,PUNCT,53
219,թակարդներդ,NOUN,1
220,աշխարհ,NOUN,9
221,որսորդներ,NOUN,1
222,պատրաստ,ADJ,6
223,եղեք,VERB,1
224,գալիս,VERB,32
225,պորտը,NOUN,1
226,կտրեցին,VERB,1
227,ախտահարեցին,VERB,1
228,վերջ,INTJ,3
229,արգանդային,ADJ,1
230,անդարդ,ADJ,1
231,կայֆերին,NOUN,1
232,ահա,PART,12
233,առաջին,ADJ,37
234,հոտերը,NOUN,1
235,լույսն,NOUN,1
236,ստվերը,NOUN,1
237,ձայները,NOUN,2
238,ջերմաստիճանների,NOUN,1
239,տարբերությունները,NOUN,1
240,խորդուբորդությունները,NOUN,1
241,դեմքը,NOUN,3
242,խոժոռեց,VERB,1
243,ծիծ,NOUN,1
244,դրին,VERB,1
245,բերանը,NOUN,2
246,լաց,NOUN,3
247,եղավ,VERB,4
248,օրորեցին,VERB,1
249,ձեռքերը,NOUN,3
250,թափ,NOUN,5
251,տվեց,VERB,5
252,կապեցին,VERB,1
253,էլի,ADV,13
254,ծծակ,NOUN,1
255,տվին,VERB,1
256,ուտյուտյու,INTJ,1
257,բալիկ,NOUN,1
258,ջան,ADJ,5
259,պստլիկ,NOUN,1
260,արի,VERB,6
261,մոտս,ADP,1
262,ուտեմ,VERB,2
263,կծեմ,VERB,1
264,թուշդ,NOUN,1
265,ում,PRON,12
266,ես,AUX,50
267,նման,ADJ,13
268,ինձ,PRON,50
269,շատ,ADV,38
270,գայթակղում,VERB,1
271,են,AUX,227
272,սվսվոցով,NOUN,1
273,շվշվոցով,NOUN,1
274,խաղալիքներ,NOUN,1
275,շխշխկացնելով,VERB,1
276,որսն,NOUN,1
277,սկսված,VERB,1
278,քո,DET,17
279,մայրենին,NOUN,1
280,սովորիր,VERB,1
281,հայրենիքն,NOUN,1
282,ապրես,VERB,2
283,սրանք,PRON,1
284,ավանդույթներն,NOUN,1
285,կրկնես,VERB,1
286,գեղեցիկն,NOUN,1
287,տգեղը,NOUN,1
288,բարին,NOUN,2
289,չարը,NOUN,1
290,ճիշտը,NOUN,1
291,սխալը,NOUN,1
292,հանկարծ,ADV,13
293,չշփոթես,VERB,1
294,ես,PRON,94
295,հիսուսն,PROPN,1
296,ունեցածդ,NOUN,1
297,թափի,VERB,1
298,իմ,PRON,6
299,ետևից,ADP,5
300,մուհամեդն,PROPN,1
301,լսի,VERB,3
302,գյավուրների,NOUN,1
303,չունես,VERB,3
304,բուդդան,PROPN,1
305,պայծառատես,ADJ,1
306,դարձնեմ,VERB,1
307,սատանան,NOUN,1
