,word,POS,count
1,gero,ADV,34
2,",",PUNCT,1887
3,lortutako,VERB,4
4,masa,NOUN,3
5,molde,NOUN,1
6,batean,NUM,37
7,jarri,VERB,27
8,.,PUNCT,2452
9,bestalde,CCONJ,19
10,"""",PUNCT,512
11,herri,NOUN,14
12,palestinarrari,ADJ,1
13,laguntza,NOUN,8
14,tekniko,ADJ,2
15,eta,CCONJ,960
16,ekonomikoa,ADJ,1
17,ematen,VERB,24
18,jarraitzeko,VERB,8
19,estatu,NOUN,13
20,baketsu,ADJ,1
21,demokratiko,ADJ,1
22,baten,NUM,25
23,ordezkari,NOUN,4
24,diren,AUX,24
25,erakunde,NOUN,4
26,palestinarrak,ADJ,2
27,indartzeko,VERB,2
28,lanean,NOUN,5
29,konpromisoa,NOUN,1
30,baieztatu,VERB,7
31,zuen,AUX,310
32,ebk,PROPN,1
33,tour,PROPN,2
34,hartan,DET,11
35,bistaratu,VERB,1
36,zitzaizkon,AUX,1
37,lehendabiziko,NUM,3
38,aldiz,NOUN,8
39,mendian,NOUN,2
40,zituen,VERB,8
41,benetako,ADJ,2
42,zailtasunak,NOUN,1
43,nik,PRON,20
44,ere,CCONJ,165
45,ez,PART,451
46,hasten,VERB,8
47,naiz,AUX,24
48,inketatzen,VERB,1
49,zidane,PROPN,2
50,henry,PROPN,1
51,barthez,PROPN,1
52,deschamps,PROPN,4
53,blanc,PROPN,1
54,enparauek,ADJ,2
55,eurokopako,PROPN,2
56,talde,NOUN,32
57,sendoena,ADJ,2
58,osatzen,VERB,4
59,dute,AUX,128
60,aditu,NOUN,1
61,gehienentzat,DET,1
62,napoliko,PROPN,1
63,erregeordea,NOUN,1
64,zen,AUX,244
65,lemosko,PROPN,1
66,kondearen,NOUN,1
67,idazkari,NOUN,3
68,izan,AUX,132
69,bere,DET,73
70,anaia,NOUN,2
71,bartolomek,PROPN,1
72,esaten,VERB,15
73,duenez,AUX,2
74,erre,VERB,2
75,egin,VERB,224
76,zituen,AUX,63
77,poemak,NOUN,1
78,hiri,NOUN,6
79,guk,PRON,12
80,errespetu,NOUN,2
81,handia,ADJ,30
82,diogu,AUX,7
83,alavesi,PROPN,2
84,espero,NOUN,10
85,dugu,VERB,27
86,partidu,NOUN,25
87,ona,ADJ,28
88,egitea,VERB,8
89,hiru,NUM,49
90,puntuak,NOUN,5
91,irabazteko,VERB,12
92,beraz,CCONJ,22
93,elkarri,PRON,4
94,neurria,NOUN,3
95,hartzeko,VERB,6
96,modua,NOUN,3
97,ukanen,VERB,5
98,urrea,NOUN,6
99,kendu,VERB,6
100,zioten,AUX,16
101,jaso,VERB,13
102,zuelako,AUX,5
103,baina,CCONJ,165
104,nor,PRON,2
105,gogoratzen,VERB,4
106,da,AUX,487
107,irabazlearen,NOUN,2
108,izenaz,NOUN,1
109,?,PUNCT,90
110,zer,DET,40
111,txara,PROPN,1
112,1,NUM,5
113,egoitzako,NOUN,1
114,sukalderako,NOUN,1
115,ekipamendua,NOUN,1
116,erostea,VERB,1
117,atzerritarren,ADJ,1
118,sarbidea,NOUN,1
119,eskaera,NOUN,3
120,onartzen,VERB,2
121,zaien,AUX,2
122,baldintzapean,ADV,1
123,gertatzen,VERB,14
124,jokalari,NOUN,35
125,apartak,ADJ,1
126,ditu,VERB,25
127,donostiako,PROPN,4
128,aurrelariak,NOUN,3
129,entrenamendua,NOUN,3
130,normaltasunez,NOUN,2
131,amaitu,VERB,10
132,bazuen,AUX,2
133,etxera,NOUN,6
134,heltzean,VERB,1
135,buruko,NOUN,1
136,mina,NOUN,3
137,zuelako,VERB,2
138,ospitalera,NOUN,2
139,joatea,VERB,3
140,erabaki,VERB,16
141,une,NOUN,9
142,haietan,DET,3
143,hinduan,AUX,1
144,posta,NOUN,1
145,arazoak,NOUN,9
146,kezkatzen,VERB,1
147,gutunean,NOUN,2
148,ageri,ADJ,6
149,zen,VERB,10
150,hitz,NOUN,4
151,guzti,DET,4
152,bakoitzaren,ADJ,3
153,egokitasunak,NOUN,1
154,baizik,CCONJ,5
155,eebbak,PROPN,2
156,zain,ADV,4
157,zeuden,VERB,8
158,steinen,PROPN,1
159,txostenak,NOUN,1
160,bilduko,VERB,5
161,jakiteko,VERB,2
162,aipaturiko,VERB,1
163,entrenamenduan,NOUN,2
164,50,NUM,1
165,zale,ADJ,1
166,bildu,VERB,10
167,aguilerako,PROPN,1
168,harmailetan,NOUN,1
169,hori,DET,82
170,esanguratsua,ADJ,1
171,bi,NUM,100
172,aktoreek,NOUN,2
173,pere,PROPN,1
174,planella,PROPN,1
175,zuzendariaren,NOUN,1
176,lana,NOUN,11
177,azpimarratu,VERB,12
178,zuten,AUX,102
179,esperientzia,NOUN,10
180,handiko,ADJ,9
181,gizona,NOUN,5
182,baita,AUX,11
183,antzerkigintzan,NOUN,1
184,-,PUNCT,132
185,esan,VERB,62
186,joanak,PROPN,1
187,barrez,NOUN,1
188,zati,NOUN,4
189,hauek,DET,27
190,markaturik,VERB,1
191,dauden,AUX,3
192,tokietatik,NOUN,1
193,tolesten,VERB,1
194,dira,AUX,191
195,sarea,NOUN,2
196,eratua,VERB,1
197,arrantzan,NOUN,1
198,frogatu,VERB,4
199,beharra,NOUN,9
200,dago,VERB,43
201,tourrean,NOUN,1
202,egotearen,VERB,1
203,arrazoietako,NOUN,1
204,bat,NUM,167
205,dirua,NOUN,4
206,jackson,PROPN,2
207,richardson,PROPN,2
208,ambros,PROPN,2
209,montenegron,PROPN,1
210,dira,VERB,20
211,frantziarrak,NOUN,1
212,minduta,VERB,1
213,du,AUX,201
214,ezker,ADJ,3
215,belauna,NOUN,1
216,ambrosek,PROPN,1
217,bizkarra,NOUN,1
218,besterik,DET,2
219,dugu,AUX,43
220,1.000,NUM,3
221,lagunek,NOUN,5
222,bera,DET,18
223,dutela,AUX,5
224,urtarrilean,NOUN,1
225,nahasmendu,NOUN,1
226,guztia,DET,15
227,iragan,VERB,6
228,zenean,AUX,6
229,gorantz,ADV,2
230,genuen,AUX,14
231,tolosari,PROPN,1
232,irabazi,VERB,37
233,genion,AUX,1
234,nortasunaren,NOUN,1
235,heriotza,NOUN,6
236,da,VERB,54
237,oso,ADV,76
238,gaztea,ADJ,2
239,euskal,NOUN,34
240,gizartea,NOUN,2
241,ikertzen,VERB,1
242,hasi,VERB,48
243,seietan,NUM,2
244,osoa,ADJ,8
245,geldi,ADV,1
246,zegoen,AUX,8
247,laranjen,NOUN,1
248,garaipena,NOUN,17
249,ikusteko,NOUN,1
250,aurpegi,NOUN,1
251,alaiagoa,ADJ,1
252,zeukan,VERB,8
253,zinema-aretotik,NOUN,1
254,jalgi,VERB,1
255,ostera,ADV,3
256,ibilaldiari,NOUN,1
257,lotu,VERB,2
258,zitzaionean,AUX,1
259,dagoeneko,ADV,7
260,ospakizunak,NOUN,1
261,prestatzen,VERB,4
262,morenoren,PROPN,1
263,kasuan,NOUN,2
264,berriz,CCONJ,22
265,ivan,PROPN,1
266,alonso,PROPN,1
267,uruguaiarrak,ADJ,1
268,hamaikakoan,NOUN,4
269,lekua,NOUN,6
270,hartuko,VERB,14
271,duela,AUX,23
272,dirudi,VERB,8
273,errealista,ADJ,1
274,behar,NOUN,103
275,badakit,VERB,3
276,iazkoa,NOUN,1
277,berdintzea,VERB,1
278,zaila,ADJ,12
279,izango,AUX,52
280,dela,AUX,56
281,azken,NUM,81
282,partiduetan,NOUN,5
283,itxura,NOUN,4
284,eman,VERB,57
285,duten,AUX,19
286,arren,CCONJ,28
287,osasunako,PROPN,4
288,jokalariek,NOUN,8
289,bost,NUM,13
