,word,POS,count
1,в,ADP,580
2,дискусията,NOUN,2
3,",",PUNCT,1762
4,предполагам,VERB,1
5,ще,AUX,219
6,се,PRON,762
7,засегнат,VERB,1
8,важни,ADJ,3
9,въпроси,NOUN,7
10,.,PUNCT,2247
11,дългият,ADJ,1
12,път,NOUN,28
13,изглежда,VERB,16
14,го,PRON,179
15,беше,AUX,97
16,уморил,VERB,1
17,за,ADP,537
18,щастие,NOUN,1
19,той,PRON,212
20,не,PART,380
21,уби,VERB,1
22,никого,PRON,3
23,наистина,ADV,18
24,това,PRON,101
25,прилеп,NOUN,2
26,ние,PRON,50
27,разбира,VERB,14
28,можем,VERB,9
29,да,AUX,851
30,задоволим,VERB,1
31,с,ADP,262
32,очевидно,ADV,7
33,нещастният,ADJ,1
34,създаден,VERB,1
35,шпионин,NOUN,2
36,ротата,NOUN,1
37,им,PRON,52
38,кажи-речи,INTJ,1
39,е,AUX,481
40,цялата,ADJ,10
41,нашенска,ADJ,1
42,тия,DET,11
43,думи,NOUN,7
44,на,ADP,1157
45,стареца,NOUN,2
46,трогнаха,VERB,1
47,павел,PROPN,5
48,впрочем,ADV,3
49,вече,ADV,51
50,нахраних,VERB,1
51,ето,PART,9
52,виж,VERB,3
53,си,AUX,32
54,бил,AUX,7
55,болен,ADJ,2
56,?,PUNCT,303
57,плуваш,VERB,2
58,ли,PART,146
59,можеш,VERB,6
60,си,PRON,227
61,лягам,VERB,3
62,дали,PART,25
63,някой,DET,7
64,от,ADP,364
65,вас,PRON,12
66,играе,VERB,5
67,табла,NOUN,1
68,няма,VERB,52
69,вечеряте,VERB,1
70,седнете,VERB,1
71,ти,PRON,75
72,чул,VERB,3
73,какво,DET,36
74,говори,VERB,10
75,нас,PRON,25
76,из,ADP,13
77,града,NOUN,8
78,трябва,VERB,45
79,му,PRON,175
80,кажа,VERB,11
81,а,CCONJ,67
82,управителя,NOUN,1
83,кис,INTJ,3
84,!,PUNCT,79
85,отче,NOUN,1
86,рекох,VERB,1
87,до,ADP,59
88,дванайсет,NUM,1
89,часа,NOUN,3
90,искам,VERB,17
91,книжата,NOUN,1
92,са,AUX,101
93,готови,ADJ,1
94,-,PUNCT,193
95,хъка-мъка,INTJ,1
96,и,CCONJ,846
97,стана,VERB,14
98,алчен,ADJ,1
99,злато,NOUN,1
100,иван,PROPN,23
101,белин,PROPN,2
102,съмнява,VERB,2
103,откритието,NOUN,1
104,купувам,VERB,1
105,къща,NOUN,4
106,най-често,ADV,4
107,йовка,PROPN,1
108,мислеше,VERB,3
109,стринка,NOUN,1
110,елка,PROPN,1
111,станкиният,ADJ,1
112,баща,NOUN,5
113,подари,VERB,1
114,двете,NUM,11
115,големи,ADJ,8
116,ниви,NOUN,1
117,бръква,VERB,1
118,под,ADP,8
119,възглавницата,NOUN,2
120,ми,PRON,56
121,подава,VERB,1
122,прост,ADJ,3
123,син,ADJ,2
124,плик,NOUN,1
125,пишеше,VERB,1
126,отчаяни,ADJ,1
127,писма,NOUN,2
128,пари,NOUN,16
129,бележника,NOUN,1
130,съм,AUX,31
131,записал,VERB,1
132,следните,ADJ,1
133,редове,NOUN,1
134,минути,NOUN,7
135,анастасия,PROPN,1
136,бягаше,VERB,3
137,по,ADP,175
138,гористия,ADJ,1
139,баир,NOUN,1
140,насреща,ADV,1
141,дърветата,NOUN,1
142,около,ADP,11
143,него,PRON,54
144,шумяха,VERB,1
