,word,POS,count
1,el,DET,1478
2,tribunal,PROPN,2
3,suprem,PROPN,3
4,(,PUNCT,139
5,ts,PROPN,1
6,),PUNCT,139
7,ha,AUX,293
8,confirmat,VERB,5
9,la,DET,1366
10,condemna,NOUN,3
11,a,ADP,1056
12,quatre,NUM,28
13,anys,NOUN,52
14,d',ADP,608
15,inhabilitació,NOUN,3
16,especial,ADJ,7
17,i,CCONJ,850
18,una,DET,233
19,multa,NOUN,8
20,de,ADP,2934
21,"3,6",NUM,1
22,milions,NOUN,40
23,pessetes,NOUN,55
24,per,ADP,499
25,veterinaris,NOUN,1
26,gironins,ADJ,1
27,",",PUNCT,1704
28,haver,AUX,15
29,se,PRON,48
30,beneficiat,VERB,1
31,els,DET,572
32,càrrecs,NOUN,1
33,públics,ADJ,6
34,que,PRON,428
35,desenvolupaven,VERB,1
36,seva,DET,57
37,relació,NOUN,10
38,amb,ADP,253
39,les,DET,412
40,empreses,NOUN,9
41,càrniques,ADJ,2
42,zona,NOUN,21
43,en,ADP,436
44,oferir,VERB,3
45,los,PRON,7
46,serveis,NOUN,15
47,particulars,ADJ,1
48,.,PUNCT,976
49,sentència,NOUN,8
50,qual,PRON,21
51,tingut,VERB,11
52,accés,NOUN,16
53,intra-acn,PROPN,3
54,desestima,VERB,1
55,recursos,NOUN,7
56,interposats,ADJ,1
57,processats,NOUN,2
58,albert,PROPN,3
59,bramón,PROPN,1
60,president,NOUN,18
61,col·legi,PROPN,2
62,veterinaris,PROPN,2
63,girona,PROPN,28
64,moment,NOUN,15
65,fets,NOUN,20
66,josefina,PROPN,1
67,j.,PROPN,1
68,pere,PROPN,11
69,c.,PROPN,1
70,mateu,PROPN,1
71,b.,PROPN,1
72,actuaven,VERB,1
73,com,SCONJ,109
74,inspectors,NOUN,1
75,veterinaris,ADJ,1
76,generalitat,PROPN,51
77,van,AUX,56
78,ser,AUX,42
79,condemnats,VERB,1
80,l',DET,793
81,audiència,PROPN,16
82,un,DET,244
83,delicte,NOUN,14
84,negociacions,NOUN,3
85,prohibides,ADJ,1
86,funcionaris,NOUN,3
87,s',PRON,148
88,encarregaven,VERB,1
89,control,NOUN,5
90,higiene,NOUN,2
91,garrotxa,PROPN,4
92,aquest,DET,108
93,motiu,NOUN,10
94,feien,VERB,2
95,visites,NOUN,4
96,periòdiques,ADJ,1
97,analítiques,NOUN,1
98,aprofitant,VERB,4
99,fet,NOUN,16
100,constituir,VERB,1
101,any,NOUN,73
102,1991,NUM,1
103,una,NUM,48
104,empresa,NOUN,24
105,dedicada,ADJ,1
106,planificació,NOUN,1
107,analítica,NOUN,1
108,matèries,NOUN,1
109,primeres,ADJ,2
110,utilitzar,VERB,3
111,oficials,ADJ,1
112,captar,VERB,2
113,empresaris,NOUN,3
114,inspeccionaven,VERB,1
115,segons,ADP,64
116,',PUNCT,276
117,és,AUX,90
118,clar,ADJ,3
119,que,SCONJ,336
120,acusats,NOUN,3
121,actuar,VERB,1
122,connexió,NOUN,2
123,càrrec,NOUN,8
124,oficial,ADJ,7
125,intentar,VERB,10
126,arribar,VERB,9
127,obtenir,VERB,5
128,avantatge,NOUN,2
129,o,CCONJ,48
130,interès,NOUN,7
131,privat,ADJ,3
132,pel,ADP,19
133,fa,NOUN,16
134,coneixement,NOUN,8
135,il·licitud,NOUN,2
136,acció,NOUN,3
137,alt,ADJ,6
138,tribunal,NOUN,10
139,sosté,VERB,3
140,evident,ADJ,1
141,són,AUX,38
142,universitaris,NOUN,1
143,estàndard,NOUN,1
144,coneixements,NOUN,2
145,acord,NOUN,9
146,especialitat,NOUN,1
147,afegeix,VERB,6
148,des,ADP,43
149,aquesta,DET,79
150,realitat,NOUN,5
151,no,ADV,93
152,acceptable,ADJ,2
153,defensar,VERB,4
154,tenien,VERB,2
155,consciència,NOUN,1
156,ja,ADV,39
157,això,PRON,5
158,forma,VERB,6
159,part,NOUN,31
160,nivell,NOUN,6
161,mitjà,ADJ,1
162,sensibilitats,NOUN,1
163,atribuïdes,ADJ,1
164,generalitat,NOUN,1
165,persones,NOUN,30
166,estan,VERB,2
167,situació,NOUN,15
168,altra,DET,7
169,banda,NOUN,13
170,entén,VERB,2
171,recurrents,NOUN,1
172,desconeguessin,VERB,1
173,normativa,NOUN,2
174,professió,NOUN,2
175,condició,NOUN,3
176,setantena,NOUN,2
177,treballadors,NOUN,8
178,fomento,PROPN,1
179,construcciones,PROPN,2
180,y,CCONJ,4
181,contratas,PROPN,1
182,manresa,PROPN,11
183,gairebé,ADV,5
184,totalitat,NOUN,3
185,plantilla,NOUN,7
186,han,AUX,104
187,manifestat,VERB,6
188,migdia,NOUN,10
189,carrers,NOUN,4
190,ciutat,NOUN,21
191,iniciat,VERB,2
192,matinada,NOUN,7
193,vaga,NOUN,6
194,indefinida,ADJ,1
195,neteja,NOUN,2
196,viària,ADJ,4
197,recollida,NOUN,8
198,escombraries,NOUN,3
199,protesta,NOUN,3
200,reclamen,VERB,1
201,variï,VERB,1
202,actitud,NOUN,3
203,accedeixi,VERB,1
204,negociació,NOUN,1
205,conveni,NOUN,4
206,denuncien,VERB,1
207,prepotent,ADJ,1
208,ajuntament,PROPN,44
209,aturada,NOUN,5
210,convocat,VERB,5
211,caràcter,NOUN,4
212,indefinit,ADJ,1
213,tot,PRON,21
214,ahir,ADV,9
215,hi,PRON,70
216,va,AUX,192
217,haver,VERB,1
218,reunió,NOUN,3
219,darrera,ADJ,2
220,hora,NOUN,13
221,es,PRON,216
222,aconseguir,VERB,19
223,acostar,VERB,1
224,posicions,NOUN,1
225,manera,NOUN,14
226,decidit,VERB,1
227,anar,VERB,5
228,més,ADV,128
229,finalitat,NOUN,4
230,donar,VERB,10
231,conèixer,VERB,15
232,seves,DET,20
233,demandes,NOUN,1
234,conjunt,NOUN,8
235,sortit,VERB,3
236,avui,ADV,29
237,carrer,NOUN,5
238,manifestació,NOUN,5
239,anat,VERB,1
240,bonavista,PROPN,3
241,fins,ADP,33
242,aplegat,VERB,1
243,empleats,NOUN,1
244,total,NOUN,12
245,80,NUM,3
246,mínims,ADJ,2
247,decretat,VERB,1
248,direcció,NOUN,9
249,general,ADJ,14
250,relacions,PROPN,1
251,laborals,PROPN,1
252,departament,NOUN,7
253,treball,PROPN,5
254,estableixen,VERB,1
255,continuarà,VERB,2
256,fent,VERB,3
257,diàriament,ADV,2
258,hospitals,NOUN,2
259,centres,NOUN,9
260,assistencials,ADJ,1
261,mercats,NOUN,2
262,escoles,NOUN,5
263,servei,NOUN,9
264,menjador,NOUN,1
265,també,ADV,95
266,garanteixen,VERB,2
267,primer,ADJ,13
