,word,POS,count
1,看似,AUX,2
2,簡單,ADJ,1
3,，,PUNCT,2248
4,只,ADV,17
5,是,VERB,92
6,二,NUM,20
7,選,VERB,3
8,一,NUM,335
9,做,VERB,15
10,決擇,NOUN,1
11,但,ADV,62
12,其實,ADV,4
13,他們,PRON,24
14,代表,VERB,11
15,的,PART,1585
16,是,AUX,252
17,你,PRON,12
18,周遭,NOUN,1
19,親朋,NOUN,1
20,好友,NOUN,2
21,試,VERB,2
22,著,AUX,35
23,給,VERB,11
24,不同,ADJ,34
25,意見,NOUN,6
26,追根究底,VERB,1
27,最後,NOUN,20
28,決定,VERB,12
29,還是,AUX,2
30,自己,PRON,31
31,。,PUNCT,1438
32,其,PRON,60
33,便當,NOUN,1
34,都是,VERB,3
35,買來,VERB,1
36,就算,ADP,3
37,加熱,VERB,2
38,也是,ADV,2
39,由,VERB,71
40,媽媽,NOUN,2
41,負責,VERB,18
42,（,PUNCT,167
43,後來,NOUN,16
44,揭曉,VERB,1
45,避免,VERB,5
46,帶來,VERB,5
47,厄運,NOUN,1
48,）,PUNCT,167
49,父親,NOUN,20
50,則,ADV,27
51,在,VERB,169
52,電視,NOUN,19
53,台,PART,17
54,上班,VERB,1
55,這,DET,94
56,次,NOUN,41
57,遊行,NOUN,1
58,最大,ADJ,8
59,特色,NOUN,5
60,於,VERB,142
61,越來越,ADV,2
62,多,ADJ,3
63,年輕,ADJ,2
64,人,PART,70
65,上街,VERB,1
66,遊行,VERB,3
67,而且,ADV,9
68,當中,NOUN,4
69,不乏,VERB,1
70,行動,NOUN,7
71,激烈,ADJ,5
72,躁,PART,1
73,少年,NOUN,1
74,懷孕,VERB,1
75,期,PART,2
76,為,AUX,147
77,421,NUM,1
78,至,CCONJ,16
79,457,NUM,1
80,日,NOUN,123
81,婷婷,PROPN,1
82,向,ADP,33
83,昏迷,VERB,2
84,中,ADP,113
85,婆婆,NOUN,2
86,訴說,VERB,2
87,為,ADP,36
88,什麼,PRON,5
89,生活,NOUN,9
90,會,AUX,57
91,與,ADP,69
92,她,PRON,36
93,想像,VERB,1
94,不,ADV,47
95,一樣,ADJ,8
96,數論,NOUN,1
97,應用,NOUN,4
98,被,VERB,93
99,找到,VERB,4
100,了,PART,19
101,也,ADV,84
102,不會,AUX,6
103,有,VERB,173
104,人,NOUN,120
105,因,ADP,42
106,此,PRON,42
107,罷黜,VERB,1
108,數學,NOUN,9
109,皇后,NOUN,2
110,一中,PROPN,1
111,商圈,NOUN,1
112,另,DET,16
113,為,VERB,125
114,同,DET,6
115,類型,NOUN,6
116,商店,NOUN,4
117,聚集,VERB,5
118,短短,ADJ,1
119,育才,PROPN,1
120,街,PART,15
121,了,AUX,219
122,十數,NUM,1
123,家,NOUN,21
124,知名,ADJ,3
125,眼鏡,NOUN,1
126,連鎖,NOUN,1
127,店,PART,5
128,而,ADV,77
129,體育,NOUN,5
130,用品,NOUN,1
131,沿著,ADP,1
132,太平,PROPN,6
133,路,PART,12
134,連成,VERB,1
135,線,NOUN,5
136,在,ADP,301
137,競爭,NOUN,3
138,下,ADP,18
139,價格,NOUN,4
140,比,ADP,11
141,外地,NOUN,1
142,便宜,ADJ,1
143,不少,ADJ,5
144,貨,NOUN,1
145,比,VERB,2
146,三,NUM,63
147,更,ADV,16
148,增加,VERB,11
149,購物,NOUN,2
150,樂趣,NOUN,1
151,《,PUNCT,103
152,代,NOUN,7
153,女皇,NOUN,1
154,》,PUNCT,103
155,開錄,VERB,1
156,當日,NOUN,2
157,掌鏡,VERB,1
158,者,PART,47
159,導播,NOUN,1
160,出身,VERB,5
161,當時,NOUN,32
162,中視,PROPN,2
163,節目,NOUN,17
164,部,PART,27
165,經理,NOUN,5
166,王,PROPN,11
167,世綱,PROPN,1
168,我們,PRON,13
169,希望,VERB,7
170,藉著,ADP,1
171,個,NOUN,187
172,歷史,NOUN,18
173,上,ADP,49
174,真實,ADJ,4
175,人物,NOUN,18
176,生,NOUN,2
177,利用,VERB,4
178,一些,ADJ,22
179,稗官野史,NOUN,1
180,片段,NOUN,2
181,資料,NOUN,11
182,再,ADV,13
183,加上,VERB,5
184,善意,NOUN,2
185,改編,VERB,3
186,部分,NOUN,24
187,情節,NOUN,3
188,能,AUX,21
189,帶給,VERB,2
190,觀眾,NOUN,7
191,啟示,NOUN,1
192,」,PUNCT,127
193,外界,NOUN,1
194,傳聞,VERB,1
195,樊,PROPN,3
196,日行,PROPN,2
197,主管,NOUN,1
198,授意,NOUN,1
199,裝病,VERB,2
200,否認,VERB,2
201,：,PUNCT,32
202,「,PUNCT,128
203,吃,VERB,3
204,五,NUM,21
205,穀,NOUN,1
206,雜糧,NOUN,1
207,長大,VERB,2
208,本來,ADV,1
209,就,ADV,32
210,生病,VERB,1
211,；,PUNCT,30
212,萬一,ADV,1
213,拆穿,VERB,2
214,豈,ADV,1
215,不是,VERB,4
216,無法,VERB,7
217,對,ADP,53
218,廣大,ADJ,1
219,交代,VERB,1
220,？,PUNCT,7
221,該劇,NOUN,1
222,兩,NUM,79
223,位,NOUN,16
224,編劇,NOUN,3
225,獨孤,PROPN,1
226,紅,PROPN,1
227,、,PUNCT,336
228,羅,PROPN,2
229,文忠,PROPN,4
230,寫,VERB,5
231,劇本,NOUN,3
232,時,ADP,69
233,幾乎,ADV,5
234,參考,VERB,1
235,所有,DET,16
236,有關,ADP,4
237,武,PROPN,5
238,則天,PROPN,4
239,如,VERB,16
240,林,PROPN,19
241,語堂,PROPN,2
242,傳,PART,4
243,陳,PROPN,6
244,虹,PROPN,1
245,與,CCONJ,61
246,狄,PROPN,1
247,仁傑,PROPN,1
248,歷代,NOUN,1
249,通俗,ADJ,1
250,演義,NOUN,1
251,童,PROPN,1
252,煦,PROPN,1
253,中國,PROPN,76
254,后妃,NOUN,1
