,word,POS,count
1,里,VERB,3
2,仁,NOUN,78
3,篇,NOUN,14
4,第,NOUN,14
5,四,NUM,27
6,子,NOUN,372
7,曰,VERB,828
8,為,AUX,83
9,美,NOUN,9
10,擇,VERB,7
11,不,ADV,857
12,處,VERB,11
13,焉,ADV,28
14,得,AUX,34
15,知,VERB,102
16,仁,VERB,72
17,者,PART,391
18,可,AUX,192
19,以,VERB,244
20,久,VERB,16
21,約,NOUN,4
22,長,VERB,22
23,樂,NOUN,25
24,安,VERB,22
25,利,VERB,7
26,唯,ADV,15
27,能,AUX,98
28,好,VERB,50
29,人,NOUN,391
30,惡,VERB,40
31,苟,ADV,11
32,志,VERB,4
33,於,ADP,300
34,矣,PART,238
35,無,ADV,55
36,也,PART,842
37,富,VERB,11
38,與,ADP,81
39,貴,VERB,10
40,是,PRON,142
41,之,SCONJ,544
42,所,PART,104
43,欲,VERB,21
44,其,PRON,366
45,道,NOUN,133
46,得,VERB,82
47,之,PRON,579
48,貧,VERB,7
49,賤,VERB,10
50,去,VERB,33
51,君子,NOUN,113
52,惡,ADV,13
53,乎,PART,150
54,成,VERB,17
55,名,NOUN,4
56,無,VERB,135
57,終,VERB,15
58,食,NOUN,30
59,間,NOUN,9
60,違,VERB,11
61,造,VERB,6
62,次,NOUN,3
63,必,ADV,109
64,於,VERB,25
65,顛,ADV,1
66,沛,VERB,2
67,我,PRON,108
68,未,ADV,95
69,見,VERB,95
70,以,ADV,134
71,尚,VERB,4
72,為,VERB,191
73,使,VERB,74
74,加,VERB,7
75,乎,ADP,32
76,身,NOUN,30
77,有,VERB,319
78,一,NUM,65
79,日,NOUN,59
80,用,VERB,26
81,力,NOUN,15
82,足,VERB,8
83,蓋,PART,5
84,過,VERB,33
85,各,ADV,6
86,黨,NOUN,8
87,觀,VERB,14
88,過,NOUN,10
89,斯,ADV,28
90,朝,NOUN,29
91,聞,VERB,74
92,夕,NOUN,1
93,死,VERB,38
94,可,VERB,27
95,士,NOUN,35
96,而,CCONJ,522
97,恥,VERB,16
98,惡,NOUN,18
99,衣,NOUN,16
100,足,AUX,20
101,與,ADV,24
102,議,VERB,3
103,天,NOUN,145
104,下,NOUN,128
105,適,VERB,10
106,莫,ADV,38
107,義,NOUN,43
108,比,VERB,8
109,懷,VERB,8
110,德,NOUN,38
111,小,VERB,51
112,土,NOUN,8
113,刑,NOUN,4
114,惠,NOUN,3
115,放,VERB,8
116,利,NOUN,13
117,行,VERB,104
118,多,VERB,17
119,怨,NOUN,3
120,禮,VERB,6
121,讓,VERB,7
122,國,NOUN,59
123,從,VERB,47
124,政,NOUN,51
125,何,PRON,89
126,如,VERB,116
127,禮,NOUN,63
128,患,VERB,13
129,位,NOUN,17
130,立,VERB,30
131,己,PRON,30
132,求,VERB,40
133,參,PROPN,2
134,吾,PRON,135
135,貫,VERB,4
136,曾子,PROPN,27
137,出,VERB,43
138,門,NOUN,25
139,問,ADV,16
140,謂,VERB,94
141,夫子,NOUN,51
142,忠,VERB,8
143,恕,VERB,2
144,而,PART,21
145,已,PART,37
146,喻,VERB,2
147,賢,NOUN,7
148,思,VERB,29
149,齊,VERB,8
150,焉,PART,79
151,賢,VERB,32
152,內,NOUN,10
153,自,PRON,42
154,省,VERB,1
155,事,VERB,44
156,父,NOUN,44
157,母,NOUN,22
158,幾,ADV,6
159,諫,VERB,8
160,志,NOUN,35
161,又,ADV,29
162,敬,VERB,22
163,勞,VERB,13
164,怨,VERB,14
165,在,VERB,59
166,遠,ADV,3
167,遊,VERB,4
168,方,NOUN,14
169,三,NUM,80
170,年,NOUN,34
171,改,VERB,20
172,孝,NOUN,5
173,則,ADV,259
174,喜,VERB,7
175,懼,VERB,8
176,古,NOUN,25
177,言,VERB,77
178,躬,NOUN,9
179,逮,VERB,2
180,約,VERB,4
181,失,VERB,32
182,鮮,VERB,4
183,欲,AUX,37
184,訥,VERB,1
185,言,NOUN,68
186,敏,VERB,4
187,行,NOUN,12
188,孤,VERB,1
189,鄰,NOUN,7
190,子游,PROPN,9
191,君,NOUN,95
192,數,VERB,2
193,辱,VERB,6
194,朋,NOUN,7
195,友,NOUN,15
196,疏,VERB,4
197,公冶,PROPN,2
198,長,PROPN,2
199,五,NUM,25
200,妻,VERB,4
201,雖,ADV,44
202,縲,NOUN,1
203,絏,NOUN,1
204,中,NOUN,37
205,非,ADV,68
206,罪,NOUN,18
207,南容,PROPN,2
208,邦,NOUN,33
209,廢,VERB,9
210,免,VERB,6
211,刑,ADV,1
212,戮,VERB,3
213,兄,NOUN,19
214,子賤,PROPN,1
215,哉,PART,77
216,若,VERB,43
217,魯,PROPN,12
218,取,VERB,31
219,斯,PRON,38
220,子貢,PROPN,34
221,賜,PROPN,9
222,女,PRON,16
223,器,NOUN,6
224,瑚,NOUN,1
225,璉,NOUN,1
226,或,PRON,14
227,雍,PROPN,4
228,佞,VERB,3
229,禦,VERB,3
230,口,NOUN,3
231,給,VERB,1
232,屢,ADV,3
233,憎,VERB,1
234,漆彫,PROPN,1
235,開,PROPN,1
236,仕,VERB,19
237,對,ADV,22
238,信,VERB,21
239,說,VERB,17
240,乘,VERB,10
241,桴,NOUN,1
242,浮,VERB,2
243,于,ADP,17
244,海,NOUN,15
245,其,PART,36
246,由,PROPN,24
247,與,PART,56
248,子路,PROPN,38
249,勇,NOUN,16
250,材,NOUN,1
251,孟,PROPN,11
252,武,PROPN,11
253,伯,NOUN,5
254,問,VERB,77
255,千,NUM,11
256,乘,NOUN,10
257,治,VERB,30
258,賦,NOUN,1
259,求,PROPN,19
260,室,NOUN,20
261,邑,NOUN,3
262,百,NUM,28
263,家,NOUN,20
264,宰,NOUN,9
265,赤,PROPN,7
266,束,VERB,2
267,帶,NOUN,1
268,賓,NOUN,3
269,客,NOUN,3
270,回,PROPN,15
271,孰,PRON,21
272,愈,VERB,6
273,何,ADV,46
274,敢,AUX,34
275,望,VERB,11
276,十,NUM,11
277,賜,VERB,5
278,二,NUM,19
279,弗,ADV,12
280,宰,PROPN,8
281,予,PROPN,1
282,晝,NOUN,4
283,寢,VERB,5
284,朽,VERB,1
285,木,NOUN,7
286,雕,VERB,1
287,糞,VERB,2
288,牆,NOUN,7
289,杇,VERB,1
290,予,PRON,54
291,誅,VERB,3
292,始,ADV,5
293,聽,VERB,11
294,今,NOUN,68
295,剛,VERB,5
296,申,PROPN,2
297,棖,PROPN,2
298,慾,VERB,1
299,諸,PRON,33
300,亦,ADV,73
301,爾,PRON,24
302,及,VERB,34
303,文,VERB,6
304,章,NOUN,4
305,性,NOUN,4
306,恐,VERB,8
307,孔,PROPN,5
308,文子,PROPN,3
309,文,PROPN,27
310,學,NOUN,18
311,子產,PROPN,2
312,恭,VERB,15
313,上,NOUN,33
314,養,VERB,23
315,民,NOUN,97
316,惠,VERB,6
317,義,VERB,11
318,晏,PROPN,1
319,平仲,PROPN,1
320,善,ADV,12
321,交,VERB,4
322,臧,PROPN,2
323,文仲,PROPN,2
324,居,VERB,47
325,蔡,NOUN,1
326,山,NOUN,7
327,節,NOUN,3
328,藻,VERB,1
329,梲,NOUN,1
330,子張,PROPN,18
331,令,NOUN,5
332,尹,NOUN,4
333,子文,PROPN,1
334,色,NOUN,24
335,已,VERB,19
336,慍,VERB,1
337,舊,VERB,6
338,告,VERB,24
339,新,VERB,4
340,崔子,PROPN,3
341,弒,VERB,5
342,齊,PROPN,49
343,陳,PROPN,17
344,馬,NOUN,12
345,棄,VERB,11
346,至,VERB,32
347,他,PRON,16
348,猶,ADV,23
349,大,VERB,78
350,夫,NOUN,44
351,之,VERB,14
352,清,VERB,3
353,季,PROPN,16
354,後,NOUN,70
355,再,ADV,2
356,甯,PROPN,1
357,武子,PROPN,1
358,愚,VERB,7
359,知,NOUN,6
360,歸,VERB,30
361,狂,VERB,6
362,簡,VERB,9
363,斐,ADV,1
364,然,PART,27
365,裁,VERB,1
366,伯夷,PROPN,13
367,叔齊,PROPN,5
368,念,VERB,1
369,希,VERB,6
370,微生,PROPN,1
371,高,PROPN,1
372,直,VERB,20
373,乞,VERB,2
374,醯,NOUN,1
375,與,VERB,33
376,巧,VERB,4
377,令,VERB,3
378,左,PROPN,2
379,丘明,PROPN,2
380,丘,PROPN,15
381,匿,VERB,2
382,友,VERB,13
383,顏,PROPN,19
384,淵,PROPN,15
385,路,PROPN,4
