,word,POS,count
1,ⲉⲣϣⲁⲛ,AUX,18
2,ⲧ,DET,339
3,ⲃⲁϣⲟⲣ,NOUN,1
4,ⲁϣϣⲕⲁⲕ,VERB,1
5,ⲉⲃⲟⲗ,ADV,292
6,ⲁⲛ,ADV,128
7,ⲉⲧⲉ,SCONJ,72
8,ⲛⲧⲟⲕ,PRON,24
9,ⲡⲉ,PRON,146
10,ⲡ,DET,1073
11,ϩⲙϩⲁⲗ,NOUN,19
12,ⲙ,ADP,494
13,ⲙⲁⲙⲙⲱⲛⲁⲥ,PROPN,1
14,ϩⲛ,ADP,265
15,ϩⲉⲛ,DET,84
16,ϩⲣⲟⲟⲩ,NOUN,2
17,ⲉ,SCONJ,398
18,ⲩ,PRON,361
19,ⲟϣ,VERB,5
20,",",PUNCT,89
21,ⲉⲣⲉ,PART,22
22,ⲙⲟⲩⲓ,NOUN,1
23,ⲧⲣⲣⲉ,VERB,1
24,ⲁⲛⲟⲕ,PRON,37
25,ⲡⲉ,DET,153
26,ⲭⲣⲓⲥⲧⲟⲥ,NOUN,35
27,ϯ,PRON,63
28,ⲥⲟⲟⲩⲛ,VERB,37
29,ϫⲉ,SCONJ,461
30,ⲉ,PART,324
31,ⲕ,PRON,396
32,ϯ,VERB,52
33,ⲟⲩⲃⲏ,ADP,3
34,ⲓ,PRON,370
35,ⲁⲗⲗⲁ,CCONJ,48
36,ⲟⲩⲃⲉ,ADP,2
37,ⲓⲏⲥⲟⲩⲥ,PROPN,37
38,ⲉⲧ,SCONJ,362
39,ⲟⲩⲏϩ,VERB,7
40,ⲛⲉ,DET,71
41,ⲭⲣⲉⲓⲥⲧⲓⲁⲛⲟⲥ,NOUN,1
42,.,PUNCT,314
43,ⲟⲛ,ADV,71
44,ⲣⲱϣⲉ,VERB,4
45,ⲉⲣⲟ,ADP,195
46,ⲙⲛ,ADP,198
47,ⲡⲉⲕ,DET,59
48,ⲉⲓⲱⲧ,NOUN,30
49,ⲇⲓⲁⲃⲟⲗⲟⲥ,NOUN,2
50,ⲛϩⲏⲧ,ADP,77
51,ϩⲉⲗⲡⲓⲍⲉ,VERB,3
52,ϥ,PRON,1336
53,·,PUNCT,1397
54,ⲛⲧⲟⲟⲩ,PRON,11
55,ϩⲱ,ADV,5
56,ⲟⲩ,PRON,335
57,ⲡⲉⲩ,DET,11
58,ⲕⲱ,VERB,16
59,ⲛ,ADP,1018
60,ϩⲧⲏ,NOUN,10
61,ⲙⲙⲛⲧⲉ,VERB,1
62,ⲣⲱⲙⲉ,NOUN,94
63,ⲟⲩⲛⲧ,VERB,4
64,ⲙⲙⲁⲩ,ADV,51
65,ϣⲓⲡⲉ,NOUN,5
66,ⲉⲛⲉϩ,ADV,17
67,ϩⲉ,NOUN,98
68,ⲛⲧ,SCONJ,42
69,ⲁ,AUX,829
70,ϫⲟⲟ,VERB,72
71,ⲥ,PRON,436
