,word,POS,count
1,třikrát,ADV,4
2,rychlejší,ADJ,3
3,než,SCONJ,53
4,slovo,NOUN,3
5,faxu,NOUN,9
6,škodí,VERB,1
7,především,ADV,34
8,přetížené,ADJ,1
9,telefonní,ADJ,12
10,linky,NOUN,5
11,*,PUNCT,146
12,pomocí,NOUN,4
13,může,VERB,51
14,být,AUX,56
15,systém,NOUN,7
16,ecm,NOUN,10
17,šetřete,VERB,1
18,peníze,NOUN,17
19,",",PUNCT,2425
20,netelefonujte,VERB,1
21,faxujte,VERB,1
22,!,PUNCT,3
23,je,AUX,315
24,tento,DET,19
25,reklamní,ADJ,2
26,slogan,NOUN,2
27,pravdivý,ADJ,1
28,?,PUNCT,84
29,hlasité,ADJ,1
30,přečtení,NOUN,1
31,dobře,ADV,10
32,čitelného,ADJ,1
33,textu,NOUN,2
34,na,ADP,571
35,stránce,NOUN,5
36,a,PROPN,19
37,4,NUM,36
38,při,ADP,95
39,řádkování,NOUN,1
40,1.5,NUM,6
41,trvá,VERB,6
42,zhruba,ADV,20
43,3,NUM,53
44,minuty,NOUN,1
45,.,PUNCT,2490
46,podle,ADP,56
47,prospektů,NOUN,1
48,se,PRON,506
49,faxem,NOUN,4
50,přenese,VERB,1
51,normalizovaný,ADJ,2
52,obsah,NOUN,2
53,jedné,NUM,8
54,stránky,NOUN,4
55,za,ADP,165
56,10,NUM,31
57,až,CCONJ,21
58,30,NUM,23
59,sekund,NOUN,1
60,ve,ADP,106
61,skutečnosti,NOUN,4
62,to,DET,183
63,sice,ADV,10
64,minutu,NOUN,1
65,protože,SCONJ,31
66,doba,NOUN,9
67,přenosu,NOUN,10
68,více,ADV,42
69,závisí,VERB,1
70,stavu,NOUN,5
71,rychlosti,NOUN,3
72,přístroje,NOUN,20
73,ale,CCONJ,120
74,i,CCONJ,241
75,tak,ADV,70
76,přenos,NOUN,5
77,informace,NOUN,13
78,řeč,NOUN,2
79,navíc,ADV,18
80,současně,ADV,7
81,vznikne,VERB,1
82,písemný,ADJ,1
83,doklad,NOUN,2
84,lze,VERB,23
85,přenášet,VERB,1
86,obrázky,NOUN,1
87,grafy,NOUN,1
88,fotografie,NOUN,1
89,rukou,NOUN,3
90,psané,ADJ,1
91,texty,NOUN,1
92,apod,ADV,6
93,přenosová,ADJ,9
94,rychlost,NOUN,13
95,pro,ADP,200
96,faksimile,NOUN,3
97,správně,ADV,6
98,nazývá,VERB,2
99,zařízení,NOUN,22
100,o,ADP,243
101,kterém,DET,4
102,dnes,ADV,12
103,píšeme,VERB,1
104,zajímavý,ADJ,1
105,parametr,NOUN,4
106,posouzení,NOUN,3
107,jeho,DET,40
108,vlastností,NOUN,3
109,má,VERB,59
110,z,ADP,228
111,uživatelského,ADJ,1
112,hlediska,NOUN,6
113,omezený,ADJ,1
114,význam,NOUN,6
115,smyslem,NOUN,1
116,článku,NOUN,5
117,napomoci,VERB,1
118,orientovat,VERB,1
119,vám,PRON,14
120,výběru,NOUN,4
121,vaši,DET,2
122,potřebu,NOUN,3
123,nutné,ADJ,12
124,poněkud,ADV,3
125,obšírněji,ADV,1
126,vysvětlit,VERB,1
127,proč,ADV,4
128,uváděný,ADJ,1
129,v,ADP,620
130,prospektech,NOUN,2
131,brát,VERB,2
132,jen,PART,65
133,jako,SCONJ,69
134,orientační,ADJ,1
135,údaj,NOUN,3
136,aby,SCONJ,67
137,by,AUX,149
138,byly,AUX,20
139,údaje,NOUN,8
140,přenosové,ADJ,2
141,objektivně,ADV,1
142,srovnatelné,ADJ,1
143,vydala,VERB,1
144,mezinárodní,ADJ,20
145,normalizační,ADJ,1
146,organizace,NOUN,7
147,ccitt,PROPN,3
148,dopis,NOUN,3
149,formátu,NOUN,1
150,který,DET,54
151,přenáší,VERB,2
152,laboratorních,ADJ,1
153,zkouškách,NOUN,1
154,nejvyšší,ADJ,4
155,rychlostí,NOUN,1
156,jaké,DET,13
157,přístroj,NOUN,13
158,schopen,ADJ,2
159,výsledek,NOUN,2
160,normalizované,ADJ,2
161,ideálních,ADJ,1
162,podmínkách,NOUN,4
163,pak,ADV,35
164,uváděn,ADJ,1
165,běžném,ADJ,1
166,provozu,NOUN,12
167,však,CCONJ,76
168,nemají,VERB,5
169,takovou,DET,4
170,kvalitu,NOUN,15
171,laboratoři,NOUN,1
172,s,ADP,249
173,tím,DET,35
174,konstruktéři,NOUN,1
175,počítali,VERB,1
176,a,CCONJ,770
177,všechny,DET,19
178,po,ADP,82
179,navázání,NOUN,1
180,spojení,NOUN,10
181,testují,VERB,1
182,pokud,SCONJ,38
183,test,NOUN,2
184,neproběhne,VERB,1
185,bezchybně,ADV,1
186,snižují,VERB,2
187,dlouho,ADV,8
188,až,SCONJ,5
189,proběhne,VERB,2
190,přesto,ADV,13
191,potom,ADV,12
192,stát,VERB,6
193,že,SCONJ,244
194,náhodné,ADJ,1
195,chvilkové,ADJ,1
196,rušení,NOUN,2
197,lince,NOUN,3
198,poruší,VERB,1
199,předávanou,ADJ,2
200,zprávu,NOUN,4
201,až,PART,41
202,k,ADP,164
203,nečitelnosti,NOUN,1
204,proto,CCONJ,34
205,vyplatí,VERB,7
206,dát,VERB,5
207,něco,PRON,11
208,víc,ADV,13
209,peněz,NOUN,5
210,pracuje,VERB,6
211,samoopravném,ADJ,1
212,režimu,NOUN,5
213,-,PUNCT,368
214,error,ADJ,2
215,correction,ADJ,2
216,mode,NOUN,2
217,vybavené,ADJ,2
218,touto,DET,4
219,funkcí,NOUN,4
220,člení,VERB,1
221,bloky,NOUN,1
222,obvykle,ADV,3
223,jednotlivé,ADJ,9
224,řádky,NOUN,1
225,případě,NOUN,27
226,opakují,VERB,1
227,porušených,ADJ,1
228,bloků,NOUN,2
229,jsou,AUX,81
230,všechna,DET,2
231,data,NOUN,1
232,předána,ADJ,1
233,vynaložené,ADJ,1
234,brzo,ADV,1
235,vrátí,VERB,2
236,úspoře,NOUN,1
237,poplatků,NOUN,4
238,telefonáty,NOUN,1
239,kterými,DET,2
240,žádáte,VERB,1
241,odesílatele,NOUN,2
242,opakované,ADJ,1
243,zaslání,NOUN,1
244,ten,DET,14
245,jste,AUX,24
246,právě,ADV,7
247,dostali,VERB,1
248,nečitelný,ADJ,1
249,uvedené,ADJ,2
250,činnosti,NOUN,7
251,faxovacích,ADJ,1
252,přístrojů,NOUN,9
253,výslednou,ADJ,1
254,samozřejmě,ADV,13
255,zůstává,VERB,2
256,fax,NOUN,77
257,velmi,ADV,22
258,rychlým,ADJ,1
259,pojítkem,NOUN,1
260,stalo,VERB,3
261,mi,PRON,13
262,jednání,NOUN,14
263,potřeboval,VERB,1
264,můj,DET,3
265,partner,NOUN,5
266,nahlédnout,VERB,2
267,do,ADP,149
268,dokumentu,NOUN,3
269,měl,VERB,17
270,u,ADP,92
271,sebe,PRON,6
272,kolega,NOUN,2
273,sedící,ADJ,1
274,stejné,ADJ,3
275,budově,NOUN,2
276,jenže,CCONJ,4
277,dvě,NUM,10
278,patra,NOUN,1
279,níže,ADV,1
280,telefonicky,ADV,4
281,jej,PRON,1
282,požádal,VERB,1
283,mu,PRON,13
284,dokument,NOUN,2
285,poslal,VERB,1
286,očekával,VERB,2
287,jsem,AUX,60
288,přiběhne,VERB,1
289,dívenka,NOUN,1
290,papírem,NOUN,1
291,považoval,VERB,3
292,zcela,ADV,7
293,přirozené,ADJ,1
294,začal,VERB,4
295,vystupovat,VERB,1
296,stole,NOUN,1
297,zřejmě,ADV,14
298,si,PRON,113
299,té,DET,4
300,organizaci,NOUN,3
301,cenili,VERB,1
302,času,NOUN,9
303,pracovníků,NOUN,13
304,nás,PRON,31
305,zatím,ADV,17
306,zvykem,NOUN,1
307,druhé,ADJ,9
308,straně,NOUN,12
309,vybírání,NOUN,1
310,uvažovat,VERB,2
311,nejen,PART,10
312,telefonních,ADJ,2
313,poplatcích,NOUN,1
314,časové,ADJ,3
315,impulsy,NOUN,1
316,nákladech,NOUN,5
317,provozní,ADJ,6
318,materiál,NOUN,9
319,podstatná,ADJ,2
320,část,NOUN,16
321,tiskne,VERB,2
322,metodou,NOUN,2
323,termozáznamu,NOUN,1
324,teplocitlivý,ADJ,1
325,papír,NOUN,12
326,jeden,NUM,19
327,formát,NOUN,1
328,teplocitlivého,ADJ,1
329,papíru,NOUN,13
330,stojí,VERB,13
331,asi,PART,45
332,95,NUM,2
333,haléřů,NOUN,4
