,word,POS,count
1,al,PROPN,109
2,-,PUNCT,273
3,zaman,PROPN,3
4,:,PUNCT,80
5,american,ADJ,16
6,forces,NOUN,18
7,killed,VERB,10
8,shaikh,PROPN,4
9,abdullah,PROPN,1
10,ani,PROPN,1
11,",",PUNCT,1467
12,the,DET,1965
13,preacher,NOUN,2
14,at,ADP,104
15,mosque,NOUN,2
16,in,ADP,741
17,town,NOUN,5
18,of,ADP,837
19,qaim,PROPN,2
20,near,ADP,6
21,syrian,ADJ,4
22,border,NOUN,10
23,.,PUNCT,1340
24,[,PUNCT,6
25,this,DET,83
26,killing,NOUN,2
27,a,DET,617
28,respected,ADJ,1
29,cleric,NOUN,1
30,will,AUX,60
31,be,AUX,133
32,causing,VERB,1
33,us,PRON,14
34,trouble,NOUN,4
35,for,ADP,196
36,years,NOUN,32
37,to,PART,464
38,come,VERB,17
39,],PUNCT,6
40,dpa,PROPN,1
41,iraqi,ADJ,31
42,authorities,NOUN,10
43,announced,VERB,4
44,that,SCONJ,282
45,they,PRON,153
46,had,AUX,58
47,busted,VERB,1
48,up,ADP,39
49,3,NUM,7
50,terrorist,ADJ,11
51,cells,NOUN,5
52,operating,VERB,4
53,baghdad,PROPN,11
54,two,NUM,34
55,them,PRON,51
56,were,AUX,78
57,being,AUX,34
58,run,VERB,6
59,by,ADP,168
60,2,NUM,7
61,officials,NOUN,19
62,ministry,PROPN,3
63,interior,PROPN,1
64,!,PUNCT,12
65,moi,PROPN,1
66,iraq,PROPN,66
67,is,AUX,331
68,equivalent,ADJ,1
69,to,ADP,340
70,us,PROPN,81
71,fbi,PROPN,17
72,so,ADV,35
73,this,PRON,50
74,would,AUX,76
75,be,VERB,9
76,like,SCONJ,6
77,having,VERB,6
78,j.,PROPN,1
79,edgar,PROPN,1
80,hoover,PROPN,1
81,unwittingly,ADV,1
82,employ,VERB,1
83,high,ADJ,11
84,level,NOUN,6
85,members,NOUN,11
86,weathermen,PROPN,1
87,bombers,NOUN,2
88,back,ADV,16
89,1960s,NOUN,1
90,third,ADJ,6
91,was,AUX,211
92,head,NOUN,15
93,an,DET,119
94,investment,NOUN,4
95,firm,NOUN,2
96,you,PRON,101
97,wonder,VERB,4
98,if,SCONJ,53
99,he,PRON,163
100,manipulating,VERB,1
101,market,NOUN,3
102,with,ADP,175
103,his,PRON,120
104,bombing,NOUN,5
105,targets,NOUN,9
106,ghazaliyah,PROPN,1
107,and,CCONJ,863
108,jihad,PROPN,15
109,districts,NOUN,1
110,capital,NOUN,5
111,although,SCONJ,11
112,announcement,NOUN,2
113,probably,ADV,9
114,made,VERB,25
115,show,VERB,6
116,progress,NOUN,5
117,in,SCONJ,28
118,identifying,VERB,1
119,breaking,VERB,1
120,terror,NOUN,19
121,i,PRON,135
122,do,AUX,51
123,n't,PART,58
124,find,VERB,10
125,news,NOUN,13
126,baathists,PROPN,2
127,continue,VERB,3
128,penetrate,VERB,1
129,government,NOUN,35
130,very,ADV,27
131,hopeful,ADJ,1
132,it,PRON,258
133,reminds,VERB,1
134,me,PRON,27
135,too,ADV,16
136,much,ADV,14
137,arvn,PROPN,1
138,officers,NOUN,9
139,who,PRON,104
140,secretly,ADV,2
141,working,VERB,8
142,other,ADJ,41
143,side,NOUN,3
144,vietnam,PROPN,7
145,guerrillas,NOUN,7
146,member,NOUN,10
147,kurdistan,PROPN,1
148,democratic,ADJ,5
149,party,PROPN,8
150,after,SCONJ,17
151,kidnapping,VERB,1
152,him,PRON,42
153,mosul,PROPN,3
154,police,NOUN,10
155,commander,NOUN,4
156,ninevah,PROPN,1
157,province,PROPN,4
158,bombings,NOUN,7
159,declined,VERB,3
160,80,NUM,4
161,percent,NOUN,2
162,whereas,SCONJ,2
163,there,PRON,70
164,been,VERB,6
165,big,ADJ,4
166,jump,NOUN,1
167,number,NOUN,18
168,kidnappings,NOUN,1
169,on,ADP,179
170,wednesday,PROPN,3
171,kidnapped,VERB,1
172,cosmetic,ADJ,1
173,surgeon,NOUN,1
174,wife,NOUN,1
175,while,SCONJ,24
176,their,PRON,85
177,way,NOUN,29
178,home,ADV,4
179,suwayrah,PROPN,1
180,kut,PROPN,2
181,car,NOUN,2
182,bombs,NOUN,10
183,discovered,VERB,3
184,before,SCONJ,15
185,could,AUX,25
186,detonated,VERB,1
187,(,PUNCT,93
188,southeastern,ADJ,1
189,has,VERB,28
190,overwhelmingly,ADV,2
191,shiite,ADJ,9
192,population,NOUN,5
193,are,AUX,137
194,lookout,NOUN,1
195,baathist,PROPN,1
196,saboteurs,NOUN,1
197,willingly,ADV,1
198,turn,VERB,6
199,willingness,NOUN,2
200,main,ADJ,7
201,difference,NOUN,2
202,south,NOUN,4
203,as,SCONJ,50
204,opposed,VERB,2
205,center,NOUN,2
206,north,NOUN,3
207,country,NOUN,23
208,),PUNCT,96
209,kadhim,PROPN,2
