,word,POS,count
1,certes,ADV,3
2,_,PUNCT,4321
3,_,PRON,1188
4,_,ADV,1391
5,_,VERB,2800
6,_,SCONJ,321
7,_,DET,4991
8,_,ADJ,2290
9,_,NOUN,7225
10,_,ADP,5432
11,_,NUM,1153
12,_,AUX,775
13,_,CCONJ,744
14,toujours,ADV,4
15,_,PROPN,1249
16,de,ADP,21
17,le,DET,75
18,ironie,NOUN,1
19,m.,NOUN,12
20,mais,CCONJ,35
21,en,ADP,38
22,d',ADP,11
23,il,PRON,23
24,pourtant,ADV,4
25,sur,ADP,10
26,la,DET,78
27,cette,DET,16
28,c',PRON,13
29,a,ADP,33
30,après,ADP,9
31,rome,PROPN,1
32,"""",PUNCT,27
33,l',DET,39
34,conscients,ADJ,1
35,_,INTJ,1
36,grèves,NOUN,1
37,_,X,119
38,et,CCONJ,12
39,sans,ADP,5
40,ériger,VERB,1
41,fusions,NOUN,1
42,digital,X,1
43,dans,ADP,14
44,ce,PRON,7
45,même,ADJ,2
46,selon,ADP,7
47,une,DET,20
48,inflation,NOUN,1
49,se,PRON,2
50,logiquement,ADV,1
51,elles,PRON,1
52,premier,ADJ,1
53,deuxième,ADJ,2
54,un,DET,16
55,à,ADP,17
56,dire,VERB,1
57,mieux,ADV,1
58,besoin,NOUN,1
59,les,DET,44
60,ce,DET,13
61,encore,ADV,2
62,cet,DET,3
63,pour,ADP,22
64,personne,PRON,2
65,fiat,PROPN,1
66,parallèlement,ADV,3
67,enfin,ADV,6
68,ajoutons,VERB,1
69,prochain,ADJ,2
70,dus,VERB,1
71,récemment,ADV,1
72,reprise,PROPN,1
73,-,PUNCT,19
74,lors,ADV,3
75,justice,PROPN,1
76,sheik,PROPN,1
77,résultat,PROPN,1
78,constituée,VERB,1
79,social,PROPN,1
80,très,ADV,1
81,coopération,PROPN,1
82,finalisation,NOUN,1
83,ibm,PROPN,1
84,dassault,PROPN,1
85,air,PROPN,2
86,crise,PROPN,1
87,ducros,PROPN,1
88,disons,VERB,1
89,déjà,ADV,1
90,sauf,ADP,1
91,voilà,VERB,1
