,word,POS,count
1,hinter,ADP,4
2,der,DET,1096
3,neuen,ADJ,43
4,firma,NOUN,17
5,steht,VERB,14
6,unter,ADP,59
7,anderem,PRON,23
8,lucent,PROPN,1
9,technologies,X,1
10,",",PUNCT,1387
11,einer,PRON,1
12,größten,ADJ,5
13,anbieter,NOUN,27
14,von,ADP,417
15,equipment,NOUN,1
16,für,ADP,321
17,netzwerke,NOUN,1
18,und,CCONJ,434
19,telekommunikation,NOUN,29
20,.,PUNCT,1506
21,wirtschaftsministerium,NOUN,1
22,:,PUNCT,202
23,20,NUM,8
24,millionen,NOUN,68
25,dsl-anschlüsse,NOUN,2
26,bis,ADP,33
27,2010,NUM,7
28,in,ADP,639
29,dem,DET,602
30,auftrag,NOUN,2
31,des,DET,223
32,bundeswirtschaftsministeriums,NOUN,1
33,erstellte,VERB,1
34,das,DET,278
35,wissenschaftliche,ADJ,1
36,institut,NOUN,2
37,kommunikationsdienste,NOUN,1
38,(,PUNCT,98
39,wik,PROPN,2
40,),PUNCT,98
41,die,DET,1091
42,studie,NOUN,8
43,"""",PUNCT,427
44,entwicklungstrends,NOUN,1
45,telekommunikationssektor,NOUN,1
46,hierin,ADV,1
47,prognostiziert,VERB,1
48,dass,SCONJ,158
49,es,PRON,170
50,jahr,NOUN,29
51,rund,ADV,26
52,geben,VERB,13
53,wird,AUX,96
54,größte,ADJ,3
55,konkurrenz,NOUN,3
56,zu,ADP,244
57,den,DET,361
58,dsl-anbietern,NOUN,1
59,dürfte,AUX,12
60,demnach,ADV,2
61,kabelnetzbetreibern,NOUN,1
62,ausgehen,VERB,1
63,18,NUM,1
64,breitbandkabelanschlüsse,NOUN,1
65,laut,ADP,42
66,marktchancen,NOUN,1
67,powerline,PROPN,1
68,schätzt,VERB,1
69,hingegen,ADV,24
70,geringer,ADJ,5
71,ein,ADP,8
72,fünf,NUM,12
73,haushalte,NOUN,1
74,sollen,AUX,41
75,über,ADP,112
76,steckdose,NOUN,1
77,surfen,VERB,8
78,eine,DET,233
79,große,ADJ,7
80,zukunft,NOUN,7
81,sagt,VERB,3
82,mobilen,ADJ,4
83,internet-zugängen,NOUN,2
84,voraus,ADP,4
85,sie,PRON,69
86,geht,VERB,10
87,nicht,PART,292
88,nur,ADV,59
89,davon,ADV,13
90,aus,ADP,65
91,bereits,ADV,92
92,2003,NUM,2
93,mehr,ADV,48
94,als,CCONJ,114
95,milliarde,NOUN,3
96,mobilfunk-teilnehmer,NOUN,2
97,weltweit,ADJ,5
98,sondern,CCONJ,24
99,selben,ADJ,3
100,auch,ADV,195
101,zahl,NOUN,8
