,word,POS,count
1,jah,CCONJ,1748
2,atsteigands,VERB,2
3,in,ADP,836
4,skip,NOUN,9
5,ufarlaiþ,VERB,1
6,qam,VERB,39
7,seinai,ADJ,16
8,baurg,NOUN,15
9,þanuh,ADV,54
10,atberun,VERB,4
11,du,ADP,473
12,imma,PRON,274
13,usliþan,ADJ,2
14,ana,ADP,132
15,ligra,NOUN,2
16,ligandan,VERB,1
17,gasaiƕands,VERB,14
18,iesus,PROPN,137
19,galaubein,NOUN,7
20,ize,PRON,43
21,qaþ,VERB,263
22,þamma,DET,123
23,usliþin,ADJ,5
24,þrafstei,VERB,3
25,þuk,PRON,50
26,barnilo,NOUN,4
27,afletanda,VERB,4
28,þus,PRON,56
29,frawaurhteis,NOUN,5
30,þeinos,ADJ,4
31,þaruh,ADV,39
32,sumai,ADJ,30
33,þize,DET,49
34,bokarje,NOUN,4
35,qeþun,VERB,95
36,sis,PRON,51
37,silbam,PRON,2
38,sa,ADJ,57
39,wajamereiþ,VERB,2
40,witands,VERB,2
41,þos,DET,15
42,mitonins,NOUN,3
43,duƕe,ADV,20
44,jus,PRON,85
45,mitoþ,VERB,3
46,ubila,ADJ,5
47,hairtam,NOUN,9
48,izwaraim,ADJ,7
49,ƕaþar,PRON,2
50,ist,AUX,291
51,raihtis,ADV,18
52,azetizo,ADJ,3
53,qiþan,VERB,18
54,þau,CCONJ,21
55,urreis,VERB,6
56,gagg,VERB,12
57,aþþan,CCONJ,124
58,ei,SCONJ,220
59,witeiþ,VERB,2
60,þatei,SCONJ,202
61,waldufni,NOUN,14
62,habaiþ,VERB,32
63,sa,DET,153
64,sunus,NOUN,48
65,mans,NOUN,34
66,airþai,NOUN,14
67,afleitan,VERB,1
68,frawaurhtins,NOUN,4
69,urreisands,VERB,5
70,nim,VERB,5
71,þana,DET,75
72,ligr,NOUN,2
73,þeinana,ADJ,12
74,gard,NOUN,12
75,galaiþ,VERB,21
76,seinana,ADJ,11
77,gasaiƕandeins,VERB,1
78,þan,ADV,237
79,manageins,NOUN,21
80,ohtedun,VERB,11
81,sildaleikjandans,VERB,3
82,mikilidedun,VERB,1
83,guþ,NOUN,79
84,gibandan,VERB,1
85,swaleikata,ADJ,1
86,mannam,NOUN,17
87,þairhleiþands,VERB,2
88,jainþro,ADV,7
89,gasaƕ,VERB,15
90,mannan,NOUN,17
91,sitandan,VERB,5
92,at,ADP,80
93,motai,NOUN,2
94,maþþaiu,PROPN,2
95,haitanana,VERB,2
96,laistei,VERB,1
97,afar,ADP,42
98,mis,PRON,134
99,usstandands,VERB,10
100,iddja,VERB,7
101,warþ,VERB,101
102,biþe,SCONJ,38
103,is,PRON,219
104,anakumbida,VERB,2
105,garda,NOUN,19
106,sai,INTJ,50
107,managai,ADJ,28
108,motarjos,NOUN,4
109,frawaurhtai,ADJ,3
110,qimandans,VERB,5
111,miþanakumbidedun,VERB,2
112,iesua,PROPN,15
113,siponjam,NOUN,25
114,gaumjandans,VERB,1
115,fareisaieis,NOUN,18
116,þaim,DET,103
117,miþ,ADP,118
118,motarjam,NOUN,3
119,frawaurhtaim,ADJ,5
120,matjiþ,VERB,10
121,laisareis,NOUN,3
122,izwar,ADJ,19
123,iþ,CCONJ,288
124,gahausjands,VERB,7
125,im,PRON,189
