,word,POS,count
1,η,DET,589
2,μάντσεστερ,X,3
3,γιουνάιτεντ,X,2
4,ηττήθηκε,VERB,2
5,από,ADP,353
6,την,DET,969
7,ατλέτικο,X,3
8,μπιλμπάο,X,2
9,με,ADP,423
10,σκορ,X,3
11,2:3,NUM,2
12,2012-03-09,NOUN,1
13,χθες,ADV,4
14,",",PUNCT,1644
15,σκορ,NOUN,1
16,σ,ADP,925
17,τα,DET,315
18,πλαίσια,NOUN,4
19,της,DET,684
20,φάσης,NOUN,3
21,των,DET,441
22,16,NUM,1
23,του,DET,450
24,γιουρόπα,X,1
25,λιγκ,X,1
26,2011-2012,NUM,1
27,.,PUNCT,1249
28,το,DET,873
29,αγώνα,NOUN,4
30,άνοιξε,VERB,1
31,ο,DET,257
32,γουέν,X,2
33,ρούνι,X,2
34,22ο,NUM,1
35,λεπτό,NOUN,3
36,ωστόσο,CCONJ,34
37,οι,DET,298
38,φιλοξενούμενοι,ADJ,1
39,ισοφάρισαν,VERB,1
40,τον,DET,247
41,λλορέντε,X,1
42,44',NUM,1
43,δεύτερο,NUM,3
44,ημίχρονο,NOUN,1
45,πέτυχε,VERB,5
46,δύο,NUM,65
47,τέρματα,NOUN,1
48,τους,DET,169
49,όσκαρ,X,1
50,ντε,X,1
51,μάρκος,X,1
52,(,PUNCT,33
53,71ο,NUM,1
54,),PUNCT,33
55,και,CCONJ,936
56,ικέρ,X,1
57,μουνιάιν,X,1
58,90ο,NUM,1
59,πέναλτι,X,1
60,μείωσε,VERB,1
61,για,ADP,425
62,αντίπαλοι,ADJ,1
63,θα,AUX,309
64,ξανασυναντηθούν,VERB,1
65,τις,DET,321
66,15,NUM,5
67,μαρτίου,NOUN,3
68,στάδιο,NOUN,2
69,«,PUNCT,44
70,σαν,X,1
71,μαμές,X,1
72,»,PUNCT,43
73,ισπανούς,PROPN,1
74,να,AUX,877
75,χρειάζονται,VERB,2
76,νίκη,NOUN,6
77,ισοπαλία,NOUN,1
78,κόκκινους,ADJ,1
79,διαβόλους,NOUN,1
80,διαφορά,NOUN,3
81,τερμάτων,NOUN,1
82,ποταμό,NOUN,4
83,αχέροντα,PROPN,3
