,word,POS,count
1,ה,DET,2937
2,קהל,NOUN,12
3,איתר,VERB,1
4,סוף,NOUN,10
5,ערבי,NOUN,4
6,ו,CCONJ,1067
7,יהודים,NOUN,41
8,חבטו,VERB,1
9,ב_,ADP,95
10,_הוא,PRON,706
11,עד,ADP,31
12,זוב,NOUN,1
13,דם,NOUN,3
14,.,PUNCT,1330
15,אנשי,NOUN,20
16,"מג""ב",NOUN,1
17,חשו,VERB,1
18,אל,ADP,27
19,פצוע,NOUN,3
20,הגישו,VERB,1
21,ל_,ADP,140
22,עזרה,NOUN,1
23,ראשונה,ADJ,7
24,אמבולנס,NOUN,4
25,התקרב,VERB,1
26,אך,ADV,2
27,בקושי,ADV,2
28,גם,ADV,139
29,כאשר,SCONJ,37
30,נסגרו,VERB,1
31,דלתות,NOUN,3
32,היכו,VERB,1
33,עשרות,NUM,5
34,ב,ADP,1628
35,ה_,DET,611
36,ידיים,NOUN,1
37,רגליים,NOUN,2
38,על,ADP,338
39,פח,NOUN,1
40,רכב,NOUN,3
41,שוטר,NOUN,2
42,חייל,NOUN,2
43,אחזו,VERB,1
44,",",PUNCT,1685
45,כש,ADP,8
46,שפן_,NOUN,1
47,_של_,ADP,751
48,_הם,PRON,257
49,מתפרעים,NOUN,3
50,כדי,ADP,48
51,לסוכך,VERB,1
52,ערבי,ADJ,10
53,התחיל,VERB,2
54,לנסוע,VERB,3
55,איבד,VERB,7
56,את,ADP,467
57,שיווי,NOUN,1
58,משקל,NOUN,5
59,מעד,VERB,1
60,נחת,VERB,2
61,כש,SCONJ,37
62,עורף_,NOUN,1
63,ל,ADP,814
64,קרקע,NOUN,1
65,הוא,PRON,230
66,הכרה_,NOUN,2
67,הפעם,ADV,5
68,לא,ADV,292
69,חסם,VERB,1
70,רחבה,NOUN,1
71,ש,SCONJ,959
72,לפני,ADP,27
73,בית,NOUN,67
74,עלמין,NOUN,1
75,הר,NOUN,10
76,מנוחות,NOUN,1
77,נרגם,VERB,1
78,אבנים,NOUN,6
79,של,ADP,480
80,קול,NOUN,2
81,ישראל,PROPN,87
82,טירן,PROPN,3
83,פולק,PROPN,3
84,"מנכ""ל",NOUN,3
85,כך,PROPN,21
86,אחז,VERB,2
87,יד_,NOUN,9
88,רמקול,NOUN,1
89,ביקש,VERB,4
90,מ,ADP,380
91,שלא,ADV,11
92,לפגוע,VERB,6
93,נשמעו,VERB,2
94,קריאות,NOUN,1
95,:,PUNCT,125
96,אחרי,ADP,26
97,הלווייה,NOUN,4
98,נלך,VERB,1
99,לשחרר,VERB,1
100,כולנו,NOUN,2
101,כ,ADP,153
102,איש,NOUN,40
103,אחד,NUM,58
104,מוות,NOUN,20
105,ערבים,NOUN,30
106,שמאלנים,NOUN,1
107,יוסי,PROPN,4
108,שריד,PROPN,5
109,קשה,AUX,9
110,להוציא,VERB,5
111,ארון,NOUN,4
112,מכונית,NOUN,4
113,חברה,NOUN,16
114,קדישא,PROPN,1
115,רק,ADV,70
116,תוך,ADP,9
117,דחיפות,NOUN,1
118,צעקות,NOUN,1
119,הורדה,VERB,1
120,גופה_,NOUN,2
121,מאיר,PROPN,20
122,כהנא,PROPN,75
123,קבר,NOUN,4
124,עכשיו,ADV,14
125,קוראים,VERB,1
126,קדיש,NOUN,3
127,עונה,VERB,3
128,אמן,NOUN,2
129,תם,VERB,2
130,מסע,NOUN,22
131,מתחיל,VERB,1
132,נקמה,NOUN,4
133,"""",PUNCT,497
134,תהיה,VERB,5
135,בגדול,ADV,1
136,נמצאים,VERB,4
137,עתה,ADV,10
138,כוונת,NOUN,1
139,אמרו,VERB,2
140,עת,NOUN,16
141,ניסה,VERB,7
142,להסתיר,VERB,1
143,זאת,PRON,32
144,מנהיגים,NOUN,4
145,הסיתו,VERB,1
146,רצח,NOUN,16
147,;,PUNCT,52
148,חלקים,NOUN,3
149,ציבור,NOUN,20
150,זה,PRON,136
151,אורך,NOUN,2
152,ציר,NOUN,1
153,רקמו,VERB,1
154,תוכניות,NOUN,2
155,כיצד,ADV,4
156,כבר,ADV,26
157,ימים,NOUN,16
158,קרובים,ADJ,2
159,סופר,NOUN,12
160,ארץ,NOUN,33
161,צפון,NOUN,9
162,מוסיף,VERB,3
163,יריות,NOUN,6
164,אתמול,ADV,34
165,שעה,NOUN,8
166,2000,NUM,1
167,ערב,NOUN,3
168,שפרעם,PROPN,2
169,סמוך,ADJ,2
170,בית_,NOUN,13
171,ראש,NOUN,15
172,עירייה,NOUN,1
173,איברהים,PROPN,1
174,נימר,PROPN,2
175,חוסיין,PROPN,11
176,נפגע,VERB,5
177,כוחות,NOUN,11
178,משטרה,NOUN,16
179,גדולים,ADJ,9
180,ראשות,NOUN,3
181,מפקד,NOUN,6
182,מרחב,NOUN,1
183,גליל,NOUN,5
184,תת,ADV,3
185,-,PUNCT,224
186,ניצב,NOUN,4
187,רמי,PROPN,1
188,רהב,PROPN,1
189,פתחו,VERB,1
190,חקירה,NOUN,7
191,סריקות,NOUN,1
192,נרחבות,ADJ,2
193,עיר,NOUN,14
194,יציאות,NOUN,1
195,הוצבו,VERB,1
196,מחסומים,NOUN,2
197,לאחר,ADP,33
198,תושבים,NOUN,11
199,סיפרו,VERB,1
200,כי,SCONJ,125
201,הבחינו,VERB,1
202,אדומה,ADJ,1
203,סוג,NOUN,7
204,סובארו,PROPN,1
205,נושאת,VERB,1
206,לוחיות,NOUN,1
207,זיהוי,NOUN,4
208,ישראליות,ADJ,3
209,נראתה,VERB,2
210,נמלטת,VERB,1
211,מקום,NOUN,29
212,ה,SCONJ,145
213,משמש,VERB,2
214,ועד,NOUN,1
215,ראשי,NOUN,7
216,רשויות,NOUN,3
217,ערביות,ADJ,1
218,אמר,VERB,32
219,נורו,VERB,2
220,לעבר,ADP,6
221,הזהירה,VERB,2
222,את_,ADP,89
223,קיים,ADJ,8
224,חשש,NOUN,5
225,קיצונים,NOUN,2
226,יהודים,ADJ,3
227,ינסו,VERB,2
228,בעלי,NOUN,11
229,תפקידים,NOUN,3
230,בכירים,ADJ,3
231,מגזר,NOUN,9
232,חברי,NOUN,9
233,כנסת,PROPN,20
234,ערבים,ADJ,5
235,מתגוררים,VERB,1
236,ניסיונות,NOUN,3
237,פגיעה,NOUN,7
238,הם,PRON,61
239,התבקשו,VERB,1
240,לדווח,VERB,1
241,תנועה_,NOUN,2
242,אדם,NOUN,48
243,נהרג,VERB,7
244,נרצח,VERB,5
245,בידי,ADP,12
246,רעולי,NOUN,5
247,פנים,NOUN,9
248,אחר,ADJ,13
249,נדקר,VERB,1
250,803,NUM,1
251,נפצעו,VERB,11
252,לפי,ADP,5
253,מקורות,NOUN,24
254,פלשתיניים,ADJ,13
255,כן,ADV,20
256,שישה,NUM,1
257,חיילי,NOUN,3
258,"צה""ל",PROPN,34
259,תיירת,NOUN,3
260,אחת,NUM,29
261,אירועי,NOUN,2
262,שבוע,NOUN,17
263,שטחים,NOUN,12
264,חמישה,NUM,5
265,אורח,NOUN,7
266,קל,ADJ,5
267,תקריות,NOUN,3
268,קשות,ADJ,3
269,היו,AUX,42
270,רצועת,NOUN,5
271,עזה,PROPN,13
272,הועברו,VERB,1
273,חולים,VERB,7
274,ברזילי,PROPN,1
275,אשקלון,PROPN,3
276,רצועה,NOUN,7
277,שלשום,ADV,6
278,מחמוד,PROPN,3
279,עיזאת,PROPN,1
280,אל,PROPN,9
281,בסיוני,PROPN,1
282,בן,NOUN,13
283,92,NUM,5
284,תושב,NOUN,5
285,חנון,NOUN,4
286,שניים,NUM,12
287,קשה,ADJ,12
288,261,NUM,1
289,88,NUM,1
290,מן_,ADP,36
291,ירי,NOUN,2
292,כדורים,NOUN,10
293,חיים,ADJ,1
294,כדורי,NOUN,3
295,גומי,NOUN,1
296,פלסטיק,NOUN,1
297,שאר,NOUN,3
298,גז,NOUN,4
299,ילדים,NOUN,6
300,רבים,ADJ,9
301,גיל,NOUN,4
302,01,NUM,2
303,21,NUM,4
304,ארבע,NUM,6
305,נשים,NOUN,6
306,הריון,NOUN,1
307,נציג,NOUN,3
308,דובר,NOUN,16
309,פיקוד,NOUN,5
310,דרום,NOUN,7
311,סירב,VERB,5
312,לפרט,VERB,1
313,אילו,PRON,1
314,צבאיים,ADJ,7
315,78,NUM,3
316,05,NUM,2
317,שוחררו,VERB,4
318,עוצר,NOUN,3
319,הוטל,VERB,3
320,עיירה,NOUN,2
321,מקומות,NOUN,3
