,word,POS,count
1,यह,DET,113
2,एशिया,PROPN,3
3,की,ADP,743
4,सबसे,ADV,33
5,बड़ी,ADJ,19
6,मस्जिदों,NOUN,1
7,में,ADP,971
8,से,ADP,615
9,एक,NUM,198
10,है,AUX,919
11,।,PUNCT,1697
12,इसे,PRON,30
13,नवाब,NOUN,1
14,शाहजेहन,PROPN,1
15,ने,ADP,503
16,बनवाया,VERB,10
17,था,AUX,132
18,इसका,PRON,15
19,प्रवेश,NOUN,8
20,द्वार,NOUN,7
21,दो,NUM,41
22,मंजिला,ADJ,3
23,जिसमें,PRON,13
24,चार,NUM,23
25,मेहराबें,NOUN,1
26,हैं,AUX,340
27,और,CCONJ,420
28,मुख्य,ADJ,21
29,प्रार्थना,NOUN,1
30,हॉल,NOUN,1
31,जाने,VERB,26
32,के,ADP,1432
33,लिए,ADP,190
34,9,NUM,3
35,हैं,VERB,17
36,पूरी,ADJ,21
37,इमारत,NOUN,7
38,बेहद,ADV,13
39,खूबसूरत,ADJ,41
40,यहाँ,PRON,146
41,लगने,VERB,3
42,वाला,ADP,12
43,तीन,NUM,23
44,दिन,NOUN,39
45,का,ADP,519
46,इज्तिमा,NOUN,1
47,पूरे,ADJ,25
48,देश,NOUN,38
49,लोगों,NOUN,54
50,को,ADP,636
51,आमंत्रित,ADJ,3
52,करता,VERB,8
53,शौकत,PROPN,2
54,महल,PROPN,14
55,सामने,ADP,9
56,झील,NOUN,10
57,किनारे,NOUN,6
58,स्थित,ADJ,44
59,वास्तुकला,NOUN,2
60,नमूना,NOUN,5
61,कुदसिया,PROPN,1
62,बेगम,PROPN,3
63,काल,NOUN,5
64,जिन्हें,PRON,5
65,गोहर,PROPN,1
66,भी,PART,241
67,कहा,VERB,219
68,जाता,AUX,52
69,यह,PRON,88
70,हिंदू,NOUN,3
71,मुगल,NOUN,4
72,कला,NOUN,15
73,अद्भुत,ADJ,1
74,संगम,NOUN,2
75,भारत,PROPN,77
76,अनूठी,ADJ,2
77,राष्ट्रीय,ADJ,9
78,संस्था,NOUN,1
79,रूप,NOUN,28
80,प्रदर्शन,NOUN,7
81,दृश्य,NOUN,5
82,केंद्र,NOUN,5
83,चार्ल्स,NOUN,1
84,कोरिया,PROPN,1
85,डिजाइन,NOUN,6
86,किया,VERB,135
87,विशाल,ADJ,5
88,क्षेत्र,NOUN,28
89,फैले,VERB,1
90,इस,DET,255
91,भवन,NOUN,5
92,आस,NOUN,3
93,-,PUNCT,106
94,पास,ADP,30
95,प्राकृतिक,ADJ,6
96,सौंदर्य,NOUN,8
97,और,DET,14
98,भव्य,ADJ,3
99,बनाता,VERB,1
100,यहीं,PRON,8
101,पर,ADP,366
102,संग्रहालय,NOUN,17
103,",",PUNCT,390
104,दीर्घा,NOUN,1
105,फाइन,NOUN,1
106,आर्ट,NOUN,1
107,कार्यशाला,NOUN,1
108,थिएटर,NOUN,1
109,अंतरंग,ADJ,1
110,बहिरंग,ADJ,1
111,ऑडिटोरियम,NOUN,1
112,रिहर्सल,NOUN,1
113,कक्ष,NOUN,3
114,भारतीय,ADJ,24
115,कविताओं,NOUN,1
116,पुस्तकालय,NOUN,2
117,शास्त्रीय,ADJ,1
118,लोक,ADJ,1
119,संगीत,NOUN,2
120,सोमवार,PROPN,16
121,अलावा,ADP,19
122,सप्ताह,NOUN,13
123,दोपहर,NOUN,9
124,2,NUM,1
125,बजे,NOUN,17
126,रात,NOUN,14
127,8,NUM,3
128,तक,ADP,87
129,खुला,VERB,5
130,रहता,AUX,9
131,अनूठा,ADJ,3
132,जो,PRON,28
133,200,NUM,4
134,एकड़,NOUN,2
135,श्यामला,PROPN,2
136,हिल्स,PROPN,3
137,फैला,VERB,4
138,प्रागैतिहासिक,ADJ,2
139,स्थल,NOUN,6
140,विश्व,NOUN,5
141,अपनी,PRON,46
142,तरह,NOUN,33
143,ही,PART,152
144,चित्रकला,NOUN,1
145,सज्जित,ADJ,1
146,गुफाओं,NOUN,3
147,समीप,ADP,4
148,वस्तुओं,NOUN,2
149,परंपराओं,NOUN,2
150,जीवंत,ADJ,1
151,जुड़ा,VERB,8
152,हुआ,AUX,15
153,आदिवासी,NOUN,2
154,समुद्र,NOUN,8
155,रेगिस्तान,NOUN,1
156,हिमालय,PROPN,1
157,आवासों,NOUN,1
158,नमूने,NOUN,4
159,बनाए,VERB,8
160,गए,AUX,92
161,दृश्य,ADJ,1
162,श्रृव्य,ADJ,1
163,आर्काइव,NOUN,1
164,कंप्यूटरीकृत,ADJ,1
165,व,CCONJ,49
166,प्रजातीय,ADJ,1
167,नमूनों,NOUN,2
168,देखा,VERB,12
169,मध्य,PROPN,5
170,प्रदेश,PROPN,22
171,विभिन्न,ADJ,13
172,हिस्सों,NOUN,3
173,एकत्रित,ADJ,2
174,करके,VERB,8
175,रखे,VERB,6
176,बंद,ADJ,15
177,रहता,VERB,7
178,अरेरा,PROPN,1
179,इससे,PRON,18
180,लगा,VERB,14
181,जहाँ,PRON,16
182,मध्यप्रदेश,PROPN,3
183,रायसेन,PROPN,1
184,सीहोर,PROPN,1
185,मंदसौर,PROPN,1
186,शहडोल,PROPN,1
187,जिलों,NOUN,1
188,रखा,VERB,14
189,गया,AUX,115
190,छोड़कर,VERB,6
191,5,NUM,2
192,लगी,VERB,6
193,पहाड़ी,NOUN,10
194,सफारी,NOUN,1
195,उद्यान,NOUN,3
196,445,NUM,1
197,हैक्टेयर,NOUN,1
198,सुंदरता,NOUN,3
199,बीच,ADP,41
200,आप,PRON,42
201,प्रकार,NOUN,2
202,शाकाहारी,ADJ,1
203,माँसाहारी,ADJ,1
204,प्राणियों,NOUN,1
205,देखने,VERB,17
206,आनंद,NOUN,8
207,उठा,VERB,4
208,सकते,AUX,46
209,मंगलवार,PROPN,15
210,हर,DET,22
211,सुबह,NOUN,16
212,7,NUM,1
213,11,NUM,1
214,3,NUM,4
215,शाम,NOUN,10
216,मूल,ADJ,2
217,विज्ञान,NOUN,1
218,खूबसूरती,NOUN,14
219,इन्वेंशन,NOUN,1
220,फन,NOUN,1
221,साइंस,NOUN,2
222,गैलरी,NOUN,1
223,तारामंडल,PROPN,1
224,नाम,NOUN,31
225,प्लेनेटेरियम,NOUN,1
226,10.30,NUM,1
227,6.30,NUM,1
228,शहर,NOUN,40
229,चौक,PROPN,1
230,पुरानी,ADJ,6
231,मस्जिद,NOUN,3
232,हवेलियाँ,NOUN,2
233,अतीत,NOUN,4
234,स्मृति,NOUN,1
235,दिलाते,VERB,2
236,सँकरी,ADJ,1
237,गलियों,NOUN,3
238,दुकानें,NOUN,1
239,जिनमें,PRON,6
240,शिल्प,NOUN,2
241,खजाने,NOUN,1
242,खुले,VERB,6
243,हुए,AUX,72
244,चाँदी,NOUN,1
245,आभूषण,NOUN,1
246,बीडवर्क,NOUN,1
247,कढ़ाई,NOUN,2
248,काम,NOUN,25
249,सीक्वन,NOUN,1
250,अंदाज,NOUN,1
251,देख,VERB,6
252,खरीद,VERB,1
253,बड़ी,PROPN,2
254,झील,PROPN,4
255,छोटी,PROPN,3
256,ओवरब्रिज,NOUN,1
257,अलग,ADJ,15
258,होती,VERB,17
259,म.प्र.,PROPN,2
260,पर्यटन,PROPN,3
261,बोट,PROPN,1
262,क्लब,PROPN,2
263,नौकायन,NOUN,1
264,करवाता,VERB,2
265,मछली,NOUN,1
266,आकार,NOUN,3
267,एक्वेरियम,NOUN,1
268,कैसे,PRON,10
269,पहुँचे,VERB,7
270,?,PUNCT,30
271,दिल्ली,PROPN,36
272,ग्वालियर,PROPN,2
273,इंदौर,PROPN,5
274,मुंबई,PROPN,14
275,भोपाल,PROPN,11
276,नियमित,ADJ,4
277,विमान,NOUN,7
278,सेवा,NOUN,5
279,मद्रास,PROPN,1
280,मेन,NOUN,1
281,लाइन,NOUN,3
282,इटारसी,PROPN,2
283,झाँसी,PROPN,2
284,रास्ते,NOUN,3
285,वाली,ADP,24
286,गाड़ियाँ,NOUN,1
287,होकर,VERB,10
288,जाती,VERB,5
289,तथा,CCONJ,30
290,मांडू,PROPN,2
291,उज्जैन,PROPN,2
292,खजुराहो,PROPN,8
293,पचमढ़ी,PROPN,1
294,साँची,PROPN,18
295,जबलपुर,PROPN,3
296,शिवपुरी,PROPN,1
297,बस,NOUN,13
298,सेवाएँ,NOUN,2
299,ठहरने,VERB,5
300,विकास,PROPN,4
301,निगम,PROPN,2
302,होटल,NOUN,9
303,निजी,ADJ,10
304,कब,PRON,10
305,जाएँ,VERB,11
306,वर्ष,NOUN,17
307,कभी,PRON,8
308,जा,VERB,9
309,ओरछा,PROPN,3
310,वैभव,NOUN,2
311,पत्थरों,NOUN,5
312,जैसे,PART,1
313,कैद,NOUN,2
314,हो,VERB,103
315,समय,NOUN,37
316,ठहरा,VERB,1
317,लगता,VERB,9
318,हम,PRON,20
319,चले,VERB,3
320,जाते,AUX,9
321,बरसों,NOUN,1
322,बरस,NOUN,1
323,पीछे,ADP,4
324,मध्यकाल,PROPN,1
325,.,PUNCT,92
326,मंदिरों,NOUN,9
327,महलों,NOUN,2
328,चमक,NOUN,2
329,धुंध,NOUN,1
330,धुँधला,VERB,1
331,नहीं,PART,156
332,सकी,AUX,3
333,16,PROPN,1
334,17वीं,PROPN,3
335,शताब्दी,PROPN,11
336,बुंदेला,PROPN,3
337,शासकों,NOUN,3
338,द्वारा,ADP,45
339,बनवाई,VERB,1
340,गई,AUX,72
341,ये,DET,11
342,इमारतें,NOUN,3
343,प्राचीन,ADJ,9
344,बयाँ,NOUN,4
345,करती,VERB,7
346,16वीं,PROPN,2
347,राजपूत,NOUN,3
348,रुद्र,PROPN,1
349,प्रताप,PROPN,4
350,बसाया,VERB,2
351,उनके,PRON,41
352,आगे,ADP,7
353,राजाओं,NOUN,2
354,शानदार,ADJ,2
355,बनवाकर,VERB,1
356,इसकी,PRON,26
357,शान,NOUN,2
358,चाँद,NOUN,3
359,दिए,AUX,4
360,राजा,NOUN,8
361,बीर,PROPN,2
362,सिंह,PROPN,62
363,जूदेव,PROPN,2
364,प्रमुख,ADJ,8
365,कलाकारी,NOUN,1
366,देखते,VERB,10
367,बनती,VERB,8
368,लक्ष्मीनारायण,PROPN,1
369,मंदिर,PROPN,9
370,राजमहल,NOUN,1
371,दीवारें,NOUN,4
372,छतों,NOUN,1
373,कलात्मकता,NOUN,1
374,समृद्धि,NOUN,1
375,कहानी,NOUN,4
376,कहतीं,VERB,1
377,महल,NOUN,13
378,जहाँगीर,PROPN,2
379,आने,VERB,18
380,पहले,ADV,22
381,मजबूत,ADJ,10
382,दीवारों,NOUN,5
383,साथ,ADP,83
384,नाजुकी,NOUN,1
385,बनी,VERB,10
386,हुई,AUX,9
387,छतरियाँ,NOUN,2
388,कमाल,NOUN,1
389,संतुलन,NOUN,3
390,बनाती,VERB,1
391,अत्यंत,ADV,1
392,समृद्धिपूर्ण,ADJ,1
393,प्रभाव,NOUN,7
394,देती,VERB,3
395,चतुर्भुज,NOUN,1
396,मधुकर,PROPN,1
397,शाह,PROPN,9
398,अंदर,ADV,4
399,धार्मिकता,NOUN,1
400,लिए,VERB,8
401,शोख,ADJ,1
402,रंगों,NOUN,2
403,अनोखी,ADJ,1
404,कलाकृतियाँ,NOUN,1
405,कृत्रिम,ADJ,3
406,तालाबों,NOUN,1
407,मुंज,PROPN,1
408,तालाब,NOUN,10
409,कापुर,PROPN,1
410,बना,VERB,14
411,संभवतः,ADV,2
412,सुल्तान,NOUN,1
413,गयासुद्दीन,PROPN,1
414,खिलजी,PROPN,4
415,बड़े,ADJ,13
416,हरम,NOUN,1
417,रूप,ADP,20
418,इसके,PRON,72
419,खुले,ADJ,2
420,गलियारे,NOUN,1
421,बाहर,ADV,8
422,निकली,VERB,2
423,बालकनी,NOUN,1
424,छत,NOUN,2
425,शाही,ADJ,2
426,शौक,NOUN,1
427,आसानी,NOUN,6
428,करते,VERB,54
429,समय,ADP,14
430,तवेली,PROPN,1
431,निहारना,VERB,2
432,बहुत,ADV,12
433,सुखदायी,ADJ,1
434,है,VERB,71
435,दर्शकों,NOUN,2
436,बैठक,NOUN,29
437,व्यवस्था,NOUN,9
438,बनाया,VERB,14
439,कुछ,DET,47
440,झुकी,VERB,1
441,सी,PART,4
442,जिसके,PRON,5
443,कारण,ADP,35
444,हिंडोला,PROPN,1
445,बलुआ,PROPN,2
446,नक्काशी,NOUN,3
447,नायाब,ADJ,4
448,मिलता,VERB,3
449,स्तंभ,NOUN,3
450,मन,NOUN,3
451,मोह,VERB,1
452,लेते,AUX,2
453,इसी,DET,19
454,कई,DET,45
455,छोटे,ADJ,9
456,अपने,PRON,72
457,कहते,VERB,6
458,अफगानी,ADJ,1
