,word,POS,count
1,fögnuður,NOUN,11
2,verður,VERB,25
3,þessa,DET,61
4,heims,NOUN,39
5,sá,DET,154
6,hæstur,ADJ,1
7,er,SCONJ,887
8,góður,ADJ,4
9,maður,NOUN,41
10,fagnar,VERB,1
11,engla,NOUN,18
12,tilkvomu,NOUN,2
13,á,ADP,351
14,dauðastundu,NOUN,1
15,sinni,PRON,28
16,.,PUNCT,1366
17,þjónusta,NOUN,2
18,kennimanna,NOUN,3
19,menn,NOUN,102
20,þeir,DET,9
21,",",PUNCT,2891
22,bera,VERB,16
23,kennimannanöfn,NOUN,1
24,og,CCONJ,1179
25,vígslur,NOUN,1
26,yfir,ADP,35
27,ólærðum,ADJ,1
28,mönnum,NOUN,55
29,þeir,PRON,239
30,eru,AUX,128
31,skyldir,VERB,2
32,að,PART,285
33,þjóna,VERB,9
34,guði,PROPN,86
35,skapera,NOUN,9
36,sínum,PRON,63
37,öllum,DET,80
38,hátíðum,NOUN,3
39,með,ADP,162
40,tvinnri,NUM,2
41,þjónustu,NOUN,4
42,þeirri,DET,17
43,annarri,PRON,4
44,veita,VERB,17
45,tíðagjörð,NOUN,1
46,í,ADP,569
47,heyrn,NOUN,2
48,yður,PRON,63
49,slíka,PRON,6
50,sem,SCONJ,199
51,til,ADP,374
52,hverrar,DET,1
53,hátíðar,NOUN,4
54,er,AUX,421
55,gjör,VERB,6
56,bókum,NOUN,3
57,reka,VERB,3
58,svo,ADV,259
59,erindi,NOUN,4
60,yðvart,PRON,3
61,við,ADP,179
62,guð,PROPN,167
63,halda,VERB,35
64,fyr,ADP,179
65,bænum,NOUN,10
66,þeim,DET,51
67,settar,VERB,1
68,en,CCONJ,396
69,sú,DET,31
70,þjónasta,NOUN,1
71,önnur,PRON,11
72,oss,PRON,221
73,boðin,VERB,4
74,helgum,ADJ,34
75,tíðum,NOUN,1
76,að,SCONJ,658
77,vér,PRON,517
78,skulum,AUX,78
79,hans,PRON,141
80,kynna,VERB,2
81,miskunn,NOUN,26
82,þá,DET,49
83,alla,DET,52
84,hann,PRON,565
85,hefir,AUX,42
86,veitt,VERB,6
87,burð,NOUN,14
88,hérvist,NOUN,1
89,písl,NOUN,21
90,upprisu,NOUN,38
91,af,ADP,307
92,dauða,NOUN,33
93,skipun,NOUN,3
94,margfaldri,ADJ,1
95,jarteinum,NOUN,3
96,fylgdi,VERB,9
97,ættim,VERB,4
98,og,ADV,74
99,boðorð,NOUN,10
100,hve,ADV,30
101,vill,ADV,1
102,skipim,VERB,1
103,voru,PRON,1
104,athæfi,NOUN,3
105,þess,DET,13
106,megim,AUX,18
107,farsælu,NOUN,1
108,nýta,VERB,3
109,kristur,PROPN,36
110,sjálfur,PRON,35
111,boðið,VERB,6
112,nú,ADV,117
113,þó,ADP,24
114,séim,AUX,13
115,mjög,ADV,13
116,vanbúnir,ADJ,2
117,hvorrar,DET,1
118,fremjum,VERB,2
119,guðsþjónustu,NOUN,1
120,þeirra,PRON,75
121,hefi,AUX,5
122,eg,PRON,87
123,tíndar,VERB,1
124,þá,ADV,371
125,þó,ADV,39
126,að,ADP,151
127,hvoru,DET,3
128,það,PRON,284
129,allra,DET,44
130,auðsýnst,ADJ,1
131,erum,AUX,27
132,því,PRON,306
133,tungu,NOUN,5
134,mállýsku,NOUN,1
135,ér,PRON,69
136,kunnuð,AUX,1
137,jamt,ADV,1
138,skilja,VERB,20
139,um,ADP,14
140,mæla,VERB,14
141,þurfum,VERB,7
142,of,ADP,124
143,þann,DET,52
144,hlut,NOUN,14
145,einkum,ADV,3
146,mest,ADV,2
147,yðvarrar,PRON,1
148,vorkunnar,NOUN,1
149,þess,PRON,82
150,færið,VERB,2
151,þau,DET,15
152,orð,NOUN,27
153,áleiðis,ADV,2
154,vildum,AUX,1
155,þurftar,NOUN,1
156,finnið,VERB,2
157,sanna,ADJ,5
158,málstaði,NOUN,1
159,eigi,ADV,282
160,sé,AUX,52
161,öllu,DET,16
162,málinu,NOUN,2
163,orðfimlega,ADV,1
164,farið,VERB,4
165,eða,CCONJ,103
166,skörulega,ADV,1
167,vitum,VERB,3
168,von,NOUN,12
169,ofvalt,ADV,2
170,mælum,VERB,6
171,mörgum,DET,4
172,munu,AUX,24
173,ór,PRON,21
174,heyra,VERB,14
175,flestir,DET,1
176,bæði,CCONJ,38
177,betur,ADV,4
178,búnir,VERB,1
179,viti,NOUN,1
180,máli,NOUN,11
181,en,ADP,100
182,ef,ADP,115
183,vilið,AUX,1
184,hvoru,PRON,1
185,taka,VERB,38
186,kenningu,NOUN,1
187,hugþekklega,ADV,1
188,lítillátlega,ADV,2
189,þótt,ADP,22
190,forkunnarorðum,NOUN,1
191,framfærð,VERB,1
192,mun,AUX,58
193,drottinn,PROPN,60
194,vor,PRON,62
195,dýrst,ADJ,1
196,virða,VERB,4
197,þekkist,VERB,1
198,vel,ADV,23
199,snilld,NOUN,1
200,mikilli,ADJ,2
201,fram,ADP,18
202,túlkað,VERB,1
203,assumptio,X,1
204,sancte,X,4
205,marie,X,3
206,uppnumning,PROPN,1
207,heilagrar,ADJ,5
208,maríu,PROPN,21
209,in,DET,16
210,helga,ADJ,26
211,mær,NOUN,4
212,maría,PROPN,19
213,móðir,NOUN,5
214,drottins,PROPN,37
215,vors,PRON,27
216,var,AUX,173
217,ins,DET,28
218,besta,ADJ,2
219,kyns,NOUN,2
220,komin,VERB,5
221,frá,ADP,118
222,abraham,PROPN,6
223,úr,ADP,36
224,kyni,NOUN,1
225,davíðs,PROPN,2
226,konungs,NOUN,7
227,inir,DET,3
228,nánustu,ADJ,1
229,frændur,NOUN,2
230,hennar,PRON,39
231,vóru,AUX,43
232,réttlátir,ADJ,3
233,höfðu,VERB,4
234,mikið,ADJ,2
235,kraftalán,NOUN,1
236,lítið,ADJ,2
237,auralán,NOUN,1
238,heimi,NOUN,25
239,þegar,ADP,2
240,kunni,VERB,3
241,góðs,ADJ,9
242,greinir,NOUN,2
243,ills,ADJ,5
244,lagði,VERB,4
245,hún,PRON,88
246,þegar,ADV,12
247,ást,NOUN,20
248,svo,ADP,31
249,ávallt,ADV,22
250,guðs,PROPN,215
251,annað,PRON,14
252,tveggja,NUM,6
253,hugði,VERB,2
254,spámannabókum,NOUN,1
255,nekkveru,DET,1
256,góðu,ADJ,7
257,verki,NOUN,2
258,fyrst,ADJ,2
259,kvenna,NOUN,3
260,hét,VERB,6
261,því,DET,19
262,heiti,NOUN,1
263,hreinlífi,NOUN,13
264,nam,VERB,2
265,annarra,PRON,8
266,dæmum,NOUN,2
267,né,CCONJ,18
268,kenningum,NOUN,10
269,heldur,ADV,61
270,glíkti,VERB,1
271,eftir,ADP,56
272,englum,NOUN,15
273,hafa,VERB,8
274,megu,AUX,7
275,góðir,ADJ,18
276,það,DET,33
277,hafði,AUX,34
278,áður,ADP,3
279,bæri,VERB,4
280,krist,PROPN,9
281,dýrlegra,ADJ,1
282,meiri,ADJ,3
283,vegur,NOUN,2
284,sýna,VERB,7
285,bestu,ADJ,1
286,dæmi,NOUN,14
287,eftir,ADV,7
288,glíkja,VERB,5
289,síðan,ADP,1
290,bar,VERB,17
291,drottin,PROPN,24
292,vorn,PRON,23
293,allt,DET,49
294,líf,NOUN,13
295,helgara,ADJ,2
296,megi,AUX,18
297,segja,VERB,12
298,tókst,VERB,1
299,meira,ADJ,1
300,hendur,NOUN,7
301,væri,AUX,31
302,lét,VERB,23
303,hana,PRON,19
304,framar,ADV,6
305,góðum,ADJ,18
306,ná,VERB,5
307,verkum,NOUN,15
308,aðra,PRON,20
309,öll,DET,26
310,góð,ADJ,23
311,verk,NOUN,10
312,þau,PRON,26
313,aðrir,PRON,19
314,gera,VERB,25
315,liðu,NOUN,3
316,gjörði,VERB,6
317,sjálfan,PRON,14
318,gefa,VERB,11
319,hungruðum,ADJ,1
320,fæðslu,NOUN,6
321,þyrstum,ADJ,1
322,drykk,NOUN,1
323,fæddi,VERB,2
324,brjósti,NOUN,7
325,sér,PRON,94
326,sínu,PRON,26
327,erfiði,NOUN,10
328,klæða,VERB,2
329,þá,PRON,48
330,kalnir,VERB,1
331,klæddi,VERB,1
332,son,NOUN,15
333,holdi,NOUN,9
334,reifum,NOUN,2
335,klæðum,NOUN,1
336,vitja,VERB,2
337,myrkvastofum,NOUN,1
338,þeim,PRON,103
339,fyrdæmdir,VERB,1
340,ofríki,NOUN,3
341,vondra,ADJ,2
342,manna,NOUN,39
343,flæði,VERB,1
344,undan,ADP,7
345,heródes,PROPN,2
346,egiptalands,PROPN,2
347,meðan,ADP,17
348,honum,PRON,100
349,speki,NOUN,4
350,gæsku,NOUN,8
351,má,AUX,52
352,nema,VERB,2
353,vita,VERB,11
354,miklu,ADV,2
355,hver,DET,27
356,heilagra,ADJ,22
357,veitti,VERB,9
358,henni,PRON,15
359,hluti,NOUN,28
360,virti,VERB,2
361,sig,PRON,36
362,lítils,ADJ,2
363,lítillátari,ADJ,2
364,meiri,DET,9
365,dýrð,NOUN,36
366,mikils,DET,5
367,virtir,VERB,1
368,píningar,NOUN,5
369,vondum,ADJ,1
370,sakar,NOUN,26
371,hefir,VERB,8
372,pví,PRON,1
373,helgir,ADJ,15
374,tóku,VERB,12
375,líkami,NOUN,6
376,sína,PRON,41
377,önd,NOUN,15
378,pínd,VERB,1
379,sá,VERB,9
380,augum,NOUN,8
381,píning,NOUN,4
382,markar,VERB,1
383,glíkindum,NOUN,3
384,sár,ADJ,1
385,myndi,AUX,7
386,vera,AUX,72
387,sýn,NOUN,7
388,sjá,VERB,38
389,einkason,NOUN,2
390,sinn,PRON,42
391,píndan,VERB,2
392,getinn,VERB,3
393,anda,NOUN,34
394,vissi,VERB,5
395,hafa,AUX,46
396,allan,DET,14
397,guðdóm,NOUN,4
398,líkam,NOUN,22
399,tók,VERB,24
400,þar,ADV,67
401,$s,SCONJ,1
402,öðrum,PRON,26
403,fellur,VERB,1
404,nær,ADV,2
405,mein,NOUN,12
406,gjört,VERB,5
407,barni,NOUN,1
408,syndum,NOUN,32
409,getið,VERB,2
410,sjálfum,PRON,9
411,kost,NOUN,2
412,mun,NOUN,4
413,unni,VERB,2
414,helgari,ADJ,10
415,syni,NOUN,4
416,sonur,NOUN,10
417,vilja,AUX,13
