,word,POS,count
1,as,ADP,100
2,lár,NOUN,11
3,na,DET,727
4,tubaiste,NOUN,2
5,is,AUX,198
6,ea,PRON,11
7,stadfaidh,VERB,1
8,an,DET,1507
9,ghrian,NOUN,1
10,sula,SCONJ,10
11,rachaidh,VERB,3
12,sí,PRON,83
13,a,PART,1174
14,luí,NOUN,4
15,san,ADP,61
16,áigéan,NOUN,1
17,thiar,ADV,10
18,ó,ADP,101
19,lonrú,NOUN,1
20,anuas,ADV,13
21,;,PUNCT,88
22,solas,NOUN,4
23,ní,PART,89
24,bheidh,VERB,36
25,ar,ADP,770
26,fáil,NOUN,29
27,ach,SCONJ,204
28,oiread,NOUN,17
29,hoíche,NOUN,8
30,nó,CCONJ,129
31,mar,ADP,107
32,éiclips,NOUN,1
33,lán,ADJ,4
34,.,PUNCT,1443
35,ansin,ADV,24
36,nach,AUX,23
37,deas,ADJ,9
38,mar,SCONJ,71
39,bheadh,VERB,28
40,scéal,NOUN,24
41,a'm,ADP,6
42,?,PUNCT,76
43,dein,VERB,3
44,é,PRON,219
45,fhaid,NOUN,4
46,is,CCONJ,62
47,atáimse,VERB,1
48,i,ADP,483
49,dteagmháil,NOUN,1
50,leis,ADP,185
51,leaideanna,NOUN,1
52,ag,ADP,450
53,gceanncheathrú,NOUN,1
54,m',DET,9
55,anam,NOUN,1
56,go,PART,403
57,raibh,VERB,135
58,sin,PRON,135
59,iontach,ADV,3
60,scáfar,ADJ,2
61,",",PUNCT,1315
62,d',PART,95
63,fhág,VERB,8
64,tú,PRON,23
65,agus,CCONJ,850
66,chuaigh,VERB,16
67,le,ADP,357
68,sagartóireacht,NOUN,1
69,limistéar,NOUN,3
70,meánmhara,NOUN,1
71,áit,NOUN,28
72,dúcháis,NOUN,1
73,don,ADP,61
74,rós,PROPN,2
75,mhuire,PROPN,4
76,chuirfeadh,VERB,3
77,sé,PRON,309
78,seo,PRON,41
79,spás,NOUN,4
80,níos,PART,41
81,fearr,ADJ,12
82,do,ADP,114
83,leanaí,NOUN,1
84,mhúinteoir,NOUN,1
85,',PUNCT,373
86,dócha,ADJ,6
87,bhfuil,VERB,115
88,céad,NUM,12
89,éigin,ADJ,19
90,litir,NOUN,5
91,scríofa,ADJ,5
92,againn,ADP,17
93,n',PART,2
94,fheadar,VERB,3
95,cad,PRON,19
96,méid,NOUN,25
97,glaoch,NOUN,3
98,gutháin,NOUN,1
99,atá,VERB,110
100,déanta,ADJ,19
101,níl,VERB,35
102,fachta,ADJ,1
103,go,ADP,92
104,dtí,NOUN,37
105,oifigiúlacht,NOUN,1
106,constaicí,NOUN,2
107,gan,ADP,55
108,dealramh,NOUN,1
109,riasc,NOUN,1
110,beag,ADJ,21
111,ceann,NOUN,35
112,bhóithrín,NOUN,1
113,mbínn,VERB,3
114,déanamh,NOUN,17
115,gairdeasa,NOUN,1
116,faoi,ADP,107
117,faoina,ADP,11
118,fhásra,NOUN,2
119,bláthanna,NOUN,4
120,luachra,NOUN,1
121,féir,NOUN,3
122,sheileastram,NOUN,1
123,bhí,VERB,294
124,líonta,ADJ,1
125,isteach,ADV,31
126,dadaí,NOUN,1
127,mamaí,NOUN,1
128,seachas,ADP,5
129,mo,DET,44
130,dheaide,NOUN,1
131,mhaime,NOUN,1
132,thugaidís,VERB,1
133,a,DET,266
134,n-athair,NOUN,2
135,máthair,NOUN,6
136,rinneadh,VERB,11
137,iad,PRON,68
138,neamhchead,NOUN,1
139,n-othar,NOUN,1
140,agus,SCONJ,61
141,de,ADP,194
142,ghnáth,NOUN,8
143,iarracht,NOUN,12
144,bith,NOUN,18
145,pian,NOUN,3
146,cheansú,NOUN,2
147,minic,ADJ,11
148,bas,NOUN,1
149,othair,NOUN,1
150,thoradh,NOUN,6
151,turgnamh,NOUN,1
152,ball,NOUN,5
153,de,PART,9
154,rafiq,PROPN,1
155,mottiar,PROPN,1
156,sa,ADP,179
157,bhliain,NOUN,27
158,1965,NUM,2
159,riamh,ADV,19
160,leith,NOUN,32
161,tá,VERB,216
162,obair,NOUN,17
163,son,NOUN,4
164,saoirse,NOUN,3
165,afraic,PROPN,2
166,theas,ADV,4
167,má,SCONJ,31
168,bhíonn,VERB,27
169,súil,NOUN,12
170,saol,NOUN,23
171,eachtraí,NOUN,5
172,chosúlacht,NOUN,1
173,féin,PRON,85
174,gur,AUX,51
175,amhlaidh,ADV,10
176,bíonn,VERB,25
177,ina,ADP,131
178,chosaint,NOUN,3
179,daoine,NOUN,48
180,-,PUNCT,106
181,más,SCONJ,13
182,lag,ADJ,1
183,lúbach,ADJ,1
184,in,ADP,138
185,amannaí,NOUN,1
186,eolas,NOUN,13
187,dá,ADP,50
188,laghad,NOUN,9
189,tiománaí,NOUN,3
190,lasta,NOUN,1
191,luachmhar,ADJ,4
192,bheith,NOUN,69
193,á,ADP,65
194,iompar,NOUN,2
195,aige,ADP,44
196,hiarracht,NOUN,1
197,amháin,ADJ,41
198,eile,DET,96
199,lightbody,PROPN,1
200,imithe,ADJ,8
201,trí,NUM,17
202,shlat,NOUN,1
203,chun,ADP,102
204,tosaigh,NOUN,4
205,air,ADP,73
206,chríochnaíodar,VERB,1
207,hamanna,NOUN,1
208,4:12.0,NUM,1
209,léirigh,VERB,5
210,tuairiscí,NOUN,1
211,bpóilíní,NOUN,1
212,imní,NOUN,6
213,líon,NOUN,8
214,bhfíníní,NOUN,1
215,chúige,NOUN,1
216,fosta,ADV,11
217,dhánacht,NOUN,1
218,n-iarrachtaí,NOUN,1
219,dhéanfadh,VERB,4
220,fíníní,NOUN,1
221,sin,DET,125
222,poblacht,NOUN,1
223,thabhairt,NOUN,27
224,gcrích,NOUN,6
225,éigean,NOUN,4
226,riachtanais,NOUN,4
227,teanga,NOUN,12
228,chomh,ADV,58
229,soiléir,ADJ,7
230,cheana,ADV,13
231,siad,PRON,72
232,láthair,NOUN,6
233,eolais,NOUN,9
234,bailithe,ADJ,4
235,fúthu,ADP,1
236,thaistil,VERB,3
237,eoin,PROPN,7
238,ba,PART,8
239,mhó,ADJ,7
240,ná,CCONJ,65
241,pápa,NOUN,2
242,aimsir,NOUN,6
243,pio,PROPN,1
244,nono,PROPN,1
245,(,PUNCT,102
246,pius,PROPN,1
247,ix,NUM,1
248,),PUNCT,91
249,aghaidh,NOUN,23
250,ngluaisteáin,NOUN,1
251,thraenacha,NOUN,1
252,(2),NUM,12
253,fho-alt,NOUN,10
254,(3),NUM,5
255,den,ADP,98
256,alt,NOUN,20
257,seo,DET,166
258,aon,DET,92
259,deontas,NOUN,2
260,thabharfar,VERB,2
261,faoin,ADP,45
262,dhuine,NOUN,7
263,(a),NUM,6
264,oibreacha,NOUN,4
265,chineál,NOUN,10
266,shonraítear,VERB,4
267,mír,NOUN,4
268,(c),NUM,6
269,(f),NUM,1
270,d',ADP,47
271,(1),NUM,10
272,mó,ADJ,33
273,(i),NUM,2
274,gcás,NOUN,11
275,ina,PART,13
276,n-athfhoirgneoidh,VERB,1
277,duine,NOUN,44
278,teach,NOUN,20
279,áitiú,NOUN,1
280,gurb,AUX,17
281,í,PRON,53
282,talmhaíocht,NOUN,1
283,haonarach,ADJ,1
284,formhór,NOUN,2
285,shlí,NOUN,4
286,bheatha,NOUN,6
287,seasca,NUM,1
288,punt,NOUN,6
289,luacháil,NOUN,1
290,inrátaithe,ADJ,2
291,comhiomlán,NOUN,1
292,luachálacha,NOUN,1
293,talún,NOUN,2
294,ann,ADP,113
295,bhfoirgneamh,NOUN,1
296,áitíonn,VERB,1
297,dhá,NUM,40
298,thrian,NOUN,2
299,mhéid,NOUN,7
300,measfaidh,VERB,4
301,taire,NOUN,10
302,costas,NOUN,5
303,n-oibreacha,NOUN,3
304,(ii),NUM,1
305,chás,NOUN,7
