,word,POS,count
1,하기야,CCONJ,1
2,짐승도,ADV,1
3,잘,ADV,49
4,가르치기만,ADV,1
5,하면,SCONJ,27
6,어느,DET,21
7,정도는,NOUN,1
8,순치될,VERB,1
9,수,NOUN,258
10,있다,ADJ,137
11,.,PUNCT,2846
12,사람이,NOUN,56
13,스스로,ADV,18
14,만물의,NOUN,1
15,영장이라,SCONJ,1
16,하고,SCONJ,2
17,우쭐대는,VERB,1
18,까닭이,NOUN,6
19,여기에,ADV,11
20,뭇,ADJ,1
21,짐승들은,NOUN,1
22,일단,ADV,5
23,배만,ADV,1
24,부르면,SCONJ,1
25,더,ADV,46
26,이상의,NOUN,5
27,탐욕을,NOUN,1
28,부리지,VERB,2
29,않는다,AUX,24
30,우거진,VERB,1
31,쑥밭에서,ADV,1
32,쑥만,ADV,1
33,뽑아낸다고,SCONJ,1
34,곡식이,NOUN,1
35,저절로,ADV,7
36,자라지,VERB,1
37,않는,AUX,16
38,것과,CCONJ,13
39,같다,ADJ,21
40,원래,ADV,3
41,쑥이나,CCONJ,1
42,잡초는,NOUN,1
43,곡식보다,ADV,1
44,강하고,CCONJ,2
45,질긴,ADJ,1
46,생명력이,NOUN,2
47,있어서,SCONJ,15
48,뽑기만,ADV,1
49,그냥,ADV,1
50,두면,SCONJ,2
51,무성하게,SCONJ,1
52,자라기,VERB,1
53,마련이다,VERB,8
54,종래,ADV,1
55,성실치,ADJ,1
56,못한,AUX,12
57,사람일수록,SCONJ,1
58,윗사람에게,ADV,1
59,아첨하고,CCONJ,1
60,뇌물을,NOUN,1
61,갖다바쳐서,SCONJ,1
62,승진하고,CCONJ,1
63,행세하던,VERB,1
64,그런,DET,26
65,풍토부터,ADV,1
66,일소해야,VERB,1
67,한다,AUX,81
68,이렇게,ADV,2
69,되면,SCONJ,14
70,이러한,VERB,51
71,인간형을,NOUN,1
72,다투어,SCONJ,3
73,본받으려,VERB,1
74,할,AUX,29
75,것이,NOUN,136
76,틀림없다,ADJ,4
77,하지만,CCONJ,10
78,좀더,ADV,5
