,word,POS,count
1,hēra,PROPN,4
2,valda,VERB,4
3,augstajā,ADJ,1
4,olimpā,PROPN,1
5,.,PUNCT,2523
6,viņa,PRON,270
7,",",PUNCT,3499
8,tāpat,PART,5
9,kā,CCONJ,15
10,viņas,PRON,53
11,vīrs,NOUN,14
12,zevs,PROPN,1
13,ir,AUX,387
14,pavēlniece,NOUN,1
15,pār,ADP,16
16,pērkoniem,NOUN,1
17,un,CCONJ,1164
18,zibeņiem,NOUN,1
19,;,PUNCT,31
20,paklausot,VERB,1
21,vārdam,NOUN,1
22,tumšo,ADJ,1
23,lietus,NOUN,8
24,mākoņi,NOUN,1
25,klāj,VERB,2
26,debesis,NOUN,6
27,rokas,NOUN,24
28,mājiens,NOUN,1
29,rada,VERB,8
30,drausmīgas,ADJ,1
31,vētras,NOUN,1
32,daiļa,ADJ,1
33,diženā,ADJ,1
34,-,PUNCT,113
35,lielām,ADJ,2
36,acīm,NOUN,3
37,lillijbaltām,ADJ,1
38,rokām,NOUN,14
39,ar,ADP,360
40,vainagu,NOUN,1
41,uz,ADP,336
42,brīnišķīgajām,ADJ,1
43,viļņainajām,ADJ,1
44,cirtām,NOUN,1
45,valdonīgi,ADV,1
46,mierīgi,ADV,3
47,majestātiski,ADV,1
48,mirdz,VERB,2
49,acis,NOUN,22
50,majestātiska,ADJ,1
51,savā,DET,16
52,garajā,ADJ,1
53,krāšņajā,ADJ,1
54,pašas,DET,2
55,atēnas,PROPN,1
56,austajā,VERB,1
57,tērpā,NOUN,1
58,brauc,VERB,4
59,lejup,ADV,6
60,no,ADP,298
61,olimpa,PROPN,2
62,ratos,NOUN,1
63,kuros,PRON,5
64,iejūgti,VERB,1
65,2,NUM,10
66,nemirstīgi,ADJ,1
67,zirgi,NOUN,1
68,tīra,ADJ,5
69,sudraba,NOUN,2
70,rati,NOUN,1
71,zelta,NOUN,6
72,riteņi,NOUN,1
73,bet,CCONJ,215
74,riteņu,NOUN,2
75,spieķi,NOUN,1
76,varā,NOUN,2
77,kalti,VERB,1
78,jauka,ADJ,1
79,smarža,NOUN,5
80,plūst,VERB,5
81,zemi,NOUN,4
82,tur,ADV,45
83,kur,ADV,53
84,visa,DET,7
85,dzīvā,ADJ,1
86,radība,NOUN,2
87,noliecas,VERB,2
88,valdnieces,NOUN,1
89,priekšā,NOUN,7
90,pēc,ADP,113
91,sižeta,NOUN,1
92,‘’,PUNCT,2
93,antigone,PROPN,3
94,’’,PUNCT,2
95,eshila,PROPN,2
96,traģēdijas,NOUN,1
97,septiņi,NUM,2
98,pret,ADP,28
99,tēbām,PROPN,1
100,turpinājums,NOUN,1
101,traģēdijā,NOUN,1
102,stāstīts,VERB,1
103,par,ADP,284
104,tēbu,PROPN,1
105,valdnieka,NOUN,2
106,edipa,PROPN,1
107,dēlu,NOUN,4
108,eteokla,PROPN,1
109,polineika,PROPN,1
110,cīņu,NOUN,1
111,varu,NOUN,3
112,polineiks,PROPN,1
113,ved,VERB,5
114,dzimto,VERB,3
115,pilsētu,NOUN,3
116,svešzemnieku,NOUN,1
117,karapulkus,NOUN,1
118,eotekls,PROPN,1
119,dodas,VERB,3
120,brālim,NOUN,2
121,pretim,ADV,3
122,lai,SCONJ,122
123,divkaujā,NOUN,2
124,izšķirtu,VERB,1
125,jautājumu,NOUN,17
126,kam,PRON,20
127,būt,AUX,29
128,valdniekam,NOUN,1
129,to,PRON,171
130,glābtu,VERB,1
131,izpostīšanas,NOUN,1
132,krīt,VERB,5
133,abi,DET,1
134,brāļi,NOUN,1
135,kritušo,VERB,1
136,brāļu,NOUN,1
137,māsa,NOUN,3
138,uzskata,VERB,6
139,savu,DET,61
140,pienākumu,NOUN,3
141,apglabāt,VERB,1
142,polineiku,PROPN,1
143,kaut,SCONJ,8
144,arī,SCONJ,8
145,zina,VERB,10
146,ka,SCONJ,323
147,draud,VERB,1
148,nāves,NOUN,13
149,sods,NOUN,2
150,otra,NUM,10
151,ismēne,PROPN,1
152,atsakās,VERB,2
153,pārkāpt,VERB,1
154,kreonta,PROPN,1
155,aizliegumu,NOUN,1
156,palīdzēt,VERB,4
157,māsai,NOUN,1
158,beigās,NOUN,8
159,izdara,VERB,1
160,pašnāvību,NOUN,3
161,pakaroties,VERB,1
162,aizstāv,VERB,1
163,laulību,NOUN,2
164,sargā,VERB,1
165,laulības,NOUN,3
166,saišu,NOUN,1
167,nepārkāpjamo,VERB,1
168,svētumu,NOUN,1
169,dod,VERB,8
170,laulātajiem,VERB,1
171,draugiem,NOUN,4
172,daudz,ADV,30
173,pēcnācēju,NOUN,1
174,bērnam,NOUN,4
175,dzimstot,VERB,1
176,mātei,NOUN,8
177,svētību,NOUN,1
178,psihologi,NOUN,1
179,pierādījuši,VERB,1
180,tas,PRON,135
181,ko,PRON,104
182,apkārtējie,ADJ,1
183,cilvēki,NOUN,16
184,domā,VERB,8
185,mums,PRON,25
186,ļoti,ADV,38
187,ietekmē,VERB,4
188,mūsu,PRON,14
189,pašnovērtējumu,NOUN,1
190,uzvedību,NOUN,1
191,sena,ADJ,1
192,ķīniešu,NOUN,2
193,leģenda,NOUN,1
194,vēsta,VERB,1
195,pirms,ADP,19
196,pieciem,NUM,2
197,tūkstošiem,NOUN,3
198,gadu,NOUN,12
199,leģendārais,ADJ,1
200,ķīnas,PROPN,1
201,imperators,NOUN,2
202,šennongs,PROPN,1
203,nobaudījis,VERB,1
204,pasaulē,NOUN,9
205,pirmo,ADJ,9
206,tējas,NOUN,8
207,malku,NOUN,1
208,kādā,DET,12
209,atpūtas,NOUN,3
210,brīdī,NOUN,4
211,kad,ADV,96
212,sēdējis,VERB,1
213,zem,ADP,18
214,koka,NOUN,7
215,dzēris,VERB,2
216,vārītu,VERB,1
217,ūdeni,NOUN,10
218,sacēlies,VERB,1
219,vējš,NOUN,7
220,imperatora,NOUN,2
221,krūzē,NOUN,1
222,iepūtis,VERB,1
223,pāris,ADV,10
224,lapas,NOUN,5
225,ūdens,NOUN,20
226,pamazām,ADV,5
227,mainījis,VERB,2
228,krāsu,NOUN,10
229,gaisā,NOUN,6
230,uzvirmojis,VERB,1
231,līdz,ADP,43
232,tam,PRON,48
233,vēl,ADV,78
234,nepazīts,VERB,1
235,aromāts,NOUN,1
236,ziņkārības,NOUN,1
237,mudināts,VERB,1
238,valdnieks,NOUN,1
239,nolēmis,VERB,1
240,nogaršot,VERB,1
241,šo,DET,42
242,dzērienu,NOUN,1
243,piedzīvojis,VERB,1
244,patīkamu,VERB,1
245,pārsteigumu,NOUN,2
246,dzēriens,NOUN,3
247,ne,CCONJ,34
248,tikai,PART,99
249,labi,ADV,24
250,garšojis,VERB,1
251,arī,CCONJ,41
252,acumirklī,NOUN,5
253,kliedējis,VERB,1
254,nogurumu,NOUN,1
255,kopš,ADP,3
256,tiem,DET,5
257,laikiem,NOUN,2
258,tēja,NOUN,3
259,cilvēcei,NOUN,1
260,kalpo,VERB,1
261,kā,SCONJ,130
262,lielisks,ADJ,2
263,atspirdzinošs,VERB,1
264,nozīmīgs,ADJ,1
265,ārstniecības,NOUN,7
266,līdzeklis,NOUN,2
267,ķīnā,PROPN,1
268,vēsturiski,ADV,1
269,tiek,AUX,28
270,dalīta,VERB,1
271,uzlējumu,NOUN,1
272,skaita,NOUN,1
273,pirmais,ADJ,6
274,uzlējums,NOUN,2
275,paredzēts,VERB,1
276,noskalošanai,NOUN,1
277,tādēļ,ADV,14
278,nav,AUX,94
279,dzerams,VERB,1
280,uzreiz,ADV,10
281,liets,VERB,1
282,ārā,ADV,17
283,tējkannas,NOUN,1
284,dzeramie,VERB,1
285,uzlējumi,NOUN,1
286,nākamie,ADJ,1
287,tradicionāli,ADV,1
288,trešais,ADJ,2
289,piektais,ADJ,2
290,uzskatīti,VERB,1
291,labākajiem,ADJ,1
292,taču,CCONJ,33
293,dažādiem,ADJ,3
294,veidiem,NOUN,5
295,lapu,NOUN,3
296,atvēršanās,NOUN,1
297,mēdz,VERB,5
298,atšķirīga,ADJ,3
299,reizēm,ADV,2
300,labākās,ADJ,1
301,īpašības,NOUN,2
302,atklājas,VERB,1
303,vai,CCONJ,115
304,vairāk,ADV,18
305,uzlējumiem,NOUN,1
306,pēdējā,ADJ,7
307,zīmīgā,ADJ,1
308,bita,NOUN,1
309,metode,NOUN,1
310,viena,NUM,24
311,pazīstamākajām,VERB,1
312,datorsteganogrāfijas,NOUN,1
313,metodēm,NOUN,2
314,grafiskajos,ADJ,1
315,failos,NOUN,1
