,word,POS,count
1,siūloma,VERB,4
2,viešinti,VERB,3
3,aukštųjų,ADJ,5
4,mokyklų,NOUN,6
5,vadovų,NOUN,13
6,atlyginimus,NOUN,3
7,siekiant,VERB,13
8,skaidrumo,NOUN,8
9,ir,CCONJ,954
10,viešumo,NOUN,1
11,universitetų,NOUN,7
12,rektorių,NOUN,1
13,",",PUNCT,2865
14,fakultetų,NOUN,1
15,institutų,NOUN,1
16,kitų,PRON,23
17,aukštas,ADJ,3
18,pareigas,NOUN,2
19,mokslo,NOUN,26
20,įstaigose,NOUN,1
21,užimančių,VERB,1
22,asmenų,NOUN,13
23,darbo,NOUN,36
24,užmokestį,NOUN,1
25,kitas,PRON,13
26,pajamas,NOUN,7
27,.,PUNCT,1688
28,tokią,DET,6
29,išvadą,NOUN,2
30,priėjo,VERB,1
31,trečiadienį,NOUN,3
32,posėdžiavęs,VERB,1
33,seimo,NOUN,9
34,švietimo,NOUN,11
35,kultūros,NOUN,137
36,komitetas,NOUN,1
37,(,PUNCT,206
38,šmkk,X,2
39,),PUNCT,278
40,anot,ADP,6
41,nario,NOUN,2
42,manto,PROPN,1
43,adomėno,PROPN,1
44,dabartinės,ADJ,1
45,algos,NOUN,1
46,sunkmečiu,NOUN,1
47,kelia,VERB,5
48,visuotinį,ADJ,1
49,pasipiktinimą,NOUN,1
50,derėtų,VERB,1
51,pasak,ADP,5
52,ministerijos,NOUN,5
53,šmm,X,3
54,sekretoriaus,NOUN,1
55,giedriaus,PROPN,1
56,viliūno,PROPN,1
57,padalinių,NOUN,1
58,atlyginimai,NOUN,1
59,yra,AUX,138
60,ypač,ADV,16
61,aukšti,ADJ,1
62,o,CCONJ,129
63,iš,ADV,36
64,viso,X,3
65,jie,PRON,55
66,gauna,VERB,1
67,dideles,ADJ,1
68,nes,SCONJ,52
69,yra,VERB,35
70,keletas,PRON,2
71,pajamų,NOUN,5
72,šaltinių,NOUN,9
73,atstovo,NOUN,1
74,teigimu,NOUN,1
75,tokia,DET,12
76,situacija,NOUN,10
77,susiklosto,VERB,1
78,dėl,ADV,5
79,to,X,11
80,kad,SCONJ,252
81,dažnai,ADV,8
82,universiteto,NOUN,6
83,padalinio,NOUN,1
84,vadovas,NOUN,1
85,užima,VERB,1
86,keletą,PRON,6
87,pareigybių,NOUN,1
88,-,PUNCT,136
89,ir,PART,175
90,dėsto,VERB,1
91,imasi,VERB,1
92,mokslinės,ADJ,4
93,veiklos,NOUN,14
94,bei,CCONJ,74
95,pasitaiko,VERB,1
96,net,PART,44
97,tokių,DET,10
98,atvejų,NOUN,3
99,kai,SCONJ,43
100,žmogus,NOUN,12
101,dirba,VERB,3
102,penkiais,NUM,2
103,etatais,NOUN,2
104,„,PUNCT,196
105,teisiniu,ADJ,2
106,požiūriu,NOUN,6
107,tai,DET,106
108,visiškai,ADV,11
109,teisėta,ADJ,1
110,ar,PART,14
111,humaniška,ADJ,1
112,gerai,ADV,13
113,klausimas,NOUN,6
114,“,PUNCT,188
115,kalbėjo,VERB,3
116,g,X,1
117,viliūnas,PROPN,1
118,sekretorius,NOUN,1
119,pabrėžė,VERB,3
120,planuojamoje,VERB,1
121,aukštojo,ADJ,4
122,reformoje,NOUN,1
123,įsigaliojus,VERB,1
124,studijų,NOUN,9
125,įstatymui,NOUN,1
126,tarybos,NOUN,8
127,nustatys,VERB,2
