,word,POS,count
1,auntie,NOUN,1
2,<,X,724
3,good,ADJ,30
4,morning,NOUN,16
5,//,X,1517
6,!//,X,176
7,how,ADV,54
8,you,PRON,413
9,dey,VERB,147
10,now,ADV,145
11,?//,X,154
12,i,PRON,747
13,fine,ADJ,10
14,your,PRON,53
15,night,NOUN,11
16,we,PRON,259
17,thank,VERB,4
18,god,PROPN,44
19,hope,VERB,5
20,sey,SCONJ,334
21,[,X,369
22,sleep,VERB,11
23,well,ADV,64
24,],X,264
25,ah,INTJ,56
26,my,PRON,239
27,sister,NOUN,27
28,o,PART,158
29,una,PRON,39
30,get,VERB,114
31,light,NOUN,8
32,for,ADP,284
33,area,NOUN,9
34,last,ADJ,22
35,no,AUX,351
36,wetin,PRON,82
37,happen,VERB,20
38,toh,INTJ,35
39,na,AUX,450
40,nepa,PROPN,3
41,aha,INTJ,18
42,dese,DET,10
43,people,NOUN,59
44,hear,VERB,26
45,de,PRON,203
46,dey,AUX,581
47,share,VERB,2
48,di,DET,498
49,tin,NOUN,12
50,tire,VERB,10
51,me,PRON,256
52,eh,INTJ,97
53,{,X,479
54,just,ADV,112
55,am,PRON,302
56,|c,X,248
57,but,CCONJ,82
58,go,AUX,418
59,bring,VERB,15
60,big,ADJ,7
61,bill,NOUN,3
62,},X,479
63,our,PRON,46
64,&//,X,127
65,in,ADP,59
66,fact,NOUN,14
67,dat,DET,110
68,anoder,DET,12
69,again,ADV,30
70,so,ADV,230
71,>,X,15
72,much,ADJ,9
73,||,X,354
74,give,VERB,71
75,seven,NUM,9
76,thousand,NUM,12
77,jesus,PROPN,1
78,wey,SCONJ,190
79,see,VERB,68
80,kill,VERB,4
81,person,NOUN,39
82,manage,VERB,8
83,business,NOUN,3
84,eyah,INTJ,5
85,help,VERB,18
86,us,PRON,51
87,amen,INTJ,2
88,e,PRON,328
89,one,DET,25
90,soup,NOUN,29
91,like,ADP,55
92,dat,PRON,28
93,mama,PROPN,2
94,maro,PROPN,1
95,bin,AUX,10
96,teach,VERB,21
97,make,VERB,39
98,sense,NOUN,13
99,ibo,PROPN,1
100,ehn,INTJ,40
101,know,VERB,81
102,like,VERB,29
103,too,ADV,26
104,shebi,ADV,2
105,banga,NOUN,14
106,okay,INTJ,60
107,it's,AUX,1
108,come,VERB,103
109,and,CCONJ,110
110,do,VERB,160
111,|r,X,78
112,abi,CCONJ,6
113,meh,AUX,66
114,fit,AUX,75
115,tell,VERB,100
116,take,VERB,76
117,cook,VERB,24
118,junior,ADJ,5
119,small,ADJ,55
120,say,VERB,151
121,parboil,VERB,2
122,//],X,65
123,ehen,INTJ,20
124,after,ADP,23
125,come,AUX,19
126,pound,VERB,7
127,yes,INTJ,9
128,when,ADV,50
129,<+,X,3
130,filter,VERB,3
131,den,ADV,34
132,put,VERB,64
133,ingredient,NOUN,1
134,inside,ADP,43
135,>+,X,241
136,teacher,NOUN,3
137,ch~,X,1
138,which,DET,20
139,as,ADP,90
140,food,NOUN,30
141,swallow,NOUN,2
142,use,VERB,38
143,to,ADP,184
144,eat,VERB,48
145,hey,INTJ,12
146,starch,NOUN,10
147,or,CCONJ,31
148,eba,NOUN,5
149,oh,INTJ,6
150,confirm,VERB,2
151,hm,INTJ,22
152,hehe,INTJ,4
153,f~,X,5
154,go,VERB,268
155,one,NOUN,82
156,pass,VERB,25
157,dis,DET,166
158,before,ADP,32
159,here,ADV,24
160,mtschew,INTJ,19
161,why,ADV,18
162,drink,VERB,4
163,tea,NOUN,2
164,who,PRON,14
165,sha,PART,18
166,rice,NOUN,3
167,sweet,ADJ,4
168,any,DET,23
169,news,NOUN,3
170,sis~,X,1
171,concerning,VERB,1
172,issue,NOUN,5
173,wan,VERB,95
174,cut,VERB,8
175,tomorrow,NOUN,10
176,abeg,INTJ,18
177,make,AUX,85
178,because,SCONJ,73
179,don,AUX,147
180,dem,PRON,144
181,masef,PART,1
182,even,ADV,91
183,money,NOUN,73
184,pay,VERB,18
185,wahala,NOUN,8
186,everywhere,ADV,6
187,dry,ADJ,3
188,no,PART,41
189,pray,VERB,12
190,make,SCONJ,19
191,if,SCONJ,158
192,means,VERB,2
193,all,DET,34
194,whole,ADJ,5
195,deir,PRON,11
196,no,DET,3
197,at,ADP,25
198,all,PRON,14
199,kai,INTJ,3
200,try,VERB,37
201,sure,ADJ,6
202,sef,PART,43
203,haha,INTJ,11
204,madam,NOUN,2
205,market,NOUN,15
206,next,ADJ,13
207,day,NOUN,31
208,gwagwalada,PROPN,3
209,kwali,PROPN,2
210,first,ADV,9
211,kw~,X,1
212,be,VERB,32
213,buy,VERB,41
214,some,DET,31
215,kind,ADJ,21
216,shop,NOUN,18
217,tins,NOUN,9
218,kind,NOUN,4
219,need,VERB,10
220,what,PRON,2
221,shampoo,NOUN,2
222,provision,NOUN,2
223,dere,ADV,30
224,true,ADJ,1
225,attach,NOUN,1
226,ba,PART,2
227,product,NOUN,2
228,wo~,X,2
229,would,AUX,2
230,call,VERB,35
231,house,NOUN,44
232,wait,VERB,14
233,problem,NOUN,13
234,mey,AUX,7
235,hustle,VERB,14
236,so,SCONJ,21
237,dat,SCONJ,20
238,enough,ADJ,4
239,number,NOUN,9
240,week,NOUN,3
241,still,ADV,25
242,im,PRON,175
243,x,X,6
244,sometime,ADV,2
245,ayah,INTJ,1
246,network,NOUN,2
247,flash,VERB,1
248,with,ADP,12
249,leave,VERB,13
250,expect,VERB,3
251,church,NOUN,9
252,cac,PROPN,3
253,comot,VERB,26
254,pathfinders,PROPN,1
255,jor,INTJ,1
256,preach,VERB,2
257,programme,NOUN,5
258,upcoming,ADJ,1
259,third,ADJ,3
260,friday,PROPN,2
261,of,ADP,105
262,month,NOUN,10
263,vigil,NOUN,3
264,hot,ADJ,6
265,be,AUX,141
266,invite,VERB,1
267,own,ADJ,20
268,women,NOUN,7
269,enjoy,VERB,5
270,will,AUX,8
271,many,ADJ,8
272,//=,X,170
273,care,NOUN,3
274,home,NOUN,10
275,family,NOUN,6
276,prepare,VERB,9
277,moh,AUX,12
278,meh,SCONJ,17
279,keep,VERB,5
280,till,ADP,7
281,#,X,1804
282,name,NOUN,3
283,charity,PROPN,4
284,from,ADP,33
285,delta,PROPN,2
286,state,NOUN,7
287,mama,NOUN,14
288,papa,NOUN,22
289,born,VERB,17
290,grow,VERB,12
291,up,ADP,32
292,abuja,PROPN,5
293,parents,NOUN,7
294,carry,VERB,65
295,travel,VERB,9
296,always,ADV,3
297,school,NOUN,64
298,never,AUX,16
299,finish,VERB,26
300,//+,X,6
301,cause,SCONJ,1
302,con,AUX,387
303,learn,VERB,19
304,hairdressing,NOUN,2
305,plait,VERB,1
306,hair,NOUN,1
307,neighbours,NOUN,1
308,mysef,PRON,6
309,fe~,X,1
310,tings,NOUN,24
311,disturb,VERB,1
312,moder,NOUN,11
313,she,PRON,37
314,everybody,PRON,21
315,dad,NOUN,2
316,fader,NOUN,8
317,benin,PROPN,4
318,work,VERB,32
319,life,NOUN,20
320,easy,ADJ,7
321,hard,ADJ,6
322,naija,PROPN,11
323,suffer,VERB,12
324,cost,ADJ,6
325,die,VERB,10
326,year,NOUN,18
327,(,X,21
328,mah,AUX,23
329,),X,14
330,two,NUM,22
331,hundred,NUM,6
332,six,NUM,4
333,are,AUX,8
334,on,ADP,16
335,your,ADJ,4
336,hunger,NOUN,4
337,salon,NOUN,2
338,admission,NOUN,22
339,cry,VERB,3
340,time,NOUN,46
341,?//],X,22
342,registration,NOUN,1
343,almost,ADV,6
344,three,NUM,13
345,four,NUM,5
346,resume,VERB,1
347,open,VERB,6
348,door,NOUN,3
349,country,NOUN,25
350,way,NOUN,10
351,back,ADV,34
352,norm~,X,1
353,nothing,PRON,5
354,ma,PART,5
355,customers,NOUN,1
356,price,VERB,2
357,low,ADJ,2
358,some,PRON,26
359,where,ADV,39
360,hand,NOUN,15
361,wonder,VERB,5
362,broders,NOUN,1
363,sisters,NOUN,1
364,voice,NOUN,1
365,anywhere,ADV,3
366,anyting,PRON,14
367,first,ADJ,17
368,without,ADP,2
369,not,PART,5
370,do,AUX,2
371,n't,PART,2
372,have,VERB,2
373,hardworking,ADJ,2
374,meet,VERB,23
375,near,ADJ,2
376,forget,VERB,8
377,stuff,NOUN,1
378,write,VERB,10
379,jamb,PROPN,6
380,mind,NOUN,1
381,maybe,ADV,9
382,mah,SCONJ,2
383,favour,VERB,1
384,schools,NOUN,2
385,start,VERB,23
386,lectures,NOUN,1
387,everyday,ADV,4
388,tink,VERB,8
389,naim,ADV,45
390,kuma,ADV,2
391,about,ADP,21
392,look,VERB,25
393,work,NOUN,71
394,complete,VERB,3
395,weeks,NOUN,5
396,promise,VERB,3
397,worry,VERB,6
398,means,NOUN,1
399,lecture,NOUN,4
400,noting,PRON,12
401,face,VERB,4
402,receive,VERB,3
403,call,NOUN,2
404,unexpected,ADJ,2
405,hello,INTJ,1
406,?//=,X,6
407,speak,VERB,2
408,collect,VERB,18
409,letter,NOUN,9
410,comes,VERB,1
411,fast,ADJ,5
412,today,NOUN,8
413,oga,NOUN,30
414,him,PRON,1
415,togeder,ADV,2
416,happy,ADJ,2
417,transport,NOUN,2
418,oya,INTJ,5
419,place,NOUN,33
420,queue,NOUN,2
421,her,PRON,13
422,office,NOUN,2
423,!//=,X,11
424,since,ADP,12
425,!//],X,14
426,tank,VERB,4
427,sit,VERB,8
428,down,ADP,18
429,chair,NOUN,1
430,yoursef,PRON,1
431,comfortable,ADJ,1
432,want,VERB,18
433,woman,NOUN,14
434,everyting,PRON,16
435,receipt,NOUN,5
436,fees,NOUN,3
437,one,NUM,43
438,president,NOUN,2
439,pikin,NOUN,37
440,check,VERB,1
441,timetable,NOUN,1
442,is,AUX,9
443,wonderful,ADJ,1
444,ting,NOUN,28
445,ever,ADV,1
446,writing,VERB,2
447,ssce,PROPN,3
448,job,NOUN,2
449,wheder,CCONJ,2
450,menial,ADJ,1
451,started,VERB,1
452,times,NOUN,3
453,follow,VERB,18
454,site,NOUN,15
455,labourer,NOUN,1
456,myself,PRON,10
457,mehn,INTJ,2
458,become,VERB,11
459,human,NOUN,1
460,being,NOUN,1
461,handwork,NOUN,3
462,elder,ADJ,1
463,broder,NOUN,9
464,lagos,PROPN,1
465,boy,NOUN,9
466,man,NOUN,72
467,somebody,PRON,2
468,out,ADP,17
469,least,ADV,7
470,patch,VERB,2
471,en~,X,1
472,enquiry,NOUN,1
473,reach,VERB,26
474,waka,VERB,10
475,street,NOUN,1
476,find,VERB,12
477,talk,VERB,95
478,luck,NOUN,1
479,sabi,VERB,15
480,e,DET,1
481,agreement,NOUN,1
482,amount,NOUN,2
483,ten,NUM,5
484,naira,NOUN,13
485,sign,VERB,3
486,malta,NOUN,1
487,mineral,NOUN,1
488,biscuit,NOUN,1
489,end,NOUN,4
490,a,DET,21
491,free,VERB,3
492,meh,VERB,2
493,youself,PRON,1
494,feed,VERB,4
495,settle,VERB,4
496,serve,VERB,1
497,months,NOUN,4
498,making,VERB,2
499,s~,X,5
500,eight,NUM,5
501,nine,NUM,3
502,mon~,X,1
503,se~,X,1
504,upon,ADP,1
505,millionaire,NOUN,1
506,dis,PRON,7
507,ni,PART,2
508,complimentary,NOUN,1
509,card,NOUN,3
510,aluminium,NOUN,4
511,technician,NOUN,2
512,design,VERB,2
513,window,NOUN,2
514,sliding,ADJ,1
515,net,NOUN,1
516,case,NOUN,2
517,casement,NOUN,1
518,swing,VERB,2
519,contract,NOUN,1
520,hit,VERB,2
521,friend,NOUN,11
522,thinking,VERB,1
523,sometin,PRON,2
524,charge,VERB,1
525,sixty,NUM,2
526,hungry,NOUN,2
527,extend,NOUN,6
528,forty,NUM,1
529,material,NOUN,2
530,remaining,ADJ,1
531,twenty,NUM,6
532,swallow,VERB,17
533,highest,ADJ,1
534,talk,NOUN,2
535,goes,VERB,1
536,enter,VERB,19
537,bele,NOUN,1
538,survive,VERB,2
539,hence,ADV,1
540,create,VERB,3
541,huma~,X,1
542,lot,NOUN,3
543,cross,NOUN,1
544,style,NOUN,1
545,technicians,NOUN,1
546,view,VERB,1
547,extend,VERB,1
548,back,NOUN,8
549,later,ADJ,4
550,confess,VERB,1
551,recently,ADV,2
552,handle,VERB,4
553,mana~,X,1
554,engineer,NOUN,2
555,supervise,VERB,1
556,building,NOUN,1
557,throw,VERB,1
558,aw~,X,1
559,ar~,X,2
560,windows,NOUN,1
561,interesting,ADJ,2
562,part,NOUN,3
563,journalism,NOUN,1
564,discuss,VERB,2
565,attitude,NOUN,2
566,anoda,DET,3
567,lead,VERB,1
568,story,NOUN,4
569,entirely,ADV,1
570,em,INTJ,2
571,remember,VERB,5
572,america,PROPN,2
573,election,NOUN,2
574,obama,PROPN,5
575,contest,VERB,1
576,fortunately,ADV,1
577,journalist,NOUN,1
578,cover,VERB,2
579,begin,VERB,7
580,interview,VERB,3
581,notice,VERB,1
582,young,ADJ,6
583,eveybody,PRON,1
584,weda,SCONJ,4
585,white,ADJ,1
586,black,ADJ,2
587,asian,ADJ,1
588,old,ADJ,9
589,interested,ADJ,3
590,ask,VERB,16
591,difference,NOUN,2
592,normal,ADJ,2
593,jumpy,ADJ,2
594,new,ADJ,8
595,dose,DET,8
596,most,ADJ,5
597,interest,NOUN,2
598,cos,CCONJ,1
599,feel,VERB,1
600,shout,VERB,4
601,hosanna,INTJ,1
602,matter,NOUN,11
603,remain,VERB,1
604,same,ADJ,3
605,york,PROPN,1
606,texas,PROPN,1
607,washington,PROPN,1
608,vote,VERB,6
609,opportunity,NOUN,2
