,word,POS,count
1,lam,NOUN,2
2,og,CCONJ,829
3,piggvar,NOUN,3
4,på,SCONJ,33
5,bryllupsmenyen,NOUN,1
6,kamskjell,NOUN,2
7,",",PUNCT,1319
8,lammefilet,NOUN,1
9,sto,VERB,10
10,på,ADP,435
11,menyen,NOUN,1
12,under,ADP,35
13,den,DET,174
14,kongelige,ADJ,8
15,gallamiddagen,NOUN,3
16,.,PUNCT,1783
17,til,ADP,367
18,dessert,NOUN,1
19,:,PUNCT,86
20,parfait,PROPN,2
21,à,X,2
22,la,X,3
23,mette-marit,PROPN,14
24,forretten,NOUN,1
25,lyder,VERB,1
26,navnet,NOUN,7
27,"""",PUNCT,150
28,coquilles,PROPN,1
29,st.,PROPN,1
30,jacques,PROPN,1
31,prince,PROPN,1
32,de,X,3
33,norvege,PROPN,1
34,som,PRON,356
35,er,AUX,606
36,grillet,ADJ,1
37,norsk,ADJ,22
38,spekeskinke,NOUN,1
39,-,PUNCT,257
40,med,ADP,271
41,trøffelhonningvinaigrette,NOUN,1
42,ruccolasalat,NOUN,1
43,ristede,ADJ,1
44,gresskarkjerner,NOUN,1
45,deretter,ADV,4
46,fulgte,VERB,3
47,turbot,PROPN,1
48,au,X,1
49,four,PROPN,1
50,purée,X,1
51,chou-fleur,X,1
52,det,PRON,485
53,ovnsbakt,ADJ,1
54,dandert,VERB,1
55,ingefærmarinert,ADJ,1
56,klasetomatbåter,NOUN,1
57,blomkålpuré,NOUN,1
58,drysset,VERB,1
59,finhakket,ADJ,1
60,gressløk,NOUN,1
61,fransk,ADJ,5
62,smørsaus,NOUN,1
63,appelsin,NOUN,1
64,fenikkelsmak,NOUN,1
65,hovedretten,NOUN,1
66,filet,PROPN,1
67,d'agneau,X,1
68,girolles,X,1
69,a,X,1
70,creme,X,1
71,ytrefilet,NOUN,1
72,av,ADP,404
73,kremet,ADJ,1
74,kantareller,NOUN,1
75,i,ADP,1025
76,nepe,NOUN,1
77,bakt,ADJ,1
78,minisquash,NOUN,1
79,lettrøkte,ADJ,1
80,rødbeter,NOUN,1
81,rissolepoteter,NOUN,1
82,rosmarinsjy,NOUN,1
83,desserten,NOUN,1
84,coulis,X,1
85,muron,X,1
86,arctique,X,1
87,består,VERB,2
88,snøfrisk,PROPN,1
89,yoghurtisparfait,NOUN,1
90,friske,ADJ,4
91,norske,ADJ,43
92,bringebær,NOUN,1
93,blåbær,NOUN,1
94,bjørnebær,NOUN,1
95,samt,CCONJ,6
96,multemousse,NOUN,1
97,multecoulis,NOUN,1
98,benket,VERB,1
99,bryllupsmiddag,NOUN,1
100,litt,ADJ,14
101,forsinket,ADJ,1
102,klokken,NOUN,10
103,20.25,NUM,1
104,satte,VERB,7
105,bryllupsgjestene,NOUN,1
106,seg,PRON,130
107,bords,NOUN,3
108,for,SCONJ,124
109,å,PART,443
110,nyte,VERB,1
111,slottet,PROPN,5
112,galla,NOUN,1
113,utsøkte,ADJ,1
114,festantrekk,NOUN,1
115,kom,VERB,40
116,de,PRON,108
117,bryllupsmiddagen,NOUN,1
118,presidenter,NOUN,2
119,familiemedlemmer,NOUN,1
120,venner,NOUN,1
