,word,POS,count
1,lors,ADV,71
2,encontra,VERB,3
3,en,ADP,342
4,une,DET,121
5,valee,NOUN,7
6,le,DET,229
7,chevalier,NOUN,60
8,qui,PRON,365
9,ses,DET,40
10,armes,NOUN,25
11,en,ADV,152
12,avoit,AUX,63
13,aporté,VERB,3
14,avant,ADP,3
15,hier,ADV,2
16,.,PUNCT,823
17,quant,SCONJ,211
18,cil,PRON,103
19,le,PRON,165
20,vit,VERB,34
21,venir,VERB,20
22,si,ADV,597
23,nel,PRON,17
24,salua,VERB,2
25,pas,ADV,44
26,",",PUNCT,1602
27,ainz,ADV,27
28,li,PRON,223
29,dist,VERB,88
30,:,PUNCT,106
31,«,PUNCT,106
32,garde,VERB,3
33,toi,PRON,25
34,de,ADP,652
35,moi,PRON,53
36,lancelot,PROPN,93
37,car,CCONJ,142
38,tu,PRON,114
39,es,AUX,11
40,morz,VERB,15
41,se,SCONJ,102
42,ne,ADV,328
43,te,PRON,40
44,puez,AUX,5
45,deffendre,VERB,2
46,»,PUNCT,105
47,vient,VERB,21
48,glaive,NOUN,7
49,aloignié,VERB,1
50,et,CCONJ,1513
51,fiert,VERB,9
52,durement,ADV,17
53,qu',SCONJ,299
54,il,PRON,998
55,perce,VERB,1
56,l',DET,150
57,escu,NOUN,8
58,hauberc,NOUN,6
59,mes,CCONJ,102
60,char,NOUN,3
61,touche,VERB,1
62,son,DET,128
63,pooir,NOUN,16
64,i,ADV,155
65,met,VERB,20
66,abat,VERB,4
67,lui,PRON,59
68,cheval,NOUN,43
69,a,ADP,497
70,terre,NOUN,20
71,felenessement,ADV,1
72,poi,ADV,6
73,a,AUX,63
74,col,NOUN,2
75,brisié,VERB,1
76,point,VERB,2
77,oultre,ADV,3
78,revient,VERB,2
79,arriere,ADV,5
80,voit,VERB,41
81,ja,ADV,49
82,se,PRON,144
83,relevoit,VERB,1
84,prent,VERB,14
85,au,ADP,93
86,frain,NOUN,5
87,meine,VERB,2
88,.i.,DET,75
89,arbre,NOUN,7
90,l',PRON,88
91,atache,VERB,3
92,por,ADP,149
93,ce,PRON,264
94,que,SCONJ,479
95,li,DET,332
96,chevaliers,NOUN,59
97,truist,VERB,1
98,prest,ADJ,1
99,relevera,VERB,1
100,fet,VERB,131
101,la,DET,481
102,voie,NOUN,21
103,chevauche,VERB,5
104,jusqu',ADP,21
105,soir,NOUN,6
106,fu,AUX,112
107,vains,ADJ,2
108,las,ADJ,5
109,com,SCONJ,98
110,n',ADV,179
111,mengié,VERB,6
112,tot,DET,8
113,jor,NOUN,33
114,ne,CCONJ,150
115,autre,PRON,39
116,devant,ADV,19
117,ot,AUX,50
118,chevauchié,VERB,4
119,.ii.,NUM,21
120,granz,ADJ,30
121,jornees,NOUN,4
122,assez,ADV,25
123,orent,AUX,19
124,grevé,VERB,1
125,travaillié,VERB,2
126,tant,ADV,118
127,vint,VERB,50
128,par,ADP,129
129,devant,ADP,44
130,un,DET,38
131,hermitage,NOUN,3
132,estoit,VERB,34
133,montaingne,NOUN,4
134,regarde,VERB,2
135,cele,DET,38
136,part,NOUN,26
137,uis,NOUN,14
138,seoir,VERB,5
139,hermite,NOUN,6
140,vielz,ADJ,2
141,hons,NOUN,14
142,anciens,ADJ,1
143,estoit,AUX,62
144,mout,ADV,124
145,liez,ADJ,8
146,salue,VERB,2
147,rent,VERB,6
148,salu,NOUN,4
149,bel,ADJ,13
150,cortoisement,ADV,1
151,sire,NOUN,47
152,porriez,AUX,2
153,vos,PRON,277
154,herbergier,VERB,2
155,errant,VERB,2
156,?,PUNCT,15
157,-,PUNCT,60
158,biau,ADJ,6
159,preudons,NOUN,23
160,s',SCONJ,47
161,plest,VERB,13
162,je,PRON,189
163,herbergerai,VERB,1
164,huimés,ADV,6
165,mielz,NOUN,2
166,que,PRON,133
167,porrai,VERB,1
168,donrai,VERB,2
169,mengier,VERB,4
170,diex,PROPN,24
171,nos,PRON,75
172,presté,VERB,1
173,dit,VERB,46
174,demande,VERB,16
175,mielz,ADV,7
176,apentiz,NOUN,2
177,ostel,NOUN,11
178,oste,VERB,9
179,meïsmes,ADJ,11
180,sele,NOUN,6
181,done,VERB,5
182,erbe,NOUN,5
183,dom,PRON,21
184,avoit,VERB,47
185,laienz,ADV,51
186,plenté,NOUN,4
187,puis,ADV,34
188,porte,VERB,5
189,est,AUX,161
190,touz,ADV,4
191,desarmez,VERB,1
192,oï,VERB,20
193,vespres,NOUN,4
194,home,NOUN,21
195,fame,NOUN,9
196,meson,NOUN,12
197,recet,NOUN,2
198,fors,ADP,6
199,sol,ADJ,3
200,qu',PRON,69
201,ore,ADV,15
202,midi,NOUN,5
203,s',PRON,134
204,entre,VERB,13
205,sa,DET,67
206,chapele,NOUN,15
207,apele,VERB,4
208,clerc,NOUN,1
209,comence,VERB,10
210,dou,ADP,73
211,mere,NOUN,4
212,dieu,PROPN,34
213,apartenoit,VERB,2
214,issi,VERB,10
215,quel,DET,18
216,païs,NOUN,19
217,devise,VERB,3
218,estre,NOUN,12
219,çoile,VERB,1
220,mie,ADV,50
221,chose,NOUN,50
222,avenue,VERB,4
223,soit,AUX,21
224,del,ADP,59
225,saint,ADJ,39
226,graal,PROPN,16
227,ot,VERB,55
228,ceste,DET,67
229,aventure,NOUN,39
230,sil,ADV,1
231,grant,ADJ,133
232,pitié,NOUN,11
233,comença,VERB,9
234,plorer,VERB,6
235,des,ADP,61
236,conta,VERB,1
237,requiert,VERB,5
238,ou,ADP,37
239,non,NOUN,24
240,sainte,ADJ,8
241,marie,PROPN,1
242,creance,NOUN,5
243,die,VERB,6
244,toute,DET,14
245,confession,NOUN,2
246,tout,DET,14
247,fera,VERB,4
248,volentiers,ADV,11
249,puis,ADP,20
250,velt,VERB,3
251,remeine,VERB,1
252,conte,VERB,10
253,vie,NOUN,23
254,einsi,ADV,52
255,autre,DET,23
256,foiz,NOUN,26
257,contee,VERB,3
258,conselt,VERB,1
259,s',DET,10
260,ame,NOUN,15
261,oïe,VERB,6
262,reconforte,VERB,1
263,aseure,VERB,1
264,bones,ADJ,5
265,paroles,NOUN,6
266,trop,ADV,31
267,plus,ADV,104
268,aeise,ADJ,6
269,conseilliez,VERB,1
270,demanderai,VERB,1
271,savez,VERB,4
272,dites,VERB,14
273,est,VERB,43
274,riens,PRON,13
275,donc,PRON,26
276,conseil,VERB,1
277,mon,DET,37
278,m',PRON,66
279,avint,VERB,26
280,dormant,NOUN,9
281,anuit,ADV,3
282,venoit,VERB,13
283,uns,DET,21
284,toz,ADV,22
285,avironnez,VERB,3
286,d',ADP,103
287,estoiles,NOUN,3
288,compaignie,NOUN,16
289,.vii.,NUM,7
290,rois,NOUN,37
291,tout,PRON,3
292,mot,NOUN,13
293,veue,VERB,7
294,parole,NOUN,26
295,ha,INTJ,17
296,.´,PUNCT,47
297,la,PRON,41
298,poïs,AUX,2
299,apertement,ADV,6
300,veoir,VERB,36
301,hautesce,NOUN,1
302,ton,DET,19
303,lignage,NOUN,6
304,descenduz,VERB,5
305,saches,VERB,3
306,veraiement,ADV,8
307,ci,ADV,23
308,a,VERB,46
309,greignor,ADJ,9
310,senefiance,NOUN,13
311,maintes,DET,5
312,genz,NOUN,8
313,cuident,VERB,1
314,or,ADV,59
315,escoute,VERB,3
316,vels,VERB,1
317,dirai,VERB,6
318,comencement,NOUN,8
319,parenté,NOUN,3
320,prendrai,VERB,1
321,loign,ADV,10
322,couvient,VERB,1
323,fere,VERB,31
324,voirs,ADJ,2
