,word,POS,count
1,o,DET,1947
2,objetivo,NOUN,10
3,de,ADP,2556
4,os,DET,422
5,principais,ADJ,12
6,hotéis,NOUN,1
7,a,DET,1581
8,cidade,NOUN,26
9,é,AUX,141
10,que,CCONJ,215
11,hóspede,NOUN,1
12,jamais,ADV,1
13,tenha,AUX,5
14,sair,VERB,9
15,dali,ADV,1
16,e,CCONJ,686
17,gaste,VERB,1
18,a,ADP,420
19,cada,DET,14
20,minuto,NOUN,1
21,estadia,NOUN,1
22,.,PUNCT,1218
23,em,ADP,1065
24,uma,DET,155
25,reunião,NOUN,8
26,entre,ADP,51
27,representantes,NOUN,4
28,secretaria,PROPN,4
29,criança,PROPN,2
30,df,PROPN,4
31,juíza,NOUN,1
32,vara,PROPN,2
33,execuções,PROPN,1
34,medidas,PROPN,2
35,socioeducativas,PROPN,1
36,",",PUNCT,1965
37,lavínia,PROPN,1
38,tupi,PROPN,1
39,vieira,PROPN,2
40,fonseca,PROPN,1
41,ficou,VERB,10
42,acordado,ADJ,1
43,25,NUM,7
44,internos,NOUN,2
45,12,NUM,12
46,serão,AUX,15
47,internados,VERB,1
48,unidade,PROPN,2
49,planaltina,PROPN,1
50,outros,DET,16
51,13,NUM,7
52,devem,AUX,10
53,retornar,VERB,3
54,para,ADP,339
55,recanto,NOUN,1
56,as,DET,293
57,emas,PROPN,1
58,antigo,ADJ,2
59,ciago,PROPN,1
60,mas,CCONJ,64
61,sem,ADP,26
62,dúvida,NOUN,1
63,com,ADP,287
64,educação,NOUN,3
65,tempo,NOUN,24
66,integral,ADJ,1
67,nós,PRON,7
68,vamos,AUX,5
69,colocar,VERB,2
70,nossos,DET,2
71,jovens,NOUN,2
72,nossas,DET,1
73,crianças,NOUN,4
74,7h,NUM,1
75,manhã,NOUN,15
76,escola,NOUN,2
77,eles,PRON,21
78,vão,AUX,8
79,final,NOUN,10
80,tarde,NOUN,11
81,18h,NUM,1
82,devidamente,ADV,2
83,alimentados,VERB,1
84,praticando,VERB,1
85,esporte,NOUN,2
86,tendo,VERB,4
87,profissionalização,NOUN,2
88,aí,ADV,1
89,estar,VERB,11
90,distante,ADV,1
91,também,ADV,70
92,insegurança,NOUN,1
93,ruas,NOUN,5
94,mais,ADV,91
95,longe,ADV,1
96,ainda,ADV,43
97,drogas,NOUN,3
98,totalidade,NOUN,1
99,trecho,NOUN,2
100,ferroviário,ADJ,1
101,maior,ADJ,27
102,parte,NOUN,23
103,rodovias,NOUN,1
104,terão,AUX,3
105,prontas,ADJ,1
106,período,NOUN,10
107,segundo,ADP,42
108,modelo,NOUN,2
109,concessão,NOUN,1
110,2,NUM,16
111,outubro,PROPN,11
112,2009,NUM,3
113,10,NUM,13
114,º,PUNCT,17
115,aniversário,NOUN,1
116,smackdown,PROPN,1
117,the,PROPN,8
118,rock,PROPN,2
119,fez,VERB,15
120,aparição,NOUN,1
121,especial,ADJ,3
122,um,DET,163
123,vídeo,NOUN,3
124,pré,PART,3
125,-,PUNCT,229
126,gravado,ADJ,1
127,gol,PROPN,1
128,comprou,VERB,2
129,webjet,PROPN,1
130,novembro,PROPN,9
131,decidiu,VERB,4
132,fechá,VERB,1
133,la,PRON,4
134,cantor,NOUN,2
135,só,ADV,20
136,precisou,VERB,5
137,vê,VERB,4
138,nadar,VERB,1
139,passar,AUX,1
140,acreditar,VERB,1
141,nadadora,NOUN,1
142,agora,ADV,14
143,equipe,NOUN,17
144,está,AUX,12
145,se,PRON,69
146,acostumando,VERB,1
147,forma,NOUN,16
148,time,NOUN,10
149,jogar,VERB,4
150,isso,PRON,20
151,nos,PRON,6
152,traz,VERB,4
153,diferença,NOUN,9
154,muito,ADV,33
155,grande,ADJ,20
156,véspera,NOUN,1
157,anúncio,NOUN,1
158,desempenho,NOUN,4
159,produto,PROPN,2
160,interno,PROPN,1
161,bruto,PROPN,1
162,(,PUNCT,220
163,pib,PROPN,2
164,),PUNCT,218
165,terceiro,ADJ,9
166,trimestre,NOUN,6
167,por,ADP,340
168,ibge,PROPN,4
169,aumento,NOUN,3
170,trimestral,ADJ,2
171,estimado,VERB,2
172,torno,NOUN,5
173,1,NUM,7
174,%,SYM,68
175,"1,1",NUM,2
176,contra,ADP,31
177,"0,5",NUM,2
178,anterior,ADJ,9
179,cenário,NOUN,3
180,economistas,NOUN,1
181,volta,VERB,1
182,resultado,NOUN,17
183,economia,NOUN,4
184,2013,NUM,10
185,suspensão,NOUN,1
186,matheus,PROPN,1
187,centroavante,NOUN,1
188,zé,PROPN,4
189,roberto,PROPN,7
190,deve,AUX,17
191,atuar,VERB,2
192,lado,NOUN,10
193,ryder,PROPN,1
194,ataque,NOUN,8
195,tricolor,ADJ,2
196,:,PUNCT,55
197,renan,PROPN,2
198,railan,PROPN,1
199,maracás,PROPN,1
200,robson,PROPN,1
201,erick,PROPN,1
202,;,PUNCT,13
203,se,CCONJ,22
204,nenhuma,DET,4
205,providência,NOUN,1
206,for,AUX,4
207,tomada,VERB,2
208,população,NOUN,14
209,vai,AUX,26
210,voltar,AUX,1
211,usar,VERB,3
212,lamparinas,NOUN,1
213,noite,NOUN,6
214,geladeira,NOUN,1
215,querosene,NOUN,1
216,relação,NOUN,17
217,socorro,NOUN,1
218,é,VERB,51
219,necessário,ADJ,3
220,olhar,VERB,2
221,serra,PROPN,4
222,cuidado,NOUN,1
223,será,VERB,5
224,votação,NOUN,3
225,secreta,ADJ,1
226,pode,AUX,24
227,mudar,VERB,3
228,já,ADV,56
229,decidida,ADJ,1
230,cassação,NOUN,1
231,senador,NOUN,4
232,demostenes,PROPN,1
233,torres,PROPN,1
234,?,PUNCT,13
235,você,PRON,6
236,tem,VERB,45
237,chefe,NOUN,1
238,ou,CCONJ,51
239,colega,NOUN,2
240,trabalho,NOUN,16
241,arrogante,ADJ,1
242,prepotente,ADJ,1
243,etapa,NOUN,3
244,xxiii,PROPN,1
245,circuito,PROPN,1
246,estadual,PROPN,7
247,vôlei,PROPN,1
248,praia,PROPN,1
249,apoio,NOUN,12
250,fundesporte,PROPN,1
251,que,PRON,325
252,será,AUX,26
253,realizado,VERB,6
254,próximo,ADJ,7
255,sábado,PROPN,7
256,domingo,PROPN,5
257,08,NUM,2
258,09,NUM,1
259,complexo,NOUN,1
260,guanandizão,PROPN,1
261,athol,PROPN,1
262,localizada,VERB,2
263,estado,NOUN,9
264,americano,ADJ,3
265,idaho,PROPN,1
266,condado,PROPN,1
267,kootenai,PROPN,1
268,não,ADV,154
269,tenho,VERB,5
270,nada,PRON,8
271,!,PUNCT,13
272,número,NOUN,10
273,35,NUM,4
274,ranking,NOUN,3
275,atp,PROPN,1
276,uma,NUM,13
277,vez,NOUN,15
278,mostrou,VERB,1
279,irregularidade,NOUN,1
280,circuito,NOUN,1
281,profissional,ADJ,2
282,sua,DET,47
283,última,ADJ,13
284,participação,NOUN,12
285,foi,AUX,115
286,oponente,NOUN,1
287,diante,ADV,8
288,um,PRON,22
289,mundo,NOUN,12
290,roger,PROPN,1
291,federer,PROPN,1
292,semifinal,NOUN,2
293,judoca,NOUN,2
294,enfrentar,VERB,2
295,norte,ADJ,7
296,americana,NOUN,1
297,kayla,PROPN,1
298,harrison,PROPN,1
299,quarta,ADJ,3
300,ganhou,VERB,2
301,húngara,NOUN,1
302,abigel,PROPN,1
303,joo,PROPN,1
304,quinta,ADJ,4
305,candidato,NOUN,11
306,garante,VERB,1
307,imensa,ADJ,1
308,área,NOUN,18
309,alemoa,PROPN,1
310,era,VERB,10
311,rede,PROPN,3
312,ferroviária,PROPN,2
313,federal,PROPN,11
314,servirá,VERB,1
315,megapátio,NOUN,1
316,caminhões,NOUN,1
317,outras,DET,7
318,obras,NOUN,8
319,eu,PRON,30
320,certeza,NOUN,2
321,até,ADP,27
322,dia,NOUN,43
323,31,NUM,4
324,dezembro,PROPN,7
325,prefeito,NOUN,15
326,sobrinho,PROPN,1
327,irá,AUX,5
328,concluir,VERB,1
329,marcelo,PROPN,3
330,zormann,PROPN,1
331,primeiro,ADJ,18
332,representante,NOUN,2
333,país,NOUN,12
