,word,POS,count
1,poți,AUX,3
2,",",PUNCT,3671
3,mândrucă,NOUN,1
4,semăna,VERB,1
5,la,ADP,596
6,fântână,NOUN,14
7,busuioc,NOUN,7
8,că,SCONJ,317
9,eu,PRON,192
10,nu,ADV,430
11,l-,PRON,36
12,oi,AUX,69
13,pune,VERB,24
14,-n,ADP,181
15,clop,NOUN,1
16,.,PUNCT,1491
17,am,AUX,300
18,semănat,VERB,4
19,pe,ADP,371
20,păpușoiște,NOUN,1
21,și,CCONJ,659
22,apoi,ADV,13
23,arat,VERB,2
24,mai,ADV,178
25,odată,ADV,12
26,când,ADV,178
27,semeni,VERB,1
28,spini,NOUN,4
29,poți,VERB,4
30,s-,PART,41
31,aduni,VERB,2
32,smochine,NOUN,1
33,al,DET,18
34,meu,DET,52
35,dor,NOUN,43
36,ș-,CCONJ,48
37,bănat,NOUN,3
38,pare,VERB,11
39,sămănat,VERB,3
40,prin,ADP,50
41,grădină,NOUN,20
42,lângă,ADP,16
43,gard,NOUN,5
44,să,PART,585
45,fie,AUX,13
46,spânzurat,VERB,1
47,-i,AUX,250
48,un,DET,126
49,mare,ADJ,60
50,blestemat,NOUN,1
51,seamănă,VERB,1
52,cu,ADP,432
53,tatăl,NOUN,5
54,său,DET,1
55,bate,VERB,32
56,-mi,PRON,146
57,-l,PRON,80
58,-ar,AUX,25
59,dumnezeu,PROPN,19
60,!,PUNCT,127
61,căci,SCONJ,19
62,socotit,VERB,1
63,singură,ADJ,1
64,-am,AUX,15
65,gândit,VERB,1
66,n-,ADV,153
67,făcut,VERB,60
68,bine,ADV,53
69,ce,PRON,130
70,tine,PRON,35
71,cine,PRON,87
72,capul,NOUN,5
73,de,ADP,860
74,multe,DET,12
75,praguri,NOUN,1
76,se,PRON,171
77,lovește,VERB,1
78,socotește,VERB,1
79,trandafir,NOUN,2
80,cetate,NOUN,2
81,spune,VERB,26
82,maichii,NOUN,1
83,sănătate,NOUN,5
84,mine,PRON,93
85,are,VERB,36
86,parte,NOUN,12
87,bade,NOUN,15
88,din,ADP,203
89,inimă,NOUN,12
90,bagă,VERB,1
91,maică,NOUN,26
92,-ta,DET,2
93,vreo,DET,4
94,vină,NOUN,1
95,?,PUNCT,166
96,du,VERB,13
97,-te,PRON,24
98,unde,ADV,68
99,te,PRON,148
100,mân,VERB,1
101,te-,PRON,88
102,așează,VERB,1
103,-ți,PRON,55
104,spun,VERB,7
105,încălecat,VERB,1
106,iute,ADV,4
107,pe-,ADP,20
108,o,DET,167
109,șa,NOUN,1
110,și-,CCONJ,26
111,venit,VERB,46
112,de,SCONJ,78
113,v-,PRON,6
114,spus,VERB,15
115,povestea,NOUN,1
116,așa,ADV,50
117,căpăstru,NOUN,2
118,mi,PRON,76
119,scotea,VERB,3
120,țesala,NOUN,1
121,țesăla,VERB,1
122,dar,CCONJ,100
123,gruie,PROPN,1
124,a,AUX,450
125,ascultat,VERB,4
126,șarga,PROPN,1
127,și-,PRON,4
128,țesălat,VERB,1
129,dânsa,PRON,4
130,-ncălecat,VERB,1
131,iată,INTJ,7
132,vin,VERB,15
133,în,ADP,280
134,cale,NOUN,12
135,cobor,VERB,1
136,vale,NOUN,23
137,trei,NUM,49
138,turme,NOUN,1
139,miei,NOUN,3
140,ciobănei,NOUN,2
141,geaba,ADV,4
142,vii,VERB,5
143,duci,VERB,23
144,numai,ADV,71
145,rupi,VERB,1
146,niște,DET,6
147,papuci,NOUN,3
148,badea,NOUN,24
149,vine,VERB,32
150,duce,VERB,33
151,îmi,PRON,26
152,lasă,VERB,27
153,vorba,NOUN,6
154,dulce,ADJ,17
155,-o,PRON,47
156,prinde,VERB,4
157,;,PUNCT,42
158,tace,VERB,6
159,iarăși,ADV,3
160,place,VERB,6
161,vino,VERB,7
162,-ncoace,ADV,4
163,ivește,VERB,1
164,negru,ADJ,16
165,nor,NOUN,3
166,plin,ADJ,6
167,zgomot,NOUN,2
168,sunător,ADJ,1
169,tot,ADV,69
170,crește,VERB,9
171,câmpuri,NOUN,3
172,lățește,VERB,1
173,duminică,ADV,2
174,prânz,NOUN,1
175,doi,NUM,27
176,porumbei,NOUN,1
177,sus,ADV,27
178,aducă,VERB,7
179,mândrei,NOUN,2
180,răspuns,NOUN,1
181,livezi,NOUN,2
182,verzi,ADJ,5
183,printre,ADP,8
184,fântâni,NOUN,1
185,ape,NOUN,2
186,reci,ADJ,2
187,curțile,NOUN,2
188,dumneavoastră,PRON,1
189,întrebînd,VERB,2
190,ia,INTJ,10
191,vină,VERB,4
192,pân’,ADP,1
193,afară,ADV,26
194,bată,VERB,8
195,vânt,NOUN,13
196,sară,NOUN,8
197,pot,AUX,9
198,-un,DET,27
199,cuvânt,NOUN,5
200,îngerii,NOUN,1
201,veniră,VERB,1
202,jos,ADV,23
203,s-,PRON,127
204,au,AUX,161
205,născut,VERB,3
206,hristos,PROPN,2
207,frumos,ADV,5
208,lăudat,VERB,2
209,toții,PRON,1
210,bucurat,VERB,3
211,mândra,NOUN,35
212,ori,NOUN,11
213,mă,PRON,239
214,leagăn,VERB,1
215,ca,ADV,4
216,iarba,NOUN,14
217,flori,NOUN,24
218,așa-,ADV,2
219,câteodată,ADV,1
220,sui,VERB,4
221,munți,NOUN,3
222,piatră,NOUN,9
223,duc,VERB,51
224,drum,NOUN,17
225,plângând,VERB,5
226,o,AUX,59
227,trecut,VERB,9
228,multă,DET,5
229,vreme,NOUN,10
230,pân',ADP,1
231,copilu,NOUN,2
232,fecior,NOUN,10
233,-nsurat,VERB,3
234,m-,PRON,178
