,word,POS,count
1,анкета,NOUN,3
2,.,PUNCT,1908
3,начальник,NOUN,9
4,областного,ADJ,1
5,управления,NOUN,6
6,связи,NOUN,6
7,семен,PROPN,37
8,еремеевич,PROPN,37
9,был,AUX,38
10,человек,NOUN,35
11,простой,ADJ,3
12,",",PUNCT,3108
13,приходил,VERB,1
14,на,ADP,439
15,работу,NOUN,10
16,всегда,ADV,21
17,вовремя,ADV,2
18,здоровался,VERB,1
19,с,ADP,331
20,секретаршей,NOUN,1
21,за,ADP,103
22,руку,NOUN,11
23,и,CCONJ,861
24,иногда,ADV,7
25,даже,PART,29
26,писал,VERB,4
27,в,ADP,876
28,стенгазету,NOUN,1
29,заметки,NOUN,1
30,под,ADP,41
31,псевдонимом,NOUN,1
32,"""",PUNCT,384
33,муха,NOUN,1
34,приемной,NOUN,3
35,его,PRON,53
36,утра,NOUN,2
37,ожидали,VERB,2
38,посетители,NOUN,4
39,-,PUNCT,565
40,кое-кто,PRON,2
41,важными,ADJ,1
42,делами,NOUN,1
43,а,CCONJ,169
44,и,PART,114
45,такими,DET,5
46,которые,PRON,39
47,легко,ADV,3
48,можно,ADV,33
49,было,AUX,67
50,решить,VERB,3
51,нижестоящих,ADJ,1
52,инстанциях,NOUN,1
53,не,PART,415
54,затрудняя,VERB,1
55,семена,PROPN,10
56,еремеевича,PROPN,10
57,однако,ADV,28
58,стиль,NOUN,2
59,работы,NOUN,14
60,заключался,VERB,1
61,том,PRON,24
62,чтобы,SCONJ,50
63,принимать,VERB,2
64,всех,DET,12
65,желающих,VERB,1
66,лично,ADV,1
67,вникать,VERB,1
68,дело,NOUN,12
69,приемная,NOUN,1
70,была,AUX,20
71,обставлена,VERB,1
72,просто,ADV,1
73,но,CCONJ,117
74,по-деловому,ADV,1
75,у,ADP,101
76,двери,NOUN,4
77,стоял,VERB,12
78,стол,NOUN,10
79,секретарши,NOUN,1
80,столе,NOUN,5
81,пишущая,VERB,1
82,машинка,NOUN,1
83,широкой,ADJ,1
84,кареткой,NOUN,1
85,углу,NOUN,2
86,висел,VERB,1
87,репродуктор,NOUN,1
88,играло,VERB,2
89,радио,NOUN,2
90,для,ADP,104
91,развлечения,NOUN,1
92,ожидающих,VERB,1
93,еще,ADV,77
94,того,PRON,25
95,заглушать,VERB,1
96,голос,NOUN,6
97,начальника,NOUN,3
98,доносившийся,VERB,1
99,из,ADP,127
100,кабинета,NOUN,4
101,так,ADV,69
102,как,SCONJ,124
103,бесспорно,ADV,1
104,среди,ADP,12
105,посетителей,NOUN,2
106,могли,VERB,10
107,находиться,VERB,2
108,случайные,ADJ,1
109,люди,NOUN,30
110,кабинет,NOUN,3
111,отличался,VERB,1
112,скромностью,NOUN,1
113,присущей,ADJ,1
114,семену,PROPN,1
115,еремеевичу,PROPN,1
116,глубине,NOUN,1
117,широкий,ADJ,4
118,письменный,ADJ,2
119,бронзовыми,ADJ,1
120,чернильницами,NOUN,1
121,перед,ADP,26
122,ним,PRON,31
123,два,NUM,17
124,кожаных,ADJ,1
125,кресла,NOUN,3
126,справа,ADV,2
127,был,VERB,9
128,заседаний,NOUN,1
129,длинный,ADJ,2
130,накрытый,VERB,1
131,зеленым,ADJ,1
132,сукном,NOUN,1
133,обеих,NUM,1
134,сторон,NOUN,3
135,аккуратно,ADV,3
136,заставленный,VERB,1
137,стульями,NOUN,1
138,очень,ADV,25
139,любил,VERB,3
140,когда,SCONJ,43
141,этот,DET,28
142,кто-нибудь,PRON,2
143,садился,VERB,1
144,если,SCONJ,35
145,видел,VERB,11
146,отодвинутый,VERB,1
147,стул,NOUN,1
148,то,SCONJ,20
149,собственноручно,ADV,1
150,подвигал,VERB,1
151,место,NOUN,11
152,спинки,NOUN,1
153,образовывали,VERB,1
154,ровную,ADJ,1
155,прямую,ADJ,1
156,линию,NOUN,1
157,тот,DET,18
158,день,NOUN,13
159,которого,PRON,12
160,начинается,VERB,1
161,наш,DET,7
162,рассказ,NOUN,1
163,жизнь,NOUN,9
164,протекала,VERB,1
165,обычно,ADV,6
166,секретарша,NOUN,3
167,ставила,VERB,1
168,сургучные,ADJ,1
169,печати,NOUN,1
170,пакет,NOUN,1
171,своей,DET,15
172,очереди,NOUN,5
173,сентиментальный,ADJ,1
174,вальс,NOUN,1
175,ровно,ADV,2
176,десять,NUM,8
177,часов,NOUN,2
178,раздался,VERB,1
179,короткий,ADJ,1
180,звонок,NOUN,1
181,быстрая,ADJ,1
182,минуту,NOUN,6
183,скрылась,VERB,1
184,кабинете,NOUN,3
185,проговорила,VERB,1
186,вернувшись,VERB,2
187,:,PUNCT,122
188,товарищ,NOUN,12
189,ефимова,PROPN,28
190,пожалуйста,ADV,2
191,молодая,ADJ,1
192,женщина,NOUN,7
193,кокетливой,ADJ,1
194,шляпке,NOUN,3
195,прошла,VERB,5
196,она,PRON,99
197,видимо,ADV,3
198,волновалась,VERB,1
199,потому,ADV,25
200,что,SCONJ,224
201,забыла,VERB,1
202,закрыть,VERB,1
203,собой,PRON,11
204,обе,NUM,2
205,обитые,VERB,1
206,черной,ADJ,3
207,клеенкой,NOUN,1
208,медленно,ADV,10
209,склонив,VERB,1
210,по,ADP,185
211,привычке,NOUN,1
212,голову,NOUN,6
213,набок,ADV,2
214,садитесь,VERB,1
215,сказал,VERB,14
216,он,PRON,250
217,поднимая,VERB,1
218,глаз,NOUN,5
219,села,VERB,2
220,краешек,NOUN,1
221,холодного,ADJ,1
222,посмотрела,VERB,2
223,сквозь,ADP,12
224,бронзовый,ADJ,1
225,забор,NOUN,4
226,чернильного,ADJ,1
227,прибора,NOUN,1
228,него,PRON,45
229,было,VERB,18
230,полное,ADJ,1
231,симпатичное,ADJ,1
232,лицо,NOUN,18
233,некурящего,ADJ,1
234,человека,NOUN,27
235,белые,ADJ,1
236,совершенно,ADV,5
237,седые,ADJ,1
238,волосы,NOUN,3
239,да,PART,15
240,я,PRON,50
241,вас,PRON,17
242,слушаю,VERB,2
243,продолжая,VERB,1
244,писать,VERB,4
245,моя,DET,2
246,фамилия,NOUN,3
247,тихо,ADV,2
248,кашлянув,VERB,1
249,начала,VERB,4
250,давно,ADV,10
251,приготовленную,VERB,1
252,отредактированную,VERB,1
253,уме,NOUN,1
254,фразу,NOUN,1
255,была,VERB,2
256,неделю,NOUN,5
257,тому,PRON,7
258,назад,ADV,23
259,вопросу,NOUN,2
260,устройства,NOUN,4
261,вы,PRON,21
262,взяли,VERB,2
263,мою,DET,2
264,автобиографию,NOUN,3
265,анкету,NOUN,3
266,предложили,VERB,1
267,мне,PRON,6
268,прийти,VERB,2
269,сегодня,ADV,27
270,…,PUNCT,46
271,молча,ADV,6
272,взглянула,VERB,1
273,как,ADV,42
274,будто,PART,2
275,понимая,VERB,4
276,надо,ADV,20
277,просто,PART,15
278,сесть,VERB,1
279,подождать,VERB,2
280,отозвался,VERB,1
281,начальнику,NOUN,1
282,трудно,ADJ,8
283,переключить,VERB,1
284,внимание,NOUN,4
285,лежала,VERB,2
286,копия,NOUN,3
287,жалобы,NOUN,1
288,жителей,NOUN,3
289,села,NOUN,3
290,веселого,ADJ,3
291,плохую,ADJ,1
292,трансляционной,ADJ,1
293,сети,NOUN,2
294,жалоба,NOUN,1
295,каким-то,DET,3
296,образом,NOUN,13
297,попала,VERB,1
298,москву,PROPN,3
299,оттуда,ADV,6
300,пришла,VERB,6
301,эта,DET,15
302,вместе,ADV,19
303,ней,PRON,16
304,распоряжение,NOUN,2
305,котором,PRON,4
306,предлагалось,VERB,1
307,немедленно,ADV,2
308,ликвидировать,VERB,2
309,перебои,NOUN,1
310,наказать,VERB,1
311,виновных,ADJ,1
312,доложить,VERB,1
313,об,ADP,12
314,исполнении,NOUN,1
315,к,ADP,127
316,такому-то,ADJ,1
317,числу,NOUN,1
