,word,POS,count
1,kazna,NOUN,8
2,medijskom,ADJ,2
3,mogulu,NOUN,2
4,obnovila,VERB,1
5,debatu,NOUN,1
6,u,ADP,1458
7,makedoniji,PROPN,26
8,neki,DET,15
9,tvrde,VERB,5
10,da,SCONJ,1171
11,je,AUX,1559
12,presuda,NOUN,3
13,veliji,PROPN,2
14,ramkovskom,PROPN,2
15,napad,NOUN,3
16,na,ADP,556
17,slobodu,NOUN,5
18,medija,NOUN,16
19,",",PUNCT,2193
20,ali,CCONJ,72
21,drugi,ADJ,22
22,dokazi,NOUN,1
23,o,ADP,179
24,njegovim,DET,4
25,krivičnim,ADJ,4
26,delima,NOUN,1
27,govore,VERB,3
28,suprotno,ADV,2
29,.,PUNCT,1827
30,medijski,ADJ,1
31,mogul,NOUN,1
32,velija,PROPN,1
33,ramkovski,PROPN,5
34,osuđen,ADJ,6
35,13,NUM,4
36,godina,NOUN,50
37,zatvora,NOUN,5
38,zbog,ADP,55
39,utaje,NOUN,2
40,poreza,NOUN,4
41,i,CCONJ,1173
42,pranja,NOUN,2
43,novca,NOUN,4
44,krivična,ADJ,3
45,zatvorska,ADJ,2
46,koji,DET,218
47,često,ADV,6
48,kritikovao,VERB,1
49,makedonsku,ADJ,2
50,vladu,NOUN,7
51,mogla,VERB,16
52,bi,AUX,160
53,zaplaši,VERB,1
54,medije,NOUN,6
55,kažu,VERB,19
56,novinari,NOUN,4
57,toj,DET,10
58,maloj,ADJ,1
59,balkanskoj,ADJ,3
60,državi,NOUN,3
61,bivši,ADJ,20
62,vlasnik,NOUN,4
63,televizijske,ADJ,1
64,stanice,NOUN,2
65,a1,X,9
66,četiri,NUM,18
67,novine,NOUN,3
68,drugih,ADJ,17
69,preduzeća,NOUN,11
70,krivičnom,ADJ,2
71,sudu,NOUN,6
72,skoplju,PROPN,9
73,14.,ADJ,11
74,marta,NOUN,23
75,kriminalne,ADJ,6
76,zavere,NOUN,2
77,zloupotrebe,NOUN,1
78,položaja,NOUN,5
79,;,PUNCT,21
80,19,NUM,1
81,saučesnika,NOUN,1
82,dobilo,VERB,3
83,zatvorske,ADJ,2
84,kazne,NOUN,4
85,trajanju,NOUN,2
86,dve,NUM,31
87,do,ADP,91
88,sedam,NUM,5
89,tv,NOUN,10
90,zatvoreni,ADJ,2
91,su,AUX,417
92,zato,SCONJ,12
93,što,SCONJ,56
94,nisu,AUX,22
95,plaćali,VERB,1
96,porez,NOUN,2
97,niti,CCONJ,7
98,ispunjavali,VERB,1
99,obaveze,NOUN,9
100,prema,ADP,58
101,kreditorima,NOUN,1
102,"""",PUNCT,774
103,utisak,NOUN,2
104,koraci,NOUN,4
105,preduzeti,ADJ,2
106,medijima,NOUN,5
107,za,ADP,530
108,koje,DET,87
109,izrečene,ADJ,1
110,presude,NOUN,1
111,selektivni,ADJ,1
112,te,CCONJ,2
113,institucije,NOUN,7
114,ne,PART,111
115,koriste,VERB,8
116,iste,ADJ,1
117,metode,NOUN,1
118,sprovođenju,NOUN,4
119,zakona,NOUN,18
120,svim,ADJ,1
121,rekla,VERB,33
122,direktorka,NOUN,4
123,medijskog,ADJ,1
124,instituta,NOUN,4
125,makedonije,PROPN,22
126,biljana,PROPN,1
127,petkovska,PROPN,1
128,setimes,X,57
129,a,CCONJ,88
130,posebno,ADV,23
131,zaposleni,ADJ,7
132,taj,DET,25
133,slučaj,NOUN,5
134,pod,ADP,35
135,nazivom,NOUN,7
136,paukova,ADJ,2
137,mreža,NOUN,3
138,predstavlja,VERB,10
139,borbu,NOUN,9
140,između,ADP,44
141,vlade,NOUN,31
142,tada,ADV,7
143,najmoćnije,ADJ,1
144,koja,DET,98
145,kritikovala,VERB,1
146,njenu,DET,4
147,politiku,NOUN,10
148,podržavala,VERB,1
149,opoziciju,NOUN,1
150,trenutni,ADJ,1
151,politički,ADJ,8
152,establišment,NOUN,1
153,staviće,VERB,1
154,potpunu,ADJ,2
155,kontrolu,NOUN,8
156,svaku,DET,2
157,slobodnu,ADJ,1
158,misao,NOUN,1
159,svako,DET,1
160,mišljenje,NOUN,8
161,protiv,ADP,68
162,njega,PRON,8
163,njegov,DET,8
164,cilj,NOUN,17
165,danas,ADV,17
166,se,PRON,589
167,to,DET,118
168,pokazalo,VERB,3
169,bio,AUX,54
170,ućutka,VERB,1
171,veliju,PROPN,1
172,ramkovskog,PROPN,1
173,kao,SCONJ,131
174,nosioce,NOUN,1
175,borbe,NOUN,5
176,diktature,NOUN,1
177,[,PUNCT,22
178,premijera,NOUN,13
179,],PUNCT,22
180,nikole,PROPN,1
181,gruevskog,PROPN,1
182,kaže,VERB,63
183,urednik,NOUN,4
184,poslanik,NOUN,3
185,opozicione,ADJ,7
186,sandžačke,ADJ,1
187,lige,NOUN,3
188,safet,PROPN,2
189,biševac,PROPN,1
190,zvaničnici,NOUN,12
191,odgovorili,VERB,1
192,tretirana,ADJ,1
193,isto,ADV,3
194,bilo,PART,14
195,druga,ADJ,12
196,organizacija,NOUN,13
197,kriv,ADJ,1
198,višegodišnje,ADJ,1
199,aktivnosti,NOUN,12
200,ovo,DET,9
201,beskompromisna,ADJ,1
202,borba,NOUN,5
203,kriminala,NOUN,12
204,korupcije,NOUN,9
205,postoje,VERB,8
206,svim,DET,9
207,zemljama,NOUN,20
