,word,POS,count
1,las,DET,346
2,reservas,NOUN,3
3,de,ADP,2561
4,oro,NOUN,4
5,y,CCONJ,807
6,divisas,NOUN,5
7,rusia,PROPN,5
8,subieron,VERB,1
9,800,NUM,1
10,millones,NOUN,40
11,dólares,NOUN,29
12,el,DET,1719
13,26,NUM,2
14,mayo,NOUN,40
15,equivalían,VERB,1
16,a,ADP,800
17,19.100,NUM,1
18,",",PUNCT,1899
19,informó,VERB,7
20,hoy,ADV,65
21,un,DET,356
22,comunicado,NOUN,7
23,banco,PROPN,10
24,central,PROPN,6
25,.,PUNCT,1017
26,según,ADP,37
27,informe,NOUN,8
28,19,NUM,5
29,eran,AUX,13
30,18.300,NUM,1
31,los,DET,541
32,activos,NOUN,2
33,en,ADP,808
34,poder,NOUN,5
35,ministerio,PROPN,4
36,finanzas,PROPN,1
37,se,PRON,392
38,calculan,VERB,1
39,estadounidenses,ADJ,3
40,su,DET,196
41,valor,NOUN,8
42,depende,VERB,1
43,cambio,NOUN,8
44,oficial,ADJ,11
45,rublo-dólar,NOUN,1
46,que,PRON,550
47,establece,VERB,3
48,valoran,VERB,1
49,base,NOUN,7
50,300,NUM,1
51,por,ADP,384
52,cada,DET,16
53,onza,NOUN,1
54,troy,NOUN,1
55,presidente,NOUN,60
56,la,DET,1187
57,generalitat,PROPN,1
58,jordi,PROPN,2
59,pujol,PROPN,6
60,cree,VERB,4
61,necesario,ADJ,5
62,que,SCONJ,541
63,gobierno,PROPN,40
64,agilice,VERB,1
65,permisos,NOUN,1
66,residencia,NOUN,4
67,inmigrantes,NOUN,5
68,para,ADP,207
69,poder,AUX,3
70,responder,VERB,4
71,falta,NOUN,9
72,mano,NOUN,8
73,obra,NOUN,11
74,cataluña,PROPN,1
75,cálculos,NOUN,2
76,departamento,PROPN,5
77,trabajo,PROPN,10
78,impide,VERB,3
79,cubrir,VERB,2
80,unos,PRON,6
81,23.000,NUM,2
82,empleos,NOUN,2
83,diversos,DET,6
84,sectores,NOUN,4
85,urgió,VERB,1
86,necesidad,NOUN,8
87,esta,DET,38
88,medida,NOUN,6
89,legal,ADJ,1
90,durante,ADP,32
91,una,DET,235
92,cena,NOUN,2
93,organizada,ADJ,1
94,anoche,ADV,5
95,patronal,NOUN,12
96,pequeña,ADJ,2
97,mediana,ADJ,1
98,empresa,NOUN,15
99,pimec-sefes,PROPN,3
100,también,ADV,38
101,advirtió,VERB,3
102,empresarios,NOUN,10
103,sindicatos,NOUN,13
104,administraciones,NOUN,2
105,cumplan,VERB,1
106,con,ADP,271
107,normativa,NOUN,1
108,laboral,ADJ,25
109,materia,NOUN,3
110,prevención,NOUN,2
111,siniestralidad,NOUN,6
112,"""",PUNCT,484
113,no,ADV,234
114,puede,AUX,22
115,ser,AUX,27
116,tarde,VERB,1
117,ocho,NUM,4
118,meses,NOUN,21
119,dar,VERB,19
120,permiso,NOUN,2
121,trabajo,NOUN,28
122,ciudadano,NOUN,1
123,polaco,ADJ,1
124,momento,NOUN,10
125,actúa,VERB,2
126,opinión,NOUN,12
127,como,SCONJ,117
128,freno,NOUN,1
129,crecimiento,NOUN,14
130,económico,ADJ,7
131,fue,AUX,45
132,corroborada,VERB,1
133,josep,PROPN,1
134,gonzález,PROPN,5
135,quien,PRON,23
136,subrayó,VERB,4
137,tanto,ADV,9
138,cualificada,ADJ,1
139,comenzó,VERB,1
140,comarcas,NOUN,1
141,lérida,PROPN,1
142,pero,CCONJ,89
143,ya,ADV,42
144,ha,AUX,111
145,llegado,VERB,4
146,todas,DET,16
147,provincias,NOUN,1
148,catalanas,ADJ,1
149,ello,PRON,5
150,pidió,VERB,7
151,reforma,NOUN,16
152,urgente,ADJ,1
153,sistema,NOUN,16
154,contratación,NOUN,6
155,extranjeros,NOUN,1
156,permita,VERB,1
157,ágil,ADJ,1
158,rápido,ADJ,1
159,insertar,VERB,1
160,mercado,NOUN,15
161,ante,ADP,23
162,unas,DET,9
163,mil,NUM,7
164,personas,NOUN,32
165,entre,ADP,67
166,ellas,PRON,6
167,ministra,NOUN,3
168,ciencia,PROPN,4
169,tecnología,PROPN,2
170,anna,PROPN,3
171,birulés,PROPN,4
172,alcalde,NOUN,2
173,barcelona,PROPN,4
174,joan,PROPN,1
175,clos,PROPN,1
176,delegada,PROPN,1
177,julia,PROPN,1
178,garcía,PROPN,3
179,valdecasas,PROPN,1
180,nutrida,ADJ,1
181,representación,NOUN,5
182,gobierno,NOUN,21
183,catalán,ADJ,1
184,dio,VERB,5
185,toque,NOUN,1
186,alerta,NOUN,1
187,sobre,ADP,62
188,aumento,NOUN,8
189,accidentes,NOUN,1
190,laborales,ADJ,3
191,este,DET,43
192,sentido,NOUN,5
193,instó,VERB,1
194,cumplir,VERB,6
195,ley,NOUN,9
196,riesgos,NOUN,3
197,juicio,NOUN,5
198,vamos,VERB,1
199,bien,ADV,18
200,lo,PRON,152
201,respecta,VERB,1
202,parte,NOUN,27
203,animó,VERB,1
204,pymes,NOUN,2
205,invertir,VERB,2
206,investigación,PROPN,4
207,desarrollo,PROPN,2
208,mostró,VERB,4
209,presentes,ADJ,1
210,disposición,NOUN,3
211,facilitar,VERB,2
212,camino,NOUN,6
213,afirmó,VERB,8
214,pequeñas,ADJ,2
215,medianas,ADJ,1
216,empresas,NOUN,16
217,son,AUX,44
218,futuro,NOUN,3
219,país,NOUN,39
220,capacidad,NOUN,4
221,innovar,VERB,1
222,entroncar,VERB,1
223,cambios,NOUN,4
224,está,AUX,33
225,comportando,VERB,1
226,nueva,ADJ,12
227,economía,NOUN,6
228,patronal,ADJ,2
229,representa,VERB,2
230,más,ADV,104
231,50.000,NUM,2
232,entregó,VERB,1
233,sus,DET,71
234,premios,NOUN,1
235,anuales,ADJ,2
236,han,AUX,36
237,desarrollado,VERB,3
238,proyectos,NOUN,1
239,destacados,ADJ,1
240,así,ADV,25
241,también,NOUN,2
242,distinguió,VERB,1
243,apartado,NOUN,2
244,periodístico,ADJ,1
245,suplemento,NOUN,1
246,economía,PROPN,1
247,diario,NOUN,4
248,vanguardia,PROPN,1
249,sin,ADP,46
250,embargo,NOUN,10
251,abogados,NOUN,4
252,indicaron,VERB,3
253,vez,NOUN,21
254,proyectan,VERB,1
255,insistir,VERB,3
256,apelaciones,NOUN,1
257,impedir,VERB,4
258,esos,DET,10
259,remedios,NOUN,2
260,extremos,ADJ,1
261,justificación,NOUN,1
262,lleven,VERB,3
263,efecto,NOUN,1
264,justicia,PROPN,3
265,dijo,VERB,33
266,respecto,NOUN,7
267,última,ADJ,7
268,comparecencia,NOUN,3
269,compañía,NOUN,9
270,ésta,PRON,3
271,tiene,VERB,26
272,cuenta,NOUN,9
273,hecho,NOUN,8
274,determinado,VERB,1
275,microsoft,PROPN,7
276,cometido,VERB,1
277,repetidamente,ADV,1
278,graves,ADJ,3
279,violaciones,NOUN,2
280,legales,ADJ,3
281,es,AUX,198
282,preciso,ADJ,5
283,aplicar,VERB,2
284,serios,ADJ,1
285,restablecer,VERB,1
286,competencia,NOUN,7
287,e,CCONJ,15
288,similares,ADJ,1
289,semana,NOUN,15
290,pasada,ADJ,8
291,gobiernos,NOUN,2
292,17,NUM,7
293,estados,NOUN,2
294,demandaron,VERB,1
295,1998,NOUN,2
296,presentaron,VERB,2
297,juez,NOUN,5
298,versión,NOUN,3
299,ajustada,ADJ,1
300,propuestas,NOUN,2
301,solución,NOUN,7
302,judicial,ADJ,2
303,figura,VERB,2
304,división,NOUN,2
305,firma,NOUN,13
306,dos,NUM,41
307,compañías,NOUN,4
308,una,PRON,13
309,tomaría,VERB,1
310,posesión,NOUN,1
311,sistemas,NOUN,1
312,operativos,ADJ,1
313,windows,PROPN,2
314,creado,ADJ,1
315,usan,VERB,1
316,95,NUM,1
317,ciento,NUM,67
318,ordenadores,NOUN,2
319,todo,DET,24
320,mundo,NOUN,18
321,otra,PRON,5
322,pasaría,VERB,1
323,controlar,VERB,2
324,software,NOUN,1
325,incluido,VERB,1
326,popular,ADJ,1
327,office,PROPN,1
328,suite,PROPN,1
329,demás,PRON,4
330,3,NUM,1
331,abril,NOUN,6
332,dictaminó,VERB,1
333,incurrió,VERB,1
334,prácticas,NOUN,2
335,monopolio,NOUN,2
336,opinó,VERB,4
337,medidas,NOUN,15
338,exigidas,ADJ,1
339,bastante,ADV,3
340,severas,ADJ,1
341,manifestó,VERB,7
342,favor,NOUN,8
343,otro,DET,13
344,planteamiento,NOUN,1
345,dividiría,VERB,1
346,tres,NUM,16
347,aseguran,VERB,2
348,disminuiría,VERB,1
349,gravemente,ADV,1
350,competir,VERB,3
351,programas,NOUN,7
