,word,POS,count
1,individuell,ADJ,3
2,beskattning,NOUN,2
3,av,ADP,402
4,arbetsinkomster,NOUN,2
5,genom,ADP,43
6,skattereformen,NOUN,1
7,införs,VERB,2
8,(,PUNCT,115
9,särbeskattning,NOUN,2
10,),PUNCT,115
11,.,PUNCT,1944
12,det,PRON,348
13,innebär,VERB,15
14,bl.a.,ADV,11
15,att,SCONJ,243
16,endast,ADV,11
17,en,NUM,37
18,skatteskala,NOUN,1
19,kommer,AUX,62
20,att,PART,355
21,finnas,VERB,3
22,för,ADP,446
23,beräkning,NOUN,1
24,statlig,ADJ,6
25,inkomstskatt,NOUN,3
26,den,PRON,82
27,blir,VERB,70
28,gemensam,ADJ,7
29,alla,DET,54
30,inkomsttagare,NOUN,1
31,oavsett,ADP,1
32,civilstånd,NOUN,2
33,gäller,VERB,44
34,även,ADV,38
35,oskifta,ADJ,1
36,dödsbon,NOUN,3
37,och,CCONJ,735
38,familjestiftelser,NOUN,2
39,de,DET,201
40,inkomster,NOUN,5
41,som,PRON,352
42,på,ADP,479
43,detta,DET,13
44,sätt,NOUN,19
45,beskattas,VERB,3
46,individuellt,ADV,2
47,kallas,VERB,6
48,a-inkomster,NOUN,1
49,dessa,DET,27
50,är,AUX,406
51,*,PUNCT,43
52,inkomst,NOUN,17
53,tjänst,NOUN,4
54,-,PUNCT,218
55,lön,NOUN,8
56,",",PUNCT,802
57,pension,NOUN,3
58,livränta,NOUN,1
59,undantagsförmåner,NOUN,1
60,övrig,ADJ,1
61,tjänsteinkomst,NOUN,1
62,undantag,NOUN,3
63,:,PUNCT,94
64,periodiskt,ADJ,2
65,understöd,NOUN,2
66,eller,CCONJ,194
67,därmed,ADV,8
68,jämförlig,ADJ,1
69,periodisk,ADJ,1
70,jordbruksfastighet,NOUN,1
71,om,SCONJ,115
72,den,DET,211
73,skattskyldige,ADJ,2
74,arbetat,VERB,3
75,i,ADP,845
76,jordbruket,NOUN,1
77,ej,PART,7
78,blott,ADV,2
79,ringa,ADJ,2
80,omfattning,NOUN,2
81,rörelse,NOUN,3
82,rörelsen,NOUN,1
83,makars,NOUN,1
84,övriga,ADJ,5
85,b-inkomster,NOUN,3
86,skall,AUX,85
87,som,SCONJ,86
88,tidigare,ADV,27
89,sambeskattas,VERB,1
90,sådana,ADJ,8
91,t.ex.,ADV,12
92,kapital,NOUN,1
93,tillfällig,ADJ,3
94,förvärvsverksamhet,NOUN,1
95,makarna,NOUN,2
96,sammanlagt,ADV,10
97,uppgår,VERB,6
98,till,ADP,397
99,högst,ADV,16
100,2000,NUM,4
101,kr,NOUN,59
102,dock,ADV,18
103,betraktas,VERB,2
104,a-inkomst,NOUN,2
105,alltså,ADV,24
106,frivillig,ADJ,3
107,tillämpas,VERB,3
108,sista,ADJ,6
109,gången,NOUN,1
110,samband,NOUN,4
111,med,ADP,329
112,1971,NUM,15
113,års,NOUN,10
114,taxering,NOUN,3
115,observera,VERB,1
116,ansökan,NOUN,10
117,härom,ADV,1
118,göras,VERB,4
119,senast,ADV,5
120,1,NUM,32
121,juli,NOUN,6
122,kommunalskatteavdraget,NOUN,1
123,slopas,VERB,4
124,fysiska,ADJ,1
125,personer,NOUN,5
126,rätten,NOUN,3
127,göra,VERB,29
128,avdrag,NOUN,7
129,kommunalskatten,NOUN,1
130,fr.o.m.,ADV,2
131,självdeklaration,NOUN,1
132,avlämnas,VERB,1
133,1972,NUM,9
134,självdeklarationen,NOUN,1
135,avser,VERB,3
136,1970,NUM,20
137,får,AUX,37
138,förvärvsavdragen,NOUN,1
139,ändras,VERB,5
140,förvärvsavdrag,NOUN,1
141,kan,AUX,246
142,medges,VERB,2
143,från,ADP,117
144,finns,VERB,82
145,hemmavarande,ADJ,4
146,barn,NOUN,51
147,under,ADV,11
148,16,NUM,9
149,år,NOUN,110
150,sådant,ADJ,9
151,framgår,VERB,3
152,nedanstående,ADJ,1
153,tablå,NOUN,1
154,barns,NOUN,1
155,ålder,NOUN,6
156,räknas,VERB,6
157,efter,ADP,55
158,förhållandet,NOUN,1
159,november,NOUN,8
160,under,ADP,93
161,inkomståret,NOUN,2
162,när,ADV,19
163,taxeringsåret,NOUN,1
164,barnet,NOUN,5
165,vara,AUX,40
166,fött,ADJ,2
167,1955,NUM,2
168,makar,NOUN,1
169,likställs,VERB,1
170,de,PRON,97
171,utan,ADP,27
172,gifta,ADJ,3
173,lever,VERB,2
174,tillsammans,ADV,11
175,varit,AUX,12
176,varandra,PRON,4
177,har,VERB,146
178,har,AUX,146
179,haft,VERB,10
180,gemensamt,ADV,2
181,höjt,ADJ,1
182,underhållsbidrag,NOUN,4
183,icke,PART,4
184,utgivet,ADJ,1
185,höjs,VERB,4
186,1000,NUM,6
187,1500,NUM,3
188,per,ADP,28
189,dessutom,ADV,17
190,åldergränsen,NOUN,1
191,18,NUM,6
192,1953,NUM,1
193,kravet,NOUN,3
194,bevisning,NOUN,1
195,mildrats,VERB,1
196,avdraget,NOUN,2
197,måste,AUX,55
198,inte,PART,193
199,längre,ADV,5
200,styrkas,VERB,1
201,intyg,NOUN,4
202,barnavårdsnämnd,NOUN,2
203,barnavårdsman,NOUN,5
204,kommunal,ADJ,5
205,förtroendeman,NOUN,1
206,räcker,VERB,9
207,annat,ADJ,10
208,skriftligt,ADJ,2
209,bevis,NOUN,3
210,bifogas,VERB,1
211,deklarationen,NOUN,3
212,torde,AUX,1
213,godtas,VERB,1
214,dom,NOUN,1
215,avtal,NOUN,2
216,om,ADP,122
217,underhållsskyldighet,NOUN,1
218,jämte,ADP,1
219,kvitto,NOUN,2
220,betalt,ADJ,1
221,belopp,NOUN,10
222,trovärdig,ADJ,1
223,person,NOUN,10
224,ortsavdraget,NOUN,1
225,ersätts,VERB,4
226,grundavdrag,NOUN,3
227,det,DET,102
228,nya,ADJ,48
229,grundavdraget,NOUN,5
230,ersätter,VERB,2
231,tidigare,ADJ,2
232,ortsavdrag,NOUN,1
233,4500,NUM,2
234,varje,DET,66
235,skattskyldig,ADJ,4
236,en,DET,432
237,taxerad,ADJ,4
238,30000,NUM,5
239,vid,ADP,127
240,högre,ADJ,10
241,sjunker,VERB,3
242,femtedel,NOUN,1
243,överstiger,VERB,2
244,kronor,NOUN,34
245,upphör,VERB,2
246,52500,NUM,1
247,exempel,NOUN,14
248,statligt,ADV,1
249,40000,NUM,2
250,2500,NUM,1
251,=,PUNCT,8
252,minskat,ADJ,1
253,1/5,NUM,1
254,10000,NUM,2
255,samma,DET,34
256,beräknas,VERB,10
257,ledning,NOUN,2
258,taxerade,ADJ,1
259,inkomsten,NOUN,7
260,kommunalt,ADJ,7
261,avräknas,VERB,1
262,annan,ADJ,22
263,kommun,NOUN,7
264,än,SCONJ,45
265,hemortskommunen,NOUN,1
266,ena,ADJ,4
267,maken,NOUN,3
268,outnyttjat,ADJ,1
269,del,NOUN,57
270,därav,ADV,4
271,överföras,VERB,1
272,andra,ADJ,42
273,fall,NOUN,21
274,rätt,NOUN,14
275,skattereduktion,NOUN,1
276,se,VERB,31
277,nedan,ADV,4
278,särskilda,ADJ,15
279,regler,NOUN,7
