,word,POS,count
1,у,ADP,357
2,домі,NOUN,1
3,римського,ADJ,2
4,патриція,NOUN,1
5,руфіна,PROPN,1
6,була,VERB,14
7,прегарна,ADJ,1
8,фреска,NOUN,1
9,",",PUNCT,2595
10,зображення,NOUN,1
11,венери,PROPN,1
12,та,CCONJ,265
13,адоніса,PROPN,1
14,.,PUNCT,1702
15,якось,ADV,10
16,зібралися,VERB,2
17,нього,PRON,16
18,ховаючися,VERB,1
19,від,ADP,75
20,переслідувань,NOUN,1
21,одновірці,NOUN,1
22,дружини,NOUN,1
23,–,PUNCT,33
24,християнки,NOUN,1
25,й,CCONJ,103
26,одразу,ADV,3
27,ж,PART,40
28,узялися,VERB,1
29,замазувати,VERB,1
30,стіну,NOUN,2
31,певні,ADJ,4
32,свого,DET,14
33,права,NOUN,3
34,негайно,ADV,2
35,знищити,VERB,2
36,гріховне,ADJ,1
37,як,SCONJ,119
38,на,ADP,466
39,їх,DET,5
40,погляд,NOUN,3
41,мальовидло,NOUN,1
42,це,PRON,107
43,одна,DET,6
44,з,ADP,378
45,надзвичайно,ADV,4
46,важливих,ADJ,1
47,сцен,NOUN,1
48,драмі,NOUN,1
49,лесі,PROPN,5
50,українки,PROPN,5
51,«,PUNCT,159
52,руфін,PROPN,1
53,і,CCONJ,484
54,прісцілла,PROPN,1
55,»,PUNCT,158
56,і,PART,80
57,багато,DET,15
58,інших,DET,15
59,її,DET,29
60,сюжетів,NOUN,1
61,вона,PRON,85
62,виявилася,VERB,1
63,візіонерським,ADJ,1
64,передбаченням,NOUN,1
65,:,PUNCT,171
66,за,ADP,152
67,якесь,DET,3
68,десятиліття,NOUN,1
69,після,ADP,22
70,написання,NOUN,3
71,твору,NOUN,2
72,несамовиті,ADJ,1
73,ревнителі,NOUN,1
74,нового,ADJ,3
75,ладу,NOUN,4
76,почали,VERB,13
77,нищити,VERB,1
78,культурні,ADJ,2
79,скарби,NOUN,2
80,до,ADP,227
81,того,PRON,19
82,засобами,NOUN,1
83,вони,PRON,74
84,володіли,VERB,1
85,непорівнянно,ADV,2
86,потужнішими,ADJ,1
87,аніж,SCONJ,1
88,гнані,ADJ,1
89,сектярі,NOUN,1
90,при,ADP,15
91,початку,NOUN,6
92,християнської,ADJ,1
93,ери,NOUN,1
94,мистецька,ADJ,1
95,спадщина,NOUN,1
96,стала,VERB,7
97,лише,PART,34
98,одним,DET,4
99,інструментів,NOUN,2
100,невпинній,ADJ,1
101,ідеологічній,ADJ,1
102,боротьбі,NOUN,1
103,усе,PRON,8
104,що,SCONJ,280
105,не,PART,413
106,відповідало,VERB,2
107,радянським,ADJ,1
108,уявленням,NOUN,1
109,про,ADP,74
110,корисність,NOUN,1
111,(,PUNCT,104
112,інші,DET,14
113,функції,NOUN,2
114,мистецтва,NOUN,3
115,майже,ADV,12
116,бралися,VERB,1
117,уваги,NOUN,5
118,воно,PRON,16
119,мало,VERB,2
120,виховувати,VERB,2
121,лояльних,ADJ,1
122,влади,NOUN,1
123,громадян,NOUN,1
124,),PUNCT,109
125,цензурувалося,VERB,1
126,замовчувалося,VERB,1
127,мало,ADV,8
128,сто,NUM,2
129,років,NOUN,26
130,тому,ADV,23
131,микола,PROPN,1
132,зеров,PROPN,2
133,радив,VERB,1
134,гаючись,VERB,1
135,перевіяти,VERB,1
136,току,NOUN,1
137,критики,NOUN,2
138,наші,DET,4
139,мистецькі,ADJ,1
140,набутки,NOUN,1
141,відсіяти,VERB,1
142,полову,NOUN,1
143,виважити,VERB,1
144,все,DET,10
145,найдобірніше,NOUN,1
146,означити,VERB,1
147,тяглість,NOUN,1
148,національної,ADJ,2
149,традиції,NOUN,4
150,однак,CCONJ,4
151,подосі,ADV,1
152,така,DET,5
153,конче,ADV,1
154,необхідна,ADJ,1
155,канонотворча,ADJ,1
156,робота,NOUN,1
157,вповні,ADV,1
158,виконана,ADJ,1
159,то,PART,61
160,навіть,PART,46
161,рівні,NOUN,2
162,задовільної,ADJ,1
163,публікації,NOUN,1
164,всього,DET,1
165,корпусу,NOUN,2
166,текстів,NOUN,1
167,хоча,PART,4
168,б,PART,6
169,першорядних,ADJ,1
170,класиків,NOUN,1
171,лесю,PROPN,1
172,українку,PROPN,1
173,цензурували,VERB,1
174,пильно,ADV,6
175,адже,SCONJ,9
176,в,ADP,355
177,радянському,ADJ,1
178,іконостасі,NOUN,1
179,мала,VERB,3
180,постати,VERB,1
181,бездоганною,ADJ,1
182,марксисткою,NOUN,1
183,пролетарською,ADJ,1
184,інтернаціоналісткою,NOUN,1
185,другом,NOUN,1
186,робітників,NOUN,1
187,предтечею,NOUN,1
188,соціалістичного,ADJ,1
189,реалізму,NOUN,1
190,et,X,1
191,cetera,X,1
192,усіма,DET,4
193,згаданими,ADJ,1
194,визначеннями,NOUN,1
195,аж,PART,18
196,очу,NOUN,1
197,рябить,VERB,1
198,читачеві,NOUN,1
199,багатьох,DET,5
200,монографій,NOUN,1
201,статей,NOUN,1
202,інтерпретаторам,NOUN,1
203,достатньо,ADV,5
204,було,AUX,77
205,просто,PART,16
206,називати,VERB,2
207,чорне,NOUN,1
208,білим,NOUN,1
209,видавцям,NOUN,1
210,редакторам,NOUN,1
211,велося,VERB,1
212,складніше,ADV,1
213,клопітніше,ADV,1
214,тут,ADV,30
215,ані,CCONJ,6
216,напівправда,NOUN,2
217,ні,CCONJ,9
218,одверта,ADJ,1
219,коментаторська,ADJ,1
220,брехня,NOUN,5
221,допомагали,VERB,1
222,щодо,ADP,9
223,неприхованого,ADJ,1
224,обману,NOUN,1
225,читання,NOUN,2
226,приміток,NOUN,1
227,нібито,PART,3
228,академічного,ADJ,2
229,дванадцятитомника,NOUN,1
230,спричинює,VERB,2
231,ледь,ADV,3
232,ментальний,ADJ,1
233,ступор,NOUN,1
234,;,PUNCT,39
235,якийсь,DET,6
236,момент,NOUN,7
237,геть,ADV,8
238,перестаєш,VERB,1
239,розуміти,VERB,1
240,як,ADV,45
241,же,PART,12
242,лариса,PROPN,2
243,косач,PROPN,4
244,зберегла,VERB,1
245,свої,DET,8
246,інтернаціоналістські,ADJ,1
247,соціалістичні,ADJ,1
248,переконання,NOUN,1
249,симпатії,NOUN,1
250,братнього,ADJ,1
251,російського,ADJ,2
252,народу,NOUN,4
253,зазначу,VERB,1
254,північних,ADJ,1
255,сусідів,NOUN,1
256,листах,NOUN,4
257,послідовно,ADV,2
258,називала,VERB,1
259,кацапами,NOUN,1
260,толерувала,VERB,1
261,насправді,ADV,8
262,всі,DET,34
263,ці,DET,25
264,філіпіки,NOUN,1
265,адресу,NOUN,1
266,колонізаторки,NOUN,1
267,-,PUNCT,125
268,московщини,PROPN,1
269,якраз,PART,5
270,вилучали,VERB,1
271,якнайстаранніш,ADV,1
272,повсякчас,ADV,1
273,перебуваючи,VERB,2
274,коли,SCONJ,16
275,вірити,VERB,1
276,написаному,NOUN,1
277,оточенні,NOUN,2
278,злісних,ADJ,1
279,українських,ADJ,6
280,буржуазних,ADJ,3
281,націоналістів,NOUN,5
282,майбутніх,ADJ,1
283,ворогів,NOUN,1
284,радянського,ADJ,5
285,шовіністів,NOUN,1
286,ідеологів,NOUN,1
287,контрреволюції,NOUN,1
288,найперш,ADV,2
289,барикада,NOUN,1
290,би,AUX,18
291,перегородити,VERB,1
292,затишну,ADJ,1
293,вітальню,NOUN,1
294,косачівського,ADJ,1
295,дому,NOUN,2
296,бо,SCONJ,36
297,дізнаємося,VERB,1
298,академічних,ADJ,1
299,пояснень,NOUN,1
300,ольга,PROPN,1
301,драгоманова,PROPN,4
302,стояла,VERB,12
303,ліберально,ADJ,1
304,позиціях,NOUN,1
305,а,CCONJ,220
306,донька,NOUN,1
307,марксистських,ADJ,1
308,михайло,PROPN,3
309,драгоманов,PROPN,1
310,котрого,DET,3
311,раз,NOUN,7
312,названо,VERB,1
313,найдорожчим,ADJ,2
314,найавторитетнішим,ADJ,1
315,учителем,NOUN,2
316,еволюціонував,VERB,1
317,бік,NOUN,4
318,буржуазного,ADJ,3
319,лібералізму,NOUN,2
320,тоді,ADV,29
321,як,PART,1
322,леся,PROPN,2
323,українка,PROPN,2
324,формувала,VERB,1
325,власний,ADJ,1
326,революційно,ADJ,1
327,демократичний,ADJ,1
328,світогляд,NOUN,1
329,пов’язавши,VERB,1
330,свою,DET,20
331,творчість,NOUN,3
332,громадську,ADJ,1
333,діяльність,NOUN,3
334,ідеями,NOUN,1
335,наукового,ADJ,1
336,соціалізму,NOUN,1
337,ця,DET,11
338,заввага,NOUN,1
339,літературознавця,NOUN,1
340,погано,ADV,1
341,корелює,VERB,1
342,зі,ADP,20
343,свідченням,NOUN,1
344,самої,DET,2
345,поетеси,NOUN,1
346,листі,NOUN,3
347,ольги,PROPN,2
348,кобилянської,PROPN,1
349,…,PUNCT,13
350,вчилась,VERB,1
351,тільки,PART,38
352,мені,PRON,24
353,подобалось,VERB,1
354,читала,VERB,1
355,все,PRON,27
356,запорву,VERB,1
357,без,ADP,20
358,жадної,DET,1
359,заборони,NOUN,2
360,правда,ADV,1
361,коректив,NOUN,1
362,був,AUX,39
363,особі,NOUN,2
364,моєї,DET,2
365,матері,NOUN,10
366,дядька,NOUN,1
367,якого,DET,9
368,вважаю,VERB,1
369,своїм,DET,7
370,дуже,ADV,34
371,багато,ADV,16
372,завдячую,VERB,1
373,йому,PRON,55
374,моїх,DET,1
375,поглядах,NOUN,1
376,науку,NOUN,1
377,релігію,NOUN,1
378,громадське,ADJ,1
379,життя,NOUN,24
380,т,ADJ,1
381,і,NOUN,1
382,б,AUX,21
383,він,PRON,147
384,жив,VERB,3
385,довше,ADV,1
386,може,ADV,14
387,мене,PRON,31
388,вийшло,VERB,4
389,що,PRON,41
390,ліпше,ADJ,1
391,ніж,SCONJ,20
392,є,AUX,45
393,тепер,ADV,20
394,так,ADV,65
395,буде,VERB,7
396,!,PUNCT,106
397,саме,PART,20
398,запереченню,NOUN,1
399,потужного,ADJ,1
400,впливу,NOUN,3
401,михайла,PROPN,2
402,лесезнавці,NOUN,1
403,присвятили,VERB,1
404,праці,NOUN,4
405,сергія,PROPN,1
406,мержинського,PROPN,1
407,адресата,NOUN,1
408,найпроникливішої,ADJ,1
409,інтимної,ADJ,1
410,лірики,NOUN,1
411,чию,DET,1
412,смерть,NOUN,4
413,пережила,VERB,2
414,спустошливу,ADJ,1
415,особисту,ADJ,1
416,втрату,NOUN,1
417,коли,ADV,42
418,подумаю,VERB,1
419,я,PRON,85
420,такого,DET,6
421,друга,NOUN,1
422,маю,VERB,4
423,втратити,VERB,2
424,!..,PUNCT,16
425,представлено,VERB,1
426,примітках,NOUN,1
427,перш,ADV,3
428,активним,ADJ,2
429,членом,NOUN,1
430,соціал,ADJ,1
431,демократичних,ADJ,1
432,гуртків,NOUN,1
433,перших,ADJ,4
434,пропагандистів,NOUN,1
435,марксизму,NOUN,2
436,києві,PROPN,1
437,мінську,PROPN,1
438,захоплення,NOUN,1
439,яким,DET,5
440,знівелювало,VERB,1
441,згубний,ADJ,1
442,вплив,NOUN,5
443,коментаторам,NOUN,1
444,зоставалося,VERB,1
445,сподіватися,VERB,1
446,ніби,SCONJ,5
447,читачі,NOUN,1
448,обмежаться,VERB,1
449,їхніми,DET,5
450,примітками,NOUN,1
451,самою,DET,1
452,авторкою,NOUN,1
453,акценти,NOUN,1
454,розставлено,VERB,1
455,зовсім,ADV,17
456,очевидно,ADV,2
457,зокрема,ADV,8
458,сестри,NOUN,4
459,датованому,ADJ,1
460,вереснем,NOUN,1
461,1897,NOUN,1
462,тим,DET,4
463,часом,NOUN,2
464,роблю,VERB,1
465,перше,ADV,2
466,сливе,ADV,1
467,нічого,PRON,10
468,от,PART,28
469,половину,NOUN,1
470,kapital’у,X,1
471,проштудировала,VERB,1
472,читати,VERB,1
473,його,PRON,70
474,можна,ADV,46
475,знаєш,VERB,1
476,чим,SCONJ,1
477,далі,ADV,21
478,читаю,VERB,1
479,тим,PRON,6
480,більше,ADV,26
481,розчаровуюсь,VERB,1
482,бачу,VERB,3
483,тієї,DET,8
484,строгой,X,1
485,системы,X,1
486,яку,DET,14
487,говорять,VERB,1
488,фанатики,NOUN,1
489,сеї,DET,1
490,книжки,NOUN,4
491,фактів,NOUN,2
492,чимало,ADV,3
493,дотепних,ADJ,1
494,гіпотез,NOUN,1
495,ще,ADV,64
496,дотепів,NOUN,1
497,але,CCONJ,79
498,зостається,VERB,2
499,для,ADP,81
500,темного,NOUN,1
501,невиясненого,NOUN,1
502,недоговореного,NOUN,1
503,науковій,ADJ,2
504,теорії,NOUN,2
505,практичних,ADJ,1
506,виводах,NOUN,1
507,неї,PRON,20
508,ні,INTJ,4
509,видно,ADV,5
510,се,DET,1
511,novum,X,1
512,evangelium,X,1
513,все-таки,PART,2
514,потребує,VERB,1
515,безпосередньої,ADJ,1
516,віри,NOUN,1
517,її,PRON,38
518,єсть,VERB,1
519,одного,DET,12
520,близького,ADJ,1
521,приятеля,NOUN,2
522,лариси,PROPN,1
523,перекладача,NOUN,1
524,максима,PROPN,1
525,славинського,PROPN,1
526,замученого,ADJ,1
527,по,ADP,54
528,другій,ADJ,1
529,світовій,NOUN,1
530,радянській,ADJ,1
531,тюрмі,NOUN,1
532,звинувачено,VERB,1
533,тому,PRON,4
534,опинився,VERB,3
535,таборі,NOUN,1
536,буржуазно,ADJ,2
537,націоналістичної,ADJ,2
538,еміграції,NOUN,2
539,празі,PROPN,1
540,врешті,ADV,3
541,там,ADV,41
