,word,POS,count
1,آل,PROPN,4
2,انڈیا,PROPN,8
3,مسلم,PROPN,9
4,پرسنل,PROPN,8
5,لا,PROPN,9
6,بورڈ,PROPN,13
7,کے,ADP,1437
8,اےک,NUM,168
9,پریس,NOUN,6
10,نوٹ,NOUN,2
11,بموجب,ADP,16
12,بورڈ,NOUN,17
13,کی,ADP,899
14,مجلس,NOUN,5
15,عاملہ,NOUN,7
16,کا,ADP,500
17,اجلاس,NOUN,59
18,حیدرآباد,PROPN,19
19,مےں,ADP,650
20,23,PROPN,5
21,اور,CCONJ,591
22,24,PROPN,4
23,اپریل,PROPN,27
24,کو,ADP,631
25,منعقد,ADJ,21
26,ہو,VERB,150
27,رہا,AUX,50
28,ہے,AUX,574
29,۔,PUNCT,1331
30,اس,DET,272
31,صدارت,NOUN,9
32,مولانا,PROPN,6
33,سید,PROPN,10
34,رابع,PROPN,2
35,حسنی,PROPN,2
36,ندوی,PROPN,1
37,صدر,NOUN,32
38,کریں_گے,VERB,15
39,بابری,PROPN,4
40,مسجد,PROPN,6
41,سلسلہ,ADP,3
42,الہ_آباد,PROPN,4
43,ہائی,PROPN,4
44,کورٹ,PROPN,9
45,فیصلہ,NOUN,24
46,خلاف,ADP,67
47,سپریم,PROPN,5
48,اپیل,NOUN,9
49,داخل,NOUN,11
50,کرنے,VERB,155
51,جائزہ,NOUN,18
52,لیا,VERB,8
53,جائے_گا,AUX,4
54,نے,ADP,704
55,اب,PRON,56
56,تک,ADP,63
57,چار,NUM,14
58,اپیلیں,NOUN,3
59,اترپردیش,PROPN,7
60,سنی,PROPN,1
61,وقف,PROPN,1
62,",",PUNCT,184
63,محمد,PROPN,51
64,ہاشم,PROPN,1
65,انصاری,PROPN,5
66,مصباح,PROPN,1
67,الدین,PROPN,11
68,جانب,ADV,5
69,سے,ADP,682
70,کروائی,VERB,2
71,ہےں,AUX,134
72,مزید,ADJ,7
73,کروانا,VERB,2
74,پیش,ADP,1
75,نظر,NOUN,17
76,ہے,VERB,86
77,اس,PRON,142
78,علاوہ,ADP,32
79,زیر,ADP,20
80,سماعت,NOUN,9
81,اطفال,NOUN,1
82,حق,NOUN,12
83,تعلیم,NOUN,22
84,قانون,NOUN,49
85,بھی,PART,212
86,نفاذ,NOUN,3
87,یکم,ADJ,1
88,2010,PROPN,4
89,ء,NOUN,27
90,عمل,NOUN,40
91,آ,VERB,20
92,چکا,AUX,6
93,مقاصد,NOUN,7
94,بہت,ADV,10
95,اچھے,ADJ,3
96,لیکن,CCONJ,50
97,طرح,NOUN,36
98,مدون,ADJ,1
99,کیا,VERB,251
100,گیا,AUX,160
101,کہ,SCONJ,502
102,دینی,ADJ,5
103,مدارس,NOUN,5
104,پر,ADP,420
105,سخت,ADJ,18
106,ضرب,NOUN,3
107,پڑتی,VERB,1
108,نیز,CCONJ,3
109,اقلیتی,ADJ,6
110,تعلیمی,ADJ,3
111,اداروں,NOUN,6
112,حقوق,NOUN,3
113,ان,PRON,121
114,آزادی,NOUN,3
115,متاثر,ADJ,6
116,ہوتی,VERB,18
117,مسودہ,NOUN,4
118,ترمیم,NOUN,7
119,وعدے,NOUN,1
120,کیے,VERB,30
121,جانے,AUX,25
122,باوجود,ADP,11
123,متعلقہ,ADJ,7
124,وزیر,NOUN,32
125,راجیہ,PROPN,5
126,سبھا,PROPN,21
127,پیش,ADV,37
128,پہلے,ADV,14
129,نہیں,PART,168
130,کی,VERB,146
131,چنانچہ,SCONJ,13
132,ارکان,NOUN,40
133,تعاون,NOUN,8
134,مسلک,ADJ,1
135,کمیٹی,NOUN,29
136,سپرد,NOUN,2
137,کروایا,VERB,4
138,بل,NOUN,16
139,نقائص,NOUN,1
140,لے,VERB,20
141,کر,AUX,76
142,ترمیمات,NOUN,1
143,کروانے,VERB,2
144,غور,NOUN,11
145,ٹیکس,NOUN,9
146,نئے,ADJ,11
147,جو,PRON,68
148,آئندہ,ADJ,7
149,سال,NOUN,27
150,موجودہ,ADJ,7
151,انکم,NOUN,2
152,جگہ,NOUN,9
153,لینے,VERB,7
154,والا,AUX,2
155,مسٹر,PART,95
156,سدرشن,PROPN,3
157,ریڈی,PROPN,47
158,میں,ADP,259
159,بعض,DET,4
160,مسلم,ADJ,17
161,تنظیموں,NOUN,3
162,سرگرمی,NOUN,1
163,مہم,NOUN,11
164,چلائی,VERB,3
165,تھی,AUX,74
166,جس,PRON,83
167,قابل,ADJ,8
168,ذکر,NOUN,8
169,مومنٹ,PROPN,1
170,فار,PROPN,2
171,پیس,PROPN,2
172,اینڈ,PROPN,7
173,جسٹس,PROPN,1
174,زکوا,PROPN,1
175,و,PROPN,1
176,چیارٹیبل,PROPN,1
177,ٹرسٹ,PROPN,2
178,نام,NOUN,15
179,شامل,ADJ,50
180,ہیں,VERB,21
181,میناریٹی,ADJ,1
182,ویلفیر,NOUN,1
183,قائدین,NOUN,28
184,نومنتخبہ,ADJ,3
185,رکن,NOUN,24
186,پارلیمان,NOUN,3
187,سریش,PROPN,2
188,کمار,PROPN,9
189,شیٹکار,PROPN,1
190,اسمبلی,NOUN,36
191,پی,PROPN,85
192,کشٹاریڈی,PROPN,1
193,میناریٹیز,NOUN,1
194,درپیش,ADJ,2
195,مسائل,NOUN,28
196,حل,NOUN,13
197,لئے,ADP,11
198,نیک,ADJ,5
199,تمناوں,NOUN,1
200,اظہار,NOUN,14
201,منڈل,NOUN,15
202,ڈیولپمنٹ,NOUN,1
203,آفسیر,NOUN,1
204,گجویل,PROPN,2
205,شریمتی,NOUN,1
206,وتسلا,PROPN,1
207,دیوی,PROPN,1
208,سیاست,PROPN,3
209,نیوز,PROPN,2
210,بتایا,VERB,51
211,پریشد,NOUN,14
212,سہ_ماہی,ADJ,1
