,word,POS,count
1,հարցարան,NOUN,1
2,գրական,ADJ,24
3,քննադատութիւնը,NOUN,5
4,իբրեւ,ADP,18
5,ստեղծաբանական,ADJ,2
6,արարք,NOUN,4
7,.,PUNCT,412
8,ինչ,PRON,50
9,՞,PUNCT,163
10,կը,AUX,654
11,հասկնաք,VERB,1
12,ասով,PRON,1
13,:,PUNCT,567
14,որն,PRON,2
15,է,AUX,473
16,քննադատին,NOUN,5
17,գլխաւորագոյն,ADJ,1
18,պաշտօնը,NOUN,4
19,ինչը,PRON,4
20,կամ,CCONJ,73
21,ինչեր,PRON,3
22,մղած,VERB,1
23,են,AUX,85
24,ձեզ,PRON,2
25,քննադատութեամբ,NOUN,2
26,անդրադառնալու,VERB,2
27,սա,DET,4
28,նա,DET,1
29,գործին,NOUN,5
30,ինչն,PRON,1
31,",",PUNCT,2140
32,որ,PRON,99
33,ստիպէ,VERB,1
34,գրելու,VERB,2
35,պարտադրանքին,NOUN,2
36,տակ,ADP,16
37,դնէ,VERB,2
38,գիրը,NOUN,1
39,կանչէ,VERB,2
40,մօտէն,ADV,3
41,հետեւիք,VERB,1
42,այսօրուան,NOUN,2
43,միջազգային,ADJ,3
44,քննադատութեան,NOUN,7
45,եւ,CCONJ,521
46,կ՚,AUX,284
47,ըսէ,VERB,50
48,ան,PRON,52
49,ձեզի,PRON,4
50,հարցում,NOUN,2
51,մեր,DET,87
52,գրականութեան,NOUN,14
53,գլխաւոր,ADJ,3
54,բացական,NOUN,1
55,եղեր,VERB,1
56,հակառակ,ADP,11
57,յակոբ,PROPN,9
58,օշական,PROPN,4
59,որուն,PRON,17
60,ուղղութեամբ,NOUN,7
61,այսօր,ADV,21
62,ալ,ADV,148
63,կարգ,NOUN,12
64,մը,DET,484
65,գրողներ,NOUN,1
66,համոզուած,VERB,4
67,չեն,AUX,17
68,այդ,DET,129
69,գրողները,NOUN,1
70,իրենք,PRON,7
71,հաստատ,ADJ,3
72,ուղղութիւն,NOUN,2
73,քննադատական,ADJ,1
74,որոշ,DET,13
75,բերք,NOUN,1
76,չունին,VERB,5
77,պակասը,NOUN,2
78,մնայ,VERB,13
79,պակաս,NOUN,1
80,ձեր,DET,5
81,կարծիքը,NOUN,3
82,կարելի,ADJ,21
83,հայ,ADJ,18
84,անոր,DET,39
85,կիրարկութեան,NOUN,1
86,կերպերը,NOUN,1
87,նկատի,X,8
88,առած,VERB,9
89,շրջաններու,NOUN,1
90,բաժանումի,NOUN,1
91,ենթարկել,VERB,1
92,եթէ,SCONJ,48
93,այո,INTJ,18
94,՝,PUNCT,431
95,ինչ,DET,17
96,անուններով,NOUN,1
