,word,POS,count
1,մտածել,VERB,32
2,եմ,AUX,2788
3,՝,PUNCT,587
4,ադամ,PROPN,1
5,ու,CCONJ,569
6,եվա,PROPN,4
7,վտարում,NOUN,1
8,եդեմական,ADJ,1
9,այգի,NOUN,3
10,(,PUNCT,93
11,դրախտ,NOUN,1
12,),PUNCT,97
13,",",PUNCT,3648
14,նա,DET,115
15,տեղափոխում,NOUN,4
16,այլ,DET,35
17,վայր,NOUN,4
18,ուր,ADV,14
19,շրջակայք,NOUN,3
20,այլևս,ADV,17
21,բարեկամական,ADJ,1
22,այլ,CCONJ,26
23,խիստ,ADJ,2
24,թշնամական,ADJ,1
25,ինքը,DET,203
26,հաց,NOUN,22
27,պիտի,AUX,27
28,տանջանք,NOUN,2
29,վաստակել,VERB,2
30,նույն,DET,18
31,մոլորակ,NOUN,6
32,սահման,NOUN,6
33,որ,SCONJ,404
34,կատարվել,VERB,4
35,:,PUNCT,920
36,եդեմ,NOUN,2
37,աքսորավայր,NOUN,1
38,այլ,PRON,3
39,այսինքն,CCONJ,8
40,այս,PRON,9
41,այժմ,ADV,11
42,էլ,ADV,144
43,բնակվել,VERB,1
44,բայց,CCONJ,151
45,միշտ,ADV,28
46,նայել,VERB,46
47,երկինք,NOUN,8
48,բնազդ,NOUN,3
49,դրոշմվել,VERB,1
50,հիշողություն,NOUN,10
51,որոնել,VERB,5
52,։,PUNCT,856
53,իսկ,CCONJ,119
54,այն,PRON,58
55,կամ,VERB,98
56,տեր,PROPN,3
57,պայթել,VERB,10
58,կամ,CCONJ,71
59,գուցե,PART,21
60,ամայանալ,VERB,1
61,բնակություն,NOUN,2
62,համար,ADP,141
63,անպիտան,ADJ,3
64,դարձնել,VERB,4
65,էլ,PART,52
66,ախտահանել,VERB,1
67,նոր,ADJ,65
68,բնակիչ,NOUN,8
69,ընդունել,VERB,25
70,մի,NUM,43
71,խոսք,NOUN,34
72,մենք,PRON,138
73,դա,PRON,106
74,հետ,ADP,119
75,գործ,NOUN,54
76,ունեմ,VERB,91
77,մեր,PRON,2
78,սա,PRON,33
79,դժոխք,NOUN,4
80,որ,PRON,156
81,սակայն,CCONJ,29
82,հասնել,VERB,47
83,սիրել,VERB,20
84,.,PUNCT,254
85,դեհ,INTJ,2
86,շուն,NOUN,11
87,որտեղ,ADV,27
88,կապել,VERB,6
89,կապվել,VERB,15
90,-,PUNCT,262
91,ընտելանալ,VERB,1
92,իրականում,ADV,7
93,հեչ,ADV,2
94,բան,NOUN,59
95,հա,INTJ,8
96,էլի,PART,3
97,որ,PART,69
98,կապույտ,ADJ,5
