,word,POS,count
1,gero,ADV,37
2,",",PUNCT,2412
3,lortu,VERB,95
4,masa,NOUN,4
5,molde,NOUN,1
6,bat,NUM,398
7,jarri,VERB,62
8,.,PUNCT,3014
9,bestalde,CCONJ,24
10,"""",PUNCT,650
11,herri,NOUN,59
12,palestinar,ADJ,6
13,laguntza,NOUN,17
14,tekniko,ADJ,3
15,eta,CCONJ,1216
16,ekonomiko,ADJ,5
17,eman,VERB,148
18,jarraitu,VERB,35
19,estatu,NOUN,22
20,baketsu,ADJ,2
21,demokratiko,ADJ,8
22,ordezkari,NOUN,18
23,izan,AUX,2071
24,erakunde,NOUN,14
25,indartu,VERB,4
26,lan,NOUN,62
27,konpromiso,NOUN,3
28,baieztatu,VERB,10
29,*edun,AUX,2050
30,eb,PROPN,6
31,tour,PROPN,10
32,hura,DET,81
33,bistaratu,VERB,1
34,lehendabiziko,NUM,3
35,aldi,NOUN,12
36,mendi,NOUN,11
37,ukan,VERB,513
38,benetako,ADJ,2
39,zailtasun,NOUN,3
40,ni,PRON,92
41,ere,CCONJ,196
42,ez,PART,568
43,hasi,VERB,103
44,inketatu,VERB,1
45,zidane,PROPN,5
46,henry,PROPN,1
47,barthez,PROPN,1
48,deschamps,PROPN,4
49,blanc,PROPN,1
50,enparau,ADJ,2
51,eurokopa,PROPN,5
52,talde,NOUN,140
53,sendo,ADJ,11
54,osatu,VERB,27
55,aditu,NOUN,5
56,gehien,DET,21
57,napoli,PROPN,2
58,erregeorde,NOUN,1
59,lemos,PROPN,1
60,konde,NOUN,1
61,idazkari,NOUN,5
62,bera,DET,163
63,anaia,NOUN,5
64,bartolome,PROPN,1
65,esan,VERB,157
66,erre,VERB,5
67,egin,VERB,492
68,poema,NOUN,1
69,hiri,NOUN,20
70,gu,PRON,67
71,errespetu,NOUN,10
72,handi,ADJ,88
73,alaves,PROPN,18
74,espero,NOUN,15
75,partidu,NOUN,80
76,on,ADJ,83
77,hiru,NUM,62
78,puntu,NOUN,18
79,irabazi,VERB,79
80,beraz,CCONJ,28
81,elkar,PRON,11
82,neurri,NOUN,10
83,hartu,VERB,108
84,modu,NOUN,38
85,urre,NOUN,12
86,kendu,VERB,15
87,jaso,VERB,34
88,baina,CCONJ,220
89,nor,PRON,8
90,gogoratu,VERB,10
91,irabazle,NOUN,8
92,izen,NOUN,34
93,?,PUNCT,108
94,zer,DET,53
95,txara,PROPN,1
96,1,NUM,7
97,egoitza,NOUN,5
98,sukalde,NOUN,6
99,ekipamendu,NOUN,1
100,erosi,VERB,5
101,atzerritar,ADJ,5
102,sarbide,NOUN,1
103,eskaera,NOUN,4
104,onartu,VERB,27
105,baldintzapean,ADV,1
106,gertatu,VERB,55
107,jokalari,NOUN,68
108,aparta,ADJ,2
109,donostia,PROPN,10
110,aurrelari,NOUN,10
111,entrenamendu,NOUN,9
112,normaltasun,NOUN,2
113,amaitu,VERB,25
114,etxe,NOUN,40
115,heldu,VERB,22
116,buru,NOUN,30
117,min,NOUN,9
118,ospitale,NOUN,7
