,word,POS,count
1,паўднёвы,ADJ,3
2,карэя,PROPN,3
3,хацець,VERB,24
4,інвеставаць,VERB,1
5,у,ADP,1099
6,беларускі,ADJ,140
7,эканоміка,NOUN,10
8,найбуйнейшы,ADJ,1
9,юрыдычны,ADJ,3
10,карпарацыя,NOUN,1
11,daeryook,X,4
12,&amp;,SYM,4
13,aju,X,4
14,internatonal,X,4
15,law,X,4
16,firm,X,4
17,зацікавіцца,VERB,1
18,інвестыцыйны,ADJ,2
19,магчымасць,NOUN,11
20,беларусь,PROPN,184
21,.,PUNCT,1794
22,ход,NOUN,8
23,візіт,NOUN,2
24,дэлегацыя,NOUN,1
25,сеул,PROPN,3
26,16,ADJ,4
27,сакавік,NOUN,17
28,кампанія,NOUN,12
29,падпісаць,VERB,5
30,мемарандум,NOUN,1
31,аб,ADP,32
32,узаемаразуменне,NOUN,1
33,з,ADP,421
34,нацыянальны,ADJ,24
35,агенцтва,NOUN,8
36,інвестыцыя,NOUN,5
37,і,CCONJ,799
38,прыватызацыя,NOUN,3
39,як,SCONJ,120
40,растлумачыць,VERB,3
41,тэлеграф,PROPN,9
42,міністэрства,NOUN,9
43,",",PUNCT,2720
44,адзін,DET,37
45,прыярытэтны,ADJ,1
46,напрамак,NOUN,4
47,работа,NOUN,7
48,з’яўляцца,VERB,11
49,суправаджэнне,NOUN,1
50,замежны,ADJ,14
51,экспансія,NOUN,1
52,карэйскі,ADJ,4
53,бізнэс,NOUN,1
54,"""",PUNCT,109
55,эксперт,NOUN,5
56,валодаць,VERB,1
57,вялікі,ADJ,29
58,вопыт,NOUN,2
59,угода,NOUN,1
60,удзел,NOUN,12
61,капітал,NOUN,1
62,па,ADP,139
63,стварэнне,NOUN,1
64,сумесны,ADJ,2
65,прадпрыемства,NOUN,4
66,энергетычны,ADJ,1
67,праект,NOUN,11
68,праектны,ADJ,1
69,фінансаванне,NOUN,1
70,акрамя,ADP,8
71,цэнтральны,ADJ,5
72,офіс,NOUN,2
73,мець,VERB,38
74,свой,DET,121
75,прадстаўніцтва,NOUN,2
76,еўрасаюз,PROPN,5
77,кітай,PROPN,3
78,расія,PROPN,13
79,зша,PROPN,17
80,--,PUNCT,24
