,word,POS,count
1,里,VERB,3
2,仁,NOUN,81
3,篇,NOUN,14
4,第,NOUN,14
5,四,NUM,35
6,子,NOUN,426
7,曰,VERB,1005
8,爲,AUX,105
9,美,NOUN,9
10,擇,VERB,7
11,不,ADV,1059
12,處,VERB,19
13,焉,ADV,29
14,得,AUX,48
15,知,VERB,132
16,仁,VERB,78
17,者,PART,497
18,可,AUX,223
19,以,VERB,336
20,久,VERB,21
21,約,NOUN,4
22,長,VERB,24
23,樂,NOUN,26
24,安,VERB,25
25,利,VERB,9
26,唯,ADV,16
27,能,AUX,118
28,好,VERB,61
29,人,NOUN,495
30,惡,VERB,44
31,苟,ADV,12
32,志,VERB,5
33,於,ADP,377
34,矣,PART,276
35,無,ADV,61
36,也,PART,1104
37,富,VERB,18
38,與,ADP,106
39,貴,VERB,19
40,是,PRON,180
41,之,SCONJ,749
42,所,PART,140
43,欲,VERB,31
44,其,PRON,465
45,道,NOUN,167
46,得,VERB,105
47,之,PRON,741
48,貧,VERB,12
49,賤,VERB,10
50,去,VERB,50
51,君子,NOUN,122
52,惡,ADV,14
53,乎,PART,186
54,成,VERB,20
55,名,NOUN,4
56,無,VERB,154
57,終,VERB,23
58,食,NOUN,33
59,間,NOUN,10
60,違,VERB,11
61,造,VERB,7
62,次,NOUN,6
63,必,ADV,115
64,於,VERB,36
65,顚,ADV,1
66,沛,VERB,3
67,我,PRON,132
68,未,ADV,106
69,見,VERB,116
70,以,ADV,165
71,尙,VERB,5
72,爲,VERB,235
73,使,VERB,100
74,加,VERB,9
75,乎,ADP,40
76,身,NOUN,41
77,有,VERB,383
78,一,NUM,91
79,日,NOUN,62
80,用,VERB,29
81,力,NOUN,18
82,足,VERB,11
83,蓋,PART,7
84,過,VERB,36
85,各,ADV,6
86,黨,NOUN,9
87,觀,VERB,17
88,過,NOUN,13
89,斯,ADV,36
90,朝,NOUN,32
91,聞,VERB,89
92,夕,NOUN,1
93,死,VERB,42
94,可,VERB,35
95,士,NOUN,79
96,而,CCONJ,658
97,恥,VERB,17
98,惡,NOUN,18
99,衣,NOUN,17
100,足,AUX,29
101,與,ADV,32
102,議,VERB,3
103,天,NOUN,242
104,下,NOUN,178
105,適,VERB,10
106,莫,ADV,50
107,義,NOUN,58
108,比,VERB,9
109,懷,VERB,8
110,德,NOUN,45
111,小,VERB,55
112,土,NOUN,10
113,刑,NOUN,5
114,惠,NOUN,3
115,放,VERB,14
116,利,NOUN,13
117,行,VERB,114
118,多,VERB,21
119,怨,NOUN,4
120,禮,VERB,6
121,讓,VERB,7
122,國,NOUN,78
123,從,VERB,55
124,政,NOUN,56
125,何,PRON,119
126,如,VERB,139
127,禮,NOUN,72
128,患,VERB,13
129,位,NOUN,34
130,立,VERB,38
131,己,PRON,39
132,求,VERB,46
133,參,PROPN,2
134,吾,PRON,154
135,貫,VERB,4
136,曾子,PROPN,32
137,出,VERB,51
