,word,POS,count
1,kazna,NOUN,14
2,medijski,ADJ,6
3,mogul,NOUN,3
4,obnoviti,VERB,1
5,rasprava,NOUN,11
6,u,ADP,1466
7,makedonija,PROPN,85
8,neki,DET,42
9,tvrditi,VERB,11
10,da,SCONJ,265
11,biti,AUX,2579
12,presuda,NOUN,7
13,velija,PROPN,4
14,ramkovski,PROPN,8
15,napad,NOUN,19
16,na,ADP,593
17,sloboda,NOUN,19
18,medij,NOUN,32
19,",",PUNCT,2274
20,dok,SCONJ,39
21,drugi,ADJ,76
22,kako,SCONJ,391
23,dokaz,NOUN,8
24,o,ADP,208
25,njegov,DET,56
26,kazneni,ADJ,13
27,djelo,NOUN,8
28,govoriti,VERB,12
29,suprotno,ADV,2
30,.,PUNCT,1855
31,osuditi,ADJ,4
32,13,NUM,6
33,godina,NOUN,241
34,zatvor,NOUN,5
35,zbog,ADP,55
36,utaja,NOUN,2
37,porez,NOUN,7
38,i,CCONJ,1113
39,pranje,NOUN,3
40,novac,NOUN,8
41,zatvorski,ADJ,4
42,koji,DET,511
43,često,ADV,8
44,kritizirati,VERB,4
45,makedonski,ADJ,41
46,vlada,NOUN,84
47,moći,VERB,78
48,zaplašiti,VERB,1
49,kazati,VERB,143
50,novinar,NOUN,26
51,taj,DET,291
52,mali,ADJ,13
53,balkanski,ADJ,18
54,država,NOUN,44
55,bivši,ADJ,49
56,vlasnik,NOUN,7
57,televizijski,ADJ,2
58,postaja,NOUN,3
59,a1,X,9
60,četiri,NUM,16
61,novine,NOUN,9
62,poduzeće,NOUN,9
63,sud,NOUN,43
64,skoplje,PROPN,5
65,14.,ADJ,11
66,ožujak,NOUN,28
67,kriminalan,ADJ,8
68,zavjera,NOUN,3
69,zloporaba,NOUN,5
70,položaj,NOUN,9
71,;,PUNCT,22
72,19,NUM,2
73,suučesnik,NOUN,1
74,dobiti,VERB,31
75,trajanje,NOUN,2
76,od,ADP,240
77,dva,NUM,56
78,do,ADP,103
79,sedam,NUM,5
80,televizija,NOUN,5
81,zatvoren,ADJ,2
82,zato,SCONJ,8
83,što,SCONJ,50
84,plaćati,VERB,2
85,ispunjavati,VERB,1
86,obveza,NOUN,23
87,prema,ADP,71
88,vjerovnik,NOUN,1
89,"""",PUNCT,767
90,dojam,NOUN,3
91,korak,NOUN,32
92,poduzeti,ADJ,2
93,izreći,ADJ,3
94,selektivan,ADJ,1
95,te,CCONJ,61
96,institucija,NOUN,16
97,ne,PART,113
98,koristiti,VERB,24
99,isti,ADJ,17
100,metoda,NOUN,1
101,provođenje,NOUN,1
102,zakon,NOUN,49
103,sav,ADJ,44
104,izjaviti,VERB,112
105,za,ADP,518
106,setimes,PROPN,61
107,ravnateljica,NOUN,5
108,institut,NOUN,6
109,biljana,PROPN,1
110,petkovska,PROPN,1
111,a,CCONJ,86
112,posebice,ADV,21
113,zaposlenik,NOUN,5
114,tv,NOUN,11
115,slučaj,NOUN,23
116,pod,ADP,31
117,naziv,NOUN,10
118,paukov,ADJ,2
119,mreža,NOUN,5
120,predstavljati,VERB,23
121,borba,NOUN,28
122,između,ADP,38
123,tada,ADV,11
124,moćan,ADJ,1
125,njezin,DET,29
126,politika,NOUN,16
127,podupirati,VERB,8
128,oporba,NOUN,2
129,sadašnji,ADJ,12
130,politički,ADJ,55
131,elita,NOUN,2
132,staviti,VERB,1
133,htjeti,AUX,347
134,apsolutan,ADJ,2
135,nadzor,NOUN,17
136,svaki,DET,23
137,slobodan,ADJ,15
138,misao,NOUN,1
139,mišljenje,NOUN,17
140,protiv,ADP,65
141,oni,PRON,46
142,njihov,DET,35
143,cilj,NOUN,42
144,danas,ADV,12
145,sebe,PRON,527
146,i,PART,11
147,pokazati,VERB,13
148,ušutkati,VERB,1
149,kao,SCONJ,120
150,nositelj,NOUN,2
151,diktatura,NOUN,1
152,[,PUNCT,24
153,premijer,NOUN,60
154,],PUNCT,24
155,nikola,PROPN,6
156,gruevski,PROPN,6
157,urednik,NOUN,6
158,zastupnik,NOUN,11
159,oporbeni,ADJ,13
160,sandžački,ADJ,1
161,liga,NOUN,9
162,safet,PROPN,2
163,biševac,PROPN,1
164,dužnosnik,NOUN,37
165,odgovoriti,VERB,6
166,tretirati,ADJ,1
167,isto,ADV,2
168,bilo,PART,14
169,tvrtka,NOUN,37
170,kriv,ADJ,1
171,višegodišnji,ADJ,2
172,aktivnost,NOUN,8
173,ovaj,DET,118
174,beskompromisan,ADJ,2
175,kriminal,NOUN,14
176,korupcija,NOUN,12
177,postojati,VERB,25
178,zemlja,NOUN,221
179,ali,CCONJ,63
180,čiji,DET,12
181,sankcioniranje,NOUN,1
182,ovisiti,VERB,11
183,uglavnom,ADV,8
184,volja,NOUN,3
185,relevantan,ADJ,4
186,čimbenik,NOUN,5
187,sposobnost,NOUN,1
188,neovisno,ADV,1
189,raditi,VERB,27
190,svoj,DET,150
191,posao,NOUN,82
192,reći,VERB,88
193,vladajući,ADJ,12
194,vmro,PROPN,1
195,antonio,PROPN,1
196,milošoski,PROPN,1
197,tužitelj,NOUN,13
198,izvesti,VERB,3
199,25,NUM,6
200,svjedok,NOUN,19
201,izbjegavati,VERB,3
202,platiti,VERB,5
203,"4,5",NUM,2
204,milijun,NOUN,42
205,euro,NOUN,58
206,prisvojiti,VERB,1
207,"17,5",NUM,1
208,kroz,ADP,8
209,prijevara,NOUN,3
210,--,PUNCT,94
211,izdavanje,NOUN,4
212,račun,NOUN,1
213,sa,ADP,380
214,lažan,ADJ,3
215,sadržaj,NOUN,2
216,djelovati,VERB,4
217,preko,ADP,19
218,15,NUM,12
219,poslovati,VERB,3
220,turska,PROPN,62
221,sjedinjen,ADJ,10
222,američki,ADJ,27
223,sjedište,NOUN,4
224,navesti,VERB,7
225,adresa,NOUN,1
226,riječ,NOUN,30
227,predsjednica,NOUN,3
228,ogranak,NOUN,3
229,transparency,X,3
230,internationala,X,1
231,slađana,PROPN,1
232,taseva,PROPN,3
233,mnogo,ADV,30
234,brinuti,VERB,2
235,što,PRON,88
236,zamrznuti,VERB,1
237,zaplijeniti,VERB,1
238,imovina,NOUN,14
239,podnijeti,VERB,12
240,zahtjev,NOUN,9
241,ustavan,ADJ,15
242,preispitivanje,NOUN,1
243,zakonitost,NOUN,1
244,zapljena,NOUN,3
245,uvjeren,ADJ,1
246,imati,VERB,87
247,epilog,NOUN,1
248,međunarodni,ADJ,63
249,iskusan,ADJ,2
250,novinarka,NOUN,1
251,mirka,PROPN,1
252,velinovska,PROPN,2
253,argument,NOUN,2
254,potkrepljivati,VERB,1
255,pritužba,NOUN,5
256,vezan,ADJ,6
257,željeti,VERB,34
258,li,PART,41
259,poštovati,VERB,4
260,ili,CCONJ,64
261,?,PUNCT,35
262,govor,NOUN,4
263,živ,ADJ,2
264,zdrav,ADJ,2
265,ostati,VERB,16
266,bez,ADP,19
267,sada,ADV,37
268,ponovno,ADV,4
269,profesija,NOUN,1
270,...,PUNCT,10
271,novčan,ADJ,2
272,potpora,NOUN,30
273,iz,ADP,153
274,inozemstvo,NOUN,5
275,otvoriti,VERB,17
276,vlastit,ADJ,10
277,ostali,ADJ,28
