,word,POS,count
1,třikrát,ADV,4
2,rychlý,ADJ,8
3,než,SCONJ,53
4,slovo,NOUN,11
5,fax,NOUN,93
6,škodit,VERB,2
7,především,ADV,34
8,přetížený,ADJ,1
9,telefonní,ADJ,20
10,linka,NOUN,16
11,*,PUNCT,146
12,pomoc,NOUN,6
13,moci,VERB,129
14,být,AUX,1066
15,systém,NOUN,13
16,ecm,NOUN,10
17,šetřit,VERB,4
18,peníze,NOUN,21
19,",",PUNCT,2425
20,telefonovat,VERB,3
21,faxovat,VERB,1
22,!,PUNCT,3
23,tento,DET,144
24,reklamní,ADJ,2
25,slogan,NOUN,2
26,pravdivý,ADJ,2
27,?,PUNCT,84
28,hlasitý,ADJ,1
29,přečtení,NOUN,1
30,dobře,ADV,20
31,čitelný,ADJ,3
32,text,NOUN,17
33,na,ADP,571
34,stránka,NOUN,15
35,a,PROPN,19
36,4,NUM,36
37,při,ADP,95
38,řádkování,NOUN,1
39,1.5,NUM,6
40,trvat,VERB,11
41,zhruba,ADV,20
42,3,NUM,53
43,minuta,NOUN,2
44,.,PUNCT,2490
45,podle,ADP,56
46,prospekt,NOUN,3
47,se,PRON,631
48,přenést,VERB,1
49,normalizovaný,ADJ,7
50,obsah,NOUN,4
51,jeden,NUM,70
52,za,ADP,165
53,10,NUM,31
54,až,CCONJ,21
55,30,NUM,23
56,sekunda,NOUN,2
57,v,ADP,726
58,skutečnost,NOUN,10
59,ten,DET,351
60,sice,ADV,10
61,protože,SCONJ,31
62,doba,NOUN,48
63,přenos,NOUN,17
64,hodně,ADV,68
65,záviset,VERB,1
66,stav,NOUN,13
67,rychlost,NOUN,17
68,přístroj,NOUN,44
69,ale,CCONJ,120
70,i,CCONJ,241
71,tak,ADV,70
72,informace,NOUN,24
73,řeč,NOUN,3
74,navíc,ADV,18
75,současně,ADV,7
76,vzniknout,VERB,10
77,písemný,ADJ,3
78,doklad,NOUN,9
79,lze,VERB,30
80,přenášet,VERB,5
81,obrázek,NOUN,13
82,graf,NOUN,4
83,fotografie,NOUN,4
84,ruka,NOUN,5
85,psaný,ADJ,1
86,apod,ADV,7
87,přenosový,ADJ,13
88,pro,ADP,200
89,faksimile,NOUN,3
90,správně,ADV,6
91,nazývat,VERB,2
92,zařízení,NOUN,24
93,o,ADP,243
94,který,DET,263
95,dnes,ADV,12
96,psát,VERB,4
97,zajímavý,ADJ,4
98,parametr,NOUN,5
99,posouzení,NOUN,3
100,jeho,DET,115
101,vlastnost,NOUN,7
102,mít,VERB,212
103,z,ADP,265
104,uživatelský,ADJ,1
105,hledisko,NOUN,7
106,omezený,ADJ,35
107,význam,NOUN,6
108,smysl,NOUN,3
109,článek,NOUN,6
110,napomoci,VERB,1
111,orientovat,VERB,3
112,ty,PRON,32
113,výběr,NOUN,10
114,tvůj,DET,27
115,potřeba,NOUN,12
116,nutný,ADJ,15
117,poněkud,ADV,3
118,obšírně,ADV,1
119,vysvětlit,VERB,2
120,proč,ADV,4
121,uváděný,ADJ,4
122,brát,VERB,3
123,jen,PART,65
124,jako,SCONJ,69
125,orientační,ADJ,1
126,údaj,NOUN,15
127,aby,SCONJ,67
128,objektivně,ADV,1
129,srovnatelný,ADJ,2
130,vydat,VERB,8
131,mezinárodní,ADJ,25
132,normalizační,ADJ,1
133,organizace,NOUN,13
134,ccitt,PROPN,3
135,dopis,NOUN,11
136,formát,NOUN,6
137,laboratorní,ADJ,1
138,zkouška,NOUN,9
139,vysoký,ADJ,41
140,jaký,DET,25
141,schopný,ADJ,8
142,výsledek,NOUN,14
143,ideální,ADJ,3
144,podmínka,NOUN,22
145,pak,ADV,35
146,běžný,ADJ,12
147,provoz,NOUN,21
148,však,CCONJ,76
149,takový,DET,32
150,kvalita,NOUN,38
151,laboratoř,NOUN,2
152,s,ADP,293
153,konstruktér,NOUN,2
154,počítat,VERB,16
155,a,CCONJ,770
156,všechen,DET,70
157,po,ADP,82
158,navázání,NOUN,1
159,spojení,NOUN,15
160,testovat,VERB,1
161,pokud,SCONJ,38
162,test,NOUN,2
163,proběhnout,VERB,6
164,bezchybně,ADV,1
165,snižovat,VERB,5
166,dlouho,ADV,11
167,až,SCONJ,5
168,přesto,ADV,13
169,potom,ADV,12
170,stát,VERB,41
171,že,SCONJ,244
172,náhodný,ADJ,1
173,chvilkový,ADJ,1
174,rušení,NOUN,2
175,porušit,VERB,1
176,předávaný,ADJ,2
177,zpráva,NOUN,21
178,až,PART,41
179,k,ADP,191
180,čitelnost,NOUN,4
181,proto,CCONJ,34
182,vyplatit,VERB,10
183,dát,VERB,18
184,něco,PRON,11
185,pracovat,VERB,23
186,samoopravný,ADJ,9
187,režim,NOUN,14
188,-,PUNCT,368
189,error,ADJ,2
190,correction,ADJ,2
191,mode,NOUN,2
192,vybavený,ADJ,7
193,funkce,NOUN,12
194,členit,VERB,1
195,blok,NOUN,4
196,obvykle,ADV,3
197,jednotlivý,ADJ,22
198,řádek,NOUN,2
199,případ,NOUN,45
200,opakovat,VERB,4
201,porušený,ADJ,1
202,data,NOUN,2
203,předaný,ADJ,1
204,vynaložený,ADJ,1
205,brzy,ADV,18
206,vrátit,VERB,4
207,úspora,NOUN,2
208,poplatek,NOUN,15
209,telefonát,NOUN,1
210,žádat,VERB,7
211,odesílatel,NOUN,2
212,opakovaný,ADJ,2
213,zaslání,NOUN,1
214,právě,ADV,7
215,dostat,VERB,18
216,uvedený,ADJ,13
217,činnost,NOUN,19
218,faxovací,ADJ,3
219,výsledný,ADJ,2
220,samozřejmě,ADV,13
221,zůstávat,VERB,3
222,velmi,ADV,22
223,pojítko,NOUN,1
224,já,PRON,114
225,jednání,NOUN,17
226,potřebovat,VERB,11
227,můj,DET,91
228,partner,NOUN,21
229,nahlédnout,VERB,2
230,do,ADP,149
231,dokument,NOUN,11
232,u,ADP,92
233,kolega,NOUN,6
234,sedící,ADJ,1
235,stejný,ADJ,14
236,budova,NOUN,3
237,jenže,CCONJ,4
238,dva,NUM,45
239,patro,NOUN,1
240,nízko,ADV,1
241,telefonicky,ADV,4
242,on,PRON,180
243,požádat,VERB,5
244,poslat,VERB,1
245,očekávat,VERB,13
246,přiběhnout,VERB,1
247,dívenka,NOUN,1
248,papír,NOUN,30
249,považovat,VERB,8
250,zcela,ADV,7
251,přirozený,ADJ,2
252,začít,VERB,22
253,vystupovat,VERB,1
254,stůl,NOUN,6
255,zřejmě,ADV,14
256,cenit,VERB,2
257,čas,NOUN,28
258,pracovník,NOUN,33
259,zatím,ADV,17
260,zvyk,NOUN,1
261,druhý,ADJ,29
262,strana,NOUN,26
263,vybírání,NOUN,1
264,uvažovat,VERB,6
265,nejen,PART,10
266,časový,ADJ,4
267,impuls,NOUN,2
268,náklad,NOUN,47
269,provozní,ADJ,10
270,materiál,NOUN,25
271,podstatný,ADJ,3
272,část,NOUN,28
273,tisknout,VERB,2
274,metoda,NOUN,7
275,termozáznam,NOUN,2
276,teplocitlivý,ADJ,3
277,asi,PART,45
278,95,NUM,2
279,haléř,NOUN,4
280,nakupovaný,ADJ,2
281,role,NOUN,7
282,50,NUM,15
283,nebo,CCONJ,101
284,100,NUM,15
285,m,NOUN,13
286,krátký,ADJ,11
287,délka,NOUN,8
288,%,SYM,62
289,drahý,ADJ,15
290,nákup,NOUN,14
291,zajímat,VERB,6
292,používat,VERB,19
293,převážný,ADJ,4
294,seřízený,ADJ,1
295,ctnost,NOUN,1
296,termocitlivý,ADJ,2
297,choulostivost,NOUN,1
298,ukládání,NOUN,1
299,zejména,ADV,15
300,snášet,VERB,1
301,velký,ADJ,90
302,teplo,NOUN,4
303,například,ADV,55
304,auto,NOUN,19
305,léto,NOUN,2
306,slunce,NOUN,1
307,hodina,NOUN,15
308,pečlivý,ADJ,1
309,uložení,NOUN,4
310,normální,ADJ,5
311,pokojový,ADJ,1
312,teplota,NOUN,5
313,poměrně,ADV,5
314,klesat,VERB,5
315,nebezpečí,NOUN,4
316,hrozit,VERB,3
317,pořídit,VERB,4
318,dost,ADV,10
319,tisk,NOUN,29
320,bubble,ADJ,1
321,jet,NOUN,3
322,ink,ADJ,2
323,xeroxový,ADJ,4
324,arch,NOUN,1
325,celý,ADJ,38
326,dvacet,NUM,5
327,zase,ADV,2
328,muset,VERB,90
329,vložka,NOUN,2
330,tiskárna,NOUN,6
331,náplň,NOUN,5
332,vytištění,NOUN,2
333,přibližně,ADV,10
334,3000,NUM,7
335,od,ADP,90
336,1000,NUM,4
337,kč,NOUN,45
338,vysoko,ADV,2
339,princip,NOUN,5
340,někdy,ADV,9
341,označovaný,ADJ,1
342,laserový,ADJ,3
343,také,ADV,51
344,výměnný,ADJ,1
345,kazeta,NOUN,5
346,čtyři,NUM,9
347,deset,NUM,4
348,tisíc,NUM,14
349,počet,NOUN,36
350,kopie,NOUN,6
351,pohybovat,VERB,13
352,kolem,ADP,26
353,9,NUM,13
354,každý,DET,38
355,způsob,NOUN,23
356,značně,ADV,3
357,dobrý,ADJ,53
358,termální,ADJ,1
359,trvanlivost,NOUN,2
360,prakticky,ADV,10
361,správný,ADJ,3
362,většina,NOUN,22
363,výkonný,ADJ,3
364,kopírka,NOUN,3
365,to,PART,11
366,souběžně,ADV,3
367,přijímání,NOUN,4
368,faxový,ADJ,9
369,během,ADP,16
370,kopírování,NOUN,2
371,ukládaný,ADJ,1
372,paměť,NOUN,12
373,současný,ADJ,16
374,avizovaný,ADJ,1
375,nástup,NOUN,2
376,nový,ADJ,61
377,technologie,NOUN,11
378,umožnit,VERB,4
379,toner,NOUN,2
380,zhotovit,VERB,1
381,30000,NUM,4
382,výměna,NOUN,10
383,tiskový,ADJ,3
384,prováděný,ADJ,1
385,60000,NUM,1
386,cena,NOUN,107
387,klesnout,VERB,4
388,třetina,NUM,6
389,objevit,VERB,3
390,trh,NOUN,58
391,prodej,NOUN,41
392,být,VERB,133
393,ani,CCONJ,30
394,stanovený,ADJ,12
395,některý,DET,32
396,skupina,NOUN,11
397,uživatel,NOUN,6
398,zasílaný,ADJ,1
399,výkres,NOUN,1
400,značný,ADJ,3
401,všímat,VERB,1
402,grafický,ADJ,3
403,popis,NOUN,14
404,zavedený,ADJ,3
405,několik,DET,16
406,pojem,NOUN,6
407,:,PUNCT,378
408,stupeň,NOUN,22
409,šeď,NOUN,10
410,běžně,ADV,6
411,dispozice,NOUN,4
412,16,NUM,20
413,využít,VERB,9
414,pouze,ADV,29
415,písmo,NOUN,1
416,valný,ADJ,4
417,kromě,ADP,11
418,skutečný,ADJ,5
419,určovat,VERB,1
420,vždy,ADV,15
421,propojený,ADJ,1
422,málo,ADV,28
423,řízení,NOUN,24
424,kontrast,NOUN,6
425,zlepšovat,VERB,3
426,ostrý,ADJ,1
427,předloha,NOUN,6
428,užitečný,ADJ,4
429,řídit,VERB,8
430,automaticky,ADV,5
431,jiný,ADJ,55
432,ovládaný,ADJ,1
433,manuálně,ADV,2
434,rozlišovací,ADJ,2
435,schopnost,NOUN,15
436,udávat,VERB,1
437,kolik,DET,7
438,dělit,VERB,2
439,vertikálně,ADV,1
440,směr,NOUN,6
441,pohyb,NOUN,4
442,mm,NOUN,14
443,přenášený,ADJ,1
444,standardní,ADJ,3
445,rozlišení,NOUN,9
446,3.85,NUM,1
447,jemný,ADJ,2
448,7.7,NUM,1
449,rozlišit,NOUN,1
450,15.4,NUM,1
451,obsahovat,VERB,7
452,horizontální,ADJ,1
453,rozklad,NOUN,1
454,8,NUM,16
455,bod,NOUN,4
456,použitý,ADJ,2
457,výrazně,ADV,5
458,ovlivňovat,VERB,5
459,zpomalovat,VERB,1
460,postačující,ADJ,1
461,přibývat,VERB,1
462,podnikatel,NOUN,51
463,samostatný,ADJ,2
464,kancelář,NOUN,35
465,podnikat,VERB,2
466,doma,ADV,4
467,malý,ADJ,35
468,problém,NOUN,30
469,získání,NOUN,5
470,připojený,ADJ,1
471,jak,ADV,71
472,telefon,NOUN,86
473,situace,NOUN,20
474,kombinovaný,ADJ,8
475,rozeznat,VERB,1
476,zda,SCONJ,21
477,volat,VERB,2
478,dokonce,ADV,9
479,lidský,ADJ,5
480,volající,ADJ,2
481,posečkání,NOUN,1
482,provést,VERB,6
483,příslušný,ADJ,8
484,identifikace,NOUN,2
485,možnost,NOUN,57
486,připojení,NOUN,7
487,záznamník,NOUN,7
488,ověřit,VERB,4
489,dostání,NOUN,1
490,trojkombinace,NOUN,1
491,odradit,VERB,1
492,ztráta,NOUN,12
493,vznikající,ADJ,2
494,proto,ADV,8
495,nikdo,PRON,8
496,dovolat,VERB,2
497,omyl,NOUN,1
498,nechat,VERB,9
499,zapnutý,ADJ,3
500,mnohem,ADV,3
501,odložený,ADJ,6
502,vysílání,NOUN,8
503,umožňovat,VERB,6
504,nahrát,VERB,1
505,vysílaný,ADJ,1
506,nastavit,VERB,1
507,číslo,NOUN,51
508,příjemce,NOUN,5
509,kdy,ADV,28
510,provedený,ADJ,3
511,vyslání,NOUN,1
512,vyslat,VERB,1
513,přítomnost,NOUN,5
514,platit,VERB,27
515,nízký,ADJ,14
516,noc,NOUN,1
517,když,SCONJ,68
518,připravovat,VERB,7
519,upozornit,VERB,5
520,kontaktovaný,ADJ,1
521,firma,NOUN,177
522,podklad,NOUN,3
523,schválený,ADJ,11
524,homologovaný,ADJ,1
525,telekomunikační,ADJ,7
526,síť,NOUN,6
527,zastoupení,NOUN,5
528,renomovaný,ADJ,1
529,znalost,NOUN,5
530,předat,VERB,4
531,dávat,VERB,13
532,věc,NOUN,37
533,pozor,NOUN,6
534,prodávající,ADJ,20
535,návod,NOUN,3
536,obsluha,NOUN,5
537,čeština,NOUN,2
538,schvalovací,ADJ,6
539,opatřený,ADJ,1
540,razítko,NOUN,3
541,prodejna,NOUN,7
542,datum,NOUN,1
543,podpis,NOUN,1
544,bez,ADP,31
545,spoj,NOUN,2
546,licence,NOUN,3
547,připojit,VERB,2
548,značka,NOUN,12
549,československý,ADJ,7
550,umístěný,ADJ,1
551,výrobek,NOUN,26
552,kupovat,VERB,9
553,zahraničí,NOUN,11
554,darovaný,ADJ,1
555,zapůjčený,ADJ,1
556,obchodní,ADJ,31
557,prokazatelně,ADV,1
558,český,ADJ,50
559,republika,NOUN,14
560,uvědomit,VERB,6
561,odpovídat,VERB,10
562,škoda,NOUN,6
563,provozování,NOUN,1
564,východní,ADJ,7
565,čechy,PROPN,10
566,nedávno,ADV,4
567,soudní,ADJ,15
568,spor,NOUN,12
569,náhrada,NOUN,2
570,způsobený,ADJ,2
571,úder,NOUN,1
572,blesk,NOUN,1
