,word,POS,count
1,ה,DET,3547
2,קהל,NOUN,12
3,איתר,VERB,3
4,סוף,NOUN,17
5,ערבי,NOUN,38
6,ו,CCONJ,1051
7,יהודי,NOUN,51
8,חבט,VERB,1
9,ב,ADP,1721
10,הוא,PRON,1753
11,עד,ADP,31
12,זב,NOUN,1
13,דם,NOUN,6
14,.,PUNCT,1330
15,איש,NOUN,110
16,"מג""ב",NOUN,1
17,חש,VERB,7
18,אל,ADP,37
19,פצוע,NOUN,7
20,הגיש,VERB,2
21,ל,ADP,954
22,עזרה,NOUN,7
23,_,ADJ,38
24,אמבולנס,NOUN,4
25,התקרב,VERB,2
26,אך,ADV,2
27,בקושי,ADV,2
28,גם,ADV,139
29,כאשר,SCONJ,37
30,נסגר,VERB,2
31,דלת,NOUN,4
32,הכה,VERB,2
33,עשרות,NUM,5
34,יד,NOUN,36
35,רגל,NOUN,7
36,על,ADP,366
37,פח,NOUN,1
38,רכב,NOUN,3
39,שוטר,NOUN,7
40,חייל,NOUN,21
41,אחז,VERB,5
42,",",PUNCT,1685
43,כ,ADP,154
44,שפן,NOUN,1
45,של,ADP,1305
46,מתפרע,NOUN,3
47,כדי,ADP,48
48,_,VERB,63
49,ערבי,ADJ,22
50,התחיל,VERB,7
51,נסע,VERB,9
52,איבד,VERB,14
53,את,ADP,566
54,שיווי,NOUN,1
55,משקל,NOUN,5
56,מעד,VERB,2
57,נחת,VERB,3
58,כש,SCONJ,37
59,עורף,NOUN,3
60,קרקע,NOUN,2
61,הכרה,NOUN,5
62,הפעם,ADV,5
63,לא,ADV,292
64,חסם,VERB,2
65,רחבה,NOUN,2
66,ש,SCONJ,947
67,לפני,ADP,29
68,בית,NOUN,88
69,עלמין,NOUN,1
70,הר,NOUN,10
71,מנוחה,NOUN,2
72,נרגם,VERB,1
73,אבן,NOUN,9
74,קול,NOUN,5
75,ישראל,PROPN,87
76,טירן,PROPN,3
77,פולק,PROPN,3
78,"מנכ""ל",NOUN,3
79,כך,PROPN,21
80,רמקול,NOUN,1
81,ביקש,VERB,15
82,מ,ADP,380
83,שלא,ADV,11
84,פגע,VERB,10
85,נשמע,VERB,4
86,קריאה,NOUN,7
87,:,PUNCT,125
88,אחרי,ADP,29
89,הלוויה,NOUN,10
90,הלך,VERB,27
91,שחרר,VERB,3
92,כול,NOUN,11
93,אחד,NUM,58
94,מוות,NOUN,37
95,שמאלן,NOUN,2
96,יוסי,PROPN,4
97,שריד,PROPN,5
98,קשה,AUX,9
99,הוציא,VERB,10
100,ארון,NOUN,6
101,מכונית,NOUN,7
102,חברה,NOUN,21
103,קדישא,PROPN,1
104,רק,ADV,70
105,תוך,ADP,9
106,דחיפות,NOUN,1
107,צעקה,NOUN,1
108,הורד,VERB,1
109,גופה,NOUN,2
110,מאיר,PROPN,20
111,כהנא,PROPN,75
112,קבר,NOUN,8
113,עכשיו,ADV,14
114,קרא,VERB,18
