,word,POS,count
1,unde,ADV,89
2,et,ADV,39
3,philosophus,NOUN,53
4,dico,VERB,242
5,felicitas,NOUN,10
6,sum,AUX,2633
7,operatio,NOUN,55
8,perfectus,ADJ,56
9,.,PUNCT,2139
10,perfectio,NOUN,71
11,autem,CCONJ,588
12,dependeo,VERB,31
13,ex,ADP,466
14,quatuor,NUM,1
15,primus,NOUN,10
16,",",PUNCT,2305
17,suus,DET,241
18,genus,NOUN,28
19,:,PUNCT,666
20,ut,SCONJ,299
21,scilicet,CCONJ,29
22,maneo,VERB,13
23,in,ADP,1018
24,ipse,DET,288
25,operor,VERB,35
26,per,ADP,507
27,qui,PRON,1020
28,non,PART,1025
29,facio,VERB,293
30,alius,DET,229
31,praeter,ADP,39
32,sicut,SCONJ,240
33,uideo,VERB,38
34,et,CCONJ,837
35,audio,VERB,1
36,huiusmodi,ADV,36
37,enim,ADV,310
38,is,PRON,452
39,possum,VERB,371
40,ultimus,ADJ,19
41,quia,SCONJ,145
42,ordino,VERB,28
43,ad,ADP,433
44,aliqui,DET,201
45,finis,NOUN,82
46,uero,ADV,51
47,uel,CCONJ,201
48,actio,NOUN,145
49,sequor,VERB,61
50,aliquis,PRON,221
51,ago,VERB,254
52,comparo,VERB,20
53,ideo,ADV,15
54,talis,DET,55
55,intellectualis,ADJ,73
56,natura,NOUN,119
57,beatitudo,NOUN,34
58,siue,CCONJ,13
59,secundus,NOUN,10
60,principium,NOUN,120
61,altus,ADJ,11
62,potentia,NOUN,203
63,secundum,ADP,209
64,sensus,NOUN,16
65,nos,PRON,17
66,sed,CCONJ,225
67,intellectus,NOUN,149
68,habitus,NOUN,2
69,tertius,NOUN,7
70,obiectum,NOUN,12
71,propter,ADP,100
72,hic,DET,413
73,intellego,VERB,121
74,intelligibilis,ADJ,27
75,quartus,NOUN,2
76,forma,NOUN,250
77,perfecte,ADV,23
78,faciliter,ADV,1
79,firmiter,ADV,1
80,delectabiliter,ADV,2
81,deus,PROPN,426
82,cum,SCONJ,171
83,;,PUNCT,236
84,uirtus,NOUN,79
85,nec,ADV,35
86,indigeo,VERB,13
87,perficio,VERB,11
88,seipsum,PRON,38
89,supra,ADV,84
90,ostendo,VERB,208
91,summus,ADJ,19
92,absque,ADP,18
93,omnis,DET,315
94,difficultas,NOUN,1
95,igitur,ADV,462
96,beatus,ADJ,20
97,adhuc,ADV,72
98,desiderium,NOUN,6
99,quieto,VERB,2
100,habeo,VERB,221
101,resto,VERB,12
102,desidero,VERB,7
103,oportet,VERB,201
104,quantum,ADV,27
105,boetius,PROPN,2
106,quod,SCONJ,615
107,status,NOUN,3
108,bonum,NOUN,65
109,congregatio,NOUN,1
110,diuinus,ADJ,139
111,quidam,DET,102
112,simplicitas,NOUN,11
113,comprehendo,VERB,14
114,uere,ADV,3
115,item,ADV,64
116,quamdiu,SCONJ,2
117,desum,VERB,10
118,nondum,ADV,7
119,quicumque,DET,33
120,se,PRON,244
121,sufficio,VERB,5
122,nullus,DET,89
123,ille,DET,97
124,ab,ADP,326
125,exterior,ADJ,17
126,nec,CCONJ,57
127,uolo,VERB,73
128,quasi,SCONJ,8
129,solum,ADV,45
130,conuenio,VERB,47
131,bonitas,NOUN,63
132,praeterea,ADV,35
133,impossibilis,ADJ,59
134,aduenio,VERB,7
135,modus,NOUN,133
136,nihil,PRON,82
137,quisquis,PRON,17
138,malus,ADJ,12
139,perhibeo,VERB,1
140,etiam,ADV,121
141,sacer,ADJ,5
142,scriptura,NOUN,10
143,protestor,VERB,1
144,i,NUM,5
145,timotheus,PROPN,1
146,tempus,NOUN,60
147,appareo,VERB,22
148,substantia,NOUN,187
149,quilibet,DET,35
150,nascor,VERB,10
151,principaliter,ADV,3
