,word,POS,count
1,در,ADP,1174
2,ابتدا,NOUN,11
3,این,DET,593
4,مانور,NOUN,1
5,آزمایشی,ADJ,2
6,نشست,NOUN,6
7,و,CCONJ,1895
8,برخاست,NOUN,1
9,هلی‌کوپتر,NOUN,2
10,عملیات,NOUN,6
11,راپل,NOUN,1
12,(,PUNCT,60
13,پیاده,ADJ,2
14,کردن,NOUN,37
15,تکاور,NOUN,1
16,ویژه,ADJ,9
17,),PUNCT,60
18,اجرا,NOUN,26
19,شد#شو,VERB,529
20,.,PUNCT,2014
21,دبیر,NOUN,6
22,شورا,PROPN,8
23,عالی,PROPN,6
24,امنیت,PROPN,4
25,ملی,PROPN,12
26,انتخابات,NOUN,16
27,اخیر,ADJ,16
28,را,ADP,949
29,نقطه,NOUN,3
30,عطف,ADJ,1
31,تاریخ,NOUN,14
32,انقلاب,NOUN,17
33,دانست#دان,VERB,41
34,افزود#افزا,VERB,20
35,:,PUNCT,131
36,مردم,NOUN,73
37,شکوه,NOUN,9
38,جمهوریت,NOUN,1
39,نظام,NOUN,24
40,اسلامی,ADJ,25
41,به,ADP,1249
42,رخ,NOUN,5
43,جهانیان,NOUN,3
44,کشاند#کشان,VERB,4
45,همین,DET,44
46,خاطر,NOUN,25
47,دشمن,NOUN,20
48,جمهوری,PROPN,13
49,اسلامی,PROPN,21
50,با,ADP,586
51,تمام,NOUN,35
52,توان,NOUN,12
53,مقابله,NOUN,2
54,آن,PRON,176
55,بر#خاست#خیز,VERB,3
56,حاضر,NOUN,2
57,سرود,NOUN,4
58,ای,INTJ,6
59,ایران,PROPN,64
60,محمد,PROPN,9
61,اصفهانی,PROPN,2
62,از,ADP,944
63,جا,NOUN,73
64,خود,PRON,172
65,"""",PUNCT,164
66,موسی,PROPN,3
67,خشم,PROPN,1
68,هیاهو,PROPN,1
69,ترجمه,NOUN,8
70,صالح,PROPN,1
71,حسینی,PROPN,6
72,گور,PROPN,2
73,یک,NUM,175
74,گل,PROPN,1
75,سرخ,PROPN,2
76,برای,ADP,296
77,امیلی,PROPN,1
78,نجف,PROPN,10
79,دریابندری,PROPN,1
80,همچنین,ADV,29
81,تسخیرناپذیر,PROPN,1
82,پرویز,PROPN,2
83,داریوش,PROPN,1
84,اشاره,NOUN,25
85,کرد#کن,VERB,1100
86,حیث,NOUN,6
87,،,PUNCT,1071
88,کمدی,NOUN,1
89,حیطه,NOUN,2
90,اسطوره,NOUN,2
91,هم,PRON,34
92,مشابهت,NOUN,3
93,داشت#دار,VERB,262
94,معلم,NOUN,7
95,ثانی,ADJ,2
96,اندیشه,NOUN,8
97,او,PRON,292
98,آن,DET,111
99,جهت,NOUN,8
100,که,SCONJ,794
101,شارح,NOUN,1
102,ارسطو,PROPN,3
103,#است,AUX,579
104,وی,PRON,49
105,فراوان,ADJ,6
106,نمایشگاه,NOUN,5
107,همت,NOUN,5
108,موسسه,PROPN,2
109,خیریه,PROPN,1
110,کیانا,PROPN,1
111,ترتیب,NOUN,14
112,داد#ده,VERB,265
113,شد#شو,AUX,84
114,تا,ADP,74
115,30,NOUN,1
116,آذرماه,PROPN,2
117,جاری,ADJ,15
118,هشت,NOUN,1
119,صبح,NOUN,16
120,تا,NUM,1
121,18,NOUN,1
122,عصر,NOUN,10
123,سالن,PROPN,2
124,نمایشگاه,PROPN,1
125,فرهنگسرا,PROPN,2
126,امام,PROPN,21
127,خمینی,PROPN,5
128,ره,NOUN,7
129,کرج,PROPN,5
130,پذیرا,ADJ,2
131,عموم,NOUN,4
132,علاقمند,NOUN,1
133,فرمانده,NOUN,3
134,ارتش,PROPN,5
135,آمریکا,PROPN,26
136,منطقه,NOUN,35
137,عنوان,NOUN,40
138,پناهگاه,NOUN,2
139,شبه‌نظامی,NOUN,3
140,پاکستان,PROPN,6
141,نام,NOUN,24
142,برد#بر,VERB,31
143,آنجا,NOUN,8
144,حمله,NOUN,12
145,تروریستی,ADJ,5
146,علیه,ADP,17
147,نظامی,NOUN,3
148,خارجی,ADJ,9
149,افغانستان,PROPN,12
150,راستا,NOUN,8
151,منابع,NOUN,1
152,آگاه,ADJ,6
153,اعلام,NOUN,22
154,ائتلاف,NOUN,3
155,دولت,PROPN,11
156,قانونی,PROPN,1
157,عراق,PROPN,34
158,کمیته,NOUN,5
159,گفتگو,NOUN,7
160,حزب,NOUN,5
161,اصلی,ADJ,14
162,منظور,NOUN,11
163,تشکیل,NOUN,13
164,جدید,ADJ,42
165,دولت,NOUN,22
166,فوق,ADJ,2
167,توسط,ADP,23
168,نشنال,PROPN,1
169,تراست,PROPN,1
170,انگلستان,PROPN,4
171,کرسی,NOUN,2
172,تلاوت,NOUN,8
173,دو,NUM,67
174,بخش,NOUN,42
175,مختلف,ADJ,34
176,شرکت‌کننده,NOUN,5
177,برنامه,NOUN,20
178,نیز,ADV,96
179,شنونده,NOUN,2
180,شبکه,PROPN,4
181,رادیویی,PROPN,1
182,قرآن,PROPN,15
183,حادثه,NOUN,17
184,تعداد,NOUN,17
185,کارکنان,NOUN,1
186,بانک,NOUN,12
187,بر,ADP,159
188,اثر,NOUN,60
189,استنشاق,NOUN,2
190,گاز,NOUN,9
191,مسموم,ADJ,1
192,بلافاصله,ADV,2
193,بیمارستان,NOUN,3
194,انتقال,NOUN,10
195,یافت#یاب,VERB,13
196,آتش‌نشان,NOUN,2
197,استفاده,NOUN,35
198,دستگاه,NOUN,16
199,تنفسی,ADJ,2
200,وارد,ADJ,18
201,صحنه,NOUN,13
202,آنها,PRON,161
203,نجات,NOUN,6
204,جان,NOUN,8
205,مصدوم,NOUN,2
206,متصل,ADJ,1
207,سه,NUM,35
208,نفر,NOUN,36
209,اقدام,NOUN,23
210,ایثارگرانه,ADJ,1
211,co2,PROPN,1
212,مسمومیت,NOUN,1
213,جزئی,ADJ,3
214,پیدا,ADJ,27
215,موقع,NOUN,9
216,انسان,NOUN,23
217,این,PRON,104
218,زمین,NOUN,9
219,آباد,ADJ,1
220,توأم,ADJ,3
221,محصول,NOUN,6
222,بود#باش,AUX,415
223,نماز,NOUN,4
224,خواند#خوان,VERB,22
225,خدا,NOUN,24
226,طلب,NOUN,3
227,باران,NOUN,4
228,انجمن,NOUN,2
229,نویسنده,NOUN,25
230,خبرنگار,NOUN,20
231,عکاس,NOUN,1
232,ورزشی,ADJ,4
233,بیانیه,NOUN,3
234,ضایعه,NOUN,2
235,استاد,PROPN,2
236,عطاالله,PROPN,2
237,بهمنش,PROPN,1
238,تسلیت,NOUN,2
239,گفت#گو,VERB,98
240,مرحومه,NOUN,1
241,خداوند,NOUN,25
242,متعال,ADJ,2
243,آمرزش,NOUN,1
244,بنابراین,ADV,7
245,فعال,NOUN,2
246,صنعتی,ADJ,8
247,انتظار,NOUN,12
248,ارائه,NOUN,6
249,تسهیلات,NOUN,3
250,واحد,NOUN,8
251,سرعت,NOUN,4
252,عمل,NOUN,20
253,بیش,ADJ,53
254,خرج,NOUN,2
255,14,NOUN,1
256,فوریه,PROPN,2
257,2010,NOUN,3
258,حضور,NOUN,30
259,بازرس,NOUN,1
260,آژانس,NOUN,1
261,حدود,ADP,8
262,هزار,NUM,59
263,950,NUM,1
264,کیلوگرم,NOUN,2
265,uf6,PROPN,1
266,درصد,NOUN,17
267,غنا,NOUN,1
268,پائین,ADJ,1
269,تأسیسات,NOUN,1
270,غنی‌سازی,NOUN,3
271,سوخت,NOUN,2
272,ایستگاه,PROPN,1
273,تزریق,PROPN,1
274,تأسیسات,PROPN,1
275,غنی‌سازی,PROPN,1
276,آزمایشی,PROPN,1
277,سوخت,PROPN,1
278,منتقل,NOUN,2
279,حضرت,NOUN,6
280,کلام,NOUN,2
281,زندگی,NOUN,36
282,مرگ,NOUN,12
283,عزت,NOUN,6
284,ذلت,NOUN,4
285,تفسیر,NOUN,8
286,ارزش‌گذاری,NOUN,4
287,دلیل,NOUN,24
288,معتقد,ADJ,2
289,«,PUNCT,84
290,باعزت,ADJ,1
291,برتر,ADJ,8
292,ذلیلانه,ADJ,1
293,»,PUNCT,84
294,اوج,NOUN,2
295,حماسه,NOUN,2
296,عاشورایی,ADJ,1
297,چنین,NOUN,4
298,سرود#سرا,VERB,1
299,مردانه,ADJ,2
300,به,ADJ,22
301,خواری,NOUN,2
302,ورود,NOUN,11
303,آتش,NOUN,17
304,خشم,NOUN,4
305,تأویل,NOUN,3
306,بسط,NOUN,1
307,کار,NOUN,127
308,منطق,NOUN,4
309,معناشناسی,NOUN,1
310,پری,PROPN,1
311,هرمونیاس,PROPN,1
312,نامید#نام,VERB,2
313,بعداً,ADV,1
314,قلمداد,ADJ,1
315,راهنما,NOUN,3
316,مقدماتی,ADJ,1
317,منشأ,NOUN,2
318,پیش‌زمینه,NOUN,2
319,عرفان,NOUN,5
320,رابطه,NOUN,15
321,اسلام,NOUN,25
322,گسترش,NOUN,8
323,سراسر,NOUN,4
324,دنیا,NOUN,18
325,توصیف,NOUN,3
326,گزارش,NOUN,17
327,خبرگزاری,PROPN,4
328,مهر,PROPN,17
329,جلد,NOUN,2
330,آیه,PROPN,1
331,17,PROPN,1
