,word,POS,count
1,o,DET,5254
2,objetivo,NOUN,12
3,de,ADP,2977
4,principal,ADJ,21
5,hotel,NOUN,2
6,cidade,NOUN,33
7,ser,AUX,375
8,que,CCONJ,243
9,hóspede,NOUN,1
10,jamais,ADV,1
11,ter,AUX,63
12,sair,VERB,19
13,_,ADV,31
14,e,CCONJ,829
15,gastar,VERB,4
16,_,ADP,1256
17,_,DET,581
18,minuto,NOUN,11
19,estadia,NOUN,2
20,.,PUNCT,1537
21,em,ADP,1293
22,um,DET,410
23,reunião,NOUN,13
24,representante,NOUN,9
25,_,PROPN,4285
26,_,NOUN,469
27,",",PUNCT,2477
28,ficar,VERB,49
29,acordado,ADJ,1
30,_,NUM,1154
31,interno,NOUN,2
32,internar,VERB,1
33,_,AUX,310
34,retornar,VERB,7
35,para,ADP,247
36,recanto,NOUN,1
37,antigo,ADJ,9
38,_,CCONJ,233
39,dúvida,NOUN,6
40,com,ADP,323
41,educação,NOUN,5
42,tempo,NOUN,30
43,integral,ADJ,1
44,_,PRON,1002
45,ir,AUX,52
46,colocar,VERB,13
47,jovem,NOUN,3
48,criança,NOUN,6
49,a,ADP,295
50,manhã,NOUN,17
51,escola,NOUN,6
52,final,NOUN,16
53,tarde,NOUN,13
54,devidamente,ADV,2
55,alimentar,VERB,2
56,praticar,VERB,3
57,esporte,NOUN,7
58,_,VERB,137
59,profissionalização,NOUN,2
60,aí,ADV,1
61,estar,VERB,113
62,distante,ADV,1
63,também,ADV,87
64,insegurança,NOUN,1
65,rua,NOUN,11
66,mais,ADV,120
67,longe,ADV,2
68,ainda,ADV,56
69,droga,NOUN,6
70,totalidade,NOUN,1
71,trecho,NOUN,2
72,ferroviário,ADJ,3
73,maior,ADJ,34
74,parte,NOUN,29
75,rodovia,NOUN,1
76,pronto,ADJ,5
77,período,NOUN,15
78,modelo,NOUN,4
79,concessão,NOUN,3
80,_,PUNCT,187
81,aniversário,NOUN,1
82,fazer,VERB,82
83,aparição,NOUN,3
84,especial,ADJ,8
85,vídeo,NOUN,3
86,_,PART,105
87,-,PUNCT,278
88,gravado,ADJ,1
89,comprar,VERB,9
90,decidir,VERB,14
91,fechar,VERB,3
92,cantor,NOUN,5
93,só,ADV,25
94,precisar,VERB,16
95,ver,VERB,13
96,nadar,VERB,2
97,passar,AUX,7
98,acreditar,VERB,4
99,nadador,NOUN,1
100,agora,ADV,20
101,equipe,NOUN,25
