,word,POS,count
1,анкета,NOUN,8
2,.,PUNCT,2341
3,начальник,NOUN,13
4,областной,ADJ,1
5,управление,NOUN,10
6,связь,NOUN,7
7,семен,PROPN,48
8,еремеевич,PROPN,48
9,быть,AUX,294
10,человек,NOUN,159
11,простой,ADJ,6
12,",",PUNCT,3846
13,приходить,VERB,3
14,на,ADP,580
15,работа,NOUN,42
16,всегда,ADV,25
17,вовремя,ADV,2
18,здороваться,VERB,2
19,с,ADP,435
20,секретарша,NOUN,8
21,за,ADP,125
22,рука,NOUN,60
23,и,CCONJ,1091
24,иногда,ADV,8
25,даже,PART,40
26,писать,VERB,20
27,в,ADP,1167
28,стенгазета,NOUN,1
29,заметка,NOUN,1
30,под,ADP,51
31,псевдоним,NOUN,1
32,"""",PUNCT,494
33,муха,NOUN,1
34,приемная,NOUN,4
35,он,PRON,445
36,утро,NOUN,6
37,ожидать,VERB,12
38,посетитель,NOUN,7
39,-,PUNCT,707
40,кое-кто,PRON,2
41,важный,ADJ,19
42,дело,NOUN,36
43,а,CCONJ,206
44,и,PART,149
45,такой,DET,108
46,который,PRON,176
47,легко,ADV,3
48,можно,ADV,50
49,решить,VERB,16
50,нижестоящий,ADJ,1
51,инстанция,NOUN,2
52,не,PART,519
53,затруднять,VERB,3
54,однако,ADV,39
55,стиль,NOUN,2
56,заключаться,VERB,5
57,то,PRON,141
58,чтобы,SCONJ,55
59,принимать,VERB,3
60,весь,DET,108
61,желать,VERB,3
62,лично,ADV,1
63,вникать,VERB,2
64,обставить,VERB,1
65,просто,ADV,1
66,но,CCONJ,143
67,по-деловому,ADV,1
68,у,ADP,113
69,дверь,NOUN,10
70,стоять,VERB,29
71,стол,NOUN,21
72,машинка,NOUN,1
73,широкий,ADJ,8
74,каретка,NOUN,1
75,угол,NOUN,6
76,висеть,VERB,5
77,репродуктор,NOUN,1
78,играть,VERB,5
79,радио,NOUN,2
80,для,ADP,146
81,развлечение,NOUN,1
82,еще,ADV,95
83,заглушать,VERB,2
84,голос,NOUN,12
85,доноситься,VERB,2
86,из,ADP,158
87,кабинет,NOUN,10
88,так,ADV,90
89,как,SCONJ,160
90,бесспорно,ADV,1
91,среди,ADP,14
92,мочь,VERB,124
93,находиться,VERB,13
94,случайный,ADJ,2
95,отличаться,VERB,2
96,скромность,NOUN,1
97,присущий,ADJ,2
98,глубина,NOUN,6
99,письменный,ADJ,4
100,бронзовый,ADJ,2
101,чернильница,NOUN,2
102,перед,ADP,32
103,два,NUM,51
104,кожаный,ADJ,1
105,кресло,NOUN,3
106,справа,ADV,2
107,быть,VERB,103
108,заседание,NOUN,3
109,длинный,ADJ,11
110,накрыть,VERB,2
111,зеленый,ADJ,5
112,сукно,NOUN,1
113,оба,NUM,10
114,сторона,NOUN,36
115,аккуратно,ADV,4
116,заставить,VERB,2
117,стул,NOUN,3
118,очень,ADV,40
119,любить,VERB,9
120,когда,SCONJ,51
121,этот,DET,207
122,кто-нибудь,PRON,2
123,садиться,VERB,3
124,если,SCONJ,55
125,видеть,VERB,56
126,отодвинуть,VERB,1
