,word,POS,count
1,у,ADP,541
2,дім,NOUN,7
3,римський,ADJ,2
4,патрицій,NOUN,1
5,руфін,PROPN,2
6,бути,VERB,131
7,прегарний,ADJ,1
8,фреска,NOUN,1
9,",",PUNCT,3156
10,зображення,NOUN,4
11,венера,PROPN,1
12,та,CCONJ,266
13,адоніс,PROPN,1
14,.,PUNCT,2230
15,якось,ADV,13
16,зібратися,VERB,2
17,він,PRON,380
18,ховатися,VERB,6
19,від,ADP,98
20,переслідування,NOUN,2
21,одновірець,NOUN,1
22,дружина,NOUN,2
23,–,PUNCT,33
24,християнка,NOUN,1
25,й,CCONJ,107
26,одразу,ADV,3
27,ж,PART,51
28,узятися,VERB,3
29,замазувати,VERB,1
30,стіна,NOUN,13
31,певний,ADJ,14
32,свій,DET,117
33,право,NOUN,5
34,негайно,ADV,4
35,знищити,VERB,3
36,гріховний,ADJ,1
37,як,SCONJ,134
38,на,ADP,635
39,їх,DET,5
40,погляд,NOUN,7
41,мальовидло,NOUN,1
42,це,PRON,146
43,один,DET,86
44,з,ADP,532
45,надзвичайно,ADV,4
46,важливий,ADJ,3
47,сцена,NOUN,4
48,драма,NOUN,3
49,леся,PROPN,10
50,українка,PROPN,10
51,«,PUNCT,175
52,і,CCONJ,682
53,прісцілла,PROPN,1
54,»,PUNCT,174
55,і,PART,89
56,багато,DET,30
57,інший,DET,64
58,її,DET,35
59,сюжет,NOUN,2
60,вона,PRON,185
61,виявитися,VERB,11
62,візіонерський,ADJ,1
63,передбачення,NOUN,1
64,:,PUNCT,171
65,за,ADP,176
66,якийсь,DET,53
67,десятиліття,NOUN,1
68,після,ADP,39
69,написання,NOUN,3
70,твір,NOUN,6
71,несамовитий,ADJ,1
72,ревнитель,NOUN,1
73,новий,ADJ,35
74,лад,NOUN,4
75,почати,VERB,37
76,нищити,VERB,1
77,культурний,ADJ,3
78,скарб,NOUN,2
79,до,ADP,290
80,те,PRON,73
81,засіб,NOUN,3
82,вони,PRON,196
83,володіти,VERB,2
84,непорівнянно,ADV,2
85,потужніший,ADJ,1
86,аніж,SCONJ,1
87,гнаний,ADJ,1
88,сектяр,NOUN,1
89,при,ADP,20
90,початок,NOUN,11
91,християнський,ADJ,1
92,ера,NOUN,1
93,мистецький,ADJ,2
94,спадщина,NOUN,1
95,стати,VERB,37
96,лише,PART,45
97,інструмент,NOUN,5
98,невпинний,ADJ,1
99,ідеологічний,ADJ,3
100,боротьба,NOUN,4
101,усе,PRON,8
102,що,SCONJ,330
103,не,PART,494
104,відповідати,VERB,8
105,радянський,ADJ,15
106,уявлення,NOUN,3
107,про,ADP,96
108,корисність,NOUN,1
109,(,PUNCT,104
110,функція,NOUN,5
111,мистецтво,NOUN,4
112,майже,ADV,16
113,братися,VERB,1
114,увага,NOUN,12
115,воно,PRON,35
116,мати,VERB,83
117,виховувати,VERB,2
118,лояльний,ADJ,1
119,влада,NOUN,4
120,громадянин,NOUN,2
121,),PUNCT,109
122,цензуруватися,VERB,1
123,замовчуватися,VERB,1
124,мало,ADV,8
125,сто,NUM,3
126,рік,NOUN,64
127,тому,ADV,37
128,микола,PROPN,3
129,зеров,PROPN,4
130,радити,VERB,2
131,гаятися,VERB,1
132,перевіяти,VERB,1
133,тік,NOUN,1
134,критика,NOUN,3
135,наш,DET,59
136,набуток,NOUN,1
137,відсіяти,VERB,1
138,полова,NOUN,1
139,виважити,VERB,1
140,весь,DET,89
141,найдобірніше,NOUN,1
142,означити,VERB,1
143,тяглість,NOUN,1
144,національний,ADJ,10
145,традиція,NOUN,4
146,однак,CCONJ,4
147,подосі,ADV,1
148,такий,DET,83
