,word,POS,count
1,հարցարան,NOUN,4
2,գրական,ADJ,25
3,քննադատութիւն,NOUN,24
4,իբրեւ,ADP,27
5,ստեղծաբանական,ADJ,2
6,արարք,NOUN,8
7,.,PUNCT,446
8,ինչ,PRON,71
9,՞,PUNCT,191
10,կը,AUX,1136
11,հասկնալ,VERB,39
12,ասիկա,PRON,14
13,:,PUNCT,744
14,որն,PRON,1
15,եմ,AUX,1337
16,քննադատ,NOUN,21
17,գլխաւոր,ADJ,13
18,պաշտօն,NOUN,16
19,կամ,CCONJ,96
20,մղել,VERB,3
21,դուք,PRON,9
22,անդրադառնալ,VERB,18
23,սա,DET,4
24,նա,DET,1
25,գործ,NOUN,47
26,",",PUNCT,2694
27,որ,PRON,267
28,ստիպել,VERB,2
29,գրել,VERB,28
30,պարտադրանք,NOUN,2
31,տակ,ADP,25
32,դնել,VERB,31
33,գիր,NOUN,3
34,կանչել,VERB,8
35,մօտէն,ADV,3
36,հետեւիլ,VERB,17
37,այսօր,NOUN,9
38,միջազգային,ADJ,7
39,եւ,CCONJ,664
40,ըսել,VERB,161
41,ան,PRON,123
42,հարցում,NOUN,10
43,մենք,DET,96
44,գրականութիւն,NOUN,20
45,բացակա,NOUN,1
46,ըլլալ,VERB,135
47,հակառակ,ADP,19
48,յակոբ,PROPN,13
49,օշական,PROPN,12
50,ուղղութիւն,NOUN,16
51,այսօր,ADV,28
52,ալ,ADV,180
53,կարգ,NOUN,33
54,մը,DET,577
55,գրող,NOUN,6
56,համոզուիլ,VERB,4
57,այդ,DET,160
58,ինք,PRON,94
59,հաստատ,ADJ,3
60,քննադատական,ADJ,1
61,որոշ,DET,16
62,բերք,NOUN,1
63,ունիմ,VERB,89
64,պակաս,NOUN,4
65,մնալ,VERB,46
66,դուք,DET,5
67,կարծիք,NOUN,13
68,կարելի,ADJ,27
69,հայ,ADJ,33
70,ան,DET,58
71,կիրարկութիւն,NOUN,1
72,կերպ,NOUN,16
73,նկատի,X,17
74,առնել,VERB,62
75,շրջան,NOUN,34
76,բաժանում,NOUN,3
77,ենթարկել,VERB,9
78,եթէ,SCONJ,59
79,այո,INTJ,20
80,՝,PUNCT,553
81,ինչ,DET,22
82,անուն,NOUN,39
83,պիտի,AUX,151
84,բնորոշել,VERB,2
85,ոչ,INTJ,5
86,ինչու,PRON,3
87,որ,DET,4
88,թերթ,NOUN,25
89,մէջ,ADP,337
90,հանդէս,NOUN,20
91,գալ,VERB,90
92,ըսելիք,NOUN,2
93,ազատութիւն,NOUN,8
94,համար,ADP,157
95,երբեւիցէ,ADV,2
96,խոչընդոտ,NOUN,3
97,հանդիսանալ,VERB,9
98,նկատել,VERB,9
99,որ,SCONJ,236
100,մամուլ,NOUN,17
101,առջեւ,ADP,29
102,որեւէ,DET,16
103,դժուարութիւն,NOUN,11
104,խօսք,NOUN,45
105,ամբողջական,ADJ,2
106,արտայայտութիւն,NOUN,9
107,ինչպէս,ADV,30
108,բացատրել,VERB,19
109,կամ,VERB,93
110,պատկերացում,NOUN,2
111,իսկական,ADJ,5
112,մանաւանդ,ADV,7
113,բանաստեղծական,ADJ,2
114,երկ,NOUN,2
115,պարագային,ADP,21
116,ի,ADP,71
117,նման,ADJ,26
118,գրաքննադատութիւն,NOUN,1
119,կարծել,VERB,12
