,word,POS,count
1,в,ADP,724
2,дискусията,NOUN,2
3,",",PUNCT,2219
4,предполагам,VERB,1
5,ще,AUX,272
6,се,PRON,943
7,засегнат,VERB,1
8,важни,ADJ,4
9,въпроси,NOUN,13
10,.,PUNCT,2737
11,дългият,ADJ,1
12,път,NOUN,32
13,изглежда,VERB,17
14,го,PRON,201
15,беше,AUX,108
16,уморил,VERB,1
17,за,ADP,665
18,щастие,NOUN,1
19,той,PRON,226
20,не,PART,469
21,уби,VERB,1
22,никого,PRON,3
23,наистина,ADV,21
24,това,PRON,129
25,прилеп,NOUN,2
26,ние,PRON,53
27,разбира,VERB,14
28,можем,VERB,9
29,да,AUX,1063
30,задоволим,VERB,1
31,с,ADP,342
32,очевидно,ADV,7
33,нещастният,ADJ,1
34,създаден,VERB,1
35,шпионин,NOUN,2
36,ротата,NOUN,1
37,им,PRON,64
38,кажи-речи,INTJ,1
39,е,AUX,558
40,цялата,ADJ,11
41,нашенска,ADJ,1
42,тия,DET,13
43,думи,NOUN,9
44,на,ADP,1475
45,стареца,NOUN,2
46,трогнаха,VERB,1
47,павел,PROPN,5
48,впрочем,ADV,3
49,вече,ADV,55
50,нахраних,VERB,1
51,ето,PART,9
52,виж,VERB,4
53,си,AUX,49
54,бил,AUX,9
55,болен,ADJ,2
56,?,PUNCT,331
57,плуваш,VERB,2
58,ли,PART,162
59,можеш,VERB,12
60,си,PRON,284
61,лягам,VERB,3
62,дали,PART,27
63,някой,DET,8
64,от,ADP,476
65,вас,PRON,12
66,играе,VERB,5
67,табла,NOUN,1
68,няма,VERB,64
69,вечеряте,VERB,1
70,седнете,VERB,1
71,ти,PRON,99
72,чул,VERB,3
73,какво,DET,41
74,говори,VERB,11
75,нас,PRON,26
76,из,ADP,13
77,града,NOUN,8
78,трябва,VERB,56
79,му,PRON,205
80,кажа,VERB,11
81,а,CCONJ,79
82,управителя,NOUN,1
83,кис,INTJ,3
84,!,PUNCT,111
85,отче,NOUN,1
86,рекох,VERB,1
87,до,ADP,75
88,дванайсет,NUM,1
89,часа,NOUN,6
90,искам,VERB,18
91,книжата,NOUN,1
92,са,AUX,141
93,готови,ADJ,1
94,-,PUNCT,251
95,хъка-мъка,INTJ,1
96,и,CCONJ,1136
97,стана,VERB,15
98,алчен,ADJ,1
99,злато,NOUN,2
100,иван,PROPN,23
101,белин,PROPN,2
102,съмнява,VERB,2
103,откритието,NOUN,1
104,купувам,VERB,1
105,къща,NOUN,4
106,най-често,ADV,4
107,йовка,PROPN,1
108,мислеше,VERB,3
109,стринка,NOUN,1
110,елка,PROPN,1
111,станкиният,ADJ,1
112,баща,NOUN,6
113,подари,VERB,1
114,двете,NUM,12
115,големи,ADJ,9
116,ниви,NOUN,1
117,бръква,VERB,1
118,под,ADP,12
119,възглавницата,NOUN,2
120,ми,PRON,65
121,подава,VERB,4
122,прост,ADJ,3
123,син,ADJ,2
124,плик,NOUN,1
125,пишеше,VERB,1
126,отчаяни,ADJ,1
127,писма,NOUN,2
128,пари,NOUN,17
129,бележника,NOUN,1
130,съм,AUX,39
131,записал,VERB,1
132,следните,ADJ,1
133,редове,NOUN,1
134,минути,NOUN,9
135,анастасия,PROPN,1
136,бягаше,VERB,3
137,по,ADP,237
138,гористия,ADJ,1
139,баир,NOUN,1
140,насреща,ADV,2
141,дърветата,NOUN,1
142,около,ADP,12
143,него,PRON,63
144,шумяха,VERB,2
145,плачевно,ADV,1
146,купих,VERB,2
147,пазара,NOUN,2
148,кола,NOUN,6
149,дърва,NOUN,4
150,трапезата,NOUN,1
151,ни,PRON,49
152,поднесоха,VERB,1
153,круши,NOUN,1
154,восъчен,ADJ,1
155,цвят,NOUN,2
156,най-вече,ADV,4
157,вбеси,VERB,2
158,онази,DET,5
159,жена,NOUN,17
160,вън,ADV,3
161,която,PRON,52
162,бе,AUX,75
163,дръзнала,VERB,2
164,дойде,VERB,20
165,тук,ADV,33
166,още,ADV,67
167,звучи,VERB,3
168,ушите,NOUN,3
169,сладкият,ADJ,2
170,смях,NOUN,7
171,малките,ADJ,2
172,българчета,NOUN,1
173,светнаха,VERB,3
174,й,PRON,94
175,очите,NOUN,13
176,стрина,NOUN,2
177,дойна,PROPN,1
178,сънят,NOUN,1
179,най-верният,ADJ,1
180,приятел,NOUN,10
181,сърцето,NOUN,5
182,бие,VERB,5
183,силно,ADV,7
184,челото,NOUN,1
185,набраздено,VERB,1
