,word,POS,count
1,kazna,NOUN,8
2,medijskom,ADJ,2
3,mogulu,NOUN,2
4,obnovila,VERB,1
5,raspravu,NOUN,2
6,u,ADP,1466
7,makedoniji,PROPN,25
8,neki,DET,16
9,tvrde,VERB,4
10,da,SCONJ,265
11,je,AUX,1553
12,presuda,NOUN,3
13,veliji,PROPN,2
14,ramkovskom,PROPN,2
15,napad,NOUN,3
16,na,ADP,593
17,slobodu,NOUN,4
18,medija,NOUN,16
19,",",PUNCT,2274
20,dok,SCONJ,39
21,drugi,ADJ,19
22,kako,SCONJ,391
23,dokazi,NOUN,1
24,o,ADP,208
25,njegovim,DET,6
26,kaznenim,ADJ,4
27,djelima,NOUN,1
28,govore,VERB,2
29,suprotno,ADV,2
30,.,PUNCT,1855
31,medijski,ADJ,1
32,mogul,NOUN,1
33,velija,PROPN,1
34,ramkovski,PROPN,5
35,osuđen,ADJ,4
36,13,NUM,6
37,godina,NOUN,49
38,zatvora,NOUN,5
39,zbog,ADP,55
40,utaje,NOUN,2
41,poreza,NOUN,4
42,i,CCONJ,1113
43,pranja,NOUN,2
44,novca,NOUN,4
45,kaznena,ADJ,3
46,zatvorska,ADJ,1
47,koji,DET,197
48,često,ADV,6
49,kritizirao,VERB,1
50,makedonsku,ADJ,1
51,vladu,NOUN,7
52,mogla,VERB,16
53,bi,AUX,160
54,zaplašiti,VERB,1
55,medije,NOUN,5
56,kažu,VERB,17
57,novinari,NOUN,4
58,toj,DET,9
59,maloj,ADJ,1
60,balkanskoj,ADJ,1
61,državi,NOUN,2
62,bivši,ADJ,17
63,vlasnik,NOUN,4
64,televizijske,ADJ,2
65,postaje,NOUN,2
66,a1,X,9
67,četiriju,NUM,3
68,novina,NOUN,6
69,drugih,ADJ,14
70,poduzeća,NOUN,9
71,kaznenom,ADJ,2
72,sudu,NOUN,4
73,skoplju,PROPN,8
74,14.,ADJ,11
75,ožujka,NOUN,19
76,kriminalne,ADJ,7
77,zavjere,NOUN,2
78,zloporabe,NOUN,2
79,položaja,NOUN,3
80,;,PUNCT,22
81,19,NUM,2
82,suučesnika,NOUN,1
83,dobilo,VERB,2
84,zatvorske,ADJ,2
85,kazne,NOUN,4
86,trajanju,NOUN,1
87,od,ADP,240
88,dvije,NUM,14
89,do,ADP,103
90,sedam,NUM,5
91,televizija,NOUN,2
92,četiri,NUM,12
93,novine,NOUN,3
94,zatvoreni,ADJ,1
95,su,AUX,408
96,zato,SCONJ,8
97,što,SCONJ,50
98,nisu,AUX,22
99,plaćali,VERB,1
100,porez,NOUN,1
101,ispunjavali,VERB,1
102,obveze,NOUN,11
103,prema,ADP,71
104,vjerovnicima,NOUN,1
105,"""",PUNCT,767
106,dojam,NOUN,3
107,koraci,NOUN,4
108,poduzeti,ADJ,2
109,tim,DET,14
110,medijima,NOUN,5
111,kojima,DET,27
112,izrečene,ADJ,1
113,presude,NOUN,1
114,selektivni,ADJ,1
115,te,CCONJ,61
116,institucije,NOUN,7
117,ne,PART,113
118,koriste,VERB,10
119,iste,ADJ,2
120,metode,NOUN,1
121,provođenju,NOUN,1
122,zakona,NOUN,20
123,svim,ADJ,5
124,izjavila,VERB,16
125,za,ADP,518
126,setimes,PROPN,58
127,ravnateljica,NOUN,5
128,medijskog,ADJ,1
129,instituta,NOUN,4
130,makedonije,PROPN,21
131,biljana,PROPN,1
132,petkovska,PROPN,1
133,a,CCONJ,86
134,posebice,ADV,21
135,zaposlenici,NOUN,3
136,tv,NOUN,10
137,taj,DET,15
138,slučaj,NOUN,5
139,pod,ADP,31
140,nazivom,NOUN,7
141,paukova,ADJ,2
142,mreža,NOUN,3
143,predstavlja,VERB,12
144,borbu,NOUN,4
145,između,ADP,38
146,vlade,NOUN,25
147,tada,ADV,11
148,najmoćnije,ADJ,1
149,koja,DET,88
150,kritizirala,VERB,1
151,njezinu,DET,5
152,politiku,NOUN,8
153,podupirala,VERB,1
154,oporbu,NOUN,1
155,sadašnje,ADJ,1
156,političke,ADJ,9
157,elite,NOUN,1
158,stavit,VERB,1
159,će,AUX,290
160,apsolutni,ADJ,1
161,nadzor,NOUN,6
162,svaku,DET,1
163,slobodnu,ADJ,1
164,misao,NOUN,1
165,svako,DET,2
166,mišljenje,NOUN,7
167,koje,DET,93
168,protiv,ADP,65
169,njih,PRON,9
170,njihov,DET,8
171,cilj,NOUN,18
172,danas,ADV,12
173,se,PRON,515
174,to,DET,113
175,i,PART,11
176,pokazalo,VERB,4
177,bilo,AUX,23
178,ušutkati,VERB,1
179,veliju,PROPN,1
180,ramkovskog,PROPN,1
181,kao,SCONJ,120
182,nositelje,NOUN,1
183,borbe,NOUN,7
184,diktature,NOUN,1
185,[,PUNCT,24
186,premijera,NOUN,14
187,],PUNCT,24
188,nikole,PROPN,1
189,gruevskog,PROPN,1
190,izjavio,VERB,94
191,urednik,NOUN,4
192,zastupnik,NOUN,4
193,oporbene,ADJ,7
194,sandžačke,ADJ,1
195,lige,NOUN,3
196,safet,PROPN,2
197,biševac,PROPN,1
198,dužnosnici,NOUN,16
199,odgovorili,VERB,1
200,tretirana,ADJ,1
201,isto,ADV,2
202,bilo,PART,14
203,druga,ADJ,9
204,tvrtka,NOUN,4
205,kriv,ADJ,1
206,višegodišnje,ADJ,2
207,aktivnosti,NOUN,6
