,word,POS,count
1,på,ADP,533
2,fredag,NOUN,3
3,har,AUX,289
4,sid,PROPN,2
5,inviteret,VERB,2
6,til,ADP,542
7,reception,NOUN,1
8,i,ADP,1228
9,sid-huset,NOUN,1
10,anledning,NOUN,3
11,af,ADP,505
12,at,SCONJ,398
13,formanden,NOUN,5
14,kjeld,PROPN,1
15,christensen,PROPN,5
16,går,VERB,32
17,ind,ADV,55
18,de,DET,284
19,glade,ADJ,2
20,tressere,NOUN,1
21,.,PUNCT,2072
22,eller,CCONJ,80
23,slet,ADV,12
24,og,CCONJ,1090
25,ret,ADV,9
26,tykke,ADJ,3
27,fede,ADJ,1
28,mere,ADJ,20
29,mindre,ADJ,11
30,grad,NOUN,7
31,",",PUNCT,2608
32,som,PRON,113
33,en,DET,625
34,enkelt,ADJ,6
35,udtrykker,VERB,2
36,det,PRON,534
37,under,ADP,31
38,rejser,NOUN,2
39,ophold,NOUN,1
40,udlandet,NOUN,6
41,følger,VERB,6
42,sygeplejersker,NOUN,1
43,hjælpere,NOUN,1
44,med,ADV,35
45,hele,ADJ,38
46,det,DET,225
47,smukt,ADV,1
48,restaurerede,VERB,2
49,hus,NOUN,5
50,vrimler,VERB,2
51,med,ADP,438
52,børn,NOUN,23
53,-,PUNCT,266
54,elise,PROPN,1
55,gug,PROPN,1
56,har,VERB,103
57,selv,PRON,44
58,tre,NUM,38
59,andelsforeningen,NOUN,1
60,er,AUX,579
61,så,ADV,155
62,glad,ADJ,3
63,for,ADP,422
64,selskabeligt,ADJ,1
65,samvær,NOUN,1
66,den,PRON,80
67,egen,ADJ,14
68,café,NOUN,1
69,festlokale,NOUN,1
70,hun,PRON,110
71,femte,ADJ,1
72,år,NOUN,123
73,lykkeligt,ADV,1
74,gift,ADJ,2
75,sin,DET,81
76,socialdemokratiske,ADJ,2
77,partifælle,NOUN,1
78,mogens,PROPN,4
79,lykketoft,PROPN,1
80,1983,NUM,2
81,ville,AUX,26
82,mand,NOUN,25
83,have,VERB,27
84,navneforandring,NOUN,1
85,werwolf,PROPN,1
86,men,CCONJ,233
87,fik,VERB,36
88,han,PRON,269
89,ikke,ADV,394
90,lov,NOUN,9
91,for,CCONJ,26
92,betragtes,VERB,2
93,som,ADP,219
94,upassende,ADJ,1
95,anstødeligt,ADJ,1
96,bare,ADV,25
97,advarer,VERB,1
98,lægerne,NOUN,4
99,kopieret,VERB,1
100,når,SCONJ,61
101,forløbet,NOUN,1
102,kommunalt,ADJ,1
103,regi,NOUN,1
104,slutter,VERB,2
105,december,NOUN,4
106,håber,VERB,1
107,hendes,DET,28
108,mandens,NOUN,1
109,firma,NOUN,3
110,vokset,VERB,2
111,stort,ADJ,15
112,nok,ADV,25
113,kan,AUX,222
114,blive,AUX,32
115,ansat,VERB,1
116,fuld,ADJ,7
117,tid,NOUN,40
118,den,DET,346
119,enestående,ADJ,3
120,bil,NOUN,11
121,vandt,VERB,5
122,denne,DET,38
123,specielle,ADJ,2
124,disciplin,NOUN,1
125,konkurrence,NOUN,4
126,73,NUM,1
127,andre,DET,38
128,specialbyggede,ADJ,1
129,biler,NOUN,7
130,silverstone-banen,NOUN,1
131,storbritannien,PROPN,2
132,steen,PROPN,11
133,gade,PROPN,4
134,siger,VERB,87
135,sf,PROPN,6
136,gå,VERB,28
137,fælles,ADJ,10
138,forsvar,NOUN,3
139,økonomisk-monetære,ADJ,1
140,union,NOUN,6
141,unionsborgerskab,NOUN,1
142,dele,NOUN,2
143,retslige,ADJ,1
144,samarbejde,NOUN,8
145,en,PRON,15
146,anden,PRON,11
147,satte,VERB,6
148,ild,NOUN,2
149,sig,PRON,153
150,peter,PROPN,11
151,elmegaard,PROPN,2
152,der,PRON,225
153,sørger,VERB,3
154,at,PART,500
155,købe,VERB,6
156,skoene,NOUN,1
157,hjem,ADV,13
158,står,VERB,18
159,butikken,NOUN,1
160,hverdag,NOUN,2
161,foruden,ADP,4
162,være,AUX,67
163,et,DET,253
164,tilløbsstykke,NOUN,1
165,"""",PUNCT,643
166,klorofyl-turister,NOUN,1
167,robinson,PROPN,1
168,crusoe,PROPN,1
169,paradis,NOUN,3
170,dem,PRON,43
171,lide,VERB,4
172,hummer,NOUN,2
173,uden,ADP,30
174,ble,NOUN,2
175,løber,VERB,1
176,barnets,NOUN,1
177,diarré,NOUN,1
