,word,POS,count
1,dat,PRON,140
2,is,AUX,374
3,alvast,ADV,3
4,meegenomen,VERB,2
5,",",PUNCT,1539
6,mocht,AUX,1
7,over,ADP,138
8,zes,NUM,14
9,maanden,NOUN,13
10,blijken,VERB,2
11,dat,SCONJ,251
12,de,DET,2564
13,inhoud,NOUN,2
14,tegenvalt,VERB,1
15,.,PUNCT,1828
16,breuk,NOUN,2
17,in,ADP,857
18,federale,ADJ,4
19,regering,NOUN,31
20,van,ADP,1210
21,joegoslavië,PROPN,3
22,kan,AUX,63
23,volgens,ADP,36
24,servische,ADJ,4
25,premier,NOUN,7
26,djindjic,PROPN,4
27,nog,ADV,110
28,worden,AUX,133
29,gelijmd,VERB,1
30,met,ADP,283
31,hervormingen,NOUN,1
32,niet,ADV,201
33,nieuwe,ADJ,39
34,verkiezingen,NOUN,4
35,zei,VERB,21
36,dit,DET,73
37,weekeinde,NOUN,6
38,reactie,NOUN,2
39,op,ADP,394
40,ernstige,ADJ,5
41,politieke,ADJ,16
42,crisis,NOUN,6
43,uit,ADP,159
44,woede,NOUN,2
45,uitlevering,NOUN,4
46,ex-president,NOUN,1
47,milosevic,PROPN,4
48,stapte,VERB,1
49,vrijdag,PROPN,9
50,montenegrijnse,ADJ,5
51,partij,NOUN,20
52,snp,PROPN,4
53,joegoslavische,ADJ,3
54,als,SCONJ,190
55,wordt,AUX,85
56,opgelost,VERB,2
57,het,PRON,207
58,ondenkbaar,ADJ,2
59,federatie,NOUN,4
60,definitief,ADJ,5
61,uiteenvalt,VERB,1
62,alleen,ADV,28
63,servië,PROPN,5
64,en,CCONJ,733
65,montenegro,PROPN,5
66,maken,VERB,32
67,er,ADV,169
68,deel,NOUN,14
69,lossen,VERB,2
70,moment,NOUN,5
71,niets,PRON,23
72,vindt,VERB,9
73,beter,ADJ,9
74,grondwet,NOUN,1
75,vernieuwd,VERB,1
76,die,PRON,257
77,regelt,VERB,1
78,verhouding,NOUN,3
79,tussen,ADP,37
80,het,DET,868
81,machtige,ADJ,1
82,kleine,ADJ,24
83,buur,NOUN,1
84,",,",PUNCT,7
85,we,PRON,51
86,hebben,VERB,35
87,een,DET,901
88,concept,NOUN,1
89,nodig,ADJ,8
90,voor,ADP,350
91,verandering,NOUN,4
92,'',PUNCT,7
93,interview,NOUN,6
94,duitse,ADJ,6
95,televisie,NOUN,6
96,woest,ADJ,1
97,zij,PRON,54
98,buiten,ADP,13
99,gehouden,VERB,17
100,waarnemers,NOUN,2
101,denken,VERB,9
102,ministers,NOUN,3
103,voormalige,ADJ,2
104,bondgenoten,NOUN,1
105,snel,ADJ,13
106,hun,PRON,67
107,schreden,NOUN,1
108,terug,ADV,13
109,zullen,AUX,45
110,keren,VERB,3
111,plaats,NOUN,26
112,nemen,VERB,22
113,zelf,ADV,13
114,is,VERB,34
115,weinig,DET,8
116,animo,NOUN,1
117,dialoog,NOUN,3
118,aanbiedt,VERB,1
119,ik,PRON,109
120,denk,VERB,4
121,nu,ADV,65
122,juist,ADJ,8
123,veel,ADV,13
124,makkelijker,ADJ,2
125,overeenstemming,NOUN,4
126,bereiken,VERB,4
127,vormen,VERB,6
128,unie,NOUN,3
129,onafhankelijke,ADJ,1
130,staten,NOUN,5
131,vujanovic,PROPN,1
132,geen,DET,74
133,interesse,NOUN,1
134,heeft,VERB,39
135,ons,PRON,31
136,dan,ADV,63
137,roepen,VERB,3
138,binnenkort,ADV,8
139,onafhankelijkheid,NOUN,2
140,persbureau,NOUN,2
141,tanjug,PROPN,1
142,meldde,VERB,2
143,president,NOUN,11
144,kostunica,PROPN,1
145,vandaag,ADV,10
146,begint,VERB,8
147,overleg,NOUN,13
148,samenstelling,NOUN,1
149,verwachten,VERB,4
150,westen,NOUN,2
151,grote,ADJ,45
152,druk,NOUN,4
153,zal,AUX,89
154,uitoefenen,VERB,3
155,komende,VERB,6
156,om,ADP,148
157,te,ADP,388
158,lijmen,VERB,1
159,westen,PROPN,2
160,wil,VERB,22
161,voorkomen,VERB,4
162,uitroept,VERB,1
163,zou,AUX,51
164,namelijk,ADV,10
165,koren,NOUN,1
166,molen,NOUN,1
167,zijn,AUX,165
168,bijvoorbeeld,ADV,8
169,albanese,ADJ,1
170,rebellen,NOUN,2
171,macedonië,PROPN,1
172,kosovo,PROPN,1
173,probleem,NOUN,6
174,tot,ADP,117
175,toe,ADP,18
176,bestond,VERB,2
177,curieuze,ADJ,1
178,partners,NOUN,2
179,hervormers,NOUN,1
180,dos,PROPN,1
181,zaten,VERB,1
182,coalitie,NOUN,1
183,nationalisten,NOUN,1
184,onenigheid,NOUN,1
185,samenwerking,NOUN,6
186,joegoslavië-tribunaal,PROPN,1
187,maakte,VERB,15
188,duidelijk,ADJ,20
189,hoe,ADV,20
190,breekbaar,ADJ,1
191,spijt,NOUN,1
192,diepe,ADJ,1
193,heeft,AUX,145
194,gestort,VERB,3
195,hij,PRON,192
196,gisteren,ADV,34
197,voordelen,NOUN,3
198,ruimschoots,ADJ,2
199,opwegen,VERB,1
200,tegen,ADP,54
201,',PUNCT,4
202,nadelen,NOUN,1
203,eind,NOUN,8
204,beproeving,NOUN,1
205,maar,ADV,30
206,liefst,ADV,2
207,11892,NUM,1
208,drugsverslaafden,ADJ,1
209,-,PUNCT,83
210,handelaren,NOUN,4
211,afgelopen,VERB,13
212,week,NOUN,27
213,bij,ADP,145
214,grootscheepse,ADJ,1
215,razzia's,NOUN,2
216,iran,PROPN,4
217,aangehouden,VERB,9
218,altijd,ADV,17
219,zonder,ADP,21
220,tegenstand,NOUN,3
221,want,CCONJ,28
222,schietpartijen,NOUN,2
223,kwamen,VERB,10
224,negen,NUM,4
225,zo,ADV,77
226,meldt,VERB,2
227,iraanse,ADJ,2
228,staatspersbureau,NOUN,2
229,irna,PROPN,1
230,islamitische,ADJ,4
231,republiek,NOUN,2
232,al,ADV,85
233,sinds,ADP,18
234,jaar,NOUN,79
235,dag,NOUN,27
236,drugsprobleem,NOUN,1
237,land,NOUN,19
238,telt,VERB,1
239,zeker,ADJ,14
240,"1,2",NUM,1
241,miljoen,NOUN,18
242,verslaafden,VERB,1
243,onregelmatige,ADJ,1
244,gebruikers,NOUN,2
245,hier,ADV,28
246,daar,ADV,32
247,valt,VERB,6
248,ook,ADV,169
249,totale,ADJ,5
250,aantal,NOUN,17
251,druggebruikers,NOUN,1
252,horen,VERB,8
253,bijna,ADV,11
254,tien,NUM,17
255,procent,NOUN,20
256,bevolking,NOUN,3
257,die,DET,53
258,cijfers,NOUN,6
259,onderscheid,NOUN,1
260,gemaakt,VERB,12
261,heroïne,NOUN,1
262,opium,NOUN,4
263,morfine,NOUN,1
264,hasj,NOUN,1
265,beweerd,VERB,1
266,zich,PRON,93
267,zelfs,ADV,12
268,onder,ADP,34
269,geestelijke,ADJ,1
270,elite,NOUN,2
271,zeer,ADV,27
272,hoog,ADJ,8
273,niveau,NOUN,4
274,bevinden,VERB,1
275,andere,ADJ,34
276,drugs,NOUN,2
277,toenemende,VERB,3
278,mate,NOUN,3
279,gebruikt,VERB,7
280,door,ADP,164
281,jongeren,ADJ,7
282,ontevreden,ADJ,1
283,vanwege,ADP,3
284,hoge,ADJ,8
285,werkloosheid,NOUN,1
286,beperkingen,NOUN,1
