,word,POS,count
1,al,PROPN,110
2,-,PUNCT,317
3,zaman,PROPN,3
4,:,PUNCT,125
5,american,ADJ,17
6,forces,NOUN,18
7,killed,VERB,10
8,shaikh,PROPN,4
9,abdullah,PROPN,1
10,ani,PROPN,1
11,",",PUNCT,1680
12,the,DET,2230
13,preacher,NOUN,2
14,at,ADP,136
15,mosque,NOUN,2
16,in,ADP,827
17,town,NOUN,8
18,of,ADP,922
19,qaim,PROPN,2
20,near,ADP,6
21,syrian,ADJ,4
22,border,NOUN,10
23,.,PUNCT,1704
24,[,PUNCT,6
25,this,DET,115
26,killing,NOUN,2
27,a,DET,745
28,respected,ADJ,1
29,cleric,NOUN,1
30,will,AUX,125
31,be,AUX,205
32,causing,VERB,1
33,us,PRON,20
34,trouble,NOUN,4
35,for,ADP,272
36,years,NOUN,34
37,to,PART,599
38,come,VERB,17
39,],PUNCT,6
40,dpa,PROPN,1
41,iraqi,ADJ,31
42,authorities,NOUN,10
43,announced,VERB,4
44,that,SCONJ,344
45,they,PRON,173
46,had,AUX,60
47,busted,VERB,1
48,up,ADP,49
49,3,NUM,11
50,terrorist,ADJ,11
51,cells,NOUN,5
52,operating,VERB,4
53,baghdad,PROPN,11
54,two,NUM,40
55,them,PRON,64
56,were,AUX,83
57,being,AUX,37
58,run,VERB,8
59,by,ADP,208
60,2,NUM,11
61,officials,NOUN,20
62,ministry,PROPN,3
63,interior,PROPN,1
64,!,PUNCT,17
65,moi,PROPN,1
66,iraq,PROPN,66
67,is,AUX,392
68,equivalent,ADJ,2
69,to,ADP,410
70,us,PROPN,81
71,fbi,PROPN,19
72,so,ADV,68
73,this,PRON,76
74,would,AUX,105
75,be,VERB,9
76,like,SCONJ,7
77,having,VERB,7
78,j.,PROPN,1
79,edgar,PROPN,1
80,hoover,PROPN,1
81,unwittingly,ADV,1
82,employ,VERB,1
83,high,ADJ,12
84,level,NOUN,8
85,members,NOUN,12
86,weathermen,PROPN,1
87,bombers,NOUN,2
88,back,ADV,18
89,1960s,NOUN,1
