,word,POS,count
1,kävelyreitti,NOUN,2
2,iii,ADJ,2
3,jäällä,NOUN,1
4,kävely,NOUN,1
5,avaa,VERB,5
6,aina,ADV,38
7,hauskoja,ADJ,1
8,ja,CCONJ,1204
9,erikoisia,ADJ,1
10,näkökulmia,NOUN,1
11,kaupunkiin,NOUN,2
12,.,PUNCT,2521
13,vähän,ADV,39
14,samanlainen,ADJ,2
15,tunne,NOUN,6
16,kuin,SCONJ,137
17,silloin,ADV,26
18,",",PUNCT,2934
19,kun,SCONJ,149
20,ystävämme,NOUN,1
21,vei,VERB,3
22,meidät,PRON,6
23,kerran,ADV,24
24,ylös,ADV,5
25,tuomiokirkon,NOUN,1
26,torniin,NOUN,1
27,kuinka,ADV,27
28,erilaiselta,ADJ,1
29,maailma,NOUN,2
30,sieltä,ADV,9
31,näyttikään,VERB,1
32,vaikka,SCONJ,47
33,tiesi,VERB,2
34,millainen,ADJ,5
35,turku,PROPN,1
36,on,AUX,795
37,kartalla,NOUN,1
38,se,PRON,228
39,hämmästytti,VERB,1
40,siltikin,ADV,1
41,että,SCONJ,500
42,aninkaisten,PROPN,1
43,silta,NOUN,1
44,muka,ADV,3
45,tuolla,ADV,1
46,vai,CCONJ,11
47,?,PUNCT,127
48,ii,ADJ,3
49,tuomiokirkko,NOUN,1
50,rakennuksena,NOUN,1
51,tekee,VERB,16
52,minuun,PRON,3
53,suuren,ADJ,3
54,vaikutuksen,NOUN,1
55,pidän,VERB,7
56,sen,PRON,147
57,majesteetillisuudesta,NOUN,1
58,sekä,CCONJ,63
59,eri,ADJ,31
60,aikakausien,NOUN,1
61,kerroksellisuudesta,NOUN,1
62,onneksi,ADV,11
63,sitä,PRON,128
64,ei,AUX,425
65,missään,PRON,6
66,vaiheessa,NOUN,15
67,restauroitu,VERB,1
68,samalla,PRON,7
69,tavoin,NOUN,7
70,uppsalan,PROPN,1
71,tuomiokirkkoa,NOUN,1
72,kävelyreissu,NOUN,1
73,aurajoen,PROPN,1
74,jääkansi,NOUN,1
75,oli,AUX,165
76,vihdoin,ADV,6
77,niin,ADV,132
78,kestävä,ADJ,3
79,ihmiset,NOUN,20
80,uskaltautuivat,VERB,1
81,sille,PRON,6
82,kävelemään,VERB,2
83,lauantaina,NOUN,6
84,mekin,PRON,2
85,otimme,VERB,1
86,koirun,NOUN,1
87,mukaan,ADV,12
88,lähdimme,VERB,4
89,kulkemaan,VERB,2
90,jokea,NOUN,1
91,yläjuoksulle,NOUN,1
92,päin,ADP,3
93,eläin,NOUN,1
94,ikionnellinen,ADJ,1
95,ravasi,VERB,1
96,käytännössä,NOUN,10
97,siksakkia,NOUN,1
98,joen,NOUN,2
99,toisen,PRON,8
100,penkan,NOUN,1
101,muurilta,NOUN,1
102,toiselle,PRON,3
103,kävi,VERB,2
104,tervehtimässä,VERB,1
105,kaikkia,PRON,9
106,vastaantulijoita,NOUN,1
107,varmuuden,NOUN,1
108,vuoksi,ADP,34
109,kyräili,VERB,1
110,jokaista,PRON,2
111,hiihtäjää,NOUN,1
112,delilah,PROPN,1
113,eilinen,ADJ,2
114,delilah-musikaali,NOUN,1
115,todella,ADV,22
116,onnistunut,ADJ,3
117,lopputyöksi,NOUN,1
118,sisällöstä,NOUN,2
119,sen,ADV,2
120,suuremmin,ADV,2
121,noussut,VERB,2
122,teesiä,NOUN,1
123,tai,CCONJ,144
124,julistusta,NOUN,1
125,ihan,ADV,71
126,pelkkää,ADJ,4
127,viihdettäkin,NOUN,1
128,kiva,ADJ,6
129,katsoa,VERB,4
130,käsikirjoittaja,NOUN,1
131,suvi,PROPN,1
132,kanniainen,PROPN,2
133,mielestäni,NOUN,24
134,onnistunut,VERB,3
135,paitsi,ADV,4
136,ohjauksessaan,NOUN,1
137,myös,ADV,128
138,käsikirjoituksessa,NOUN,1
139,ainoastaan,ADV,18
140,lopun,NOUN,3
141,tapahtumat,NOUN,2
142,alkoivat,VERB,3
143,olla,AUX,69
144,dramaturgisesti,ADV,1
145,puuroa,NOUN,3
146,ikään,ADV,5
147,kuin,ADV,11
148,innostus,NOUN,1
149,olisi,AUX,79
150,vienyt,VERB,1
151,tarinaa,NOUN,2
152,eteenpäin,ADV,4
153,mutta,CCONJ,177
154,yhtäkkiä,ADV,5
155,tullut,VERB,16
156,ongelma,NOUN,9
157,mihin,PRON,6
158,jutun,NOUN,2
159,päättää,VERB,3
160,roolitus,NOUN,1
161,hyvin,ADV,57
162,hienoa,ADJ,3
163,rooleihin,NOUN,1
164,löytynyt,VERB,1
165,oikean,ADJ,2
166,ikäisiä,ADJ,1
167,laulavia,VERB,1
168,näyttelijöitä,NOUN,1
169,varsinkin,ADV,6
170,salla,PROPN,8
171,närän,PROPN,1
172,esittämä,VERB,1
173,pornokaupan,NOUN,3
174,paha,ADJ,2
175,puuma,NOUN,1
176,tarja,PROPN,1
177,vuolan,PROPN,1
178,elämäpakoinen,ADJ,1
179,leskirouva,NOUN,1
180,lunastivat,VERB,1
181,paikkansa,NOUN,3
182,lavastus,NOUN,1
183,nyt,ADV,88
184,mitä,PRON,80
185,lopputyöbudjetilla,NOUN,1
186,saa,VERB,43
187,aikaiseksi,ADV,1
188,mahdollisti,VERB,1
189,ohjaaja,NOUN,3
190,uskaltanut,VERB,2
191,ottaa,VERB,15
192,tilaa,NOUN,2
193,rohkeasti,ADV,2
194,käyttöön,NOUN,10
195,turhan,ADV,1
196,usein,ADV,21
197,ammattiteattereissakin,NOUN,1
198,lavastetaan,VERB,1
199,koko,ADJ,38
200,päänäyttämö,NOUN,1
201,tuo,VERB,7
202,silti,ADV,12
203,kaiken,PRON,19
204,tapahtuman,NOUN,2
205,etureunaan,NOUN,1
206,noin,ADV,16
207,neljän,NUM,5
208,neliön,NOUN,1
209,alueelle,NOUN,1
210,likimain,ADV,1
211,vain,ADV,100
212,juha,PROPN,1
213,malmivaara,PROPN,1
214,ainoa,PRON,7
215,suomalainen,ADJ,3
216,joka,PRON,102
217,kykenee,VERB,1
218,alistamaan,VERB,1
219,tilan,NOUN,1
220,käyttöönsä,NOUN,1
221,mielenkiintoista,ADJ,4
222,kappaleiden,NOUN,1
223,valinta,NOUN,6
224,kuusikymmentäluvun,NOUN,1
225,iskelmä,NOUN,1
226,valjastettu,VERB,1
227,kuvittamaan,VERB,1
228,tämän,PRON,68
229,päivän,NOUN,14
230,suomalaisen,ADJ,1
231,maailmaa,NOUN,5
232,ensimmäisen,ADJ,9
233,näytöksen,NOUN,1
234,lopettava,VERB,1
235,laulu,NOUN,1
236,sirkusprinsessa,NOUN,2
237,liki,ADV,1
238,veret,NOUN,1
239,pysäyttävä,VERB,1
240,samalla,ADV,11
241,omistaja,NOUN,1
242,kertoo,VERB,6
243,olevan,AUX,11
244,ajan,NOUN,13
245,esitellä,VERB,1
246,uusi,ADJ,21
247,intimihierojat,NOUN,1
248,joutuvat,AUX,2
249,kauppaamaan,VERB,1
250,itseään,PRON,4
251,keski-ikäisille,ADJ,1
