,word,POS,count
1,de,ADP,3743
2,novo,ADJ,14
3,",",PUNCT,2018
4,aprecia,VERB,3
5,se,PRON,666
6,unha,DET,331
7,significativa,ADJ,7
8,dependencia,NOUN,2
9,entre,ADP,79
10,o,DET,2086
11,nivel,NOUN,21
12,acceso,NOUN,12
13,a,ADP,653
14,a,DET,1967
15,internet,PROPN,10
16,e,CCONJ,999
17,determinadas,VERB,4
18,características,NOUN,14
19,socioeconómicas,ADJ,2
20,os,DET,846
21,territorios,NOUN,1
22,que,PRON,584
23,aporta,VERB,3
24,xa,ADV,48
25,citado,VERB,1
26,factor,NOUN,2
27,matiz,NOUN,1
28,importante,ADJ,30
29,sobre,ADP,67
30,avaliación,NOUN,7
31,datos,NOUN,25
32,anteriores,ADJ,9
33,.,PUNCT,1183
34,en,ADP,1271
35,esta,DET,80
36,situación,NOUN,16
37,as,DET,641
38,familias,NOUN,6
39,viron,VERB,1
40,reducida,VERB,1
41,súa,DET,117
42,capacidade,NOUN,11
43,financeira,ADJ,6
44,real,ADJ,10
45,para,ADP,321
46,abordar,VERB,1
47,adquisición,NOUN,4
48,vivenda,NOUN,6
49,perdendo,VERB,2
50,atractivo,ADJ,1
51,mercado,NOUN,19
52,inmobiliario,ADJ,1
53,fronte,NOUN,13
54,activos,NOUN,1
55,financeiros,ADJ,5
56,máis,ADV,151
57,rendibles,ADJ,1
58,clasifican,VERB,1
59,aquí,ADV,5
60,aqueles,DET,17
61,axentes,NOUN,7
62,hai,VERB,26
63,evidencia,NOUN,1
64,limitada,ADJ,2
65,carcinoxenicidade,NOUN,1
66,humanos,ADJ,4
67,menos,ADV,22
68,que,SCONJ,383
69,suficiente,ADJ,5
70,animais,NOUN,2
71,experimentación,NOUN,1
72,adopción,NOUN,2
73,medidas,NOUN,16
74,internas,ADJ,2
75,reductoras,NOUN,1
76,contaminación,NOUN,12
77,hídrica,ADJ,1
78,está,AUX,26
79,xustificada,VERB,2
80,aínda,ADV,39
81,cando,PRON,39
82,dispoña,VERB,3
83,tratamentos,NOUN,3
84,externos,ADJ,2
85,reducen,VERB,2
86,custo,NOUN,10
87,estes,DET,35
88,complexidade,NOUN,3
89,atinxe,VERB,4
90,número,NOUN,45
91,distritos,NOUN,1
92,infectados,VERB,2
93,(,PUNCT,225
94,ver,VERB,11
95,táboa,NOUN,11
96,2,NUM,29
97,),PUNCT,232
98,2007,NUM,2
99,houbo,VERB,3
100,un,DET,347
101,85,NUM,2
102,%,SYM,130
103,2006,NUM,1
104,pakistán,PROPN,1
105,70,NUM,5
106,afganistán,PROPN,1
107,seguida,VERB,4
108,sitúan,VERB,4
109,atribúen,VERB,2
110,_,SYM,50
111,desenvolvemento,NOUN,31
112,lexislativo,ADJ,1
113,lexislación,NOUN,10
114,estado,NOUN,32
115,arts.,NOUN,1
116,28,NUM,3
117,33,NUM,2
118,34,NUM,1
119,finalmente,ADV,4
120,nível,NOUN,1
121,inferior,ADJ,8
122,só,ADV,35
123,execución,NOUN,4
124,esa,DET,10
125,mesma,DET,16
126,estatal,ADJ,6
127,art.29,NUM,1
128,proceso,NOUN,24
129,certificación,NOUN,1
130,forestal,ADJ,10
131,pefc,PROPN,3
132,leva,VERB,9
133,cabo,NOUN,6
134,por,ADP,387
135,entidades,NOUN,17
136,independentes,ADJ,4
137,oficialmente,ADV,1
138,autorizadas,ADJ,2
139,totalmente,ADV,6
140,alleas,NOUN,1
141,aseguran,VERB,1
142,certifican,VERB,1
143,escrito,NOUN,2
144,produtos,NOUN,6
145,marcados,VERB,2
146,con,ADP,292
147,selo,NOUN,3
148,proceden,VERB,2
149,montes,NOUN,4
150,sostibles,ADJ,1
151,traps,PROPN,1
152,ten,VERB,31
153,patrón,NOUN,1
154,herdanza,NOUN,1
155,dominante,ADJ,2
156,significa,VERB,5
157,pode,VERB,39
158,dar,VERB,5
159,membro,NOUN,2
160,cada,DET,56
161,xeración,NOUN,5
162,familia,NOUN,7
163,igualmente,ADV,4
164,todos,DET,26
165,centros,NOUN,15
166,xestión,NOUN,21
167,disporán,VERB,1
168,sistemas,NOUN,16
169,televixilancia,NOUN,1
170,instalacións,NOUN,14
171,propiedade,NOUN,6
172,adxudicatario,NOUN,2
173,parámetros,NOUN,2
174,mínimos,ADJ,1
175,controlar,VERB,5
176,tanques,NOUN,2
177,osíxeno,NOUN,2
178,líquido,ADJ,1
179,protóxido,VERB,1
180,nitróxeno,NOUN,1
181,serán,VERB,8
182,:,PUNCT,107
183,326,NUM,1
184,organismos,NOUN,4
185,restantes,ADJ,1
186,directorio,NOUN,1
187,son,AUX,66
188,estatutarios,ADJ,1
189,galicia,PROPN,71
190,centrais,NOUN,4
191,administrativo,ADJ,5
192,consello,NOUN,6
193,contas,NOUN,2
194,parlamento,NOUN,1
195,valedor,NOUN,3
196,pobo,NOUN,4
197,xunta,NOUN,13
198,tres,NOUN,17
199,universidades,NOUN,7
200,315,NUM,1
201,concellos,NOUN,9
202,catro,NOUN,13
203,deputacións,NOUN,1
204,resulta,VERB,7
205,difícil,ADJ,6
206,ter,VERB,49
207,imaxe,NOUN,3
208,clara,ADJ,1
209,actual,ADJ,10
210,calidade,NOUN,15
211,augas,NOUN,23
212,continentais,ADJ,1
213,litorais,ADJ,1
214,cara,NOUN,10
215,manteñemento,NOUN,1
216,contemplase,VERB,1
217,alugueiro,NOUN,1
218,local,NOUN,1
219,axeitado,ADJ,5
220,asistencia,NOUN,6
221,duas,NOUN,1
222,profesionais,ADJ,1
223,todo,DET,29
224,isto,PRON,23
225,contemplado,VERB,1
226,plan,NOUN,15
227,5,NUM,13
228,anos,NOUN,48
229,desenrrola,VERB,1
230,traballo,NOUN,31
231,centro,NOUN,14
232,axuda,NOUN,2
233,será,VERB,6
234,aboada,VERB,1
235,mensualmente,ADV,1
236,entidade,NOUN,6
237,promotora,ADJ,1
238,financiada,VERB,1
239,consellería,NOUN,9
240,asuntos,NOUN,2
241,sociais,ADJ,11
242,emprego,NOUN,20
243,relacións,NOUN,13
244,laborais,ADJ,5
245,me,PRON,24
246,os,PRON,31
247,previstos,VERB,4
248,artigo,NOUN,37
249,28.5º,NUM,1
250,tempo,NOUN,18
251,permanece,VERB,3
252,mar,NOUN,6
253,varía,VERB,3
254,bastante,ADV,4
255,depende,VERB,9
256,cantidade,NOUN,15
257,pesca,NOUN,9
258,necesidade,NOUN,16
259,reparación,NOUN,3
260,averías,NOUN,1
261,ou,CCONJ,220
262,aprovisionamento,NOUN,1
263,víveres,PROPN,1
264,cebo,NOUN,1
265,material,NOUN,6
266,principalmente,ADV,3
267,climáticas,ADJ,2
268,outra,DET,28
269,parte,NOUN,46
270,nosa,DET,12
271,estimación,NOUN,4
272,incorpora,VERB,3
273,certas,DET,1
274,modificacións,NOUN,6
275,especificación,NOUN,1
276,variables,NOUN,4
277,relación,NOUN,23
278,literatura,NOUN,2
279,revisada,VERB,1
280,amplía,VERB,1
281,posibles,ADJ,2
282,causas,NOUN,5
283,explicativas,ADJ,1
284,revista,NOUN,4
285,general,NOUN,1
286,política,NOUN,8
287,social,ADJ,27
288,"""",PUNCT,105
289,once,NUM,2
290,185,NUM,1
291,marzo,NOUN,4
292,2003,NUM,14
293,sección,NOUN,1
294,la,NOUN,12
295,opinión,NOUN,5
296,el,PRON,17
297,experto,NOUN,1
298,nen,VERB,2
299,servir,VERB,4
300,chantaxe,NOUN,1
301,moral,ADJ,1
302,pretendendo,VERB,1
303,ignore,VERB,1
304,conflito,NOUN,3
305,israelo-palestino,NOUN,1
306,deviu,VERB,1
307,opresión,NOUN,1
308,povo,ADJ,1
309,submetido,VERB,1
310,colonial,ADJ,1
311,asi,ADV,3
312,dito,VERB,11
313,resultado,NOUN,13
314,figuran,VERB,2
315,benefícios,NOUN,1
316,perdas,NOUN,5
317,derivados,VERB,4
318,venda,NOUN,3
319,imobilizado,ADJ,1
320,gastos,NOUN,10
321,extraordinários,ADJ,1
322,producidos,VERB,3
323,inundacións,NOUN,1
324,incéndios,NOUN,1
325,multas,NOUN,1
326,fiscais,ADJ,2
327,...,PUNCT,14
328,procedemento,NOUN,10
329,deberá,VERB,20
330,finalizar,VERB,1
331,antes,ADV,18
332,meses,NOUN,12
333,contados,ADJ,3
334,desde,ADP,30
335,data,NOUN,10
336,solicitude,NOUN,11
337,tivese,VERB,1
338,entrada,NOUN,8
339,calquera,DET,18
340,rexistros,NOUN,2
341,órgano,NOUN,8
342,competente,ADJ,5
343,emenda,NOUN,2
344,requirimento,NOUN,2
345,outros,DET,42
