,word,POS,count
1,यह,DET,131
2,एशिया,PROPN,5
3,की,ADP,949
4,सबसे,ADV,41
5,बड़ी,ADJ,22
6,मस्जिदों,NOUN,1
7,में,ADP,1215
8,से,ADP,783
9,एक,NUM,234
10,है,AUX,1082
11,।,PUNCT,1751
12,इसे,PRON,33
13,नवाब,NOUN,1
14,शाहजेहन,PROPN,1
15,ने,ADP,663
16,बनवाया,VERB,10
17,था,AUX,161
18,इसका,PRON,21
19,प्रवेश,NOUN,10
20,द्वार,NOUN,7
21,दो,NUM,49
22,मंजिला,ADJ,3
23,जिसमें,PRON,15
24,चार,NUM,24
25,मेहराबें,NOUN,1
26,हैं,AUX,399
27,और,CCONJ,519
28,मुख्य,ADJ,24
29,प्रार्थना,NOUN,1
30,हॉल,NOUN,1
31,जाने,VERB,30
32,के,ADP,1809
33,लिए,ADP,247
34,9,NUM,3
35,हैं,VERB,17
36,पूरी,ADJ,23
37,इमारत,NOUN,7
38,बेहद,ADV,14
39,खूबसूरत,ADJ,41
40,यहाँ,PRON,146
41,लगने,VERB,3
42,वाला,ADP,13
43,तीन,NUM,28
44,दिन,NOUN,43
45,का,ADP,626
46,इज्तिमा,NOUN,1
47,पूरे,ADJ,29
48,देश,NOUN,50
49,लोगों,NOUN,63
50,को,ADP,834
51,आमंत्रित,ADJ,3
52,करता,VERB,9
53,शौकत,PROPN,2
54,महल,PROPN,14
55,सामने,ADP,11
56,झील,NOUN,10
57,किनारे,NOUN,6
58,स्थित,ADJ,48
59,वास्तुकला,NOUN,2
60,नमूना,NOUN,5
61,कुदसिया,PROPN,1
62,बेगम,PROPN,3
63,काल,NOUN,5
64,जिन्हें,PRON,7
65,गोहर,PROPN,1
66,भी,PART,292
67,कहा,VERB,289
68,जाता,AUX,56
69,यह,PRON,108
70,हिंदू,NOUN,3
71,मुगल,NOUN,4
72,कला,NOUN,15
73,अद्भुत,ADJ,1
74,संगम,NOUN,2
75,भारत,PROPN,97
76,अनूठी,ADJ,2
77,राष्ट्रीय,ADJ,12
78,संस्था,NOUN,4
79,रूप,NOUN,33
80,प्रदर्शन,NOUN,9
81,दृश्य,NOUN,5
82,केंद्र,NOUN,9
83,चार्ल्स,NOUN,2
84,कोरिया,PROPN,3
85,डिजाइन,NOUN,7
86,किया,VERB,176
87,विशाल,ADJ,5
88,क्षेत्र,NOUN,41
89,फैले,VERB,1
90,इस,DET,313
91,भवन,NOUN,8
92,आस,NOUN,4
93,-,PUNCT,124
94,पास,ADP,39
95,प्राकृतिक,ADJ,7
96,सौंदर्य,NOUN,8
97,और,DET,14
98,भव्य,ADJ,4
99,बनाता,VERB,1
100,यहीं,PRON,8
101,पर,ADP,466
102,संग्रहालय,NOUN,17
103,",",PUNCT,446
104,दीर्घा,NOUN,1
105,फाइन,NOUN,1
106,आर्ट,NOUN,1
107,कार्यशाला,NOUN,1
