,word,POS,count
1,ホッケー,NOUN,1
2,に,ADP,1375
3,は,ADP,1214
4,デンジャラス,NOUN,1
5,プレー,NOUN,2
6,の,ADP,1931
7,反則,NOUN,2
8,が,ADP,920
9,ある,VERB,242
10,の,SCONJ,176
11,で,AUX,381
12,、,PUNCT,1615
13,膝,NOUN,1
14,より,ADP,24
15,上,NOUN,18
16,ボール,NOUN,2
17,を,ADP,1173
18,浮かす,VERB,1
19,こと,NOUN,195
20,基本,NOUN,5
21,的,PART,95
22,に,AUX,154
23,なる,VERB,49
24,が,SCONJ,187
25,その,DET,122
26,例外,NOUN,3
27,一,NUM,43
28,つ,NOUN,32
29,この,DET,87
30,スクープ,NOUN,1
31,。,PUNCT,1783
32,また,ADV,9
33,行き,VERB,10
34,たい,AUX,19
35,そんな,PRON,6
36,気持ち,NOUN,2
37,さ,VERB,25
38,せ,AUX,22
39,て,SCONJ,1063
40,くれる,VERB,9
41,お,NOUN,89
42,店,NOUN,47
43,です,AUX,138
44,手,NOUN,18
45,持っ,VERB,8
46,た,AUX,1114
47,特殊,ADJ,3
48,な,AUX,221
49,刃物,NOUN,1
50,使っ,VERB,9
51,アクロバティック,ADJ,1
52,体術,NOUN,2
53,や,ADP,137
54,揚羽,PROPN,1
55,と,ADP,819
56,薄羽,PROPN,1
57,同様,ADJ,8
58,クナイ,NOUN,1
59,忍具,NOUN,1
60,攻撃,VERB,3
61,し,AUX,640
62,くる,VERB,5
63,3,NUM,77
64,年次,NOUN,1
65,トータル,NOUN,1
66,オフェンス,NOUN,1
67,で,ADP,574
68,2,NUM,90
69,",",PUNCT,252
70,892,NUM,1
71,ヤード,NOUN,1
72,獲得,VERB,3
73,これ,PRON,55
74,大学,NOUN,26
75,記録,NOUN,7
76,なっ,VERB,109
77,葬儀,NOUN,3
78,最中,NOUN,2
79,よ,PART,8
80,!,PUNCT,29
81,1998,NUM,3
82,年度,NOUN,10
83,着手,VERB,2
84,道,NOUN,4
85,駅,NOUN,35
86,遠山,PROPN,1
87,郷,NOUN,1
88,北側,NOUN,1
89,から,ADP,233
90,かぐら,PROPN,1
91,大橋,PROPN,1
92,南詰,NOUN,1
93,現道,NOUN,1
94,交点,NOUN,1
95,まで,ADP,67
96,1,NUM,116
97,.,PUNCT,36
98,060,NUM,1
99,km,NOUN,11
100,のみ,ADP,13
101,開通,NOUN,1
102,済み,NOUN,2
103,そして,CCONJ,8
104,第,NOUN,48
105,40,NUM,9
106,話,NOUN,12
107,カオル,PROPN,1
108,百子,PROPN,1
109,も,ADP,409
110,失い,VERB,1
111,完全,ADJ,8
112,孤児,NOUN,1
113,ゲン,PROPN,2
114,とも,NOUN,12
115,美山,PROPN,1
116,家,NOUN,32
117,身,NOUN,6
118,寄せ,VERB,3
119,また,CCONJ,52
120,連れ添っ,VERB,1
121,円盤,NOUN,2
122,生物,NOUN,7
123,調査,VERB,1
124,する,AUX,236
125,パートナー,NOUN,1
126,一般,NOUN,10
127,層流,NOUN,1
128,翼型,NOUN,1
129,比べ,VERB,3
130,負圧,NOUN,1
131,中心,NOUN,18
132,前進,VERB,1
133,圧力,NOUN,1
134,勾配,NOUN,1
135,なだらか,ADJ,1
136,直線,NOUN,1
137,伸びる,VERB,1
138,電撃,NOUN,3
139,放ち,VERB,1
140,ダメージ,NOUN,4
141,与える,VERB,3
142,配属,VERB,2
143,さ,AUX,226
144,れ,AUX,271
145,最初,NOUN,9
146,カ月,NOUN,2
147,こそ,ADP,3
148,「,PUNCT,188
149,親切,ADJ,8
150,先輩,NOUN,3
151,恵まれ,VERB,2
152,ラッキー,ADJ,1
153,だ,AUX,82
154,な,PART,9
155,」,PUNCT,188
156,思っ,VERB,13
157,もの,SCONJ,11
158,後,NOUN,57
159,すぐ,ADV,8
160,ちょっと,ADV,3
161,せっかい,NOUN,1
162,か,PART,53
163,感じる,VERB,1
164,よう,AUX,55
165,なり,VERB,40
166,半年,NOUN,1
167,少し,ADV,8
168,邪魔,ADJ,1
169,か,ADP,44
170,思い,VERB,26
171,年,NOUN,254
172,生産,NOUN,4
173,性,NOUN,27
174,阻害,NOUN,1
175,要因,NOUN,4
176,確信,VERB,2
177,至り,VERB,1
178,まし,AUX,106
179,統一,NOUN,18
180,教会,NOUN,23
181,導ける,VERB,1
182,色々,ADV,1
183,面白い,ADJ,4
184,メニュー,NOUN,8
185,小泉,PROPN,1
186,内閣,NOUN,1
187,高,NOUN,8
188,支持,NOUN,1
189,率,NOUN,5
190,背景,NOUN,7
191,国政,NOUN,1
192,主導,NOUN,1
193,権,NOUN,8
194,握る,VERB,2
195,与党,NOUN,1
196,自由,NOUN,4
197,民主,NOUN,4
198,・,SYM,243
199,公明,NOUN,1
200,両党,NOUN,1
201,対し,VERB,27
202,政権,NOUN,4
203,交代,NOUN,2
204,展望,NOUN,1
205,見出す,VERB,1
206,ため,NOUN,58
207,非,NOUN,5
208,自民,PROPN,3
209,勢力,NOUN,1
210,結集,NOUN,1
211,狙っ,VERB,1
212,もの,NOUN,59
213,あっ,VERB,49
214,医師,NOUN,1
215,丁寧,ADJ,5
216,診察,NOUN,1
217,検査,NOUN,2
218,安心,NOUN,1
219,感,NOUN,9
220,もて,VERB,1
221,ね,PART,12
222,エンゲージメント,NOUN,1
223,系,NOUN,6
224,事例,NOUN,1
225,言え,VERB,2
226,ば,SCONJ,28
227,日本,PROPN,53
228,再現,NOUN,1
229,低い,ADJ,2
230,いう,VERB,76
231,前提,NOUN,2
232,い,VERB,194
233,方,NOUN,25
234,イイ,ADJ,4
235,ます,AUX,147
236,店舗,NOUN,7
237,見,VERB,19
238,目,NOUN,28
239,居酒屋,NOUN,6
240,大,NOUN,29
241,二,NUM,19
242,階,NOUN,13
243,しか,ADP,13
244,見え,VERB,6
245,ない,SCONJ,85
246,残念,ADJ,5
247,高松,PROPN,2
248,展開,VERB,8
249,四国,PROPN,1
250,スイーツ,NOUN,1
251,専門,NOUN,7
252,ラ,NOUN,3
253,ファミーユ,NOUN,1
254,バレンタイン,PROPN,1
255,前,NOUN,31
256,焼か,VERB,2
257,チョコレート,NOUN,3
258,ケーキ,NOUN,4
259,半熟,NOUN,1
260,ザッハトルテ,NOUN,1
261,発売,NOUN,6
262,開始,VERB,2
263,王子,PROPN,1
264,隠れ家,NOUN,2
265,美容,NOUN,11
266,室,NOUN,12
267,いる,VERB,273
268,思い切っ,VERB,1
269,口コミ,NOUN,1
270,ちゃい,AUX,3
271,クロヴィス,PROPN,1
272,世,NOUN,9
273,バルティルド,PROPN,1
274,子供,NOUN,9
275,チーム,NOUN,16
276,名,NOUN,13
277,アマチュア,NOUN,1
278,時代,NOUN,16
279,ロッテ,PROPN,1
280,ジャイアンツ,NOUN,2
281,まま,NOUN,13
282,維持,VERB,2
283,重光,PROPN,1
284,オーナー,NOUN,4
285,故郷,NOUN,1
286,釜山,PROPN,2
287,慶尚,PROPN,1
288,南道,PROPN,1
289,地域,NOUN,22
290,フランチャイズ,NOUN,1
291,保護,NOUN,4
292,本拠,NOUN,2
293,地,NOUN,17
294,する,VERB,28
295,プロ,NOUN,7
296,球団,NOUN,2
297,転向,VERB,1
298,カット,NOUN,2
299,24,NUM,8
300,時,NOUN,43
301,受け付け,VERB,1
302,仕事帰り,NOUN,1
303,遅く,ADJ,2
304,いけ,VERB,2
305,なお,CCONJ,10
306,唯一,NOUN,1
307,趣味,NOUN,1
308,料理,NOUN,14
309,あり,VERB,73
310,腕,NOUN,3
311,ネリン,PROPN,1
312,上手い,ADJ,1
313,日向,PROPN,1
314,国,NOUN,18
315,高鍋,PROPN,1
316,藩,NOUN,1
317,7,NUM,23
318,代,NOUN,23
319,藩主,NOUN,4
320,短い,ADJ,4
321,履帯,NOUN,1
322,長,NOUN,19
323,長い,ADJ,7
324,車体,NOUN,3
325,超塹,NOUN,1
326,性能,NOUN,2
327,低く,ADJ,2
328,先端,NOUN,1
329,部,NOUN,28
330,へ,ADP,44
331,75,NUM,2
332,mm,NOUN,5
333,砲,NOUN,3
334,収納,VERB,1
335,ため,SCONJ,15
336,に,SCONJ,29
337,オーバーハング,NOUN,1
338,ほんの,ADJ,1
339,段差,NOUN,1
340,乗り越え,VERB,1
341,だけ,PART,7
342,つかえる,VERB,1
343,多く,ADJ,8
344,不,NOUN,14
345,整地,NOUN,1
346,走破,NOUN,1
347,劣悪,ADJ,1
348,やっぱり,ADV,1
349,せっかく,ADV,1
350,来,VERB,5
351,から,SCONJ,13
352,何,NUM,8
353,泊,NOUN,2
354,し,VERB,88
355,し,SCONJ,9
356,レイ,PROPN,1
357,救う,VERB,1
358,為,NOUN,5
359,自身,NOUN,8
360,蘇ら,VERB,1
361,せる,AUX,21
362,事,NOUN,14
363,黒姫,PROPN,2
364,志願,VERB,3
365,復活,NOUN,4
366,後輪,NOUN,1
367,駆動,NOUN,1
368,変更,NOUN,4
369,ワイド,NOUN,1
370,トレッド,NOUN,1
371,足回り,NOUN,1
372,大型,ADJ,2
373,ブリスター,NOUN,1
374,フェンダー,NOUN,1
375,包ま,VERB,1
376,多く,NOUN,10
377,エア,NOUN,1
378,インテーク,NOUN,1
379,イタリア,PROPN,6
380,尽くめ,NOUN,1
381,装備,NOUN,5
382,品,NOUN,5
383,相,NOUN,5
384,まっ,VERB,1
385,ラテン,NOUN,2
386,香り,NOUN,2
387,強く,ADJ,2
388,漂う,VERB,2
389,モデル,NOUN,6
390,犯人,NOUN,2
391,検挙,VERB,2
392,おら,VERB,5
393,ず,SCONJ,42
394,2012,NUM,8
395,8,NUM,30
396,月,NOUN,154
397,現在,NOUN,23
398,未,NOUN,1
399,解決,NOUN,2
400,山陽,PROPN,2
401,新,NOUN,14
402,幹線,NOUN,5
403,厚狭,PROPN,1
404,-,SYM,38
405,下関,PROPN,3
406,小倉,PROPN,1
407,本線,NOUN,3
408,長府,PROPN,1
409,幡生,PROPN,2
410,*,PUNCT,2
411,当駅,NOUN,2
412,始発,NOUN,2
413,みすゞ,PROPN,1
414,潮彩,NOUN,1
415,間,NOUN,21
416,停車,VERB,1
417,石川,PROPN,2
418,県,NOUN,32
419,出身,NOUN,11
420,店員,NOUN,3
421,さん,NOUN,32
422,接客,NOUN,3
423,とても,ADV,13
424,良かっ,ADJ,3
425,徒歩,NOUN,2
426,15,NUM,14
427,分,NOUN,21
428,港,NOUN,3
429,いける,VERB,2
430,アクセス,NOUN,2
431,便利,ADJ,3
432,でし,AUX,32
433,民間,NOUN,8
434,金融,NOUN,4
435,機関,NOUN,7
436,サービス,NOUN,15
437,拡充,NOUN,1
438,本来,NOUN,5
439,郵便,NOUN,3
440,貯金,NOUN,1
441,業務,NOUN,2
442,枠,NOUN,5
443,超え,VERB,2
444,ドイツ,PROPN,5
445,テレコム,NOUN,1
446,赤字,NOUN,3
447,補てん,NOUN,1
448,公正,ADJ,1
449,競争,NOUN,1
450,阻害,VERB,1
451,など,ADP,96
452,批判,VERB,6
453,研究,NOUN,7
454,携わっ,VERB,2
455,山下,PROPN,1
456,孝之,PROPN,1
457,教授,NOUN,5
458,がん,NOUN,1
459,治療,NOUN,8
460,細胞,NOUN,2
461,増殖,NOUN,1
462,抑える,VERB,2
463,だっ,AUX,38
464,悪性,NOUN,1
465,化,NOUN,26
466,新しい,ADJ,7
467,できる,VERB,6
468,しれ,VERB,6
469,話し,VERB,3
470,ドル,NOUN,10
471,主要,ADJ,4
472,通貨,NOUN,1
473,弱含み,NOUN,1
474,ぶり,NOUN,10
475,高値,NOUN,2
476,水準,NOUN,1
477,推移,VERB,1
478,ほか,NOUN,13
479,英,NOUN,1
480,ポンド,NOUN,2
481,4,NUM,44
482,豪,NOUN,3
483,つけ,VERB,5
484,映像,NOUN,4
485,hd,NOUN,1
486,リマスター,NOUN,1
487,収録,NOUN,2
488,6,NUM,34
489,19,NUM,7
490,日,NOUN,131
491,保釈,NOUN,1
492,金,NOUN,9
493,支払い,VERB,1
494,釈放,NOUN,1
495,イングランド,PROPN,1
496,艦隊,NOUN,9
497,義勇,NOUN,1
498,兵,NOUN,4
499,ノルウェー,PROPN,1
500,ベルゲン,PROPN,1
501,オランダ,PROPN,1
502,共和,NOUN,4
503,交戦,NOUN,1
504,経験,VERB,1
505,手首,NOUN,1
506,足,NOUN,3
507,釘,NOUN,1
508,貫か,VERB,1
509,明らか,ADJ,5
510,痕,NOUN,1
511,まず,ADV,8
512,下記,NOUN,1
513,ご覧,NOUN,2
514,下さい,AUX,1
515,国内,NOUN,10
516,最多,NOUN,1
517,数,NOUN,12
518,誇る,VERB,2
519,今月,NOUN,1
520,22,NUM,14
521,今回,NOUN,8
522,現場,NOUN,3
523,わずか,ADV,3
524,260,NUM,1
525,メートル,NOUN,6
526,ほど,ADP,9
527,事務,NOUN,3
528,所,NOUN,17
529,出火,VERB,1
530,おり,VERB,43
531,警察,NOUN,8
532,よる,VERB,35
533,と,SCONJ,56
534,放火,NOUN,1
535,可能,ADJ,32
536,球界,NOUN,1
537,話題,NOUN,3
538,独占,VERB,1
539,次代,NOUN,1
540,エース,NOUN,1
541,ダルビッシュ,PROPN,1
542,ルーキー,NOUN,1
543,振り返り,VERB,1
544,ながら,SCONJ,13
545,苦笑,NOUN,1
546,交じり,NOUN,1
547,比較,VERB,1
548,人数,NOUN,1
549,予算,NOUN,3
550,合わせ,VERB,5
551,飲み会,NOUN,2
552,やすい,AUX,6
553,元,NOUN,12
554,ダイエー,PROPN,1
555,藤本,PROPN,2
556,博史,PROPN,1
557,ら,NOUN,36
558,並び,VERB,1
559,野球,NOUN,9
560,選手,NOUN,8
561,珍しい,ADJ,2
562,柔道,NOUN,1
563,有段,NOUN,1
564,者,NOUN,67
565,ごく,ADV,1
566,少数,NOUN,1
567,女性,NOUN,24
568,歌手,NOUN,3
569,たいてい,ADV,2
570,男性,NOUN,12
571,歌う,VERB,6
572,政界,NOUN,1
573,人物,NOUN,5
574,人脈,NOUN,1
575,形成,VERB,2
576,アジア,PROPN,2
577,注目,VERB,2
578,れる,AUX,88
579,中,NOUN,35
580,株価,NOUN,1
581,騰落,NOUN,1
582,マイナス,NOUN,3
583,%,NOUN,29
584,ntt,PROPN,2
585,コム,NOUN,1
586,別,NOUN,6
587,会社,NOUN,17
588,コミュニケーションズ,NOUN,1
589,指す,VERB,2
590,注意,NOUN,2
591,必要,ADJ,6
592,種類,NOUN,4
593,多数,ADV,2
594,追加,VERB,1
595,魔力,NOUN,1
596,高める,VERB,1
597,他,NOUN,29
598,種族,NOUN,2
599,扱え,VERB,1
600,攻撃,NOUN,6
601,存在,VERB,6
602,siri,PROPN,1
603,技術,NOUN,8
604,領域,NOUN,2
605,会話,NOUN,2
606,型,NOUN,12
607,インターフェース,NOUN,1
608,人的,ADJ,1
609,文脈,NOUN,1
610,認識,NOUN,1
611,代理,NOUN,3
612,実行,NOUN,3
613,こう,ADV,12
614,理屈,NOUN,2
615,一時,NOUN,3
616,“,PUNCT,76
617,城,NOUN,1
618,”,PUNCT,76
619,建設,VERB,7
620,しよう,AUX,4
621,そう,AUX,12
622,結局,ADV,4
623,それ,PRON,26
624,頓挫,NOUN,1
625,正面,NOUN,2
626,扉,NOUN,3
627,だけ,ADP,22
628,なく,AUX,15
629,四方,NOUN,1
630,開放,VERB,1
631,公開,VERB,2
632,初めて,ADV,9
633,ネイト,PROPN,1
634,たち,NOUN,19
635,黄金,NOUN,1
636,都市,NOUN,6
637,探す,VERB,1
638,上位,NOUN,1
639,10,NUM,38
640,曲,NOUN,6
641,以下,NOUN,14
642,通り,NOUN,12
643,ウィンター,NOUN,1
644,カップ,NOUN,3
645,出場,NOUN,5
646,功績,NOUN,2
647,武勇,NOUN,1
648,スペイン,PROPN,2
649,英雄,NOUN,3
650,扱い,NOUN,1
651,王家,NOUN,1
652,ガンディア,PROPN,1
653,公爵,NOUN,4
654,地位,NOUN,4
655,与え,VERB,9
656,られ,AUX,52
657,リスナー,NOUN,2
658,ヒット,NOUN,4
659,関する,VERB,8
660,疑問,NOUN,3
661,つい,VERB,37
662,作詞,NOUN,1
663,作曲,NOUN,2
664,証言,NOUN,2
665,集め,VERB,5
666,紹介,NOUN,3
667,関西,PROPN,2
668,鉄道,NOUN,8
669,社長,NOUN,6
670,東京,PROPN,16
671,馬車,NOUN,2
672,株式,NOUN,2
673,取締,NOUN,2
674,役,NOUN,6
675,取引,NOUN,3
676,理事,NOUN,5
677,日清,NOUN,1
678,生命,NOUN,2
679,保険,NOUN,8
680,等,NOUN,16
681,歴任,NOUN,2
682,更に,CCONJ,3
683,繊維,NOUN,1
684,水着,NOUN,1
685,なら,AUX,9
686,グループ,NOUN,16
687,事業,NOUN,11
688,全体,NOUN,7
689,pr,NOUN,1
690,担わ,VERB,1
691,33,NUM,4
692,旭,NOUN,1
693,化成,NOUN,1
694,キャンペーン,NOUN,6
695,名称,NOUN,9
696,変更,VERB,4
697,今,NOUN,13
698,至っ,VERB,4
699,1985,NUM,1
700,現役,NOUN,4
701,引退,NOUN,1
702,ホテル,NOUN,12
703,地下,NOUN,10
704,雰囲気,NOUN,13
705,いまいち,ADV,1
706,破裂,VERB,1
707,心臓,NOUN,1
708,すら,ADP,3
709,治せる,VERB,1
710,超,NOUN,6
711,能力,NOUN,7
712,佐藤,PROPN,3
713,氏,NOUN,32
714,病気,NOUN,3
715,治せ,VERB,1
716,なかっ,SCONJ,29
717,わけ,NOUN,3
718,濃く,ADJ,1
719,なく,ADJ,18
720,あっさり,ADV,2
721,丁度,ADV,3
722,英国,PROPN,1
723,政府,NOUN,13
724,公的,ADJ,3
725,イングリッシュ,NOUN,2
726,ネイチャー,NOUN,1
727,ヘリテッジ,NOUN,1
728,協力,VERB,4
729,活動,NOUN,19
730,すすめ,VERB,1
