,word,POS,count
1,ꙇ,CCONJ,1476
2,вьлѣзъ,VERB,3
3,въ,ADP,724
4,корабь,NOUN,9
5,и҃съ,PROPN,149
6,прѣѣде,VERB,1
7,приде,VERB,59
8,свои,ADJ,29
9,градъ,NOUN,22
10,се,INTJ,100
11,принѣсѧ,VERB,6
12,емоу,PRON,340
13,ослабленъ,VERB,2
14,жилами,NOUN,2
15,на,ADP,445
16,одрѣ,NOUN,1
17,лежѧщъ,VERB,1
18,видѣвъ,VERB,24
19,вѣрѫ,NOUN,20
20,ихъ,PRON,66
21,рече,VERB,360
22,ослабленоуемоу,VERB,1
23,дръзай,VERB,1
24,чѧдо,NOUN,7
25,отъпоуштаѭтъ,VERB,3
26,сѧ,PRON,750
27,грѣси,NOUN,5
28,твои,ADJ,32
29,едини,ADJ,17
30,отъ,ADP,395
31,кънижъникъ,NOUN,7
32,рѣшѧ,VERB,62
33,вь,ADP,147
34,себѣ,PRON,59
35,сь,ADJ,58
36,власвимлѣатъ,VERB,1
37,помꙑшлениѣ,NOUN,6
38,въскѫѭ,ADV,3
39,вꙑ,PRON,124
40,мꙑслите,VERB,2
41,зъло,ADJ,8
42,с҃рдцихъ,NOUN,2
43,вашихъ,ADJ,13
44,чъто,PRON,37
45,бо,ADV,217
46,естъ,AUX,329
47,оудобѣе,ADJ,5
48,решти,VERB,5
49,отъпоущаѭтъ,VERB,1
50,ли,CCONJ,69
51,рещи,VERB,1
52,въставъ,VERB,18
53,ходи,VERB,5
54,нъ,CCONJ,126
55,да,SCONJ,165
56,оувѣсте,VERB,1
57,ѣко,SCONJ,376
58,власть,NOUN,7
59,иматъ,VERB,50
60,с҃нъ,NOUN,98
61,ч҃лвчскꙑ,ADJ,14
62,земи,NOUN,34
63,отъпоущати,VERB,1
64,грѣхꙑ,NOUN,6
65,тъгда,ADV,55
66,г҃ла,VERB,130
67,о҅слабленоумоу,VERB,1
68,возьми,VERB,1
69,ложе,NOUN,1
70,твое,ADJ,15
71,иди,VERB,9
72,домъ,NOUN,37
73,видѣвъше,VERB,16
74,же,ADV,828
75,народи,NOUN,19
76,чюдишѧ,VERB,3
77,и,CCONJ,1044
78,прославишѧ,VERB,1
79,б҃а,NOUN,38
80,давъшааго,VERB,1
81,такѫ,DET,1
82,ч҃лвкомъ,NOUN,4
83,ꙇ҅,CCONJ,74
84,прѣходѧ,VERB,1
85,и҃ссъ,PROPN,1
86,отъ,ADV,51
87,тоудѫ,ADV,1
88,видѣ,VERB,17
89,члⷦ҇ва,NOUN,1
90,мꙑтьници,NOUN,2
91,сѣдѧща,VERB,1
92,ꙇ҅мене,NOUN,1
93,матеа,PROPN,1
94,по,ADP,161
95,мьнѣ,PRON,62
96,грѧди,VERB,2
97,немь,PRON,53
98,иде,VERB,16
99,бꙑⷭ҇,AUX,5
100,вьзлежѧщю,VERB,1
101,домоу,NOUN,35
102,мъноѕи,ADJ,25
103,грѣшъници,NOUN,6
104,мꙑтаре,NOUN,4
105,пришедъше,VERB,12
106,възлежаахѫ,VERB,1
107,съ,ADP,208
108,и҃смъ,PROPN,5
109,оученикꙑ,NOUN,19
110,его,PRON,284
111,фарисеи,NOUN,10
112,г҃лхѫ,VERB,9
113,оученикомъ,NOUN,34
114,что,PRON,80
115,мꙑтари,NOUN,2
116,грѣшъникꙑ,NOUN,6
117,оучитель,NOUN,10
118,вашъ,ADJ,14
119,ѣстъ,VERB,7
120,ꙇ҃сь,PROPN,1
121,слꙑшавъ,VERB,10
122,имъ,PRON,243
123,не,ADV,698
124,трѣбоуѭ҄тъ,VERB,1
125,съдравии,ADJ,2
126,врача,NOUN,1
127,болѧщеи,VERB,2
128,шедъше,VERB,7
129,наоучите,VERB,3
130,милостꙑни,NOUN,1
131,хоштѫ,VERB,7
132,а,CCONJ,91
133,жрътвѣ,NOUN,2
134,придъ,VERB,13
135,праведьникъ,NOUN,2
136,призъватъ,VERB,2
137,покаание҅,NOUN,1
138,тогда,ADV,15
139,пристѫпишѧ,VERB,10
140,къ,ADP,253
141,немоу,PRON,70
142,оученици,NOUN,61
143,иоанови,ADJ,3
144,г҃лще,VERB,3
145,мꙑ,PRON,15
146,фарисѣи,NOUN,31
147,постимъ,VERB,1
148,мъного,ADV,12
149,постѧтъ,VERB,5
150,еда,ADV,30
151,могѫтъ,VERB,4
152,сⷩ҇ве,NOUN,1
153,брачънии,ADJ,1
