,word,POS,count
1,lors,ADV,81
2,encontra,VERB,3
3,en,ADP,363
4,une,DET,128
5,valee,NOUN,7
6,le,DET,258
7,chevalier,NOUN,68
8,qui,PRON,464
9,ses,DET,62
10,armes,NOUN,26
11,en,ADV,197
12,avoit,AUX,72
13,aporté,VERB,3
14,avant,ADP,3
15,hier,ADV,2
16,.,PUNCT,1035
17,quant,SCONJ,233
18,cil,PRON,115
19,le,PRON,208
20,vit,VERB,36
21,venir,VERB,25
22,si,ADV,710
23,nel,PRON,25
24,salua,VERB,2
25,pas,ADV,52
26,",",PUNCT,2111
27,ainz,ADV,31
28,li,PRON,296
29,dist,VERB,92
30,:,PUNCT,148
31,«,PUNCT,132
32,garde,VERB,5
33,toi,PRON,28
34,de,ADP,787
35,moi,PRON,70
36,lancelot,PROPN,93
37,car,CCONJ,149
38,tu,PRON,125
39,es,AUX,11
40,morz,VERB,18
41,se,SCONJ,133
42,ne,ADV,444
43,te,PRON,41
44,puez,AUX,5
45,deffendre,VERB,2
46,»,PUNCT,131
47,vient,VERB,26
48,glaive,NOUN,7
49,aloignié,VERB,1
50,et,CCONJ,1768
51,fiert,VERB,11
52,durement,ADV,17
53,qu',SCONJ,345
54,il,PRON,1111
55,perce,VERB,1
56,l',DET,172
57,escu,NOUN,9
58,hauberc,NOUN,6
59,mes,CCONJ,148
60,char,NOUN,3
61,touche,VERB,1
62,son,DET,157
63,pooir,NOUN,16
64,i,ADV,191
65,met,VERB,22
66,abat,VERB,4
67,lui,PRON,80
68,cheval,NOUN,47
69,a,ADP,600
70,terre,NOUN,26
71,felenessement,ADV,1
72,poi,ADV,6
73,a,AUX,96
74,col,NOUN,3
75,brisié,VERB,1
76,point,VERB,2
77,oultre,ADV,3
78,revient,VERB,2
79,arriere,ADV,6
80,voit,VERB,44
81,ja,ADV,90
82,se,PRON,193
83,relevoit,VERB,1
84,prent,VERB,14
85,au,ADP,108
86,frain,NOUN,5
87,meine,VERB,2
88,.i.,DET,84
89,arbre,NOUN,7
90,l',PRON,129
91,atache,VERB,3
92,por,ADP,200
93,ce,PRON,315
94,que,SCONJ,578
95,li,DET,356
96,chevaliers,NOUN,66
97,truist,VERB,1
98,prest,ADJ,1
99,relevera,VERB,1
100,fet,VERB,158
101,la,DET,584
102,voie,NOUN,24
103,chevauche,VERB,5
104,jusqu',ADP,25
105,soir,NOUN,8
106,fu,AUX,126
107,vains,ADJ,2
108,las,ADJ,5
109,com,SCONJ,103
110,n',ADV,250
111,mengié,VERB,6
112,tot,DET,15
113,jor,NOUN,39
114,ne,CCONJ,207
115,autre,PRON,40
116,devant,ADV,22
117,ot,AUX,58
118,chevauchié,VERB,4
119,.ii.,NUM,24
120,granz,ADJ,34
121,jornees,NOUN,5
122,assez,ADV,28
123,orent,AUX,20
124,grevé,VERB,1
125,travaillié,VERB,2
126,tant,ADV,136
127,vint,VERB,51
128,par,ADP,170
129,devant,ADP,52
130,un,DET,41
131,hermitage,NOUN,3
132,estoit,VERB,36
133,montaingne,NOUN,4
134,regarde,VERB,2
135,cele,DET,43
136,part,NOUN,28
137,uis,NOUN,14
138,seoir,VERB,9
139,hermite,NOUN,6
140,vielz,ADJ,2
141,hons,NOUN,14
142,anciens,ADJ,1
143,estoit,AUX,73
144,mout,ADV,167
145,liez,ADJ,8
146,salue,VERB,2
147,rent,VERB,6
148,salu,NOUN,4
149,bel,ADJ,16
150,cortoisement,ADV,1
151,sire,NOUN,55
152,porriez,AUX,2
153,vos,PRON,393
154,herbergier,VERB,2
155,errant,VERB,2
156,?,PUNCT,51
157,-,PUNCT,100
158,biau,ADJ,8
159,preudons,NOUN,23
160,s',SCONJ,67
161,plest,VERB,14
162,je,PRON,241
163,herbergerai,VERB,1
164,huimés,ADV,6
165,mielz,NOUN,2
166,que,PRON,151
167,porrai,VERB,1
168,donrai,VERB,3
169,mengier,VERB,4
170,diex,PROPN,24
171,nos,PRON,85
172,presté,VERB,1
173,dit,VERB,68
174,demande,VERB,16
175,mielz,ADV,7
176,apentiz,NOUN,2
177,ostel,NOUN,12
178,oste,VERB,10
179,meïsmes,ADJ,15
180,sele,NOUN,7
181,done,VERB,6
182,erbe,NOUN,5
183,dom,PRON,27
184,avoit,VERB,50
185,laienz,ADV,51
186,plenté,NOUN,4
187,puis,ADV,37
188,porte,VERB,5
189,est,AUX,203
190,touz,ADV,4
191,desarmez,VERB,1
192,oï,VERB,23
193,vespres,NOUN,4
194,home,NOUN,22
195,fame,NOUN,13
196,meson,NOUN,12
197,recet,NOUN,2
198,fors,ADP,7
199,sol,ADJ,3
200,qu',PRON,90
201,ore,ADV,19
202,midi,NOUN,5
203,s',PRON,167
204,entre,VERB,13
205,sa,DET,90
206,chapele,NOUN,15
207,apele,VERB,4
208,clerc,NOUN,2
209,comence,VERB,10
210,dou,ADP,73
211,mere,NOUN,4
212,dieu,PROPN,34
213,apartenoit,VERB,2
214,issi,VERB,11
215,quel,DET,21
216,païs,NOUN,20
217,devise,VERB,4
218,estre,NOUN,12
219,çoile,VERB,1
220,mie,ADV,63
221,chose,NOUN,58
222,avenue,VERB,4
223,soit,AUX,26
224,del,ADP,71
225,saint,ADJ,39
226,graal,PROPN,16
227,ot,VERB,68
228,ceste,DET,71
229,aventure,NOUN,39
230,sil,ADV,1
231,grant,ADJ,165
232,pitié,NOUN,11
233,comença,VERB,9
234,plorer,VERB,7
235,des,ADP,65
236,conta,VERB,1
237,requiert,VERB,7
238,ou,ADP,37
239,non,NOUN,27
240,sainte,ADJ,8
241,marie,PROPN,1
242,creance,NOUN,6
243,die,VERB,7
244,toute,DET,14
245,confession,NOUN,2
246,tout,DET,14
247,fera,VERB,6
248,volentiers,ADV,18
249,puis,ADP,20
250,velt,VERB,3
251,remeine,VERB,1
252,conte,VERB,10
253,vie,NOUN,23
254,einsi,ADV,52
255,autre,DET,24
256,foiz,NOUN,27
257,contee,VERB,3
258,conselt,VERB,1
259,s',DET,12
260,ame,NOUN,19
261,oïe,VERB,7
262,reconforte,VERB,1
263,aseure,VERB,1
264,bones,ADJ,5
265,paroles,NOUN,6
266,trop,ADV,37
267,plus,ADV,135
268,aeise,ADJ,6
269,conseilliez,VERB,1
270,demanderai,VERB,1
271,savez,VERB,6
272,dites,VERB,22
273,est,VERB,60
274,riens,PRON,16
275,donc,PRON,26
276,conseil,VERB,1
277,mon,DET,51
278,m',PRON,99
279,avint,VERB,26
280,dormant,NOUN,9
281,anuit,ADV,3
282,venoit,VERB,15
283,uns,DET,25
284,toz,ADV,22
285,avironnez,VERB,3
286,d',ADP,124
287,estoiles,NOUN,3
288,compaignie,NOUN,16
289,.vii.,NUM,7
290,rois,NOUN,40
291,tout,PRON,3
292,mot,NOUN,17
293,veue,VERB,7
294,parole,NOUN,32
295,ha,INTJ,20
296,.´,PUNCT,47
297,la,PRON,55
298,poïs,AUX,2
299,apertement,ADV,6
300,veoir,VERB,43
301,hautesce,NOUN,1
302,ton,DET,19
303,lignage,NOUN,6
304,descenduz,VERB,5
305,saches,VERB,3
306,veraiement,ADV,8
307,ci,ADV,33
308,a,VERB,70
309,greignor,ADJ,11
310,senefiance,NOUN,13
311,maintes,DET,6
312,genz,NOUN,20
313,cuident,VERB,1
314,or,ADV,81
315,escoute,VERB,4
316,vels,VERB,1
317,dirai,VERB,6
318,comencement,NOUN,8
319,parenté,NOUN,3
320,prendrai,VERB,1
321,loign,ADV,10
322,couvient,VERB,1
323,fere,VERB,32
324,voirs,ADJ,3
325,aprés,ADP,20
326,passion,NOUN,1
327,jhesucrist,PROPN,15
328,.xlii.,NUM,1
329,anz,NOUN,11
330,joseph,PROPN,7
331,abarimacie,PROPN,1
332,verais,ADJ,3
333,jerusalem,PROPN,1
334,comandement,NOUN,2
335,nostre,DET,71
336,seignor,NOUN,83
337,preechier,VERB,2
338,annoncier,VERB,1
339,verité,NOUN,13
340,novele,ADJ,2
341,loi,NOUN,3
342,les,DET,143
343,comandemenz,NOUN,1
344,evangile,NOUN,1
345,cité,NOUN,4
346,sarraz,PROPN,3
347,trova,VERB,9
348,roi,NOUN,47
349,paien,ADJ,1
350,ewalac,PROPN,3
351,guerre,NOUN,4
352,contre,ADP,11
353,suen,ADJ,4
354,voisin,NOUN,1
355,riche,ADJ,12
356,puissant,ADJ,1
357,acointiez,VERB,1
358,conseilla,VERB,1
359,tel,DET,56
360,maniere,NOUN,32
361,victoire,NOUN,1
362,anemi,NOUN,6
363,vainqui,VERB,1
364,champ,NOUN,1
365,aide,NOUN,4
366,envoia,VERB,3
367,maintenant,ADV,41
368,reperiez,VERB,1
369,reçut,VERB,2
370,baptesme,NOUN,1
371,main,NOUN,30
372,josephés,PROPN,9
373,filz,NOUN,25
374,serorge,NOUN,1
375,seraphe,PROPN,1
376,paiens,ADJ,1
377,guerpie,VERB,2
378,nasciens,PROPN,3
379,venuz,VERB,23
380,crestienté,NOUN,1
381,crut,VERB,1
382,bien,ADV,154
383,ama,VERB,2
384,creator,NOUN,7
385,fu,VERB,26
386,ausi,ADV,52
387,come,SCONJ,69
388,pilers,NOUN,1
389,fondement,NOUN,1
390,foi,NOUN,20
391,aparant,VERB,1
392,preudons,ADJ,6
393,loiax,ADJ,2
394,la,ADV,38
395,ou,PRON,81
396,sires,NOUN,55
397,dona,VERB,1
398,secrez,NOUN,3
399,repostailles,NOUN,2
400,onques,ADV,84
401,gueres,ADV,5
402,veu,VERB,12
403,celui,DET,10
404,tens,NOUN,27
405,veïst,VERB,4
406,sonjant,VERB,1
407,cel,DET,13
408,avis,NOUN,26
409,neveu,NOUN,2
410,nascien,PROPN,1
411,issoit,VERB,4
412,lac,NOUN,13
413,ventre,NOUN,1
414,issoient,VERB,1
415,.ix.,NUM,5
416,flum,NOUN,2
417,don,PRON,13
418,.viii.,PRON,1
419,estoient,VERB,7
420,grandor,NOUN,1
421,parfondece,NOUN,1
422,darreains,NOUN,3
423,lé,NOUN,2
424,parfont,NOUN,1
425,tuit,DET,14
426,rades,ADJ,1
427,bruianz,VERB,1
428,poïst,AUX,21
429,soffrir,VERB,4
430,cil,DET,11
431,fluns,NOUN,4
432,ert,AUX,34
433,troubles,ADJ,1
434,espés,ADJ,1
435,boe,NOUN,1
436,el,ADP,11
437,mileu,NOUN,3
438,clers,ADJ,6
439,nez,ADJ,3
440,fin,NOUN,7
441,cent,NUM,6
442,doubles,NOUN,1
443,douz,ADJ,2
444,boivre,VERB,2
445,nus,PRON,35
446,em,ADV,14
447,saouler,VERB,1
448,tiex,ADJ,4
449,ai,AUX,35
450,aprés,ADV,10
451,resgardoit,VERB,1
452,veoit,VERB,6
453,devers,ADP,11
454,ciel,NOUN,9
455,portoit,VERB,3
456,tesmong,NOUN,1
457,semblance,NOUN,7
458,lavoit,VERB,2
459,dedenz,ADV,13
460,mains,NOUN,20
461,piez,NOUN,13
462,chascun,DET,4
463,fesoit,VERB,4
464,nuevieme,PRON,1
465,cors,NOUN,38
466,avision,NOUN,6
