,word,POS,count
1,ciamar,ADV,8
2,a,PART,1443
3,chaidh,VERB,112
4,do,ADP,318
5,sibh,PRON,66
6,an-diugh,ADV,30
7,?,PUNCT,180
8,ò,INTJ,82
9,cha,PART,211
10,robh,VERB,320
11,i,PRON,277
12,ach,ADP,36
13,gu,PART,283
14,math,ADV,31
15,rapach,ADJ,1
16,dearbh,ADV,5
17,fhèin,PRON,124
18,",",PUNCT,941
19,fhuair,VERB,59
20,sinn,PRON,113
21,rèidh,ADV,1
22,air,ADP,847
23,deannan,NOUN,2
24,math,ADJ,26
25,de,ADP,210
26,iad,PRON,783
27,ach,CCONJ,247
28,b',AUX,97
29,fheudar,NOUN,5
30,am,DET,144
31,fàgail,NOUN,4
32,bho,ADP,71
33,mu,ADV,9
34,dheireadh,ADV,10
35,thall,ADV,22
36,och,INTJ,20
37,bha,VERB,653
38,cho,ADV,68
39,garbh,ADJ,1
40,'s,CCONJ,382
41,thàinig,VERB,57
42,an,DET,1065
43,droch,ADJ,6
44,mheall,NOUN,1
45,siodach,PRON,1
46,rinn,VERB,50
47,suas,ADV,45
48,ar,DET,8
49,n-inntinn,NOUN,1
50,an,ADV,117
51,uair,ADV,15
52,sin,ADV,33
53,gur,AUX,50
54,e,PRON,1533
55,gun,PART,158
56,rachadh,VERB,10
57,gu,ADP,94
58,clèibh,NOUN,1
59,bh',VERB,67
60,aig,ADP,578
61,fasgadh,NOUN,2
62,làn,NOUN,7
63,ìosal,ADJ,3
64,d’,PART,24
65,togail,NOUN,10
66,an,ADP,831
67,dè,PRON,75
68,a',PART,510
69,dol,NOUN,70
70,thu,PRON,197
71,mi,PRON,302
72,shuas,ADV,35
73,ann,ADP,189
74,am,ADP,74
75,[placename],PROPN,101
76,na,DET,465
77,bùithtean,NOUN,2
78,thadhal,VERB,1
79,[name],PROPN,224
80,tha,VERB,686
81,m',DET,13
82,amhaich,NOUN,3
83,goirt,ADJ,1
84,call,NOUN,5
85,mo,DET,31
86,ghuth,NOUN,4
87,seothach,ADV,4
88,chan,AUX,32
89,rud,NOUN,54
90,sin,PRON,150
91,idir,ADV,55
92,gheibh,VERB,26
93,fois,NOUN,2
94,a-nochd,ADV,4
95,co-dhiubh,ADV,73
96,bhi,VERB,13
97,bragail,ADJ,1
98,ma,SCONJ,39
99,dh’fheumas,VERB,3
100,tu,PRON,49
101,bhith,NOUN,87
102,dèanamh,NOUN,37
103,a,DET,269
104,h-uile,DET,39
105,car,NOUN,3
106,a-staigh,ADV,53
107,bhios,VERB,17
108,mise,PRON,47
109,bochd,ADJ,4
110,ge-tà,ADV,16
111,eòlach,ADJ,3
112,leòr,ADV,26
113,a',DET,124
114,phinidh,NOUN,1
115,nighidh,VERB,1
116,h-innealan,NOUN,1
117,mar,SCONJ,103
118,an,PART,136
119,dèan,VERB,3
120,còrr,NOUN,18
121,.,PUNCT,914
122,shin,PRON,4
123,sgath,NOUN,4
124,giomaich,NOUN,4
125,dìreach,ADV,64
126,mu,ADP,86
127,dhà,NUM,10
128,dhusan,NOUN,2
129,dhà,PRON,12
130,mar,ADP,56
131,sineach,PRON,17
132,guth,NOUN,7
133,ri,PART,34
134,ràdh,NOUN,69
135,do,PART,98
136,thog,VERB,7
137,t-uamhas,NOUN,2
138,ach,PART,35
