,word,POS,count
1,las,DET,392
2,reservas,NOUN,3
3,de,ADP,3023
4,oro,NOUN,4
5,y,CCONJ,1026
6,divisas,NOUN,5
7,rusia,PROPN,5
8,subieron,VERB,2
9,800,NUM,1
10,millones,NOUN,41
11,dólares,NOUN,29
12,el,DET,2089
13,26,NUM,2
14,mayo,NOUN,40
15,equivalían,VERB,1
16,a,ADP,1025
17,19.100,NUM,1
18,",",PUNCT,2367
19,informó,VERB,7
20,hoy,ADV,74
21,un,DET,475
22,comunicado,NOUN,7
23,banco,PROPN,10
24,central,PROPN,6
25,.,PUNCT,1331
26,según,ADP,40
27,informe,NOUN,8
28,19,NUM,5
29,eran,AUX,13
30,18.300,NUM,1
31,los,DET,661
32,activos,NOUN,2
33,en,ADP,979
34,poder,NOUN,9
35,ministerio,PROPN,4
36,finanzas,PROPN,1
37,se,PRON,501
38,calculan,VERB,1
39,estadounidenses,ADJ,3
40,su,DET,246
41,valor,NOUN,10
42,depende,VERB,1
43,cambio,NOUN,9
44,oficial,ADJ,13
45,rublo-dólar,NOUN,1
46,que,PRON,673
47,establece,VERB,3
48,valoran,VERB,1
49,base,NOUN,16
50,300,NUM,1
51,por,ADP,434
52,cada,DET,20
53,onza,NOUN,1
54,troy,NOUN,1
55,presidente,NOUN,62
56,la,DET,1434
57,generalitat,PROPN,1
58,jordi,PROPN,2
59,pujol,PROPN,6
60,cree,VERB,5
61,necesario,ADJ,5
62,que,SCONJ,681
63,gobierno,PROPN,40
64,agilice,VERB,1
65,permisos,NOUN,1
66,residencia,NOUN,4
67,inmigrantes,NOUN,5
68,para,ADP,244
69,poder,AUX,4
70,responder,VERB,4
71,falta,NOUN,13
72,mano,NOUN,8
73,obra,NOUN,11
74,cataluña,PROPN,1
75,cálculos,NOUN,2
76,departamento,PROPN,5
77,trabajo,PROPN,10
78,impide,VERB,3
79,cubrir,VERB,2
80,unos,PRON,8
81,23.000,NUM,2
82,empleos,NOUN,2
83,diversos,DET,6
84,sectores,NOUN,4
85,urgió,VERB,1
86,necesidad,NOUN,9
87,esta,DET,44
88,medida,NOUN,7
89,legal,ADJ,1
90,durante,ADP,34
91,una,DET,289
92,cena,NOUN,2
93,organizada,ADJ,1
94,anoche,ADV,6
95,patronal,NOUN,12
96,pequeña,ADJ,2
97,mediana,ADJ,1
98,empresa,NOUN,15
99,pimec-sefes,PROPN,3
100,también,ADV,48
101,advirtió,VERB,3
102,empresarios,NOUN,10
103,sindicatos,NOUN,13
104,administraciones,NOUN,2
105,cumplan,VERB,1
106,con,ADP,340
107,normativa,NOUN,1
108,laboral,ADJ,25
109,materia,NOUN,3
110,prevención,NOUN,2
111,siniestralidad,NOUN,6
112,"""",PUNCT,502
113,no,ADV,320
114,puede,AUX,37
115,ser,AUX,45
116,tarde,VERB,1
117,ocho,NUM,4
118,meses,NOUN,21
119,dar,VERB,20
120,permiso,NOUN,2
121,trabajo,NOUN,29
122,ciudadano,NOUN,1
123,polaco,ADJ,1
124,momento,NOUN,12
125,actúa,VERB,2
126,opinión,NOUN,12
127,como,SCONJ,150
128,freno,NOUN,2
129,crecimiento,NOUN,14
130,económico,ADJ,8
131,fue,AUX,52
132,corroborada,VERB,1
133,josep,PROPN,1
134,gonzález,PROPN,5
135,quien,PRON,28
136,subrayó,VERB,4
137,tanto,ADV,10
138,cualificada,ADJ,1
139,comenzó,VERB,1
140,comarcas,NOUN,1
141,lérida,PROPN,1
142,pero,CCONJ,130
143,ya,ADV,70
144,ha,AUX,138
145,llegado,VERB,6
146,todas,DET,20
147,provincias,NOUN,1
148,catalanas,ADJ,1
149,ello,PRON,8
