,word,POS,count
1,آل,PROPN,4
2,انڈیا,PROPN,9
3,مسلم,PROPN,10
4,پرسنل,PROPN,8
5,لا,PROPN,9
6,بورڈ,PROPN,14
7,کے,ADP,1802
8,اےک,NUM,183
9,پریس,NOUN,7
10,نوٹ,NOUN,3
11,بموجب,ADP,16
12,بورڈ,NOUN,18
13,کی,ADP,1112
14,مجلس,NOUN,8
15,عاملہ,NOUN,7
16,کا,ADP,620
17,اجلاس,NOUN,70
18,حیدرآباد,PROPN,25
19,مےں,ADP,694
20,23,PROPN,5
21,اور,CCONJ,741
22,24,PROPN,4
23,اپریل,PROPN,28
24,کو,ADP,785
25,منعقد,ADJ,30
26,ہو,VERB,184
27,رہا,AUX,69
28,ہے,AUX,721
29,۔,PUNCT,1668
30,اس,DET,327
31,صدارت,NOUN,9
32,مولانا,PROPN,8
33,سید,PROPN,13
34,رابع,PROPN,2
35,حسنی,PROPN,2
36,ندوی,PROPN,1
37,صدر,NOUN,40
38,کریں_گے,VERB,16
39,بابری,PROPN,4
40,مسجد,PROPN,6
41,سلسلہ,ADP,3
42,الہ_آباد,PROPN,4
43,ہائی,PROPN,4
44,کورٹ,PROPN,9
45,فیصلہ,NOUN,27
46,خلاف,ADP,78
47,سپریم,PROPN,5
48,اپیل,NOUN,9
49,داخل,NOUN,11
50,کرنے,VERB,197
51,جائزہ,NOUN,24
52,لیا,VERB,13
53,جائے_گا,AUX,4
54,نے,ADP,871
55,اب,PRON,65
56,تک,ADP,83
57,چار,NUM,18
58,اپیلیں,NOUN,3
59,اترپردیش,PROPN,7
60,سنی,PROPN,1
61,وقف,PROPN,1
62,",",PUNCT,232
63,محمد,PROPN,53
64,ہاشم,PROPN,1
65,انصاری,PROPN,5
66,مصباح,PROPN,1
67,الدین,PROPN,11
68,جانب,ADV,7
69,سے,ADP,845
70,کروائی,VERB,2
71,ہےں,AUX,141
72,مزید,ADJ,12
73,کروانا,VERB,2
74,پیش,ADP,1
75,نظر,NOUN,20
76,ہے,VERB,117
77,اس,PRON,185
78,علاوہ,ADP,42
79,زیر,ADP,24
80,سماعت,NOUN,9
81,اطفال,NOUN,1
82,حق,NOUN,13
83,تعلیم,NOUN,25
84,قانون,NOUN,52
85,بھی,PART,279
86,نفاذ,NOUN,3
87,یکم,ADJ,1
88,2010,PROPN,5
89,ء,NOUN,29
90,عمل,NOUN,49
91,آ,VERB,25
92,چکا,AUX,10
93,مقاصد,NOUN,8
94,بہت,ADV,14
95,اچھے,ADJ,4
96,لیکن,CCONJ,59
97,طرح,NOUN,44
98,مدون,ADJ,1
99,کیا,VERB,322
100,گیا,AUX,212
101,کہ,SCONJ,634
102,دینی,ADJ,11
103,مدارس,NOUN,12
104,پر,ADP,521
105,سخت,ADJ,22
106,ضرب,NOUN,3
107,پڑتی,VERB,1
108,نیز,CCONJ,3
109,اقلیتی,ADJ,6
110,تعلیمی,ADJ,5
111,اداروں,NOUN,6
112,حقوق,NOUN,5
113,ان,PRON,138
114,آزادی,NOUN,6
115,متاثر,ADJ,7
116,ہوتی,VERB,21
117,مسودہ,NOUN,4
118,ترمیم,NOUN,7
119,وعدے,NOUN,1
120,کیے,VERB,51
121,جانے,AUX,33
122,باوجود,ADP,16
123,متعلقہ,ADJ,10
124,وزیر,NOUN,38
125,راجیہ,PROPN,5
126,سبھا,PROPN,22
127,پیش,ADV,40
128,پہلے,ADV,16
129,نہیں,PART,201
130,کی,VERB,180
131,چنانچہ,SCONJ,13
132,ارکان,NOUN,43
133,تعاون,NOUN,14
134,مسلک,ADJ,1
135,کمیٹی,NOUN,33
136,سپرد,NOUN,2
137,کروایا,VERB,5
138,بل,NOUN,16
139,نقائص,NOUN,1
140,لے,VERB,23
141,کر,AUX,89
142,ترمیمات,NOUN,1
143,کروانے,VERB,2
144,غور,NOUN,17
145,ٹیکس,NOUN,9
146,نئے,ADJ,15
147,جو,PRON,81
148,آئندہ,ADJ,12
149,سال,NOUN,39
150,موجودہ,ADJ,9
151,انکم,NOUN,2
152,جگہ,NOUN,9
153,لینے,VERB,10
154,والا,AUX,3
155,مسٹر,PART,110
156,سدرشن,PROPN,3
157,ریڈی,PROPN,58
158,میں,ADP,431
159,بعض,DET,7
160,مسلم,ADJ,18
161,تنظیموں,NOUN,3
162,سرگرمی,NOUN,1
163,مہم,NOUN,12
164,چلائی,VERB,3
165,تھی,AUX,89
166,جس,PRON,103
167,قابل,ADJ,11
168,ذکر,NOUN,13
169,مومنٹ,PROPN,1
170,فار,PROPN,2
171,پیس,PROPN,2
172,اینڈ,PROPN,8
173,جسٹس,PROPN,1
174,زکوا,PROPN,1
175,و,PROPN,3
176,چیارٹیبل,PROPN,1
177,ٹرسٹ,PROPN,4
178,نام,NOUN,19
179,شامل,ADJ,59
180,ہیں,VERB,32
181,میناریٹی,ADJ,1
182,ویلفیر,NOUN,1
183,قائدین,NOUN,35
184,نومنتخبہ,ADJ,3
185,رکن,NOUN,31
186,پارلیمان,NOUN,3
187,سریش,PROPN,2
188,کمار,PROPN,12
189,شیٹکار,PROPN,1
190,اسمبلی,NOUN,42
191,پی,PROPN,107
192,کشٹاریڈی,PROPN,1
193,میناریٹیز,NOUN,1
194,درپیش,ADJ,4
195,مسائل,NOUN,38
196,حل,NOUN,13
197,لئے,ADP,14
198,نیک,ADJ,5
199,تمناوں,NOUN,1
200,اظہار,NOUN,21
201,منڈل,NOUN,18
202,ڈیولپمنٹ,NOUN,1
203,آفسیر,NOUN,1
204,گجویل,PROPN,2
205,شریمتی,NOUN,1
206,وتسلا,PROPN,1
207,دیوی,PROPN,1
208,سیاست,PROPN,3
209,نیوز,PROPN,2
210,بتایا,VERB,80
211,پریشد,NOUN,14
212,سہ_ماہی,ADJ,1
213,جنرل,NOUN,23
214,باڈی,NOUN,6
215,صدر,PROPN,25
216,این,PROPN,36
217,ستیہ,PROPN,15
218,لکشمی,PROPN,4
219,29,PROPN,5
220,مئی,PROPN,31
221,11,NUM,2
222,بجے,NOUN,15
223,دن,NOUN,24
224,میٹنگ,NOUN,2
225,ہال,NOUN,3
226,ہوگا,VERB,35
227,نومنتخب,ADJ,3
228,ٹی,PROPN,51
229,نرساریڈی,PROPN,1
230,شرکت,NOUN,11
231,کریں,VERB,35
232,گے,AUX,37
233,ایم,NOUN,6
234,پی,NOUN,11
235,ڈی,NOUN,6
236,او,NOUN,4
237,سرپنچس,NOUN,1
238,ٹی,NOUN,8
239,سیز,NOUN,1
240,عہدیداروں,NOUN,46
241,خواہش,NOUN,11
242,کڑپہ,PROPN,17
243,لوک,PROPN,33
244,حلقہ,NOUN,9
245,لیے,ADP,227
246,ضمنی,ADJ,11
247,انتخابات,NOUN,54
248,42,NUM,2
249,امیدوار,NOUN,13
250,مقابلہ,NOUN,17
251,کر,VERB,270
252,رہے,AUX,78
253,ہیں,AUX,188
254,پرچہ,NOUN,1
255,نامزدگی,NOUN,1
256,دستبرداری,NOUN,4
257,آج,NOUN,70
258,آخری,ADJ,15
259,تاریخ,NOUN,5
260,پولی,PROPN,1
261,ویندلہ,PROPN,4
262,25,NUM,9
263,انتخابی,ADJ,13
264,دوڑ,NOUN,1
265,ان,DET,51
266,دو,NUM,43
267,حلقوں,NOUN,6
268,رائے,NOUN,9
269,دہی,NOUN,1
270,8,PROPN,5
271,ہوگی,VERB,24
272,الیکشن,NOUN,12
273,کمیشن,NOUN,15
274,وائی,PROPN,18
275,ایس,PROPN,76
276,آر,PROPN,45
277,کانگریس,PROPN,77
278,پارٹی,NOUN,60
279,نشان,NOUN,2
280,سیلنگ,PROPN,1
281,فین,PROPN,1
282,مختص,ADJ,4
283,حکمراں,NOUN,2
284,صحت,NOUN,10
285,ڈی,PROPN,43
286,ایل,PROPN,23
287,رویندر,PROPN,2
288,اپوزیشن,NOUN,7
289,تلگو,PROPN,8
290,دیشم,PROPN,6
291,ایم,PROPN,34
292,وی,PROPN,10
293,میسورا,PROPN,2
294,اپنا,PRON,26
295,نامزد,ADJ,1
296,پاکستان,PROPN,42
297,ساتھ,ADP,60
298,کرکٹ,NOUN,11
299,تعلقات,NOUN,14
300,بحال,ADJ,2
301,حکومت,NOUN,101
302,اپنی,PRON,65
303,اجازت,NOUN,9
304,دے,VERB,22
305,دی,AUX,21
306,احمد,PROPN,29
307,اگر,SCONJ,31
308,دونوں,NUM,25
309,ہی,PART,85
310,ٹیمیں,NOUN,5
311,اپنے,PRON,101
312,شیڈول,NOUN,3
313,معمولی,ADJ,3
314,تبدیلی,NOUN,12
315,کرتے,VERB,153
316,تو,SCONJ,57
317,رواں,ADJ,7
318,برس,NOUN,7
319,ہند,PROPN,17
320,-,PUNCT,69
321,پاک,PROPN,4
322,سیریز,NOUN,9
323,انعقاد,NOUN,14
324,یقنی,ADJ,2
325,وزیر,PROPN,13
326,خارجہ,PROPN,1
327,کرشنا,PROPN,18
328,گزشتہ,ADJ,17
329,شام,NOUN,12
330,یہاں,PRON,39
331,تقریب,NOUN,5
332,میڈیا,NOUN,15
333,نمائندوں,NOUN,18
334,خیال,NOUN,12
335,ہوئے,AUX,208
336,کہا,VERB,286
337,جانب,ADP,75
338,صرف,PART,41
339,تعاونی,ADJ,1
340,کردار,NOUN,4
341,ادا,NOUN,8
342,جائےگا,AUX,20
343,کیونکہ,SCONJ,23
344,بی,PROPN,79
345,سی,PROPN,71
346,آئی,PROPN,60
347,کرنا,VERB,49
348,پاکستانی,ADJ,13
349,وی,NOUN,5
350,چینل,NOUN,2
351,جیو,PROPN,1
352,کرکٹ,PROPN,5
353,(,PUNCT,51
354,),PUNCT,51
355,او,PROPN,7
356,سبحان,PROPN,1
357,آف,PROPN,7
358,کنٹرول,PROPN,1
359,ان,PROPN,1
360,روبط,NOUN,1
361,احیاء,NOUN,2
362,سرکاری,ADJ,19
363,طور,NOUN,42
364,تبادلہ,NOUN,15
365,ہوا,VERB,37
366,بعد,ADP,94
367,متعلق,ADP,12
368,واضح,ADJ,19
369,رہے,VERB,21
370,موہالی,PROPN,1
371,ہندوستان,PROPN,45
372,درمیان,ADP,21
373,ورلڈ,PROPN,3
374,کپ,PROPN,4
375,2011,PROPN,8
376,سیمی,NOUN,1
377,فائنل,NOUN,6
378,ممالک,NOUN,11
379,وزرائے,NOUN,1
380,اعظم,NOUN,7
381,ملاقات,NOUN,15
382,پڑوسی,ADJ,3
383,مثبت,ADJ,4
384,پیش_قدمی,NOUN,1
385,دیکھی,VERB,6
386,جا,AUX,105
387,رہی,AUX,64
388,ازیں,PRON,9
389,ٹیموں,NOUN,4
390,مصروف_ترین,ADJ,1
391,باعث,ADP,7
392,غیریقینی,ADJ,1
393,تاہم,CCONJ,47
394,کوششیں,NOUN,3
395,جاری,ADJ,50
396,محتاجی,NOUN,2
397,و,CCONJ,101
398,ناداری,NOUN,2
399,شکایت,NOUN,9
400,حضور,PART,8
401,سید,NOUN,2
402,عالم,PROPN,6
403,صلی,NOUN,7
404,اللہ,NOUN,15
405,علیہ,NOUN,11
406,وسلم,NOUN,7
407,ارشاد,NOUN,2
408,فرمایا,VERB,11
409,'',PUNCT,82
410,اللہ,PROPN,49
411,تعالیٰ,NOUN,6
412,خوف,NOUN,2
413,رکھو,VERB,2
414,صبر,NOUN,2
415,کرو,VERB,4
416,کثرت,NOUN,5
417,لاحول,PROPN,4
418,ولاقو,PROPN,4
419,الا,PROPN,4
420,باللّٰہ,PROPN,4
421,العلی,PROPN,2
422,العظیم,PROPN,2
423,پڑھتے,VERB,2
424,رہو,AUX,2
425,حضرت,PART,19
426,عوف,PROPN,4
427,رضی,NOUN,5
428,عنہ,NOUN,5
429,گھر,NOUN,10
430,پہنچ,VERB,18
431,بیوی,NOUN,8
432,پڑھنا,VERB,3
433,شروع,NOUN,24
434,دیا,AUX,77
435,تمام,DET,16
436,معنی,NOUN,3
437,باہم,ADJ,1
438,مناسبت,NOUN,1
