,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2
0,3,حصول,Arabic,NOUN,282,no,0.6467,-0.1133,0.8134,0.5945,0.6705,0.395,0.584,-0.1624,0.7967,5,4,3,2
1,4,شركة,Arabic,NOUN,219,no,-0.5115,-0.671,-1.8117,0.5368,0.6525,0.2743,-0.3228,-0.7292,-1.7911,5,4,3,2
2,6,على,Arabic,ADP,8,no,-0.722,-8.2144,3.3694,0.5263,0.409,0.5126,-0.8358,-8.2054,3.013,5,4,3,2
3,2058,حيث,Arabic,CCONJ,76,no,3.5582,3.7888,-2.5258,0.7396,0.7964,0.2414,3.5114,3.6948,-2.2315,5,4,3,2
4,12,الالمانية,Arabic,ADJ,446,no,-7.1214,0.9913,-1.4026,0.2075,0.7061,0.2931,-6.8988,0.8706,-1.8635,2,1,1,1
5,13,15,Arabic,NUM,16,no,1.1017,-4.7398,-0.8559,0.6172,0.5212,0.3183,1.2173,-4.646,-0.7036,5,4,3,2
6,2061,تشرين,Arabic,NOUN,200,no,2.2917,-3.1256,-3.9258,0.6765,0.5733,0.177,2.5511,-2.8931,-3.8327,5,4,3,2
7,15,7,Arabic,NUM,68,no,3.2254,-1.2528,-0.1224,0.723,0.6337,0.352,3.2212,-1.1156,0.1841,5,4,3,2
8,2062,اكتوبر,Arabic,NOUN,407,no,-8.6604,4.6099,2.066,0.1308,0.8229,0.4527,-9.0451,4.2815,1.6028,1,1,1,1
9,2067,طهران,Arabic,NOUN,295,no,6.6278,3.1082,1.2818,0.8925,0.7744,0.4166,6.3888,3.17,1.8117,4,3,3,2
10,21,صحيفة,Arabic,NOUN,175,no,-0.8396,-1.7335,-1.3234,0.5205,0.6182,0.2968,-0.6745,-1.8302,-1.6607,5,4,3,2
11,22,الاحد,Arabic,NOUN,153,no,-4.9012,-0.445,0.5271,0.3181,0.6598,0.3819,-4.7348,-0.5924,0.023,2,1,1,1
12,26,في,Arabic,ADP,2,no,-0.2639,-19.4518,12.1257,0.5491,0.0464,0.9154,-0.7216,-19.8367,12.7397,3,2,2,2
13,27,عدد,Arabic,NOUN,105,no,3.1445,-2.2577,0.803,0.719,0.6013,0.3946,3.1181,-2.2483,0.9086,5,4,3,2
14,28,ها,Arabic,PRON,10,no,0.7808,-9.5687,4.9509,0.6012,0.3653,0.5854,0.5779,-9.5753,4.811,3,2,2,2
15,30,غدا,Arabic,NOUN,217,no,-5.971,-0.1486,-1.6081,0.2648,0.6693,0.2837,-5.6782,-0.2824,-2.0972,2,1,1,1
16,32,ان,Arabic,PART,373,no,-1.3896,-4.3013,2.1802,0.4931,0.5353,0.4579,-1.4464,-4.2799,1.6066,5,4,3,2
