,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2
0,2,եմ,Armenian,AUX,9,no,-4.4187,-0.5356,4.68,0.1942,0.4599,0.7058,2.4142,-2.2248,5.0217,3,2,1,1
1,5,ու,Armenian,CCONJ,3,no,-6.0178,-10.1273,6.7886,0.1084,0.107,0.8328,1.727,-11.7432,7.1638,2,2,1,1
2,14,նրանց,Armenian,PRON,81,no,7.4664,0.3073,0.6044,0.8315,0.4909,0.4605,-6.4607,2.0154,-1.1674,5,4,3,2
3,16,այլ,Armenian,CCONJ,120,no,-3.6712,0.7596,-2.0357,0.2343,0.5075,0.3015,4.1131,-0.0247,-0.6249,3,2,1,1
4,2066,այնպես,Armenian,ADV,284,no,-2.1136,1.2323,-3.8275,0.3178,0.5249,0.1936,3.3339,1.1454,-2.6065,3,2,1,1
5,18,ուր,Armenian,ADV,260,no,-2.0658,1.2846,-0.7882,0.3204,0.5268,0.3766,2.1158,0.7435,-0.0679,3,2,1,1
6,20,այլևս,Armenian,ADV,206,no,-0.4394,-0.2535,-1.7643,0.4076,0.4703,0.3178,0.4994,0.0676,-1.7309,5,4,3,2
7,2067,մյուս,Armenian,DET,113,no,1.0658,1.5159,0.7592,0.4883,0.5353,0.4698,-0.6483,1.6867,0.6789,5,4,3,2
8,22,չէր,Armenian,AUX,40,no,-3.8344,1.4516,1.7846,0.2255,0.533,0.5315,3.0587,0.2034,2.4826,1,1,1,1
9,23,այլ,Armenian,CCONJ,120,no,0.2176,-2.2309,-1.0416,0.4428,0.3975,0.3614,-0.935,-1.9275,-1.4898,3,2,1,1
10,2071,տարի,Armenian,NOUN,101,no,-1.9835,-2.1219,-0.0953,0.3248,0.4015,0.4183,1.4532,-2.5126,0.1713,3,2,1,1
11,26,իրենց,Armenian,PRON,265,no,6.3534,-0.6164,0.1723,0.7718,0.4569,0.4344,-5.5391,0.9772,-1.4453,5,4,3,2
12,28,պիտի,Armenian,AUX,124,no,1.9782,2.7108,0.4019,0.5372,0.5793,0.4483,-1.3799,3.0756,0.5219,5,4,3,2
13,31,նույն,Armenian,DET,205,no,6.603,-1.2401,-0.0771,0.7852,0.434,0.4194,-5.9564,0.4062,-1.8122,5,4,3,2
14,6175,ուղղությամբ,Armenian,NOUN,437,no,1.2726,0.3491,-1.5317,0.4994,0.4924,0.3319,-0.6244,0.8264,-1.6126,5,4,3,2
15,34,որ,Armenian,PART,35,no,-5.9142,-6.4607,6.689,0.114,0.2419,0.8268,2.2028,-8.4578,6.9736,2,2,1,1
