,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2,trans
8,15,eta,Basque,CCONJ,1,no,-5.2422,16.8869,-10.3056,0.112,1.0,0.0,3,3,2,2,and
22,45,ez,Basque,PART,3,no,-4.5891,9.7313,-6.8253,0.1399,0.7791,0.1964,3,3,2,2,no
33,75,egin,Basque,VERB,6,no,-5.1878,16.4811,-10.2549,0.1143,0.9875,0.0029,3,3,2,2,do it
85,204,bat,Basque,NUM,8,no,0.7998,3.637,1.4378,0.3704,0.591,0.6627,2,2,1,1,one
49,103,baina,Basque,CCONJ,9,no,-4.5753,5.4271,-5.2543,0.1405,0.6463,0.285,3,3,2,2,but
21,44,ere,Basque,CCONJ,11,no,-3.5154,6.0321,-3.4836,0.1858,0.6649,0.385,3,3,2,2,also
29,68,izan,Basque,AUX,14,no,-3.3356,9.3143,-2.5766,0.1935,0.7663,0.4362,3,3,2,2,be
182,422,izan,Basque,AUX,14,no,-4.9795,14.8243,-9.061,0.1232,0.9363,0.0702,3,3,2,2,be
118,274,behar,Basque,NOUN,16,no,-0.1253,1.481,-1.7937,0.3308,0.5245,0.4803,5,4,3,2,need
69,171,bi,Basque,NUM,17,no,1.1884,1.5292,0.8903,0.387,0.5259,0.6318,2,2,1,1,two
68,169,hori,Basque,DET,19,no,-0.7037,2.401,-0.1018,0.3061,0.5529,0.5758,5,4,3,2,that
30,69,bere,Basque,DET,20,no,7.1847,2.9519,0.8977,0.6434,0.5699,0.6322,1,1,1,1,his
126,281,azken,Basque,NUM,21,no,6.1867,1.9963,-0.2252,0.6007,0.5404,0.5688,1,1,1,1,the last
100,237,oso,Basque,ADV,22,no,3.2048,2.4882,1.2606,0.4732,0.5556,0.6527,2,2,1,1,very
77,185,esan,Basque,VERB,23,no,-4.2698,6.569,-4.6511,0.1536,0.6815,0.3191,3,3,2,2,say
270,741,du,Basque,VERB,24,no,-3.704,8.3764,-3.5566,0.1778,0.7373,0.3809,3,3,2,2,has
88,213,du,Basque,VERB,24,no,-3.0925,3.1754,-4.6496,0.2039,0.5768,0.3192,3,3,2,2,has
138,302,egiten,Basque,VERB,26,no,-3.8971,7.6986,-3.7011,0.1695,0.7164,0.3727,3,3,2,2,doing
156,357,beste,Basque,DET,27,no,1.9641,1.7105,1.9643,0.4201,0.5315,0.6924,2,2,1,1,other
159,365,atzo,Basque,ADV,28,no,-3.4593,0.5974,-3.5381,0.1882,0.4972,0.3819,5,4,3,2,yesterday
268,732,nahi,Basque,NOUN,29,no,-1.7925,0.5508,-1.283,0.2595,0.4958,0.5092,5,4,3,2,want
338,1036,edo,Basque,CCONJ,30,no,0.3842,1.6066,1.439,0.3526,0.5283,0.6628,2,2,1,1,or
127,284,eman,Basque,VERB,34,no,-2.8796,7.5171,-3.6357,0.213,0.7108,0.3764,3,3,2,2,give
99,236,da,Basque,VERB,35,no,-2.9464,5.2014,-2.6233,0.2102,0.6393,0.4335,3,3,2,2,is
50,106,da,Basque,VERB,35,no,-4.399,13.999,-8.2495,0.1481,0.9109,0.116,3,3,2,2,is
191,479,den,Basque,AUX,37,no,-1.6713,1.3761,-0.174,0.2647,0.5212,0.5717,5,4,3,2,it is
102,242,hasi,Basque,VERB,38,no,-3.7567,6.3906,-2.6978,0.1755,0.676,0.4293,3,3,2,2,start
260,693,izango,Basque,AUX,39,no,-3.5732,9.5706,-4.441,0.1834,0.7742,0.3309,3,3,2,2,will be
125,279,izango,Basque,AUX,39,no,-1.7304,3.4644,-1.3424,0.2622,0.5857,0.5058,5,4,3,2,will be
245,645,lehen,Basque,NUM,40,no,5.5637,1.7494,1.3255,0.5741,0.5327,0.6564,1,1,1,1,first
43,89,hiru,Basque,NUM,42,no,2.336,1.9625,2.0641,0.436,0.5393,0.698,2,2,1,1,three
281,789,zion,Basque,AUX,43,no,-2.9415,-1.6186,-1.8381,0.2104,0.4288,0.4778,5,4,3,2,to him
211,532,hil,Basque,VERB,44,no,-3.3031,4.6487,-0.9747,0.1949,0.6222,0.5266,3,3,2,2,die
223,560,gaur,Basque,ADV,45,no,-2.7617,0.776,0.4737,0.2181,0.5027,0.6083,5,4,3,2,today
142,314,hartu,Basque,VERB,47,no,-2.221,7.7667,-1.9329,0.2412,0.7185,0.4725,3,3,2,2,take
